sentence,best_code
"Set the user's room temperature to about 14.9 degrees Celsius, which is the current temperature in San Francisco.","[{'name': '사용자방온도샌프란시스코기준설정', 'cron': '', 'period': -1, 'code': 'temp = (#WeatherProvider).weatherProvider_temperatureWeather\nadjustedTemp = 14.9\n(#AirConditioner).airConditionerMode_setTemperature(adjustedTemp)'}]"
Turn off all the lights in the office,"[{'name': '사무실조명끄기', 'cron': '', 'period': -1, 'code': 'all(#Light #Office).switch_off()'}]"
Turn on all the lights in the office,"[{'name': '사무실조명켜기', 'cron': '', 'period': -1, 'code': '(#Speaker).mediaPlayback_speak(""Office tag not found. Turning on all lights."")\nall(#Light).switch_on()'}]"
불을켜줘.,"[{'name': '불켜기', 'cron': '', 'period': -1, 'code': '(#Light).on()'}]"
집 안의 모든 방 불을 모두 켜 주세요.,"[{'name': '집안모든조명켜기', 'cron': '', 'period': -1, 'code': 'all(#Light).on()'}]"
사무실의 모든 불을 모두 끄는 작업을 수행해줘.,"[{'name': '사무실모든불끄기', 'cron': '', 'period': -1, 'code': '(#Light).off()\nall(#Light).off()'}]"
사무실에 연결된 모든 조명 기기들을 꺼줘.,"[{'name': '사무실조명끄기', 'cron': '', 'period': -1, 'code': 'all(#Light).off()'}]"
사무실에 연결된 모든 스위치를 끕니다.,"[{'name': '사무실스위치끄기', 'cron': '', 'period': -1, 'code': 'all(#Switch).off()'}]"
사무실에 연결된 모든 조명을 켭니다.,"[{'name': '사무실조명켜기', 'cron': '', 'period': -1, 'code': 'all(#Light #Office).on()'}]"
Turn off all switches in the office,"[{'name': '사무실모든스위치끄기', 'cron': '', 'period': -1, 'code': 'all(#Switch #Office).off()'}]"
모든 스위치를 끈다. 스피커에서 '모든 불을 소등합니다.' 라고 말한다.,"[{'name': '모든스위치끄기', 'cron': '', 'period': -1, 'code': 'all(#Switch).off()\n(#Speaker).speak(""모든 불을 소등합니다."")'}]"
"모든 스위치를 끈 다음, ""모든 불을 소등합니다."" 라고 스피커로 말해줘.",
"집의 모든 스위치를 끄고, 스피커로 '모든 불을 소등합니다.'라고 말한다.","[{'name': '집모든스위치끄고스피커알림', 'cron': '', 'period': -1, 'code': 'all(#Switch).off()\n(#Speaker).speak(""모든 불을 소등합니다."")'}]"
"모든 스위치를 끈 다음, ""모든 불을 소등합니다."" 라고 말해줘.","[{'name': '모든스위치끄고알림', 'cron': '', 'period': -1, 'code': 'all(#Switch).off()\n(#Speaker).speak(""모든 불을 소등합니다."")'}]"
"집안의 모든 스위치를 끄고, 스피커로 '모든 불을 소등합니다.'라는 음성을 재생한다.","[{'name': '집안모든스위치끄고스피커알림', 'cron': '', 'period': -1, 'code': 'all(#Switch).off()\n(#Speaker).speak(""모든 불을 소등합니다."")'}]"
"모든 스위치를 끈 다음, ""모든 불을 소등합니다."" 라고 말해줘.","[{'name': '모든스위치끄고말하기', 'cron': '', 'period': -1, 'code': 'all(#Switch).off()\n(#Speaker).speak(""모든 불을 소등합니다."")'}]"
사용자의 모든 스위치를 켜주세요.,"[{'name': '사용자모든스위치켜기', 'cron': '', 'period': -1, 'code': 'all(#Switch).on()'}]"
모든 IoT 스위치를 꺼주세요.,
모든 IoT 스위치를 끕니다.,"[{'name': '모든스위치끄기', 'cron': '', 'period': -1, 'code': 'all(#Switch).off()'}]"
모든 스위치를 꺼줘,"[{'name': '모든스위치끄기', 'cron': '', 'period': -1, 'code': 'all(#Switch).off()'}]"
모든 IoT 스위치를 켜주세요.,"[{'name': '모든스위치켜기', 'cron': '', 'period': -1, 'code': 'all(#AirConditioner).on()\nall(#AirPurifier).on()\nall(#Camera).on()\nall(#Dehumidifier).on()\nall(#Dishwasher).on()\nall(#Feeder).on()\nall(#Fan).on()\nall(#Humidifier).on()\nall(#Irrigator).on()\nall(#Light).on()\nall(#Pump).on()\nall(#Recorder).on()\nall(#Refrigerator).on()\nall(#RobotCleaner).on()\nall(#Siren).on()\nall(#SmartPlug).on()\nall(#Speaker).on()\nall(#Switch).on()\nall(#Television).on()\nall(#Relay).on()'}]"
모든 전등 스위치를 켜주세요.,"[{'name': '모든전등켜기', 'cron': '', 'period': -1, 'code': 'all(#Light).on()'}]"
모든 전등 스위치를 켜 주세요.,"[{'name': '모든전등켜기', 'cron': '', 'period': -1, 'code': 'all(#Light).on()'}]"
Turn on all Smartthings switches,"[{'name': '모든스위치켜기', 'cron': '', 'period': -1, 'code': '(#Switch).on()'}]"
임의의 스위치를 켠다.,"[{'name': '임의스위치켜기', 'cron': '', 'period': -1, 'code': '(#Switch).on()'}]"
"Turn off the listed Smartthings switches: c1ebce38-0b49-4e92-aa0e-102531aa18ae, 689012a9-c566-43d9-bb93-85f78da8231a, c938e562-fcf0-4a2f-8447-1e1248af99c5, bfd50c8a-99d0-4e5d-901d-4dad27be6c70, c3556cb9-c931-4712-84e8-5d9f343c9c12, 121269e2-369c-48cd-9553-338bfa061e96, adaf8cb3-a6ea-4d9d-9125-a042a21dd8c3, 8e0e47eb-9db6-460b-aeb6-f62798808ee8, 06331fb1-1700-4f83-90ab-88aabbee269f","[{'name': '스마트스위치끄기', 'cron': '', 'period': -1, 'code': '(#Switch #c1ebce38-0b49-4e92-aa0e-102531aa18ae).off()\n(#Switch #689012a9-c566-43d9-bb93-85f78da8231a).off()\n(#Switch #c938e562-fcf0-4a2f-8447-1e1248af99c5).off()\n(#Switch #bfd50c8a-99d0-4e5d-901d-4dad27be6c70).off()\n(#Switch #c3556cb9-c931-4712-84e8-5d9f343c9c12).off()\n(#Switch #121269e2-369c-48cd-9553-338bfa061e96).off()\n(#Switch #adaf8cb3-a6ea-4d9d-9125-a042a21dd8c3).off()\n(#Switch #8e0e47eb-9db6-460b-aeb6-f62798808ee8).off()\n(#Switch #06331fb1-1700-4f83-90ab-88aabbee269f).off()'}]"
Turn off all connected IoT switches.,"[{'name': '모든스위치끄기', 'cron': '', 'period': -1, 'code': 'all(#Switch).off()'}]"
모든 IoT 스위치들을 모두 꺼주세요.,"[{'name': '모든스위치끄기', 'cron': '', 'period': -1, 'code': 'all(#Switch).off()'}]"
모든 스위치를 꺼 주세요,"[{'name': '모든스위치끄기', 'cron': '', 'period': -1, 'code': 'all(#Switch).off()'}]"
모든 IoT 스위치를 꺼 주세요.,"[{'name': '모든IoT스위치끄기', 'cron': '', 'period': -1, 'code': 'all(#Switch).off()'}]"
집 안의 모든 불을 켜 주세요.,"[{'name': '집안모든불켜기', 'cron': '', 'period': -1, 'code': 'all(#Light).on()'}]"
전등을 켜 주세요.,"[{'name': '전등켜기', 'cron': '', 'period': -1, 'code': '(#Light).on()'}]"
임의의 조명을 켠다.,"[{'name': '임의조명켜기', 'cron': '', 'period': -1, 'code': '(#Light).on()'}]"
Turn off all IoT devices connected to switches.,"[{'name': '스위치연결장치끄기', 'cron': '', 'period': -1, 'code': 'all(#AirConditioner).off()\nall(#AirPurifier).off()\nall(#Alarm).off()\nall(#Dehumidifier).off()\nall(#Dishwasher).off()\nall(#Feeder).off()\nall(#Humidifier).off()\nall(#Irrigator).off()\nall(#RobotCleaner).off()\nall(#Refrigerator).off()\nall(#Camera).off()\nall(#Recorder).off()\nall(#SmartPlug).off()\nall(#Speaker).off()\nall(#Siren).off()\nall(#Pump).off()\nall(#Television).off()\nall(#Fan).off()\nall(#Light).off()\nall(#Switch).off()'}]"
Turn off all IoT devices with the name 'Switch'.,"[{'name': '스위치모두끄기', 'cron': '', 'period': -1, 'code': 'all(#Switch).off()'}]"
모든 IoT 스위치를 모두 끄는 작업을 수행해 주세요.,"[{'name': '모든IoT스위치끄기', 'cron': '', 'period': -1, 'code': 'all(#AirConditioner).off()\nall(#AirPurifier).off()\nall(#Alarm).off()\nall(#Dehumidifier).off()\nall(#Dishwasher).off()\nall(#Feeder).off()\nall(#Humidifier).off()\nall(#Irrigator).off()\nall(#Camera).off()\nall(#RobotCleaner).off()\nall(#Refrigerator).off()\nall(#Recorder).off()\nall(#Switch).off()\nall(#SmartPlug).off()\nall(#Speaker).off()\nall(#Television).off()\nall(#Fan).off()\nall(#Light).off()\nall(#Pump).off()\nall(#Siren).off()'}]"
연결된 모든 IoT 스위치를 끄는 작업을 수행해 주세요.,"[{'name': '모든스위치끄기', 'cron': '', 'period': -1, 'code': 'all(#Switch).off()'}]"
집안의 모든 전구를 꺼주세요.,"[{'name': '집안모든전구끄기', 'cron': '', 'period': -1, 'code': 'all(#Light).off()'}]"
전등을 모두 끄는 명령을 수행해 주세요,"[{'name': '모든전등끄기', 'cron': '', 'period': -1, 'code': 'all(#Light).off()'}]"
Set the air conditioner temperature indoors in Gwanak-gu to 24 degrees Celsius for a comfortable climate considering the current outdoor temperature is 26.7°C and air quality is good.,"[{'name': '관악구실내온도설정', 'cron': '', 'period': -1, 'code': 'tempOutdoor = (#WeatherProvider).temperatureWeather\npm25 = (#WeatherProvider).pm25Weather\nif ((tempOutdoor >= 26.7) and (pm25 <= 50.0)) {\n    (#AirConditioner).setTemperature(24.0)\n    (#AirConditioner).on()\n}'}]"
"사무실에 사람이 있을 경우 모든 스마트 플러그, 스위치, 전등을 켜고, 15분 동안 사람이 없으면 스위치만 끄는 시나리오를 추가해줘.","[{'name': '사무실재실제어', 'cron': '', 'period': 100, 'code': 'triggered := false\nabsenceTimer := 0\npresence = any(#OccupancySensor).presence\nif (presence == ""present"") {\n    if (triggered == false) {\n        all(#SmartPlug).on()\n        all(#Switch).on()\n        all(#Light).on()\n        triggered = true\n        absenceTimer = 0\n    } else {\n        absenceTimer = 0\n    }\n} else {\n    absenceTimer = absenceTimer + 100\n    if (absenceTimer >= 900000) {\n        all(#Switch).off()\n        triggered = false\n        absenceTimer = 0\n    }\n}'}]"
사무실 내 모든 전등과 스위치를 켜는 작업 수행,"[{'name': '사무실전등스위치켜기', 'cron': '', 'period': -1, 'code': 'all(#Light).on()\nall(#Switch).on()'}]"
turn off all the lights,"[{'name': '모든조명끄기', 'cron': '', 'period': -1, 'code': 'all(#Light).off()'}]"
불을켜줘.,"[{'name': '불켜기', 'cron': '', 'period': -1, 'code': '(#Light).switch_on()'}]"
불을켜줘.,"[{'name': '불켜기', 'cron': '', 'period': -1, 'code': '(#Light).switch_on()'}]"
Turn on the lights at 9 AM on weekdays.,
Turn on the lights at 9 AM on weekdays.,
Turn on the lights at 9 AM on weekdays.,
Turn on the lights at 9 AM on weekdays.,
Turn on the lights at 9 AM on weekdays.,
Turn on the lights at 9 AM on weekdays.,
Turn on the lights at 9 AM on weekdays.,
Turn on the lights at 9 AM on weekdays.,
Turn on the lights at 9 AM on weekdays.,
Turn on the lights at 9 AM on weekdays.,
Turn on the lights at 9 AM on weekdays.,
Turn on the lights at 9 AM on weekdays.,
Turn on the lights at 9 AM on weekdays.,
Turn on the lights at 9 AM on weekdays.,
Turn on the lights at 9 AM on weekdays.,
불 다 꺼줘,
불을 켜줘,
불을 켜줘,
불을 켜줘,"[{'name': '불켜기', 'cron': '', 'period': -1, 'code': '(#Light).switch_on()'}]"
불을 켜줘,"[{'name': '불켜기', 'cron': '', 'period': -1, 'code': '(#Light).switch_on()'}]"
불을 켜줘,"[{'name': '불켜기', 'cron': '', 'period': -1, 'code': '(#Light).switch_on()'}]"
불을 켜줘,
불을 켜줘,"[{'name': '불켜기', 'cron': '', 'period': -1, 'code': '(#Light).switch_on()'}]"
불을 켜줘,"[{'name': 'TurnOnLight', 'cron': '', 'period': -1, 'code': '(#Light).switch_on()'}]"
회의실 에어컨의 목표 온도를 1시간마다 25와 20으로 번갈아 설정해줘.,"[{'name': '회의실에어컨목표온도교대', 'cron': '', 'period': 3600000, 'code': 'toggle := false\nif (toggle == false) {\n  (#AirConditioner #회의실).airConditionerMode_setTemperature(25)\n  toggle = true\n} else {\n  (#AirConditioner #회의실).airConditionerMode_setTemperature(20)\n  toggle = false\n}'}]"
회의실 에어컨의 목표 온도를 1시간마다 25와 20으로 번갈아 설정해줘.,"[{'name': 'ACTempToggle', 'cron': '', 'period': 3600000, 'code': 'if (triggered == false) {\n  (#ConferenceRoomAC).airConditionerMode_setTemperature(25)\n  triggered = true\n} else {\n  (#ConferenceRoomAC).airConditionerMode_setTemperature(20)\n  triggered = false\n}'}]"
식기세척기를 건조 모드로 설정해줘.,"[{'name': '식기세척기건조모드설정', 'cron': '', 'period': -1, 'code': '(#Dishwasher).dishwasherMode_setDishwasherMode(""dry"")'}]"
식기세척기를 건조 모드로 설정해줘.,"[{'name': 'Set Dishwasher Dry Mode', 'cron': '', 'period': -1, 'code': '(#Dishwasher).dishwasherMode_setDishwasherMode(""dry"")'}]"
오늘의 301동 점심 메뉴를 스피커로 알려줘.,"[{'name': '오늘301동점심메뉴알림', 'cron': '', 'period': -1, 'code': '(#MenuProvider).menuProvider_menu(""오늘,301동,점심"")\nmenu = ""오늘,301동,점심""\n(#Speaker).mediaPlayback_speak(menu)'}]"
오늘의 301동 점심 메뉴를 스피커로 알려줘.,"[{'name': ""Today's Menu Announcement"", 'cron': '', 'period': -1, 'code': '(#Speaker).mediaPlayback_speak(""오늘의 301동 점심 메뉴는 [메뉴 이름]입니다."")'}]"
오늘의 301동 점심 메뉴를 스피커로 알려줘.,"[{'name': '오늘301동점심메뉴알림', 'cron': '', 'period': -1, 'code': '(#MenuProvider).menuProvider_menu(""오늘,301동식당,점심"")\nmenu = """"\nmenu = (#MenuProvider).menuProvider_menu\n(#Speaker).mediaPlayback_speak(menu)'}]"
식기세척기를 건조 모드로 설정해줘.,"[{'name': '식기세척기건조모드설정', 'cron': '', 'period': -1, 'code': '(#Dishwasher).dishwasherMode_setDishwasherMode(""dry"")'}]"
오늘의 301동 점심 메뉴를 스피커로 알려줘.,"[{'name': ""Today's Menu Announcement"", 'cron': '', 'period': -1, 'code': '(#Speaker).mediaPlayback_speak(""오늘의 301동 점심 메뉴는 [메뉴 이름]입니다."")'}]"
식기세척기를 건조 모드로 설정해줘.,"[{'name': 'Set Dishwasher Dry Mode', 'cron': '', 'period': -1, 'code': '(#Dishwasher).dishwasherMode_setDishwasherMode(""dry"")'}]"
식기세척기를 건조 모드로 설정해줘.,"[{'name': '식기세척기건조모드설정', 'cron': '', 'period': -1, 'code': '(#Dishwasher).dishwasherMode_setDishwasherMode(""dry"")'}]"
식기세척기를 건조 모드로 설정해줘.,"[{'name': 'Set Dishwasher Dry Mode', 'cron': '', 'period': -1, 'code': '(#Dishwasher).dishwasherMode_setDishwasherMode(""dry"")'}]"
오븐의 작동 시간을 5분 늘려줘.,"[{'name': 'IncreaseOvenDuration', 'cron': '', 'period': -1, 'code': 'ovenDuration := (#Oven).ovenControl_duration\n(#Oven).ovenControl_setDuration(ovenDuration + 300)'}]"
밥솥을 조리 모드로 30분 작동시켜.,"[{'name': 'CookRice', 'cron': '', 'period': 1800000, 'code': 'if ((#Dishwasher).dishwasherMode_dishwasherMode == ""idle"") {\n  (#Dishwasher).dishwasherMode_setDishwasherMode(""cooking"")\n  (#Dishwasher).dishwasherOperatingState_startWatering()\n}'}]"
사이렌을 응급모드로 울려줘.,"[{'name': 'EmergencySiren', 'cron': '', 'period': -1, 'code': '(#Siren).sirenMode_setSirenMode(""emergency"")'}]"
스피커의 볼륨을 30으로 설정해줘.,"[{'name': 'SetSpeakerVolume', 'cron': '', 'period': -1, 'code': '(#Speaker).audioVolume_setVolume(30)'}]"
TV 채널을 하나 내려줘.,"[{'name': 'TVChannelDown', 'cron': '', 'period': -1, 'code': '(#Television).tvChannel_channelDown()'}]"
TV로 7번 채널을 틀어줘.,"[{'name': 'TVChannelChange', 'cron': '', 'period': -1, 'code': '(#Television).tvChannel_setTvChannel(7)'}]"
현재 온도를 스피커로 알려줘.,"[{'name': 'ReportTemperature', 'cron': '', 'period': -1, 'code': '(#Speaker).mediaPlayback_speak((#TemperatureSensor).temperatureMeasurement_temperature)'}]"
외부 온도를 스피커로 출력해줘.,"[{'name': 'ExternalTempToSpeaker', 'cron': '', 'period': -1, 'code': '(#Speaker).mediaPlayback_speak((#WeatherProvider).temperatureMeasurement_temperature)'}]"
현재 습도를 스피커로 말해줘.,"[{'name': 'ReportHumidity', 'cron': '', 'period': -1, 'code': '(#Speaker).mediaPlayback_speak((#HumiditySensor).relativeHumidityMeasurement_humidity)'}]"
외부 습도를 스피커로 말해줘.,"[{'name': 'ExternalHumidityAnnouncement', 'cron': '', 'period': -1, 'code': '(#Speaker).mediaPlayback_speak((#WeatherProvider).weatherProvider_humidityWeather)'}]"
오늘의 날씨를 스피커로 출력해줘.,
미세먼지 농도를 스피커로 알려줘.,"[{'name': 'NotifyPM25', 'cron': '', 'period': -1, 'code': '(#Speaker).mediaPlayback_speak((#WeatherProvider).weatherProvider_pm25Weather)'}]"
외부 미세먼지 농도를 스피커로 알려줘.,"[{'name': 'NotifyExternalPM25', 'cron': '', 'period': -1, 'code': '(#Speaker).mediaPlayback_speak((#WeatherProvider).weatherProvider_pm25Weather)'}]"
"클라우드로 고양이 사진을 생성하고 ""cat.png""로 저장해줘.","[{'name': 'GenerateCatPhoto', 'cron': '', 'period': -1, 'code': '(#Cloud).imageGeneration_generateImage(""cat"", ""cat.png"")'}]"
충전기의 전력소모량을 스피커로 출력해줘.,"[{'name': 'PowerConsumptionToSpeaker', 'cron': '', 'period': -1, 'code': '(#SmartPlug).powerMeter_powerConsumption'}]"
오늘의 메뉴를 스피커로 출력해줘.,"[{'name': 'TodayMenuAnnouncement', 'cron': '', 'period': -1, 'code': '(#Speaker).mediaPlayback_speak((#MenuProvider).menuProvider_todayMenu)'}]"
오늘의 301동 점심 메뉴를 스피커로 알려줘.,"[{'name': ""Today's Menu Announcement"", 'cron': '', 'period': -1, 'code': '(#Speaker).mediaPlayback_speak(""오늘의 301동 점심 메뉴는 [메뉴 이름]입니다."")'}]"
클라우드 AI한테 llm이 무엇인지 질문하고 답을 스피커로 출력해줘.,"[{'name': 'AskLLMDefinition', 'cron': '', 'period': -1, 'code': '(#Speaker).mediaPlayback_speak(""llm stands for Large Language Model"")'}]"
"조명의 색조를 200, 채도는 50으로 설정해줘.","[{'name': 'SetLightColorAndBrightness', 'cron': '', 'period': -1, 'code': '(#Light).colorControl_setColor({""hue"":200,""saturation"":50})'}]"
조명 색을 노란색으로 바꿔줘.,"[{'name': 'ChangeLightColor', 'cron': '', 'period': -1, 'code': '(#Light).colorControl_setColor({""h"": 60, ""s"": 100})'}]"
금고를 잠그어줘.,"[{'name': 'LockSafe', 'cron': '', 'period': -1, 'code': '(#Safe).lock_lock()'}]"
문을 닫아줘.,"[{'name': 'CloseDoor', 'cron': '', 'period': -1, 'code': '(#Door).doorControl_close()'}]"
펌프를 일반 모드로 설정해줘.,"[{'name': 'SetPumpToNormalMode', 'cron': '', 'period': -1, 'code': '(#Pump).pumpOperationMode_setOperationMode(""normal"")'}]"
로봇 청소기를 멈춰줘.,"[{'name': 'StopRobotCleaner', 'cron': '', 'period': -1, 'code': '(#RobotCleaner).switch_off()'}]"
"스피커로 ""music.mp3"" 재생해줘.","[{'name': 'PlayMusic', 'cron': '', 'period': -1, 'code': '(#Speaker).mediaPlayback_play(""music.mp3"")'}]"
스피커 볼륨을 최대로 해줘.,"[{'name': 'Maximize Speaker Volume', 'cron': '', 'period': -1, 'code': '(#Speaker).audioVolume_setVolume(100)'}]"
스피커 볼륨을 하나 낮춰줘.,"[{'name': 'ReduceSpeakerVolume', 'cron': '', 'period': -1, 'code': '(#Speaker).audioVolume_setVolume((#Speaker).audioVolume_volume - 1)'}]"
벨브를 열어줘.,"[{'name': 'Scenario1', 'cron': '', 'period': -1, 'code': '(#Blind).windowShade_open()'}]"
TV 30번 채널 틀어줘.,"[{'name': 'TVChannelChange', 'cron': '', 'period': -1, 'code': '(#Television).tvChannel_setTvChannel(30)'}]"
거실 조명을 노란색으로 설정해줘.,"[{'name': 'SetLivingRoomLightYellow', 'cron': '', 'period': -1, 'code': '(#Light).colorControl_setColor({""h"": 50, ""s"": 100})'}]"
카메라로 회의실 사진을 촬영해줘.,"[{'name': 'MeetingRoomPhoto', 'cron': '', 'period': -1, 'code': '(#Camera).camera_take()'}]"
거실 조명의 밝기를 80%로 설정해줘.,"[{'name': 'SetLivingRoomBrightness', 'cron': '', 'period': -1, 'code': '(#Light).colorControl_setPercent(80)'}]"
연구실 제습기를 모두 AI건조모드로 설정해줘.,"[{'name': 'SetDehumidifierAI', 'cron': '', 'period': -1, 'code': 'all(#Dehumidifier).dehumidifierMode_setDehumidifierMode(""AIDrying"")'}]"
"거실 조명의 색조는 240, 채도는 80으로 맞춰줘.","[{'name': 'AdjustLivingRoomLight', 'cron': '', 'period': -1, 'code': '(#Light).colorControl_setHue(240)\n(#Light).colorControl_setSaturation(80)'}]"
짝수 태그 로봇 청소기를 모두 자동 모드로 설정해줘.,"[{'name': 'SetEvenTagRobotsToAutoMode', 'cron': '', 'period': -1, 'code': 'all(#EvenTag_RobotCleaner).robotCleanerCleaningMode_setRobotCleanerCleaningMode(""auto"")'}]"
모든 도어락을 잠궈줘.,"[{'name': 'LockAllDoors', 'cron': '', 'period': -1, 'code': 'all(#DoorLock).doorControl_lock()'}]"
구역1의 에어컨의 목표 온도를 18도로 설정해줘.,"[{'name': 'SetACTemperature', 'cron': '', 'period': -1, 'code': '(#Area1_AirConditioner).airConditionerMode_setTemperature(18)'}]"
안방의 공기청정기를 수면모드로 바꿔줘.,"[{'name': 'ChangeAirPurifierMode', 'cron': '', 'period': -1, 'code': '(#AirPurifier).airPurifierFanMode_setAirPurifierFanMode(""sleep"")'}]"
주방의 모든 벨브를 닫아줘.,"[{'name': 'CloseAllValvesInKitchen', 'cron': '', 'period': -1, 'code': 'all(#Kitchen_Valve).valve_close()'}]"
모든 금고를 열어줘.,"[{'name': 'UnlockAllLocks', 'cron': '', 'period': -1, 'code': 'all(#DoorLock).doorControl_open()'}]"
회의실 녹음기로 10초 동안 녹음해서 test.wav로 저장해줘.,"[{'name': 'MeetingRoomRecording', 'cron': '', 'period': -1, 'code': '(#Recorder).audioRecord_record(""test.wav"", 10)'}]"
사이렌으로 농장에 화재경보를 울려줘.,"[{'name': 'FireAlarm', 'cron': '', 'period': -1, 'code': '(#Siren).sirenMode_setSirenMode(""siren"")'}]"
"놀이방의 스피커로 ""Golden.mp3"" 파일을 재생해줘.","[{'name': 'PlayGoldenMP3', 'cron': '', 'period': -1, 'code': '(#Speaker).mediaPlayback_play(""Golden.mp3"")'}]"
안방 조명을 모두 꺼줘.,"[{'name': 'AllLightsOff', 'cron': '', 'period': -1, 'code': '(#Light).switch_off()'}]"
거실에 있는 창문을 모두 닫아줘.,"[{'name': 'CloseAllWindows', 'cron': '', 'period': -1, 'code': '(#Window).windowControl_close()'}]"
섹터2에 있는 블라인드를 모두 열어줘.,"[{'name': 'Scenario1', 'cron': '', 'period': -1, 'code': 'all(#Sector2_Blind).windowShade_open()'}]"
거실 벽에 있는 조명을 빨간색으로 바꿔줘.,"[{'name': 'ChangeLivingRoomLightColor', 'cron': '', 'period': -1, 'code': '(#Light).colorControl_setColor({""RED"": 255, ""GREEN"": 0, ""BLUE"": 0})'}]"
섹터 비에 있는 홀수 태그가 붙은 금고를 모두 잠궈줘.,"[{'name': 'SecBullockLockAll', 'cron': '', 'period': -1, 'code': 'all(#SecBullock).lock_lock()'}]"
회의실에 있는 조명 밝기를 100까지 높여줘.,"[{'name': 'IncreaseConferenceRoomBrightness', 'cron': '', 'period': -1, 'code': '(#Light).switchLevel_setLevel(100)'}]"
섹터2 모두 닫아줘.,"[{'name': 'Scenario1', 'cron': '', 'period': -1, 'code': 'all(#Sector2).windowShade_close()'}]"
복도 벽에 있는 모든 조명을 파란색으로 바꿔줘.,"[{'name': 'ChangeAllLightsBlue', 'cron': '', 'period': -1, 'code': 'all(#WallLight).colorControl_setColor({""h"": 240, ""s"": 100, ""v"": 100})'}]"
그룹1에서 상단부에 있는 조명들을 모두 파란색으로 변경해줘.,"[{'name': 'ChangeLightsToBlue', 'cron': '', 'period': -1, 'code': 'all(#Group1_upper).colorControl_setColor({""blue"": 255})'}]"
섹터10의 모든 조명을 흰색으로 바꿔줘.,"[{'name': 'ChangeLightsToWhite', 'cron': '', 'period': -1, 'code': 'all(#Sector10_Light).colorControl_setColor({""RED"": 255, ""GREEN"": 255, ""BLUE"": 255})'}]"
안방에 있는 짝수 태그 블라인드를 모두 내려줘.,"[{'name': 'AllEvenTaggedBlindsDown', 'cron': '', 'period': -1, 'code': 'all(#EvenTaggedBlind).windowShade_close()'}]"
