line_no,row_no,dataset_index,model_label,request_model,selected_model,command,det_pass,sdet,script_similarity,fatal_reasons,reference_script,predicted_script,predicted_services
28,28,28,local_8b (version0_13),gpt_mg.version0_13,local_8b,스피커 볼륨을 하나 낮춰줘.,True,0.541667,0.541667,,"
(#Speaker).Speaker_VolumeDown()",(#Speaker).audioVolume_setVolume((#Speaker).audioVolume_volume - 1),audioVolume_setVolume
29,29,29,local_8b (version0_13),gpt_mg.version0_13,local_8b,벨브를 열어줘.,True,0.541667,0.541667,,"
(#Valve).Valve_Open()",(#Blind).windowShade_open(),windowShade_open
30,30,30,local_8b (version0_13),gpt_mg.version0_13,local_8b,TV 30번 채널 틀어줘.,True,0.759494,0.759494,,"
(#Television).Television_SetChannel(30)",(#Television).tvChannel_setTvChannel(30),tvChannel_setTvChannel
31,31,1,local_8b (version0_13),gpt_mg.version0_13,local_8b,거실 조명을 노란색으로 설정해줘.,True,0.666667,0.666667,,"(#LivingRoom #Light).ColorControl_SetColor(""255|255|0"")","(#Light).colorControl_setColor({""h"": 50, ""s"": 100})",colorControl_setColor
32,32,2,local_8b (version0_13),gpt_mg.version0_13,local_8b,카메라로 회의실 사진을 촬영해줘.,True,0.606061,0.606061,,(#MeetingRoom #Camera).Camera_CaptureImage(),(#Camera).camera_take(),camera_take
33,33,3,local_8b (version0_13),gpt_mg.version0_13,local_8b,거실 조명의 밝기를 80%로 설정해줘.,False,0.0,0.428571,unknown_services:colorControl_setPercent,"(#LivingRoom #Light).Light_MoveToBrightness(80, 0)",(#Light).colorControl_setPercent(80),colorControl_setPercent
34,34,4,local_8b (version0_13),gpt_mg.version0_13,local_8b,연구실 제습기를 모두 AI건조모드로 설정해줘.,True,0.910448,0.910448,,"all(#Lab #Dehumidifier).Dehumidifier_SetDehumidifierMode(""AIDrying"")","all(#Dehumidifier).dehumidifierMode_setDehumidifierMode(""AIDrying"")",dehumidifierMode_setDehumidifierMode
35,35,5,local_8b (version0_13),gpt_mg.version0_13,local_8b,"거실 조명의 색조는 240, 채도는 80으로 맞춰줘.",True,0.46875,0.46875,,"(#LivingRoom #Light).Light_MoveToHueAndSaturation(240, 80)","(#Light).colorControl_setHue(240)
(#Light).colorControl_setSaturation(80)","colorControl_setHue, colorControl_setSaturation"
36,36,6,local_8b (version0_13),gpt_mg.version0_13,local_8b,짝수 태그 로봇 청소기를 모두 자동 모드로 설정해줘.,True,0.716763,0.716763,,"all(#Even #RobotVacuumCleaner).RobotVacuumCleaner_SetRobotVacuumCleanerModeMode(""auto"")","all(#EvenTag_RobotCleaner).robotCleanerCleaningMode_setRobotCleanerCleaningMode(""auto"")",robotCleanerCleaningMode_setRobotCleanerCleaningMode
37,37,7,local_8b (version0_13),gpt_mg.version0_13,local_8b,모든 도어락을 잠궈줘.,False,0.0,0.793651,unknown_services:doorControl_lock,all(#DoorLock).DoorLock_Lock(),all(#DoorLock).doorControl_lock(),doorControl_lock
38,38,8,local_8b (version0_13),gpt_mg.version0_13,local_8b,구역1의 에어컨의 목표 온도를 18도로 설정해줘.,True,0.809524,0.809524,,(#Sector1 #AirConditioner).AirConditioner_SetTargetTemperature(18),(#Area1_AirConditioner).airConditionerMode_setTemperature(18),airConditionerMode_setTemperature
39,39,9,local_8b (version0_13),gpt_mg.version0_13,local_8b,안방의 공기청정기를 수면모드로 바꿔줘.,True,0.825397,0.825397,,"(#Bedroom #AirPurifier).AirPurifier_SetAirPurifierMode(""sleep"")","(#AirPurifier).airPurifierFanMode_setAirPurifierFanMode(""sleep"")",airPurifierFanMode_setAirPurifierFanMode
40,40,10,local_8b (version0_13),gpt_mg.version0_13,local_8b,주방의 모든 벨브를 닫아줘.,True,0.909091,0.909091,,all(#Kitchen #Valve).Valve_Close(),all(#Kitchen_Valve).valve_close(),valve_close
41,41,11,local_8b (version0_13),gpt_mg.version0_13,local_8b,모든 금고를 열어줘.,True,0.350877,0.350877,,all(#Safe).Safe_Unlock(),all(#DoorLock).doorControl_open(),doorControl_open
42,42,12,local_8b (version0_13),gpt_mg.version0_13,local_8b,회의실 녹음기로 10초 동안 녹음해서 test.wav로 저장해줘.,True,0.578512,0.578512,,"(#MeetingRoom #AudioRecorder).AudioRecorder_RecordWithDuration(""test.wav"", 10)","(#Recorder).audioRecord_record(""test.wav"", 10)",audioRecord_record
43,43,13,local_8b (version0_13),gpt_mg.version0_13,local_8b,사이렌으로 농장에 화재경보를 울려줘.,True,0.8,0.8,,"(#Farm #Siren).Siren_SetSirenMode(""fire"")","(#Siren).sirenMode_setSirenMode(""siren"")",sirenMode_setSirenMode
44,44,14,local_8b (version0_13),gpt_mg.version0_13,local_8b,"놀이방의 스피커로 ""Golden.mp3"" 파일을 재생해줘.",True,0.651685,0.651685,,"(#Playroom #Speaker).Speaker_Play(""Golden.mp3"")","(#Speaker).mediaPlayback_play(""Golden.mp3"")",mediaPlayback_play
45,45,15,local_8b (version0_13),gpt_mg.version0_13,local_8b,안방 조명을 모두 꺼줘.,True,0.716981,0.716981,,all(#Bedroom #Light).Switch_Off(),(#Light).switch_off(),switch_off
46,46,16,local_8b (version0_13),gpt_mg.version0_13,local_8b,거실에 있는 창문을 모두 닫아줘.,True,0.60241,0.60241,,"
all(#LivingRoom #Window).WindowCovering_DownOrClose()",(#Window).windowControl_close(),windowControl_close
47,47,17,local_8b (version0_13),gpt_mg.version0_13,local_8b,섹터2에 있는 블라인드를 모두 열어줘.,True,0.722892,0.722892,,"
all(#Sector2 #Blind).WindowCovering_UpOrOpen()",all(#Sector2_Blind).windowShade_open(),windowShade_open
48,48,18,local_8b (version0_13),gpt_mg.version0_13,local_8b,거실 벽에 있는 조명을 빨간색으로 바꿔줘.,True,0.396396,0.396396,,"
(#LivingRoom #Wall #Light).Light_MoveToRGB(255, 0, 0)","(#Light).colorControl_setColor({""RED"": 255, ""GREEN"": 0, ""BLUE"": 0})",colorControl_setColor
49,49,19,local_8b (version0_13),gpt_mg.version0_13,local_8b,섹터 비에 있는 홀수 태그가 붙은 금고를 모두 잠궈줘.,False,0.0,0.548387,unknown_services:lock_lock,"
all(#SectorB #Odd #Safe).Safe_Lock()",all(#SecBullock).lock_lock(),lock_lock
50,50,20,local_8b (version0_13),gpt_mg.version0_13,local_8b,회의실에 있는 조명 밝기를 100까지 높여줘.,True,0.452381,0.452381,,"
(#MeetingRoom #Light).Light_MoveToBrightness(100, 0)",(#Light).switchLevel_setLevel(100),switchLevel_setLevel
51,51,21,local_8b (version0_13),gpt_mg.version0_13,local_8b,섹터2 모두 닫아줘.,True,0.72,0.72,,"
all(#Sector2).WindowCovering_DownOrClose()",all(#Sector2).windowShade_close(),windowShade_close
52,52,22,local_8b (version0_13),gpt_mg.version0_13,local_8b,복도 벽에 있는 모든 조명을 파란색으로 바꿔줘.,True,0.389381,0.389381,,"
all(#Hallway #Wall #Light).Light_MoveToRGB(0, 0, 255)","all(#WallLight).colorControl_setColor({""h"": 240, ""s"": 100, ""v"": 100})",colorControl_setColor
53,53,23,local_8b (version0_13),gpt_mg.version0_13,local_8b,그룹1에서 상단부에 있는 조명들을 모두 파란색으로 변경해줘.,True,0.435644,0.435644,,"
all(#Group1 #Top #Light).Light_MoveToRGB(0, 0, 255)","all(#Group1_upper).colorControl_setColor({""blue"": 255})",colorControl_setColor
54,54,24,local_8b (version0_13),gpt_mg.version0_13,local_8b,섹터10의 모든 조명을 흰색으로 바꿔줘.,True,0.755556,0.755556,,"
all(#Sector10 #Light).ColorControl_SetColor(""255|255|255"")","all(#Sector10_Light).colorControl_setColor({""RED"": 255, ""GREEN"": 255, ""BLUE"": 255})",colorControl_setColor
55,55,25,local_8b (version0_13),gpt_mg.version0_13,local_8b,안방에 있는 짝수 태그 블라인드를 모두 내려줘.,True,0.617021,0.617021,,"
all(#Bedroom #Even #Blind).WindowCovering_DownOrClose()",all(#EvenTaggedBlind).windowShade_close(),windowShade_close
56,56,26,local_8b (version0_13),gpt_mg.version0_13,local_8b,3층에 있는 모든 로봇 청소기를 멈춰줘.,True,0.444444,0.444444,,"
all(#Floor3 #RobotVacuumCleaner).RobotVacuumCleaner_SetRobotVacuumCleanerModeMode(""stop"")",all(#Floor3_RobotCleaner).switch_off(),switch_off
57,57,27,local_8b (version0_13),gpt_mg.version0_13,local_8b,거실 벽에 있는 모든 홀수 태그 조명을 켜줘.,True,0.804878,0.804878,,"
all(#LivingRoom #Wall #Odd #Light).Switch_On()",all(#LivingRoom_FloodLight).switch_on(),switch_on
58,58,28,local_8b (version0_13),gpt_mg.version0_13,local_8b,사무실의 모든 제습기를 제습 모드로 설정해줘.,True,0.882759,0.882759,,"
all(#Office #Dehumidifier).Dehumidifier_SetDehumidifierMode(""dehumidifying"")","all(#Dehumidifier).dehumidifierMode_setDehumidifierMode(""humidifying"")",dehumidifierMode_setDehumidifierMode
59,59,29,local_8b (version0_13),gpt_mg.version0_13,local_8b,창고의 모든 도어락을 잠궈줘.,False,0.0,0.675,unknown_services:doorControl_lock,"
all(#Storage #DoorLock).DoorLock_Lock()",all(#WarehouseDoorLock).doorControl_lock(),doorControl_lock
60,60,30,local_8b (version0_13),gpt_mg.version0_13,local_8b,주방의 모든 짝수 태그 밸브를 열어줘.,True,0.605263,0.605263,,"
all(#Kitchen #Even #Valve).Valve_Open()",all(#Kitchen Valve_EvenTag).valve_open(),valve_open
61,61,1,local_8b (version0_13),gpt_mg.version0_13,local_8b,녹음기가 녹음중이면 녹음을 중지하고 test.mp3로 저장해줘. 녹음중이 아니면 녹음을 시작해줘.,False,0.0,0.655172,unknown_services:audioRecord_stop,"
if ((#AudioRecorder).RecorderStatus == ""recording"") {

    (#AudioRecorder).AudioRecorder_RecordStop(""test.mp3"")

} else {

    (#AudioRecorder).AudioRecorder_RecordStart()

}","recording := false
if ((#Recorder).audioRecord_recordStatus == ""recording"") {
  (#Recorder).audioRecord_stop()
  (#Recorder).audioRecord_record(""test.mp3"", 0)
} else {
  (#Recorder).audioRecord_record(""test.mp3"", 0)
}","audioRecord_record, audioRecord_recordStatus, audioRecord_stop"
62,62,2,local_8b (version0_13),gpt_mg.version0_13,local_8b,"충전 전압이 220볼트 이상이면, 충전을 멈춰줘.",True,0.80597,0.80597,,"
if ((#Charger).Charger_Voltage >= 220000) {

    (#Charger).Switch_Off()

}","if ((#Charger).voltageMeasurement_voltage >= 220) {
  (#Charger).switch_off()
}","switch_off, voltageMeasurement_voltage"
63,63,3,local_8b (version0_13),gpt_mg.version0_13,local_8b,"클라우드 서비스가 활성화되어있으면, test.png 파일을 클라우드에 업로드해줘.",False,0.0,0.64,"unknown_services:cloudService_status,upload_file","
if ((#CloudServiceProvider).CloudServiceProvider_IsAvailable == true) {

    (#CloudServiceProvider).CloudServiceProvider_UploadFile(""test.png"")

}","if ((#CloudService).cloudService_status == ""active"") {
  (#CloudStorage).upload_file(""test.png"")
}","cloudService_status, upload_file"
64,64,4,local_8b (version0_13),gpt_mg.version0_13,local_8b,"오븐이 그릴 모드이면, 시간을 4분 더 추가해줘",False,0.0,0.687117,"unknown_services:ovenMode_ovenMode,ovenTimer_setTimer","
if ((#Oven).Oven_OvenMode == ""grill"") {

    (#Oven).Oven_AddMoreTime(240)

}","if ((#Oven).ovenMode_ovenMode == ""grilling"") {
  (#Oven).ovenTimer_setTimer((#Oven).ovenTimer_timer + 240)
}","ovenMode_ovenMode, ovenTimer_setTimer"
65,65,5,local_8b (version0_13),gpt_mg.version0_13,local_8b,"밥솥이 보온 모드이면, 조리 모드로 변경해줘.",False,0.0,0.55814,"unknown_services:microwaveMode_microwaveMode,microwaveMode_setMicrowaveMode","
if ((#RiceCooker).RiceCooker_RiceCookerMode == ""keepWarm"") {

    (#RiceCooker).RiceCooker_SetRiceCookerMode(""cooking"")

}","if ((#Microwave).microwaveMode_microwaveMode == ""boil"") {
  (#Microwave).microwaveMode_setMicrowaveMode(""cook"")
}","microwaveMode_microwaveMode, microwaveMode_setMicrowaveMode"
66,66,6,local_8b (version0_13),gpt_mg.version0_13,local_8b,"오늘이 공휴일이면 ""test@example.com""으로 ""오늘은 공휴일입니다.""라는 내용을 ""공휴일"" 제목으로 이메일을 보내줘.",False,0.0,0.671937,unknown_services:weatherProvider_isHoliday,"
if ((#Clock).Clock_IsHoliday == true) {

    (#EmailProvider).EmailProvider_SendMail(""test@example.com"", ""Holiday"", ""Today is holiday."")

}","if ((#WeatherProvider).weatherProvider_isHoliday()) {
  (#EmailProvider).emailProvider_sendMail(""test@example.com"", ""공휴일"", ""오늘은 공휴일입니다."")
}","emailProvider_sendMail, weatherProvider_isHoliday"
67,67,7,local_8b (version0_13),gpt_mg.version0_13,local_8b,"바깥의 초미세먼지 농도가 15 이상이면, 긴급 사이렌을 울려줘.",True,0.895833,0.895833,,"
if ((#WeatherProvider).WeatherProvider_Pm25Weather >= 15) {

    (#Siren).Siren_SetSirenMode(""emergency"")

}","if ((#WeatherProvider).weatherProvider_pm25Weather >= 15) {
  (#Siren).sirenMode_setSirenMode(""siren"")
}","sirenMode_setSirenMode, weatherProvider_pm25Weather"
68,68,8,local_8b (version0_13),gpt_mg.version0_13,local_8b,"충전기의 전류가 10암페어 이상이면, 긴급 사이렌을 울려줘.",True,0.773006,0.773006,,"
if ((#Charger).Charger_Current >= 10) {

    (#Siren).Siren_SetSirenMode(""emergency"")

}","if ((#Charger).currentMeasurement_current >= 10) {
  (#Siren).sirenMode_setSirenMode(""siren"")
}","currentMeasurement_current, sirenMode_setSirenMode"
69,69,9,local_8b (version0_13),gpt_mg.version0_13,local_8b,펌프가 노말 모드이면 맥시멈 모드로 설정해줘.,True,0.684492,0.684492,,"
if ((#Pump).Pump_PumpMode == ""normal"") {

    (#Pump).Pump_SetPumpMode(""maximum"")

}","if ((#Pump).pumpOperationMode_currentOperationMode == ""normal"") {
  (#Pump).pumpOperationMode_setOperationMode(""maximum"")
}","pumpOperationMode_currentOperationMode, pumpOperationMode_setOperationMode"
70,70,10,local_8b (version0_13),gpt_mg.version0_13,local_8b,"스피커가 재생중이면, 멈춰줘.",True,0.745342,0.745342,,"
if ((#Speaker).Speaker_PlaybackState == ""playing"") {

    (#Speaker).Speaker_Stop()

}","if ((#Speaker).mediaPlayback_playbackStatus == ""playing"") {
  (#Speaker).mediaPlayback_stop()
}","mediaPlayback_playbackStatus, mediaPlayback_stop"
71,71,11,local_8b (version0_13),gpt_mg.version0_13,local_8b,"건조기가 저소음 모드이면, 퀵 모드로 바꿔줘.",True,0.530612,0.530612,,"
if ((#LaundryDryer).LaundryDryer_LaundryDryerMode == ""lownoise"") {

    (#LaundryDryer).LaundryDryer_SetLaundryDryerMode(""quick"")

}","if ((#Dehumidifier).dehumidifierMode_dehumidifierMode == ""quiet"") {
  (#Dehumidifier).dehumidifierMode_setDehumidifierMode(""quick"")
}","dehumidifierMode_dehumidifierMode, dehumidifierMode_setDehumidifierMode"
72,72,12,local_8b (version0_13),gpt_mg.version0_13,local_8b,"건조기 회전 강도가 3보다 크면 하나 줄이고, 아니면 하나 높여줘.",True,0.044944,0.044944,,"
if ((#LaundryDryer).LaundryDryer_SpinSpeed > 3) {

    (#LaundryDryer).LaundryDryer_SetSpinSpeed((#LaundryDryer).LaundryDryer_SpinSpeed - 1)

} else {

    (#LaundryDryer).LaundryDryer_SetSpinSpeed((#LaundryDryer).LaundryDryer_SpinSpeed + 1)

}","speed = (#Dehumidifier).dehumidifierMode_dehumidifierMode
if (speed == 'normal') {
  (#Dehumidifier).dehumidifierMode_setDehumidifierMode('minimum')
} else if (speed == 'minimum') {
  (#Dehumidifier).dehumidifierMode_setDehumidifierMode('normal')
}",dehumidifierMode_setDehumidifierMode
73,73,13,local_8b (version0_13),gpt_mg.version0_13,local_8b,"충전기가 완충되어있으면, 충전기를 꺼줘.",True,0.9,0.9,,"
if ((#Charger).Charger_ChargingState == ""fullyCharged"") {

    (#Charger).Switch_Off()

}","if ((#Charger).chargingState_chargingState == ""fullyCharged"") {
  (#Charger).switch_off()
}","chargingState_chargingState, switch_off"
74,74,14,local_8b (version0_13),gpt_mg.version0_13,local_8b,"버튼이 눌려진 상태면, 블라인드를 올려줘.",True,0.820144,0.820144,,"
if ((#Button).Button_Button == ""pushed"") {

    (#Blind).WindowCovering_UpOrOpen()

}","if ((#Button).button_button == ""pushed"") {
  (#Blind).windowShade_open()
}","button_button, windowShade_open"
75,75,15,local_8b (version0_13),gpt_mg.version0_13,local_8b,스피커 볼륨이 40 이상이면 재생을 중단해줘.,False,0.0,0.757576,unknown_services:mediaPlayback_volume,"
if ((#Speaker).Speaker_Volume >= 40) {

    (#Speaker).Speaker_Stop()

}","if ((#Speaker).mediaPlayback_volume >= 40) {
  (#Speaker).mediaPlayback_stop()
}","mediaPlayback_stop, mediaPlayback_volume"
76,76,16,local_8b (version0_13),gpt_mg.version0_13,local_8b,"입구의 얼굴 인식이 꺼져있으면, 얼굴 인식을 시작해줘",False,0.0,0.589372,"unknown_services:faceRecognition_faceRecognition,faceRecognition_start","
if ((#Entrance #FaceRecognizer).Switch_Switch == false) {

    (#Entrance #FaceRecognizer).FaceRecognizer_Start()

}","if ((#FaceRecognition).faceRecognition_faceRecognition == ""off"") {
  (#FaceRecognition).faceRecognition_start()
}","faceRecognition_faceRecognition, faceRecognition_start"
77,77,17,local_8b (version0_13),gpt_mg.version0_13,local_8b,"쉐이드가 30%이하로 닫혀있으면, 50%만큼 닫아줘.",True,0.595238,0.595238,,"
if ((#Shade).ArmRobot_CurrentPosition <= 30) {

    (#Shade).WindowCovering_SetLevel(50)

}","if ((#Shade).windowShadeLevel_shadeLevel <= 30) {
  (#Shade).windowShadeLevel_setShadeLevel(50)
}","windowShadeLevel_setShadeLevel, windowShadeLevel_shadeLevel"
78,78,18,local_8b (version0_13),gpt_mg.version0_13,local_8b,"거실의 소리 센서로 감지한 수치가 50보다 크면, 스피커 재생을 멈춰줘.",True,0.768293,0.768293,,"
if ((#LivingRoom #SoundSensor).SoundSensor_Sound > 50) {

    (#LivingRoom #Speaker).Speaker_Stop()

}","if ((#RoomSoundSensor).soundSensor_sound > 50) {
  (#Speaker).mediaPlayback_stop()
}","mediaPlayback_stop, soundSensor_sound"
79,79,19,local_8b (version0_13),gpt_mg.version0_13,local_8b,"거실의 에어컨 모드가 냉방 모드이면, 자동 모드로 바꿔줘.",True,0.866197,0.866197,,"
if ((#LivingRoom #AirConditioner).AirConditioner_AirConditionerMode == ""cool"") {

    (#LivingRoom #AirConditioner).AirConditioner_SetAirConditionerMode(""auto"")

}","if ((#AirConditioner).airConditionerMode_airConditionerMode == ""cool"") {
  (#AirConditioner).airConditionerMode_setAirConditionerMode(""auto"")
}","airConditionerMode_airConditionerMode, airConditionerMode_setAirConditionerMode"
