row_no,category,row_category,command_eng,command_kor,gt,gt_name,gt_cron,gt_period,gt_code,warmup_excluded,qwen25_coder_14b__det_score,qwen25_coder_14b__det_pass,qwen25_coder_14b__det_profile,qwen25_coder_14b__det_gt_exact,qwen25_coder_14b__det_gt_similarity,qwen25_coder_14b__det_gt_service_coverage,qwen25_coder_14b__det_gt_service_precision,qwen25_coder_14b__det_gt_receiver_coverage,qwen25_coder_14b__det_dataflow_score,qwen25_coder_14b__det_numeric_grounding,qwen25_coder_14b__det_enum_grounding,qwen25_coder_14b__failure_reasons,qwen25_coder_14b__output,qwen25_coder_14b__output_name,qwen25_coder_14b__output_cron,qwen25_coder_14b__output_period,qwen25_coder_14b__output_code,qwen25_coder_14b__prompt_chars,qwen25_coder_14b__prompt_tokens,qwen25_coder_14b__completion_tokens,qwen25_coder_14b__total_tokens,qwen25_coder_14b__llm_latency_sec,qwen25_coder_14b__total_pipeline_sec,qwen25_coder_14b__tokens_per_sec,qwen25_coder_14b__peak_vram_gb,qwen25_coder_14b__generation_error_type,qwen25_coder_14b__oom_flag,qwen25_coder_14b__worker_python,qwen25_coder_14b__resolved_model_path,qwen25_coder_14b__service_list_snippet_source,qwen25_coder_14b__service_list_device_count,qwen25_coder_14b__service_list_retrieval_status,qwen25_coder_14b__service_list_retrieval_mode,qwen25_coder_14b__service_list_retrieval_topk,qwen25_coder_14b__service_list_retrieval_categories,qwen25_coder_14b__warmup_excluded,qwen25_coder_14b__row_category,qwen25_coder_7b__det_score,qwen25_coder_7b__det_pass,qwen25_coder_7b__det_profile,qwen25_coder_7b__det_gt_exact,qwen25_coder_7b__det_gt_similarity,qwen25_coder_7b__det_gt_service_coverage,qwen25_coder_7b__det_gt_service_precision,qwen25_coder_7b__det_gt_receiver_coverage,qwen25_coder_7b__det_dataflow_score,qwen25_coder_7b__det_numeric_grounding,qwen25_coder_7b__det_enum_grounding,qwen25_coder_7b__failure_reasons,qwen25_coder_7b__output,qwen25_coder_7b__output_name,qwen25_coder_7b__output_cron,qwen25_coder_7b__output_period,qwen25_coder_7b__output_code,qwen25_coder_7b__prompt_chars,qwen25_coder_7b__prompt_tokens,qwen25_coder_7b__completion_tokens,qwen25_coder_7b__total_tokens,qwen25_coder_7b__llm_latency_sec,qwen25_coder_7b__total_pipeline_sec,qwen25_coder_7b__tokens_per_sec,qwen25_coder_7b__peak_vram_gb,qwen25_coder_7b__generation_error_type,qwen25_coder_7b__oom_flag,qwen25_coder_7b__worker_python,qwen25_coder_7b__resolved_model_path,qwen25_coder_7b__service_list_snippet_source,qwen25_coder_7b__service_list_device_count,qwen25_coder_7b__service_list_retrieval_status,qwen25_coder_7b__service_list_retrieval_mode,qwen25_coder_7b__service_list_retrieval_topk,qwen25_coder_7b__service_list_retrieval_categories,qwen25_coder_7b__warmup_excluded,qwen25_coder_7b__row_category
31,2,2,Set the living room light to yellow.,거실 조명을 노란색으로 설정해줘.,"{""name"": """", 
""cron"": """", 
""period"": 0, 
""script"": ""(#LivingRoom #Light).ColorControl_SetColor(\""255|255|0\"")""}",,,0,"(#LivingRoom #Light).ColorControl_SetColor(""255|255|0"")",False,60.1324,False,strict,False,0.626471,0.0,0.0,0.0,1.0,1.0,1.0,"[""gt_mismatch"", ""gt_receiver_coverage"", ""gt_service_coverage""]","{""name"":""SetLivingRoomLightToYellow"",""cron"":"""",""period"":0,""code"":""(#LivingRoom #Light).light_movetorgb(255, 255, 0)""}",SetLivingRoomLightToYellow,,0,"(#LivingRoom #Light).light_movetorgb(255, 255, 0)",37118,7893,60,7953,5.5822,7.9307,1424.7071,29.8918,,False,/home/mgjeong/miniconda3/envs/l/bin/python,/home/mgjeong/.cache/huggingface/hub/models--Qwen--Qwen2.5-Coder-14B-Instruct/snapshots/aedcc2d42b622764e023cf882b6652e646b95671,connected_devices_only,2,skipped_connected_devices_present,hybrid,10,[],False,2,60.1324,False,strict,False,0.626471,0.0,0.0,0.0,1.0,1.0,1.0,"[""gt_mismatch"", ""gt_receiver_coverage"", ""gt_service_coverage""]","{""name"":""SetLivingRoomLightYellow"",""cron"":"""",""period"":0,""code"":""(#LivingRoom #Light).light_movetorgb(255, 255, 0)""}",SetLivingRoomLightYellow,,0,"(#LivingRoom #Light).light_movetorgb(255, 255, 0)",37118,7893,59,7952,2.7531,5.1125,2888.3804,15.6699,,False,/home/mgjeong/miniconda3/envs/l/bin/python,/home/mgjeong/.cache/huggingface/hub/models--Qwen--Qwen2.5-Coder-7B-Instruct/snapshots/c03e6d358207e414f1eca0bb1891e29f1db0e242,connected_devices_only,2,skipped_connected_devices_present,hybrid,10,[],False,2
32,2,2,Capture an image of the meeting room with the camera.,카메라로 회의실 사진을 촬영해줘.,"{""name"": """", 
""cron"": """", 
""period"": 0, 
""script"": ""(#MeetingRoom #Camera).Camera_CaptureImage()""}",,,0,(#MeetingRoom #Camera).Camera_CaptureImage(),False,97.4466,True,strict,False,0.969318,1.0,1.0,1.0,1.0,1.0,1.0,"[""gt_mismatch""]","{""name"":""CaptureMeetingRoomImage"",""cron"":"""",""period"":0,""code"":""(#MeetingRoom #Camera).camera_captureimage()""}",CaptureMeetingRoomImage,,0,(#MeetingRoom #Camera).camera_captureimage(),24747,5402,44,5446,3.8561,6.2161,1412.3078,29.1462,,False,/home/mgjeong/miniconda3/envs/l/bin/python,/home/mgjeong/.cache/huggingface/hub/models--Qwen--Qwen2.5-Coder-14B-Instruct/snapshots/aedcc2d42b622764e023cf882b6652e646b95671,connected_devices_only,2,skipped_connected_devices_present,hybrid,10,[],False,2,97.4466,True,strict,False,0.969318,1.0,1.0,1.0,1.0,1.0,1.0,"[""gt_mismatch""]","{""name"":""CaptureMeetingRoomImage"",""cron"":"""",""period"":0,""code"":""(#MeetingRoom #Camera).camera_captureimage()""}",CaptureMeetingRoomImage,,0,(#MeetingRoom #Camera).camera_captureimage(),24747,5402,44,5446,1.9277,4.3256,2825.1284,15.2057,,False,/home/mgjeong/miniconda3/envs/l/bin/python,/home/mgjeong/.cache/huggingface/hub/models--Qwen--Qwen2.5-Coder-7B-Instruct/snapshots/c03e6d358207e414f1eca0bb1891e29f1db0e242,connected_devices_only,2,skipped_connected_devices_present,hybrid,10,[],False,2
33,2,2,Set the brightness of the living room light to 80%.,거실 조명의 밝기를 80%로 설정해줘.,"{""name"": """", 
""cron"": """", 
""period"": 0, 
""script"": ""(#LivingRoom #Light).Light_MoveToBrightness(80, 0)""}",,,0,"(#LivingRoom #Light).Light_MoveToBrightness(80, 0)",False,96.8163,True,strict,False,0.963265,1.0,1.0,1.0,1.0,1.0,1.0,"[""gt_mismatch""]","{""name"":""SetLivingRoomLightBrightness"",""cron"":"""",""period"":0,""code"":""(#LivingRoom #Light).light_movetobrightness(80, 0)""}",SetLivingRoomLightBrightness,,0,"(#LivingRoom #Light).light_movetobrightness(80, 0)",33721,7187,53,7240,4.9748,7.4244,1455.3349,29.6795,,False,/home/mgjeong/miniconda3/envs/l/bin/python,/home/mgjeong/.cache/huggingface/hub/models--Qwen--Qwen2.5-Coder-14B-Instruct/snapshots/aedcc2d42b622764e023cf882b6652e646b95671,connected_devices_only,2,skipped_connected_devices_present,hybrid,10,[],False,2,93.0156,True,strict,False,0.953125,1.0,1.0,1.0,1.0,0.75,1.0,"[""arg_type"", ""gt_mismatch"", ""numeric_grounding""]","{""name"":""SetLivingRoomLightBrightness"",""cron"":"""",""period"":0,""code"":""(#LivingRoom #Light).light_movetobrightness(80)""}",SetLivingRoomLightBrightness,,0,(#LivingRoom #Light).light_movetobrightness(80),33721,7187,50,7237,2.3798,4.7081,3041.0118,15.5384,,False,/home/mgjeong/miniconda3/envs/l/bin/python,/home/mgjeong/.cache/huggingface/hub/models--Qwen--Qwen2.5-Coder-7B-Instruct/snapshots/c03e6d358207e414f1eca0bb1891e29f1db0e242,connected_devices_only,2,skipped_connected_devices_present,hybrid,10,[],False,2
34,2,2,Set all dehumidifiers in the lab to AI drying mode.,연구실 제습기를 모두 AI건조모드로 설정해줘.,"{""name"": """", 
""cron"": """", 
""period"": 0, 
""script"": ""all(#Lab #Dehumidifier).Dehumidifier_SetDehumidifierMode(\""AIDrying\"")""}",,,0,"all(#Lab #Dehumidifier).Dehumidifier_SetDehumidifierMode(""AIDrying"")",False,92.5321,True,strict,False,0.966418,1.0,1.0,1.0,1.0,1.0,1.0,"[""arg_type"", ""gt_mismatch"", ""semantic""]","{""name"":""SetDehumidifiersToAIDryingMode"",""cron"":"""",""period"":0,""code"":""all(#Lab #Dehumidifier).dehumidifier_setdehumidifiermode(AIDrying)""}",SetDehumidifiersToAIDryingMode,,0,all(#Lab #Dehumidifier).dehumidifier_setdehumidifiermode(AIDrying),23500,5424,63,5487,4.8342,7.2667,1135.0379,29.1544,,False,/home/mgjeong/miniconda3/envs/l/bin/python,/home/mgjeong/.cache/huggingface/hub/models--Qwen--Qwen2.5-Coder-14B-Instruct/snapshots/aedcc2d42b622764e023cf882b6652e646b95671,connected_devices_only,3,skipped_connected_devices_present,hybrid,10,[],False,2,95.0676,True,strict,False,0.973529,1.0,1.0,1.0,1.0,1.0,1.0,"[""gt_mismatch"", ""semantic""]","{""name"":""SetAllLabDehumidifiersToAIDryingMode"",""cron"":"""",""period"":0,""code"":""all(#Lab #Dehumidifier).dehumidifier_setdehumidifiermode(\""AIDrying\"")""}",SetAllLabDehumidifiersToAIDryingMode,,0,"all(#Lab #Dehumidifier).dehumidifier_setdehumidifiermode(""AIDrying"")",23500,5424,67,5491,2.5071,4.837,2190.1799,15.208,,False,/home/mgjeong/miniconda3/envs/l/bin/python,/home/mgjeong/.cache/huggingface/hub/models--Qwen--Qwen2.5-Coder-7B-Instruct/snapshots/c03e6d358207e414f1eca0bb1891e29f1db0e242,connected_devices_only,3,skipped_connected_devices_present,hybrid,10,[],False,2
35,2,2,Set the hue of the living room light to 240 and the saturation to 80.,"거실 조명의 색조는 240, 채도는 80으로 맞춰줘.","{""name"": """", 
""cron"": """", 
""period"": 0, 
""script"": ""(#LivingRoom #Light).Light_MoveToHueAndSaturation(240, 80)""}",,,0,"(#LivingRoom #Light).Light_MoveToHueAndSaturation(240, 80)",False,97.0965,True,strict,False,0.952632,1.0,1.0,1.0,1.0,1.0,1.0,"[""gt_mismatch""]","{""name"":""SetLivingRoomLightHueAndSaturation"",""cron"":"""",""period"":0,""code"":""(#LivingRoom #Light).light_movetohueandsaturation(240, 80)""}",SetLivingRoomLightHueAndSaturation,,0,"(#LivingRoom #Light).light_movetohueandsaturation(240, 80)",33739,7186,62,7248,5.4467,7.8698,1330.714,29.6793,,False,/home/mgjeong/miniconda3/envs/l/bin/python,/home/mgjeong/.cache/huggingface/hub/models--Qwen--Qwen2.5-Coder-14B-Instruct/snapshots/aedcc2d42b622764e023cf882b6652e646b95671,connected_devices_only,2,skipped_connected_devices_present,hybrid,10,[],False,2,97.0965,True,strict,False,0.952632,1.0,1.0,1.0,1.0,1.0,1.0,"[""gt_mismatch""]","{""name"":""SetLivingRoomLightHueAndSaturation"",""cron"":"""",""period"":0,""code"":""(#LivingRoom #Light).light_movetohueandsaturation(240, 80)""}",SetLivingRoomLightHueAndSaturation,,0,"(#LivingRoom #Light).light_movetohueandsaturation(240, 80)",33739,7186,62,7248,2.6845,5.0324,2699.9441,15.5377,,False,/home/mgjeong/miniconda3/envs/l/bin/python,/home/mgjeong/.cache/huggingface/hub/models--Qwen--Qwen2.5-Coder-7B-Instruct/snapshots/c03e6d358207e414f1eca0bb1891e29f1db0e242,connected_devices_only,2,skipped_connected_devices_present,hybrid,10,[],False,2
36,2,2,Set all robot vacuum cleaners with even tags to auto mode.,짝수 태그 로봇 청소기를 모두 자동 모드로 설정해줘.,"{""name"": """", 
""cron"": """", 
""period"": 0, 
""script"": ""all(#Even #RobotVacuumCleaner).RobotVacuumCleaner_SetRobotVacuumCleanerModeMode(\""auto\"")""}",,,0,"all(#Even #RobotVacuumCleaner).RobotVacuumCleaner_SetRobotVacuumCleanerModeMode(""auto"")",False,93.8098,True,strict,False,0.947674,1.0,1.0,1.0,1.0,1.0,1.0,"[""arg_type"", ""gt_mismatch""]","{""name"":""SetAllEvenRobotVacuumCleanersToAutoMode"",""cron"":"""",""period"":0,""code"":""all(#Even #RobotVacuumCleaner).robotvacuumcleaner_setrobotvacuumcleanermodemode(auto)""}",SetAllEvenRobotVacuumCleanersToAutoMode,,0,all(#Even #RobotVacuumCleaner).robotvacuumcleaner_setrobotvacuumcleanermodemode(auto),20524,4715,66,4781,4.6813,7.1055,1021.2975,28.9397,,False,/home/mgjeong/miniconda3/envs/l/bin/python,/home/mgjeong/.cache/huggingface/hub/models--Qwen--Qwen2.5-Coder-14B-Instruct/snapshots/aedcc2d42b622764e023cf882b6652e646b95671,connected_devices_only,2,skipped_connected_devices_present,hybrid,10,[],False,2,93.5567,True,strict,False,0.897059,1.0,1.0,1.0,1.0,1.0,1.0,"[""arg_type"", ""gt_mismatch""]","{""name"":""SetAllEvenRobotVacuumCleanersToAutoMode"",""cron"":"""",""period"":0,""code"":""all(#Even #RobotVacuumCleaner).setrobotvacuumcleanermodemode(auto)""}",SetAllEvenRobotVacuumCleanersToAutoMode,,0,all(#Even #RobotVacuumCleaner).setrobotvacuumcleanermodemode(auto),20524,4715,61,4776,2.2431,4.5587,2129.1962,15.0747,,False,/home/mgjeong/miniconda3/envs/l/bin/python,/home/mgjeong/.cache/huggingface/hub/models--Qwen--Qwen2.5-Coder-7B-Instruct/snapshots/c03e6d358207e414f1eca0bb1891e29f1db0e242,connected_devices_only,2,skipped_connected_devices_present,hybrid,10,[],False,2
37,2,2,Lock all door locks.,모든 도어락을 잠궈줘.,"{""name"": """", 
""cron"": """", 
""period"": 0, 
""script"": ""all(#DoorLock).DoorLock_Lock()""}",,,0,all(#DoorLock).DoorLock_Lock(),False,97.017,True,strict,False,0.803398,1.0,1.0,1.0,1.0,1.0,1.0,"[""gt_mismatch""]","{""name"":""LockAllDoorLocks"",""cron"":"""",""period"":0,""code"":""all(#Back #DoorLock).doorlock_lock()\nall(#Front #DoorLock).doorlock_lock()""}",LockAllDoorLocks,,0,"all(#Back #DoorLock).doorlock_lock()
all(#Front #DoorLock).doorlock_lock()",20252,4614,58,4672,4.2463,6.6966,1100.252,28.9139,,False,/home/mgjeong/miniconda3/envs/l/bin/python,/home/mgjeong/.cache/huggingface/hub/models--Qwen--Qwen2.5-Coder-14B-Instruct/snapshots/aedcc2d42b622764e023cf882b6652e646b95671,connected_devices_only,2,skipped_connected_devices_present,hybrid,10,[],False,2,97.017,True,strict,False,0.803398,1.0,1.0,1.0,1.0,1.0,1.0,"[""gt_mismatch""]","{""name"":""LockAllDoorLocks"",""cron"":"""",""period"":0,""code"":""all(#Back #DoorLock).doorlock_lock()\nall(#Front #DoorLock).doorlock_lock()""}",LockAllDoorLocks,,0,"all(#Back #DoorLock).doorlock_lock()
all(#Front #DoorLock).doorlock_lock()",20252,4614,58,4672,2.2144,4.5225,2109.8266,15.0591,,False,/home/mgjeong/miniconda3/envs/l/bin/python,/home/mgjeong/.cache/huggingface/hub/models--Qwen--Qwen2.5-Coder-7B-Instruct/snapshots/c03e6d358207e414f1eca0bb1891e29f1db0e242,connected_devices_only,2,skipped_connected_devices_present,hybrid,10,[],False,2
38,2,2,Set the target temperature of the air conditioner in Sector1 to 18 degrees.,구역1의 에어컨의 목표 온도를 18도로 설정해줘.,"{""name"": """", 
""cron"": """", 
""period"": 0, 
""script"": ""(#Sector1 #AirConditioner).AirConditioner_SetTargetTemperature(18)""}",,,0,(#Sector1 #AirConditioner).AirConditioner_SetTargetTemperature(18),False,95.2985,True,strict,False,0.959701,1.0,1.0,1.0,1.0,0.5,1.0,"[""gt_mismatch"", ""numeric_grounding""]","{""name"":""SetSector1ACTargetTemperature"",""cron"":"""",""period"":0,""code"":""(#Sector1 #AirConditioner).airconditioner_settargettemperature(18.0)""}",SetSector1ACTargetTemperature,,0,(#Sector1 #AirConditioner).airconditioner_settargettemperature(18.0),22037,4906,56,4962,4.2879,6.7592,1157.2098,28.9998,,False,/home/mgjeong/miniconda3/envs/l/bin/python,/home/mgjeong/.cache/huggingface/hub/models--Qwen--Qwen2.5-Coder-14B-Instruct/snapshots/aedcc2d42b622764e023cf882b6652e646b95671,connected_devices_only,2,skipped_connected_devices_present,hybrid,10,[],False,2,95.0651,True,strict,False,0.913025,1.0,1.0,1.0,1.0,0.5,1.0,"[""gt_mismatch"", ""numeric_grounding""]","{""name"":""SetSector1AC"",""cron"":"""",""period"":0,""code"":""(#Sector1 #AirConditioner).settargettemperature(18.0)""}",SetSector1AC,,0,(#Sector1 #AirConditioner).settargettemperature(18.0),22037,4906,51,4957,2.0082,4.3827,2468.3796,15.1161,,False,/home/mgjeong/miniconda3/envs/l/bin/python,/home/mgjeong/.cache/huggingface/hub/models--Qwen--Qwen2.5-Coder-7B-Instruct/snapshots/c03e6d358207e414f1eca0bb1891e29f1db0e242,connected_devices_only,2,skipped_connected_devices_present,hybrid,10,[],False,2
39,2,2,Change the air purifier in the bedroom to sleep mode.,안방의 공기청정기를 수면모드로 바꿔줘.,"{""name"": """", 
""cron"": """", 
""period"": 0, 
""script"": ""(#Bedroom #AirPurifier).AirPurifier_SetAirPurifierMode(\""sleep\"")""}",,,0,"(#Bedroom #AirPurifier).AirPurifier_SetAirPurifierMode(""sleep"")",False,94.846,True,strict,False,0.949194,1.0,1.0,1.0,1.0,1.0,1.0,"[""arg_type"", ""gt_mismatch""]","{""name"":""ChangeAirPurifierMode"",""cron"":"""",""period"":0,""code"":""(#Bedroom #AirPurifier).airpurifier_setairpurifiermode(sleep)""}",ChangeAirPurifierMode,,0,(#Bedroom #AirPurifier).airpurifier_setairpurifiermode(sleep),20053,4621,56,4677,4.1692,6.6114,1121.7979,28.9152,,False,/home/mgjeong/miniconda3/envs/l/bin/python,/home/mgjeong/.cache/huggingface/hub/models--Qwen--Qwen2.5-Coder-14B-Instruct/snapshots/aedcc2d42b622764e023cf882b6652e646b95671,connected_devices_only,2,skipped_connected_devices_present,hybrid,10,[],False,2,94.846,True,strict,False,0.949194,1.0,1.0,1.0,1.0,1.0,1.0,"[""arg_type"", ""gt_mismatch""]","{""name"":""ChangeBedroomAirPurifierToSleepMode"",""cron"":"""",""period"":0,""code"":""(#Bedroom #AirPurifier).airpurifier_setairpurifiermode(sleep)""}",ChangeBedroomAirPurifierToSleepMode,,0,(#Bedroom #AirPurifier).airpurifier_setairpurifiermode(sleep),20053,4621,60,4681,2.2387,4.5866,2090.9456,15.0601,,False,/home/mgjeong/miniconda3/envs/l/bin/python,/home/mgjeong/.cache/huggingface/hub/models--Qwen--Qwen2.5-Coder-7B-Instruct/snapshots/c03e6d358207e414f1eca0bb1891e29f1db0e242,connected_devices_only,2,skipped_connected_devices_present,hybrid,10,[],False,2
40,2,2,Close all valves in the kitchen.,주방의 모든 벨브를 닫아줘.,"{""name"": """", 
""cron"": """", 
""period"": 0, 
""script"": ""all(#Kitchen #Valve).Valve_Close()""}",,,0,all(#Kitchen #Valve).Valve_Close(),False,97.4676,True,strict,False,0.973529,1.0,1.0,1.0,1.0,1.0,1.0,"[""gt_mismatch""]","{""name"":""CloseAllValvesInKitchen"",""cron"":"""",""period"":0,""code"":""all(#Kitchen #Valve).valve_close()""}",CloseAllValvesInKitchen,,0,all(#Kitchen #Valve).valve_close(),22240,5099,47,5146,3.872,6.2739,1329.0289,29.0564,,False,/home/mgjeong/miniconda3/envs/l/bin/python,/home/mgjeong/.cache/huggingface/hub/models--Qwen--Qwen2.5-Coder-14B-Instruct/snapshots/aedcc2d42b622764e023cf882b6652e646b95671,connected_devices_only,3,skipped_connected_devices_present,hybrid,10,[],False,2,96.6132,True,strict,False,0.802632,1.0,1.0,1.0,1.0,1.0,1.0,"[""gt_mismatch""]","{""name"":""CloseAllKitchenValves"",""cron"":"""",""period"":0,""code"":""all(#Kitchen #Gas #Valve).valve_close()\nall(#Kitchen #Water #Valve).valve_close()""}",CloseAllKitchenValves,,0,"all(#Kitchen #Gas #Valve).valve_close()
all(#Kitchen #Water #Valve).valve_close()",22240,5099,62,5161,2.3108,4.6545,2233.4257,15.1467,,False,/home/mgjeong/miniconda3/envs/l/bin/python,/home/mgjeong/.cache/huggingface/hub/models--Qwen--Qwen2.5-Coder-7B-Instruct/snapshots/c03e6d358207e414f1eca0bb1891e29f1db0e242,connected_devices_only,3,skipped_connected_devices_present,hybrid,10,[],False,2
