row_no,category,row_category,command_eng,command_kor,gt,gt_name,gt_cron,gt_period,gt_code,warmup_excluded,gemma2_9b_it__det_score,gemma2_9b_it__det_pass,gemma2_9b_it__det_profile,gemma2_9b_it__det_gt_exact,gemma2_9b_it__det_gt_similarity,gemma2_9b_it__det_gt_service_coverage,gemma2_9b_it__det_gt_service_precision,gemma2_9b_it__det_gt_receiver_coverage,gemma2_9b_it__det_dataflow_score,gemma2_9b_it__det_numeric_grounding,gemma2_9b_it__det_enum_grounding,gemma2_9b_it__failure_reasons,gemma2_9b_it__output,gemma2_9b_it__output_name,gemma2_9b_it__output_cron,gemma2_9b_it__output_period,gemma2_9b_it__output_code,gemma2_9b_it__prompt_chars,gemma2_9b_it__prompt_tokens,gemma2_9b_it__completion_tokens,gemma2_9b_it__total_tokens,gemma2_9b_it__llm_latency_sec,gemma2_9b_it__total_pipeline_sec,gemma2_9b_it__tokens_per_sec,gemma2_9b_it__peak_vram_gb,gemma2_9b_it__generation_error_type,gemma2_9b_it__oom_flag,gemma2_9b_it__worker_python,gemma2_9b_it__resolved_model_path,gemma2_9b_it__service_list_snippet_source,gemma2_9b_it__service_list_device_count,gemma2_9b_it__service_list_retrieval_status,gemma2_9b_it__service_list_retrieval_mode,gemma2_9b_it__service_list_retrieval_topk,gemma2_9b_it__service_list_retrieval_categories,gemma2_9b_it__prompt_render_mode,gemma2_9b_it__prompt_assets_dir,gemma2_9b_it__warmup_excluded,gemma2_9b_it__row_category
62,3,3,Stop charging if the voltage is 220V or higher.,"충전 전압이 220볼트 이상이면, 충전을 멈춰줘.","{""name"": """", 
""cron"": """", 
""period"": 0, 
""script"": ""\nif ((#Charger).charger_voltage >= 220000) {\n\n    (#Charger).switch_off()\n\n}""}",,,0,"
if ((#Charger).charger_voltage >= 220000) {

    (#Charger).switch_off()

}",False,0.0,False,strict,False,0.0,1.0,1.0,1.0,1.0,1.0,1.0,"[""invalid_json""]",,,,,,101551,28828,1,28829,21.0833,25.7586,1367.3856,31.3756,,False,/home/mgjeong/miniconda3/envs/l/bin/python,/home/mgjeong/.cache/huggingface/hub/models--google--gemma-2-9b-it/snapshots/11c9b309abf73637e4b6f9a3fa1e92e615547819,service_retrieval_fallback,10,used,hybrid,10,"[""Charger"", ""Plug"", ""ArmRobot"", ""CarbonDioxideSensor"", ""PresenceVitalSensor"", ""ColorControl"", ""Pump"", ""LevelControl"", ""AudioRecorder"", ""PressureSensor""]",legacy_v13_monolith,/home/mgjeong/Desktop/llm/JOILang-Server/gpt_mg/version0_13,False,3
63,3,3,"If the cloud service is activated, upload test.png file to the cloud.","클라우드 서비스가 활성화되어있으면, test.png 파일을 클라우드에 업로드해줘.","{""name"": """", 
""cron"": """", 
""period"": 0, 
""script"": ""\nif ((#CloudServiceProvider).cloudserviceprovider_isavailable == true) {\n\n    (#CloudServiceProvider).cloudserviceprovider_uploadfile(\""test.png\"")\n\n}""}",,,0,"
if ((#CloudServiceProvider).cloudserviceprovider_isavailable == true) {

    (#CloudServiceProvider).cloudserviceprovider_uploadfile(""test.png"")

}",False,0.0,False,strict,False,0.0,1.0,1.0,1.0,1.0,1.0,1.0,"[""invalid_json""]",,,,,,108084,30719,1,30720,23.2763,28.0775,1319.7974,32.5753,,False,/home/mgjeong/miniconda3/envs/l/bin/python,/home/mgjeong/.cache/huggingface/hub/models--google--gemma-2-9b-it/snapshots/11c9b309abf73637e4b6f9a3fa1e92e615547819,service_retrieval_fallback,10,used,hybrid,10,"[""RainSensor"", ""CloudServiceProvider"", ""MenuProvider"", ""LevelControl"", ""EmailProvider"", ""WeatherProvider"", ""Charger"", ""ColorControl"", ""Button"", ""AirQualitySensor""]",legacy_v13_monolith,/home/mgjeong/Desktop/llm/JOILang-Server/gpt_mg/version0_13,False,3
64,3,3,"If the oven is in grill mode, add 4 more minutes.","오븐이 그릴 모드이면, 시간을 4분 더 추가해줘","{""name"": """", 
""cron"": """", 
""period"": 0, 
""script"": ""\nif ((#Oven).oven_ovenmode == \""grill\"") {\n\n    (#Oven).oven_addmoretime(240)\n\n}""}",,,0,"
if ((#Oven).oven_ovenmode == ""grill"") {

    (#Oven).oven_addmoretime(240)

}",False,0.0,False,strict,False,0.0,1.0,1.0,1.0,1.0,1.0,1.0,"[""invalid_json""]",,,,,,104169,0,0,0,0.0,46.8638,0.0,0.0,cuda_oom,True,/home/mgjeong/miniconda3/envs/l/bin/python,/home/mgjeong/.cache/huggingface/hub/models--google--gemma-2-9b-it/snapshots/11c9b309abf73637e4b6f9a3fa1e92e615547819,service_retrieval_fallback,10,used,hybrid,10,"[""Oven"", ""RiceCooker"", ""MenuProvider"", ""ArmRobot"", ""Dishwasher"", ""Siren"", ""Clock"", ""SmokeDetector"", ""AirConditioner"", ""Button""]",legacy_v13_monolith,/home/mgjeong/Desktop/llm/JOILang-Server/gpt_mg/version0_13,False,3
65,3,3,"If the rice cooker is on keep-warm mode, switch it to cooking mode.","밥솥이 보온 모드이면, 조리 모드로 변경해줘.","{""name"": """", 
""cron"": """", 
""period"": 0, 
""script"": ""\nif ((#RiceCooker).ricecooker_ricecookermode == \""keepWarm\"") {\n\n    (#RiceCooker).ricecooker_setricecookermode(\""cooking\"")\n\n}""}",,,0,"
if ((#RiceCooker).ricecooker_ricecookermode == ""keepWarm"") {

    (#RiceCooker).ricecooker_setricecookermode(""cooking"")

}",False,0.0,False,strict,False,0.0,1.0,1.0,1.0,1.0,1.0,1.0,"[""invalid_json""]",,,,,,100651,28619,1,28620,20.4456,25.4067,1399.8122,31.2474,,False,/home/mgjeong/miniconda3/envs/l/bin/python,/home/mgjeong/.cache/huggingface/hub/models--google--gemma-2-9b-it/snapshots/11c9b309abf73637e4b6f9a3fa1e92e615547819,service_retrieval_fallback,10,used,hybrid,10,"[""RiceCooker"", ""Oven"", ""ArmRobot"", ""AirConditioner"", ""Dishwasher"", ""RobotVacuumCleaner"", ""Switch"", ""TemperatureSensor"", ""Pump"", ""CarbonDioxideSensor""]",legacy_v13_monolith,/home/mgjeong/Desktop/llm/JOILang-Server/gpt_mg/version0_13,False,3
91,4,4,"When the contact sensor is detected, turn on the light.",접촉 센서가 감지되면 조명을 켜줘.,"{""name"": """", 
""cron"": """", 
""period"": 0, 
""script"": ""\nwait until ((#ContactSensor).contactsensor_contact == true)\n\n(#Light).switch_on()""}",,,0,"
wait until ((#ContactSensor).contactsensor_contact == true)

(#Light).switch_on()",False,0.0,False,strict,False,0.0,1.0,1.0,1.0,1.0,1.0,1.0,"[""invalid_json""]",,,,,,101251,28727,1,28728,20.6927,25.4454,1388.3157,31.3128,,False,/home/mgjeong/miniconda3/envs/l/bin/python,/home/mgjeong/.cache/huggingface/hub/models--google--gemma-2-9b-it/snapshots/11c9b309abf73637e4b6f9a3fa1e92e615547819,service_retrieval_fallback,10,used,hybrid,10,"[""PresenceSensor"", ""ContactSensor"", ""LightSensor"", ""PresenceVitalSensor"", ""Light"", ""MotionSensor"", ""CarbonDioxideSensor"", ""TemperatureSensor"", ""Button"", ""ColorControl""]",legacy_v13_monolith,/home/mgjeong/Desktop/llm/JOILang-Server/gpt_mg/version0_13,False,4
92,4,4,"When the presence sensor detects someone, turn on the TV.",재실 센서가 감지되면 TV를 켜줘.,"{""name"": """", 
""cron"": """", 
""period"": 0, 
""script"": ""\nwait until ((#PresenceSensor).presencesensor_presence == true)\n\n(#Television).switch_on()""}",,,0,"
wait until ((#PresenceSensor).presencesensor_presence == true)

(#Television).switch_on()",False,0.0,False,strict,False,0.0,1.0,1.0,1.0,1.0,1.0,1.0,"[""invalid_json""]",,,,,,97831,27719,1,27720,16.9904,21.7423,1631.5096,30.6893,,False,/home/mgjeong/miniconda3/envs/l/bin/python,/home/mgjeong/.cache/huggingface/hub/models--google--gemma-2-9b-it/snapshots/11c9b309abf73637e4b6f9a3fa1e92e615547819,service_retrieval_fallback,10,used,hybrid,10,"[""PresenceSensor"", ""Television"", ""PresenceVitalSensor"", ""TemperatureSensor"", ""CarbonDioxideSensor"", ""Switch"", ""ContactSensor"", ""MotionSensor"", ""ArmRobot"", ""PressureSensor""]",legacy_v13_monolith,/home/mgjeong/Desktop/llm/JOILang-Server/gpt_mg/version0_13,False,4
93,4,4,"When the sound sensor value exceeds 50, stop speaker playback.",소리 센서의 수치가 50보다 커지면 스피커 재생을 멈춰줘.,"{""name"": """", 
""cron"": """", 
""period"": 0, 
""script"": ""\nwait until ((#SoundSensor).soundsensor_sound > 50)\n\n(#Speaker).speaker_stop()""}",,,0,"
wait until ((#SoundSensor).soundsensor_sound > 50)

(#Speaker).speaker_stop()",False,0.0,False,strict,False,0.0,1.0,1.0,1.0,1.0,1.0,1.0,"[""invalid_json""]",,,,,,101469,28792,1,28793,19.3163,23.9312,1490.6064,30.4711,,False,/home/mgjeong/miniconda3/envs/l/bin/python,/home/mgjeong/.cache/huggingface/hub/models--google--gemma-2-9b-it/snapshots/11c9b309abf73637e4b6f9a3fa1e92e615547819,service_retrieval_fallback,10,used,hybrid,10,"[""Speaker"", ""SoundSensor"", ""AudioRecorder"", ""Siren"", ""PresenceSensor"", ""PressureSensor"", ""ContactSensor"", ""PresenceVitalSensor"", ""ArmRobot"", ""LeakSensor""]",legacy_v13_monolith,/home/mgjeong/Desktop/llm/JOILang-Server/gpt_mg/version0_13,False,4
94,4,4,"When it rains, turn on the dehumidifier.",비가 오면 제습기를 켜줘.,"{""name"": """", 
""cron"": """", 
""period"": 0, 
""script"": ""\nwait until ((#RainSensor).rainsensor_rain == true)\n\n(#Dehumidifier).switch_on()""}",,,0,"
wait until ((#RainSensor).rainsensor_rain == true)

(#Dehumidifier).switch_on()",False,0.0,False,strict,False,0.0,1.0,1.0,1.0,1.0,1.0,1.0,"[""invalid_json""]",,,,,,101129,28769,1,28770,21.1597,25.9139,1359.6601,31.3413,,False,/home/mgjeong/miniconda3/envs/l/bin/python,/home/mgjeong/.cache/huggingface/hub/models--google--gemma-2-9b-it/snapshots/11c9b309abf73637e4b6f9a3fa1e92e615547819,service_retrieval_fallback,10,used,hybrid,10,"[""HumiditySensor"", ""RainSensor"", ""Dehumidifier"", ""Humidifier"", ""WeatherProvider"", ""ArmRobot"", ""Dishwasher"", ""AirConditioner"", ""Pump"", ""LaundryDryer""]",legacy_v13_monolith,/home/mgjeong/Desktop/llm/JOILang-Server/gpt_mg/version0_13,False,4
95,4,4,"When the brightness falls below 100 lux, turn on the light.",밝기가 100 럭스 미만이 되면 조명을 켜줘.,"{""name"": """", 
""cron"": """", 
""period"": 0, 
""script"": ""\nwait until ((#LightSensor).lightsensor_brightness < 100)\n\n(#Light).switch_on()""}",,,0,"
wait until ((#LightSensor).lightsensor_brightness < 100)

(#Light).switch_on()",False,0.0,False,strict,False,0.0,1.0,1.0,1.0,1.0,1.0,1.0,"[""invalid_json""]",,,,,,104103,29668,1,29669,21.3901,26.1946,1387.0435,31.907,,False,/home/mgjeong/miniconda3/envs/l/bin/python,/home/mgjeong/.cache/huggingface/hub/models--google--gemma-2-9b-it/snapshots/11c9b309abf73637e4b6f9a3fa1e92e615547819,service_retrieval_fallback,10,used,hybrid,10,"[""LightSensor"", ""Light"", ""ColorControl"", ""DimmerSwitch"", ""ArmRobot"", ""Switch"", ""Plug"", ""Charger"", ""SmokeDetector"", ""Television""]",legacy_v13_monolith,/home/mgjeong/Desktop/llm/JOILang-Server/gpt_mg/version0_13,False,4
121,5,5,Switch the TV to channel 7 and switch to channel 11 after 1 hour.,TV 채널을 7번으로 바꾸고 1시간 뒤에 11번으로 바꿔줘.,"{""name"": """", 
""cron"": """", 
""period"": 0, 
""script"": ""\n(#Television).television_setchannel(7)\n\ndelay(1 HOUR)\n\n(#Television).television_setchannel(11)""}",,,0,"
(#Television).television_setchannel(7)

delay(1 HOUR)

(#Television).television_setchannel(11)",False,0.0,False,strict,False,0.0,1.0,1.0,1.0,1.0,1.0,1.0,"[""invalid_json""]",,,,,,109619,0,0,0,0.0,48.9558,0.0,0.0,cuda_oom,True,/home/mgjeong/miniconda3/envs/l/bin/python,/home/mgjeong/.cache/huggingface/hub/models--google--gemma-2-9b-it/snapshots/11c9b309abf73637e4b6f9a3fa1e92e615547819,service_retrieval_fallback,10,used,hybrid,10,"[""Television"", ""Switch"", ""TapDialSwitch"", ""LevelControl"", ""Clock"", ""ArmRobot"", ""DimmerSwitch"", ""Oven"", ""Speaker"", ""Dishwasher""]",legacy_v13_monolith,/home/mgjeong/Desktop/llm/JOILang-Server/gpt_mg/version0_13,False,5
122,5,5,Set the air conditioner to cool mode and switch to auto mode after 30 minutes.,에어컨을 냉방 모드로 설정하고 30분 뒤에 자동 모드로 설정해줘.,"{""name"": """", 
""cron"": """", 
""period"": 0, 
""script"": ""\n(#AirConditioner).airconditioner_setairconditionermode(\""cool\"")\n\ndelay(30 MIN)\n\n(#AirConditioner).airconditioner_setairconditionermode(\""auto\"")""}",,,0,"
(#AirConditioner).airconditioner_setairconditionermode(""cool"")

delay(30 MIN)

(#AirConditioner).airconditioner_setairconditionermode(""auto"")",False,0.0,False,strict,False,0.0,1.0,1.0,1.0,1.0,1.0,1.0,"[""invalid_json""]",,,,,,103168,29378,1,29379,20.6521,25.3896,1422.5672,31.7233,,False,/home/mgjeong/miniconda3/envs/l/bin/python,/home/mgjeong/.cache/huggingface/hub/models--google--gemma-2-9b-it/snapshots/11c9b309abf73637e4b6f9a3fa1e92e615547819,service_retrieval_fallback,10,used,hybrid,10,"[""AirConditioner"", ""AirPurifier"", ""ArmRobot"", ""AirQualitySensor"", ""Dishwasher"", ""Oven"", ""LaundryDryer"", ""Dehumidifier"", ""TemperatureSensor"", ""RobotVacuumCleaner""]",legacy_v13_monolith,/home/mgjeong/Desktop/llm/JOILang-Server/gpt_mg/version0_13,False,5
123,5,5,Set the air purifier to auto mode and switch to sleep mode after 2 hours.,공기청정기를 자동 모드로 설정하고 2시간 뒤에 수면 모드로 설정해줘.,"{""name"": """", 
""cron"": """", 
""period"": 0, 
""script"": ""\n(#AirPurifier).airpurifier_setairpurifiermode(\""auto\"")\n\ndelay(2 HOUR)\n\n(#AirPurifier).airpurifier_setairpurifiermode(\""sleep\"")""}",,,0,"
(#AirPurifier).airpurifier_setairpurifiermode(""auto"")

delay(2 HOUR)

(#AirPurifier).airpurifier_setairpurifiermode(""sleep"")",False,0.0,False,strict,False,0.0,1.0,1.0,1.0,1.0,1.0,1.0,"[""invalid_json""]",,,,,,102220,29116,1,29117,20.3927,24.9452,1427.8149,31.5573,,False,/home/mgjeong/miniconda3/envs/l/bin/python,/home/mgjeong/.cache/huggingface/hub/models--google--gemma-2-9b-it/snapshots/11c9b309abf73637e4b6f9a3fa1e92e615547819,service_retrieval_fallback,10,used,hybrid,10,"[""AirPurifier"", ""AirConditioner"", ""Dishwasher"", ""AirQualitySensor"", ""RobotVacuumCleaner"", ""LaundryDryer"", ""ArmRobot"", ""Dehumidifier"", ""Pump"", ""Humidifier""]",legacy_v13_monolith,/home/mgjeong/Desktop/llm/JOILang-Server/gpt_mg/version0_13,False,5
