index,category_analysis,selected,test_no,command,command_english,joi_gt,connected_devices_dict,options_dict,sa_result
284,5,1,1,토양 수분이 30% 이하이고 조명이 꺼져 있으면 관개 장치를 작동시키고 조명을 켜 줘.,"If the soil moisture is below 30% and the lights are off, turn on the irrigator and the light.","{""name"": ""Scenario1"", ""cron"": """", ""period"": -1, ""code"": ""if (((#SoilMoistureSensor).soilHumidityMeasurement_soilHumidity <= 30.0) and ((#Light).switch_switch == \""off\"")) {\n(#Irrigator).switch_on()\n(#Light).switch_on()\n}""}",,," 
{""name"": ""Scenario1"",""cron"": """",""period"": -1,""code"": ""if (((#SoilMoistureSensor).soilHumidityMeasurement_soilHumidity <= 30) and ((#Light).switch_switch == 'off')) {(#Irrigator).irrigatorOperatingState_startWatering() (#Light).switch_on()}""}"
285,2,1,1,온도가 33도 이상이면 제습기를 켜고 커튼을 닫아 줘.,"If the temperature is above 33 degrees, turn on the dehumidifier and close the curtains.","{""name"": ""Scenario1"", ""cron"": """", ""period"": -1, ""code"": ""if ((#TemperatureSensor).temperatureMeasurement_temperature >= 33.0) {\n(#Dehumidifier).switch_on()\n(#Curtain).curtain_close()\n}""}",,,"{""name"": ""Scenario1"",""cron"": """",""period"": -1,""code"": ""if ((#TemperatureSensor).temperatureMeasurement_temperature >= 33) {(#Dehumidifier).switch_on() (#Curtain).curtain_close()}""}"
286,5,1,1,이산화탄소가 1000ppm 이상이고 블라인드가 열려 있으면 환풍기를 켜고 블라인드를 닫아 줘.,"If the carbon dioxide is above 1000 ppm and the blinds are open, turn on the fan and close the blinds.","{""name"": ""Scenario1"", ""cron"": """", ""period"": -1, ""code"": ""if (((#AirQualityDetector).carbonDioxideMeasurement_carbonDioxide >= 1000.0) and ((#Blind).blind_blind == \""open\"")) {\n(#Fan).switch_on()\n(#Blind).blind_close()\n}""}",,," 
{""name"": ""Scenario1"",""cron"": """",""period"": -1,""code"": ""if (((#AirQualityDetector).carbonDioxideMeasurement_carbonDioxide >= 1000) and ((#Blind).blind_blind == 'open')) { (#Fan).switch_on() (#Blind).blind_close() }""}"
287,5,1,1,온도가 29도 이상이고 습도가 80% 이상이며 조명이 꺼져 있으면 에어컨을 켜고 조명을 켜 줘.,"If the temperature is above 29 degrees, the humidity is above 80%, and the lights are off, turn on the air conditioner and turn on the lights.","{""name"": ""Scenario1"", ""cron"": """", ""period"": -1, ""code"": ""if (((#TemperatureSensor).temperatureMeasurement_temperature >= 29.0) and ((#HumiditySensor).relativeHumidityMeasurement_humidity >= 80.0) and ((#Light).switch_switch == \""off\"")) {\n(#AirConditioner).switch_on()\n(#Light).switch_on()\n}""}",,," 
{""name"": ""Scenario1"",""cron"": """",""period"": -1,""code"": ""if (((#TemperatureSensor).temperatureMeasurement_temperature >= 29) and ((#HumiditySensor).relativeHumidityMeasurement_humidity >= 80) and ((#Light).switch_switch == 'off')) { (#AirConditioner).switch_on() (#Light).switch_on() }""}"
288,5,1,1,조명이 켜져 있고 창문이 닫혀 있으면 커튼을 열고 환풍기를 꺼 줘.,"If the lights are on and the windows are closed, open the curtains and turn off the fan.","{""name"": ""Scenario1"", ""cron"": """", ""period"": -1, ""code"": ""if (((#Light).switch_switch == \""on\"") and ((#Window).windowControl_window == \""closed\"")) {\n(#Curtain).curtain_open()\n(#Fan).switch_off()\n}""}",,," 
{""name"": ""Scenario1"",""cron"": """",""period"": -1,""code"": ""if (((#Light).switch_switch == 'on') and ((#Window).windowControl_window == 'closed')) {(#Curtain).curtain_open() (#Fan).switch_off()}""}"
289,5,1,1,TV가 꺼져 있고 스피커가 재생 중이면 TV를 켜고 스피커를 꺼 줘.,"If the TV is off and the speaker is playing, turn on the TV and turn off the speaker.","{""name"": ""Scenario1"", ""cron"": """", ""period"": -1, ""code"": ""if (((#Television).switch_switch == \""off\"") and ((#Speaker).mediaPlayback_playbackStatus == \""playing\"")) {\n(#Television).switch_on()\n(#Speaker).switch_off()\n}""}",,," 
{""name"": ""Scenario1"",""cron"": """",""period"": -1,""code"": ""if (((#Television).switch_switch == 'off') and ((#Speaker).mediaPlayback_playbackStatus == 'playing')) {(#Television).switch_on() (#Speaker).switch_off()}""}"
290,5,1,1,조명이 켜져 있고 블라인드가 열려 있으며 움직임이 감지되면 조명을 끄고 블라인드를 닫아 줘.,"If the lights are on, the blinds are open, and motion is detected, turn off the lights and close the blinds.","{""name"": ""Scenario1"", ""cron"": """", ""period"": -1, ""code"": ""if (((#Light).switch_switch == \""on\"") and ((#Blind).blind_blind == \""open\"") and ((#MotionSensor).motionSensor_motion == \""active\"")) {\n(#Light).switch_off()\n(#Blind).blind_close()\n}""}",,," 
{""name"": ""Scenario1"",""cron"": """",""period"": -1,""code"": ""prev_motion_state := (#MotionSensor).motionSensor_motion\nmotion_state = (#MotionSensor).motionSensor_motion\nif ((prev_motion_state != 'active') and (motion_state == 'active') and ((#Light).switch_switch == 'on') and ((#Blind).blind_blind == 'open')) {\n    (#Light).switch_off()\n    (#Blind).blind_close()\n}\nprev_motion_state = motion_state""}"
291,5,1,1,알람이 꺼져 있고 조명이 꺼져 있으며 커튼이 열려 있으면 사이렌을 울리고 조명을 켜 줘.,"If the alarm is off, the lights are off, and the curtains are open, sound the siren and turn on the lights.","{""name"": ""Scenario1"", ""cron"": """", ""period"": -1, ""code"": ""if (((#Alarm).alarm_alarm == \""off\"") and ((#Light).switch_switch == \""off\"") and ((#Curtain).curtain_curtain == \""open\"")) {\n(#Alarm).alarm_siren()\n(#Light).switch_on()\n}""}",,," 
{""name"": ""Scenario1"",""cron"": """",""period"": -1,""code"": ""if (((#Alarm).alarm_alarm == 'off') and ((#Light).switch_switch == 'off') and ((#Curtain).curtain_curtain == 'open')) {(#Siren).sirenMode_setSirenMode('siren') (#Light).switch_on()}""}"
292,5,1,1,에어컨이 꺼져 있고 커튼이 닫혀 있으면 에어컨을 켜고 커튼을 열어 줘.,"If the air conditioner is off and the curtains are closed, turn on the air conditioner and open the curtains.","{""name"": ""Scenario1"", ""cron"": """", ""period"": -1, ""code"": ""if (((#AirConditioner).switch_switch == \""off\"") and ((#Curtain).curtain_curtain == \""closed\"")) {\n(#AirConditioner).switch_on()\n(#Curtain).curtain_open()\n}""}",,," 
{""name"": ""Scenario1"",""cron"": """",""period"": -1,""code"": ""if (((#AirConditioner).switch_switch == 'off') and ((#Curtain).curtain_curtain == 'closed')) {(#AirConditioner).switch_on() (#Curtain).curtain_open()}""}"
294,5,1,2,창문이 열려 있고 조명이 꺼져 있으며 커튼이 닫혀 있으면 조명을 켜고 커튼을 열어 줘. 또한 관수기가 꺼져 있고 토양 수분이 40% 이하이면 관수기를 작동시켜 줘.,"If windows are open, lights are off, and curtains are closed, turn on the lights and open the curtains. Also, if the irrigator is off and the soil moisture is below 40%, turn on the irrigator.","{""name"": ""Scenario1"", ""cron"": """", ""period"": -1, ""code"": ""if (((#Window).windowControl_window == \""open\"") and ((#Light).switch_switch == \""off\"") and ((#Curtain).curtain_curtain == \""closed\"")) {\n(#Light).switch_on()\n(#Curtain).curtain_open()\n}\nif (((#Irrigator).switch_switch == \""off\"") and ((#SoilMoistureSensor).soilHumidityMeasurement_soilHumidity <= 40.0)) {\n(#Irrigator).switch_on()\n}""}",,," 
{""name"": ""Scenario1"",""cron"": """",""period"": -1,""code"": ""if (((#Window).windowControl_window == 'open') and ((#Light).switch_switch == 'off') and ((#Curtain).curtain_curtain == 'closed')) {(#Light).switch_on() (#Curtain).curtain_open()} if (((#Irrigator).switch_switch == 'off') and ((#SoilMoistureSensor).soilHumidityMeasurement_soilHumidity <= 40)) {(#Irrigator).irrigatorOperatingState_startWatering()}""}"
295,5,1,2,환풍기가 꺼져 있고 이산화탄소 수치가 1000 이상이며 커튼이 닫혀 있으면 환풍기를 켜고 커튼을 열어 줘. 조명이 꺼져 있고 온도가 27도 이상이면 조명을 켜고 블라인드를 닫아 줘.,"If the fan is off, the carbon dioxide level is above 1000, and the curtains are closed, turn on the fan and open the curtains. If the lights are off and the temperature is above 27 degrees, turn on the lights and close the blinds.","{""name"": ""Scenario1"", ""cron"": """", ""period"": -1, ""code"": ""if (((#Fan).switch_switch == \""off\"") and ((#AirQualityDetector).carbonDioxideMeasurement_carbonDioxide >= 1000.0) and ((#Curtain).curtain_curtain == \""closed\"")) {\n(#Fan).switch_on()\n(#Curtain).curtain_open()\n}\nif (((#Light).switch_switch == \""off\"") and ((#TemperatureSensor).temperatureMeasurement_temperature >= 27.0)) {\n(#Light).switch_on()\n(#Blind).blind_close()\n}""}",,,"
{""name"": ""Scenario1"",""cron"": """",""period"": -1,""code"": ""if (((#Fan).switch_switch == 'off') and ((#AirQualityDetector).carbonDioxideMeasurement_carbonDioxide >= 1000) and ((#Curtain).curtain_curtain == 'closed')) { (#Fan).switch_on() (#Curtain).curtain_open() } if (((#Light).switch_switch == 'off') and ((#TemperatureSensor).temperatureMeasurement_temperature >= 27)) { (#Light).switch_on() (#Blind).blind_close() }""}"
296,5,1,2,에어컨이 꺼져 있고 온도가 29도 이상이며 습도가 70% 이상이면 제습기를 제습 모드로 설정하고 켜 줘. 커튼이 열려 있고 조명이 꺼져 있으면 커튼을 닫고 조명을 켜 줘.,"If the air conditioner is off, the temperature is above 29 degrees, and the humidity is above 70%, set the dehumidifier to dehumidify mode and turn it on. If the curtains are open and the lights are off, close the curtains and turn on the lights.","{""name"": ""Scenario1"", ""cron"": """", ""period"": -1, ""code"": ""if (((#AirConditioner).switch_switch == \""off\"") and ((#TemperatureSensor).temperatureMeasurement_temperature >= 29.0) and ((#HumiditySensor).relativeHumidityMeasurement_humidity >= 70.0)) {\n(#Dehumidifier).airConditionerMode_setAirConditionerMode(\""dehumidifying\"")\n(#Dehumidifier).switch_on()\n}\nif (((#Curtain).curtain_curtain == \""open\"") and ((#Light).switch_switch == \""off\"")) {\n(#Curtain).curtain_close()\n(#Light).switch_on()\n}""}",,," 
{""name"": ""Scenario1"",""cron"": """",""period"": -1,""code"": ""if (((#AirConditioner).switch_switch == 'off') and ((#AirQualityDetector).temperatureMeasurement_temperature >= 29) and ((#AirQualityDetector).relativeHumidityMeasurement_humidity >= 70)) { (#Dehumidifier).dehumidifierMode_setDehumidifierMode('dehumidifying') (#Dehumidifier).switch_on() } if (((#Curtain).curtain_curtain == 'open') and ((#Light).switch_switch == 'off')) { (#Curtain).curtain_close() (#Light).switch_on() }""}"
297,5,1,2,조명이 꺼져 있고 움직임이 감지되지 않으며 커튼이 열려 있으면 조명을 켜고 커튼을 닫아 줘. 관수기가 꺼져 있고 창문이 닫혀 있으면 관수기를 켜고 창문을 열어 줘.,"If the lights are off, no motion is detected, and the curtains are open, turn on the lights and close the curtains. If the irrigator is off and the windows are closed, turn on the irrigator and open the windows.","{""name"": ""Scenario1"", ""cron"": """", ""period"": -1, ""code"": ""if (((#Light).switch_switch == \""off\"") and ((#MotionSensor).motionSensor_motion == \""inactive\"") and ((#Curtain).curtain_curtain == \""open\"")) {\n(#Light).switch_on()\n(#Curtain).curtain_close()\n}\nif (((#Irrigator).switch_switch == \""off\"") and ((#Window).windowControl_window == \""closed\"")) {\n(#Irrigator).switch_on()\n(#Window).windowControl_open()\n}""}",,," 
{""name"": ""Scenario1"",""cron"": """",""period"": -1,""code"": ""if (((#Light).switch_switch == 'off') and ((#MotionSensor).motionSensor_motion == 'inactive') and ((#Curtain).curtain_curtain == 'open')) { (#Light).switch_on() (#Curtain).curtain_close() } if (((#Irrigator).switch_switch == 'off') and ((#Window).windowControl_window == 'closed')) { (#Irrigator).irrigatorOperatingState_startWatering() (#Window).windowControl_open() }""}"
298,5,1,2,블라인드가 열려 있고 조명이 꺼져 있으며 습도가 80% 이상이면 블라인드를 닫고 조명을 켜 줘. 창문이 닫혀 있고 에어컨이 꺼져 있으면 창문을 열고 에어컨을 켜 줘.,"If the blinds are open, the lights are off, and the humidity is above 80%, close the blinds and turn on the lights. If the windows are closed and the air conditioner is off, open the windows and turn on the air conditioner.","{""name"": ""Scenario1"", ""cron"": """", ""period"": -1, ""code"": ""if (((#Blind).blind_blind == \""open\"") and ((#Light).switch_switch == \""off\"") and ((#HumiditySensor).relativeHumidityMeasurement_humidity >= 80.0)) {\n(#Blind).blind_close()\n(#Light).switch_on()\n}\nif (((#Window).windowControl_window == \""closed\"") and ((#AirConditioner).switch_switch == \""off\"")) {\n(#Window).windowControl_open()\n(#AirConditioner).switch_on()\n}""}",,," 
{""name"": ""Scenario1"",""cron"": """",""period"": -1,""code"": ""if (((#Blind).blind_blind == 'open') and ((#Light).switch_switch == 'off') and ((#HumiditySensor).relativeHumidityMeasurement_humidity >= 80)) { (#Blind).blind_close() (#Light).switch_on() } if (((#Window).windowControl_window == 'closed') and ((#AirConditioner).switch_switch == 'off')) { (#Window).windowControl_open() (#AirConditioner).switch_on() }""}"
299,5,1,2,TV가 꺼져 있고 블라인드가 닫혀 있으며 커튼이 열려 있으면 TV를 켜고 블라인드를 열어 줘. 에어컨이 자동 모드가 아니고 꺼져 있으면 자동 모드로 설정하고 전원을 켜 줘.,"If the TV is off, the blinds are closed, and the curtains are open, turn on the TV and open the blinds. If the air conditioner is not in auto mode and is off, set it to auto mode and turn it on.","{""name"": ""Scenario1"", ""cron"": """", ""period"": -1, ""code"": ""if (((#Television).switch_switch == \""off\"") and ((#Blind).blind_blind == \""closed\"") and ((#Curtain).curtain_curtain == \""open\"")) {\n(#Television).switch_on()\n(#Blind).blind_open()\n}\nif (((#AirConditioner).airConditionerMode_airConditionerMode != \""auto\"") and ((#AirConditioner).switch_switch == \""off\"")) {\n(#AirConditioner).airConditionerMode_setAirConditionerMode(\""auto\"")\n(#AirConditioner).switch_on()\n}""}",,," 
{""name"": ""Scenario1"",""cron"": """",""period"": -1,""code"": ""if (((#Television).switch_switch == 'off') and ((#Blind).blind_blind == 'closed') and ((#Curtain).curtain_curtain == 'open')) {(#Television).switch_on() (#Blind).blind_open()} if (((#AirConditioner).airConditionerMode_airConditionerMode != 'auto') and ((#AirConditioner).switch_switch == 'off')) {(#AirConditioner).airConditionerMode_setAirConditionerMode('auto') (#AirConditioner).switch_on()}""}"
301,5,1,2,문이 열려 있고 알람이 꺼져 있으면 사이렌을 울리고 블라인드가 열려 있으면 닫아 줘. 에어컨이 꺼져 있고 온도가 30도 이상이면 냉방 모드로 설정하고 켜 줘.,"Sound the siren if the door is open and the alarm is turned off, and close the blinds if they are open. If the air conditioner is off and the temperature is above 30 degrees, set it to cool mode and turn it on.","{""name"": ""Scenario1"", ""cron"": """", ""period"": -1, ""code"": ""if (((#DoorLock).doorControl_door == \""open\"") and ((#Alarm).alarm_alarm == \""off\"")) {\n(#Siren).sirenMode_setSirenMode(\""siren\"")\nif ((#Blind).blind_blind == \""open\"") {\n(#Blind).blind_close()\n}\n}\nif (((#AirConditioner).switch_switch == \""off\"") and ((#TemperatureSensor).temperatureMeasurement_temperature >= 30.0)) {\n(#AirConditioner).airConditionerMode_setAirConditionerMode(\""cool\"")\n(#AirConditioner).switch_on()\n}""}",,,"{""name"": ""Scenario1"",""cron"": """",""period"": -1,""code"": ""alarm_triggered := false\nif (((#DoorLock).doorControl_door == 'open') and ((#Alarm).alarm_alarm == 'off')) {\n    if (alarm_triggered == false) {\n        (#Alarm).alarm_siren()\n        if ((#Blind).blind_blind == 'open') {\n            (#Blind).blind_close()\n        }\n        alarm_triggered = true\n    }\n} else {\n    alarm_triggered = false\n}\naircon_triggered := false\nif (((#AirConditioner).switch_switch == 'off') and ((#TemperatureSensor).temperatureMeasurement_temperature >= 30)) {\n    if (aircon_triggered == false) {\n        (#AirConditioner).airConditionerMode_setAirConditionerMode('cool')\n        (#AirConditioner).switch_on()\n        aircon_triggered = true\n    }\n} else {\n    aircon_triggered = false\n}""}"
302,5,1,2,TV가 꺼져 있고 커튼이 닫혀 있으며 선풍기가 꺼져 있으면 TV를 켜고 커튼을 열어 줘. 스피커가 재생 중이고 조명이 꺼져 있으면 조명을 켜고 블라인드를 닫아 줘.,"If the TV is off, the curtains are closed, and the fan is off, turn on the TV and open the curtains. If the speakers are playing and the lights are off, turn on the lights and close the blinds.","{""name"": ""Scenario1"", ""cron"": """", ""period"": -1, ""code"": ""if (((#Television).switch_switch == \""off\"") and ((#Curtain).curtain_curtain == \""closed\"") and ((#Fan).switch_switch == \""off\"")) {\n(#Television).switch_on()\n(#Curtain).curtain_open()\n}\nif (((#Speaker).mediaPlayback_playbackStatus == \""playing\"") and ((#Light).switch_switch == \""off\"")) {\n(#Light).switch_on()\n(#Blind).blind_close()\n}""}",,," 
{""name"": ""Scenario1"",""cron"": """",""period"": -1,""code"": ""if (((#Television).switch_switch == 'off') and ((#Curtain).curtain_curtain == 'closed') and ((#Fan).switch_switch == 'off')) {(#Television).switch_on() (#Curtain).curtain_open()} if (((#Speaker).mediaPlayback_playbackStatus == 'playing') and ((#Light).switch_switch == 'off')) {(#Light).switch_on() (#Blind).blind_close()}""}"
303,5,1,2,TV가 켜져 있고 스피커가 꺼져 있으며 조명이 꺼져 있으면 스피커를 켜고 조명을 켜 줘. 에어컨이 난방 모드이고 온도가 21도 이상이면 에어컨을 끄고 블라인드를 닫아 줘.,"If the TV is on, the speakers are off, and the lights are off, turn on the speakers and turn on the lights. If the air conditioner is in heating mode and the temperature is above 21 degrees, turn off the air conditioner and close the blinds.","{""name"": ""Scenario1"", ""cron"": """", ""period"": -1, ""code"": ""if (((#Television).switch_switch == \""on\"") and ((#Speaker).switch_switch == \""off\"") and ((#Light).switch_switch == \""off\"")) {\n(#Speaker).switch_on()\n(#Light).switch_on()\n}\nif (((#AirConditioner).airConditionerMode_airConditionerMode == \""heat\"") and ((#TemperatureSensor).temperatureMeasurement_temperature >= 21.0)) {\n(#AirConditioner).switch_off()\n(#Blind).blind_close()\n}""}",,," 
{""name"": ""Scenario1"",""cron"": """",""period"": -1,""code"": ""if (((#Television).switch_switch == 'on') and ((#Speaker).switch_switch == 'off') and ((#Light).switch_switch == 'off')) { (#Speaker).switch_on() (#Light).switch_on() } if (((#AirConditioner).airConditionerMode_airConditionerMode == 'heat') and ((#AirConditioner).airConditionerMode_targetTemperature >= 21)) { (#AirConditioner).switch_off() (#Blind).blind_close() }""}"
305,6,1,3,매일 아침 8시에 조명을 켜 줘.,Turn on the lights at 8am every morning.,"{""name"": ""Scenario1"", ""cron"": ""0 8 * * *"", ""period"": 0, ""code"": ""(#Light).switch_on()""}",,," 
{""name"": ""Scenario1"",""cron"": ""0 8 * * *"",""period"": 0,""code"": ""if ((#Clock).clock_hour == 8) { (#Light).switch_on() }""}"
306,6,1,3,매일 오후 6시부터 7시 사이에 15초마다 커튼을 닫았다 열었다 해 줘.,Close and open the curtains every 15 seconds between 6pm and 7pm every day.,"{""name"": ""Scenario1"", ""cron"": ""0 18 * * *"", ""period"": 15000, ""code"": ""curtain_action := true\nif ((#Clock).clock_hour == 18) {\nif (curtain_action == true) {\n(#Curtain).curtain_close()\ncurtain_action = false\n} else {\n(#Curtain).curtain_open()\ncurtain_action = true\n}\n} else {\nbreak\n}""}",,," 
{""name"": ""Scenario1"",""cron"": ""0 18-18 * * *"",""period"": 15000,""code"": ""if ((#Clock).clock_hour == 18) {if ((#Curtain).curtain_curtain == 'open') {(#Curtain).curtain_close()} else {(#Curtain).curtain_open()}} else {break}""}"
307,6,1,3,주말 오후 10시부터 11시까지 3분마다 블라인드를 닫아 줘.,Close the blinds every 3 minutes from 10-11pm on weekends.,"{""name"": ""Scenario1"", ""cron"": ""0 22 * * 6,0"", ""period"": 180000, ""code"": ""if ((#Clock).clock_hour == 22) {\n(#Blind).blind_close()\n} else {\nbreak\n}""}",,," 
{""name"": ""Scenario1"",""cron"": ""0 22 * * 0,6"",""period"": 180000,""code"": ""if ((#Clock).clock_hour == 22) { (#Blind).blind_close() } else { break }""}"
308,6,1,3,주말 오후 10시부터 11시까지 3초마다 제습기를 켜 줘.,Turn on the dehumidifier every 3 seconds from 10-11pm on weekends.,"{""name"": ""Scenario1"", ""cron"": ""0 22 * * 6,0"", ""period"": 3000, ""code"": ""if ((#Clock).clock_hour == 22) {\n(#Dehumidifier).switch_on()\n} else {\nbreak\n}""}",,,"
{""name"": ""Scenario1"",""cron"": ""0 22 * * 0,6"",""period"": 3000,""code"": ""if ((#Clock).clock_hour == 22) { (#Dehumidifier).switch_on() } else { break }""}"
309,7,1,3,10초마다 알람과 사이렌을 껐다 켰다 반복해 줘.,Turn the alarm and siren off and on every 10 seconds.,"{""name"": ""Scenario1"", ""cron"": """", ""period"": 10000, ""code"": ""alarm_state := true\nif (alarm_state == true) {\n(#Alarm).alarm_off()\n(#Siren).switch_off()\nalarm_state = false\n} else {\n(#Alarm).alarm_siren()\n(#Siren).switch_on()\nalarm_state = true\n}""}",,,"{""name"": ""Scenario1"",""cron"": """",""period"": 10000,""code"": ""alarm_state := true\nif (alarm_state == true) {\n    (#Alarm).alarm_off()\n    (#Siren).switch_off()\n    alarm_state = false\n} \nelse {\n    (#Alarm).alarm_siren()\n    (#Siren).switch_on()\n    alarm_state = true\n}""}"
310,7,1,3,매일 30초마다 선풍기를 껐다 켰다 반복해 줘.,Turn the fan off and on every 30 seconds every day.,"{""name"": ""Scenario1"", ""cron"": """", ""period"": 30000, ""code"": ""fan_on := true\nif (fan_on == true) {\n(#Fan).switch_off()\nfan_on = false\n} else {\n(#Fan).switch_on()\nfan_on = true\n}""}",,,"
{""name"": ""Scenario1"",""cron"": """",""period"": 30000,""code"": ""if ((#Fan).switch_switch == 'off') { (#Fan).switch_on() } else { (#Fan).switch_off() }""}"
311,6,1,3,매일 자정에 TV를 꺼 줘.,Turn off the TV at midnight every night.,"{""name"": ""Scenario1"", ""cron"": ""0 0 * * *"", ""period"": 0, ""code"": ""(#Television).switch_off()""}",,,"{""name"": ""Scenario1"",""cron"": ""0 0 * * *"",""period"": 0,""code"": ""if ((#Clock).clock_hour == 0) { (#Television).switch_off() }""}"
313,6,1,3,평일 오전 8시부터 자정까지 한 시간마다 조명을 켜 줘.,Turn on the lights every hour on the hour from 8am to midnight on weekdays.,"{""name"": ""Scenario1"", ""cron"": ""0 8-23 * * 1-5"", ""period"": 0, ""code"": ""(#Light).switch_on()""}",,," 
{""name"": ""Scenario1"",""cron"": ""0 8-23 * * 1-5"",""period"": 3600000,""code"": ""all(#Light).switch_on()""}"
314,4,1,4,창문이 열리면 알람의 사이렌을 울려 줘.,Sound the alarm's siren when the window opens.,"{""name"": ""Scenario1"", ""cron"": """", ""period"": -1, ""code"": ""wait until((#Window).windowControl_window == \""open\"")\n(#Alarm).alarm_siren()""}",,," 
{""name"": ""Scenario1"",""cron"": """",""period"": -1,""code"": ""wait until((#Window).windowControl_window == 'open')\n(#Alarm).alarm_siren()""}"
315,3,1,4,토양 수분이 20% 이상이었다가 이하가 되면 관개 장치를 작동시켜 줘.,Turn on irrigation when soil moisture is above and below 20%.,"{""name"": ""Scenario1"", ""cron"": """", ""period"": -1, ""code"": ""wait until((#SoilMoistureSensor).soilHumidityMeasurement_soilHumidity >= 20.0)\nwait until((#SoilMoistureSensor).soilHumidityMeasurement_soilHumidity < 20.0)\n(#Irrigator).switch_on()""}",,,"{""name"": ""Scenario1"",""cron"": """",""period"": 1000,""code"": ""prev_soil := (#SoilMoistureSensor).soilHumidityMeasurement_soilHumidity soil = (#SoilMoistureSensor).soilHumidityMeasurement_soilHumidity if ((prev_soil >= 20) and (soil < 20)) { (#Irrigator).irrigatorOperatingState_startWatering() } prev_soil = soil""}"
316,3,1,4,움직임이 감지되면 최대 3번까지 조명을 켜 줘.,Turn on the light up to 3 times when motion is detected.,"{""name"": ""Scenario1"", ""cron"": """", ""period"": 100, ""code"": ""motion_count := 0\nprev_motion := \""inactive\""\ncurrent = (#MotionSensor).motionSensor_motion\nif (current == \""active\"") and (prev_motion == \""inactive\"") {\nif (motion_count < 3) {\n(#Light).switch_on()\nmotion_count = motion_count + 1\n}\n}\nprev_motion = current""}",,," 
{""name"": ""Scenario1"",""cron"": """",""period"": 100,""code"": ""motion_count := 0\nprev_motion_state := (#MotionSensor).motionSensor_motion\nmotion_state = (#MotionSensor).motionSensor_motion\nif ((prev_motion_state != 'active') and (motion_state == 'active')) {\n    motion_count = motion_count + 1\n    all(#Light).switch_on()\n}\nprev_motion_state = motion_state\nif (motion_count >= 3) {\n    break\n}""}"
317,3,1,4,온도가 35도 이상이 되면 에어컨을 켜 줘.,Turn on the air conditioner when the temperature is above 35 degrees.,"{""name"": ""Scenario1"", ""cron"": """", ""period"": -1, ""code"": ""wait until((#TemperatureSensor).temperatureMeasurement_temperature >= 35.0)\n(#AirConditioner).switch_on()""}",,,"{""name"": ""Scenario1"",""cron"": """",""period"": -1,""code"": ""if ((#TemperatureSensor).temperatureMeasurement_temperature >= 35) {(#AirConditioner).switch_on()}""}"
318,3,1,4,습도가 80% 이상이 되면 블라인드를 내려 줘.,Lower the blinds when the humidity is above 80%.,"{""name"": ""Scenario1"", ""cron"": """", ""period"": -1, ""code"": ""wait until((#HumiditySensor).relativeHumidityMeasurement_humidity >= 80.0)\n(#Blind).blind_close()""}",,,"{""name"": ""Scenario1"",""cron"": """",""period"": -1,""code"": ""if ((#HumiditySensor).relativeHumidityMeasurement_humidity >= 80) { (#Blind).blind_close() }""}"
319,3,1,4,블라인드가 닫히면 ‘블라인드가 닫혔습니다’라고 말해 줘.,"When the blinds are closed, say 'Blinds are closed'.","{""name"": ""Scenario1"", ""cron"": """", ""period"": -1, ""code"": ""wait until((#Blind).blind_blind == \""closed\"")\n(#Speaker).mediaPlayback_speak(\""Blinds are closed\"")""}",,,"{""name"": ""Scenario1"",""cron"": """",""period"": -1,""code"": ""wait until ((#Blind).blind_blind == 'closed')\n(#Speaker).mediaPlayback_speak('블라인드가 닫혔습니다')""}"
320,3,1,4,TV가 꺼지면 스피커를 꺼 줘.,Turn off the speakers when the TV is turned off.,"{""name"": ""Scenario1"", ""cron"": """", ""period"": -1, ""code"": ""wait until((#Television).switch_switch == \""off\"")\n(#Speaker).switch_off()""}",,,"{""name"": ""Scenario1"",""cron"": """",""period"": -1,""code"": ""wait until((#Television).switch_switch == 'off')\n(#Speaker).switch_off()""}"
321,3,1,4,커튼이 3번 열렸다 닫히면 조명을 꺼 줘.,Turn off the light when the curtain opens and closes 3 times.,"{""name"": ""Scenario1"", ""cron"": """", ""period"": 100, ""code"": ""close_count := 0\nprev_state := \""closed\""\nopened := false\ncurr = (#Curtain).curtain_curtain\nif (curr == \""open\"") and (prev_state == \""closed\"") {\nopened = true\n}\nif (curr == \""closed\"") and (prev_state == \""open\"") and (opened == true) {\nclose_count = close_count + 1\nopened = false\n}\nprev_state = curr\nif (close_count >= 3) {\n(#Light).switch_off()\nbreak\n}""}",,,"{""name"": ""Scenario1"",""cron"": """",""period"": 0,""code"": ""curtain_count := 0\nprev_curtain_state := (#Curtain).curtain_curtain\ncurtain_state = (#Curtain).curtain_curtain\nif ((prev_curtain_state == 'open') and (curtain_state == 'closed')) {\n    curtain_count = curtain_count + 1\n}\nprev_curtain_state = curtain_state\nif (curtain_count >= 3) {\n    all(#Light).switch_off()\n    break\n}""}"
322,4,1,4,제습기가 꺼지면 다시 켜 줘.,Turn the dehumidifier back on when it turns off.,"{""name"": ""Scenario1"", ""cron"": """", ""period"": -1, ""code"": ""wait until((#Dehumidifier).switch_switch == \""off\"")\n(#Dehumidifier).switch_on()""}",,,"
{""name"": ""Scenario1"",""cron"": """",""period"": 1000,""code"": ""triggered := false\nif ((#Dehumidifier).switch_switch == 'off') {\n    if (triggered == false) {\n        (#Dehumidifier).switch_on()\n        triggered = true\n    }\n} else {\n    triggered = false\n}""}"
