index,category_analysis,selected,test_no,command,command_english,connected_dievces,options,joi_gt,joi_pred_llama4:scout.dense,script_similarity_llama4:scout.dense,cloud_similarity_llama4:scout.dense,response_time_llama4:scout_dence [ms],joi_pred_english_Qwen2.5-Coder:7B,cloud_similarity_english_Qwen2.5-Coder:7B,script_similarity_english_Qwen2.5-Coder:7B,response_time_english_Qwen2.5-Coder:7B,joi_pred_Qwen2.5-Coder:7B,cloud_similarity_Qwen2.5-Coder:7B,script_similarity_Qwen2.5-Coder:7B,response_time_Qwen2.5-Coder:7B,joi_pred_english_gpt-4.1-mini,cloud_similarity_english_gpt-4.1-mini,script_similarity_english_gpt-4.1-mini,response_time_english_gpt-4.1-mini,joi_pred_gpt-4.1-mini,cloud_similarity_gpt-4.1-mini,script_similarity_gpt-4.1-mini,response_time_gpt-4.1-mini
11,2,0,0,에어컨의 전원이 켜져 있으면 알람의 사이렌을 울려줘.,Sound the alarm's siren if the air conditioner is powered on.,Camera,,"{""name"": ""Scenario1"", ""cron"": """", ""period"": -1, ""code"": ""if ((#AirConditioner).switch_switch == \""on\"") {\n  (#Alarm).alarm_siren()\n}""}","{""cron"": """", ""period"": ""-1"", ""code"": ""if ((#AirConditioner).airConditioner_isPowerOn() == true) {\\n  (#Alarm).alarm_siren_on()\\n""}",0.441,,,,,,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,
12,2,1,0,에어컨의 모드가 냉방 모드면 알람의 사이렌을 울려줘.,Sound the alarm's siren if the air conditioner is in cooling mode., ,,"{""name"": ""Scenario1"", ""cron"": """", ""period"": -1, ""code"": ""if ((#AirConditioner).airConditionerMode_airConditionerMode == \""cool\"") {\n  (#Alarm).alarm_siren()\n}""}","{""cron"": """", ""period"": ""-1"", ""code"": ""if ((#AirConditioner).airConditionerMode_mode ==""}",0.849,0.0,,"[{'name': 'Scenario1', 'cron': '', 'period': -1, 'code': 'if ((#AirConditioner).airConditionerMode_airConditionerMode == ""cool"") {\n  (#Alarm).alarm_siren()\n}'}]",0.0,0.0,3.846,"[{'name': 'Scenario1', 'cron': '', 'period': -1, 'code': 'if ((#AirConditioner).airConditionerMode_airConditionerMode == ""cool"") {\n  (#Alarm).alarm_siren()\n}'}]",0.0,0.0,4.632,"[{'name': 'AirConditionerCoolingAlarmSiren', 'cron': '', 'period': -1, 'code': 'if ((#AirConditioner).airConditionerMode_airConditionerMode == ""cool"") {\n  (#Alarm).alarm_siren()\n}'}]",0.0,0.0,2.655,"[{'name': 'SoundSirenWhenCooling', 'cron': '', 'period': -1, 'code': 'if ((#AirConditioner).airConditionerMode_airConditionerMode == ""cool"") {\n  if (any(#Alarm).switch_switch == ""on"") {\n    (#Alarm).alarm_siren()\n  } else if (any(#Siren).switch_switch == ""on"") {\n    (#Siren).sirenMode_setSirenMode(""siren"")\n  }\n}'}]",0.0,0.0,4.181
13,2,1,0,에어컨의 목표 온도가 30도면 알람의 사이렌을 울려줘.,Sound the alarm's siren if the air conditioner's target temperature is 30 degrees., ,,"{""name"": ""Scenario1"", ""cron"": """", ""period"": -1, ""code"": ""if ((#AirConditioner).airConditionerMode_targetTemperature == 30) {\n  (#Alarm).alarm_siren()\n}""}","{""cron"": """", ""period"": ""-1"", ""code"": ""if ((#AirConditioner).airConditioner_getTargetTemperature() == 30) {\\n  (#Alarm).alarm_siren_on()\\n""}",0.933,0.0,,"[{'name': 'Scenario1', 'cron': '', 'period': -1, 'code': 'if ((#AirConditioner).airConditionerMode_targetTemperature == 30.0) {\n  (#Alarm).alarm_siren()\n}'}]",0.0,0.0,3.871,"[{'name': 'Scenario1', 'cron': '', 'period': -1, 'code': 'if ((#AirConditioner).airConditionerMode_targetTemperature == 30.0) {\n  (#Alarm).alarm_siren()\n}'}]",0.0,0.0,4.664,"[{'name': 'AlarmIfACTemp30', 'cron': '', 'period': -1, 'code': 'if ((#AirConditioner).airConditionerMode_targetTemperature == 30.0) {\n  if (any(#Alarm)) {\n    (#Alarm).alarm_siren()\n  }\n}'}]",0.0,0.0,1.888,"[{'name': 'AlarmWhenACTemp30', 'cron': '', 'period': -1, 'code': ""if ((#AirConditioner).airConditionerMode_targetTemperature == 30.0) {\n  if (any(#Alarm)) {\n    (#Alarm).alarm_siren()\n  } else if (any(#Siren)) {\n    (#Siren).sirenMode_setSirenMode('siren')\n  }\n}""}]",0.0,0.0,4.168
14,2,0,0,에어컨이 지원하는 모드를 스피커로 출력해줘,Speaker out the modes supported by the air conditioner,Light,,"{""name"": ""Scenario1"", ""cron"": """", ""period"": -1, ""code"": ""modes = (#AirConditioner).airConditionerMode_supportedAcModes\n(#Speaker).mediaPlayback_speak(modes)""}","{""cron"": """", ""period"": ""-1"", ""code"": ""(#Speaker).speaker_outputText(""}",0.266,,,,,,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,
15,1,0,0,에어컨을 꺼줘.,Turn off the air conditioner.,Light,,"{""name"": ""Scenario1"", ""cron"": """", ""period"": -1, ""code"": ""(#AirConditioner).switch_off()""}","{""cron"": """", ""period"": ""-1"", ""code"": ""if ((#AirConditioner).airConditioner_isOn == true) {\\n  (#AirConditioner).airConditioner_turnOff()\\n""}",0.426,,,,,,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,
16,1,0,0,에어컨을 켜줘.,Turn on the air conditioner.,Speaker,,"{""name"": ""Scenario1"", ""cron"": """", ""period"": -1, ""code"": ""(#AirConditioner).switch_on()""}","{""cron"": """", ""period"": ""-1"", ""code"": ""(#AirConditioner).airConditionerControl_setAirConditionerMode(""}",0.505,,,,,,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,
17,1,0,0,에어컨의 전원을 토글해줘.,Toggle the power of the air conditioner.,Recorder,,"{""name"": ""Scenario1"", ""cron"": """", ""period"": -1, ""code"": ""(#AirConditioner).switch_toggle()""}","{""cron"": """", ""period"": ""-1"", ""code"": ""if ((#AirConditioner).airConditioner_isOn == true) {\\n  (#AirConditioner).airConditioner_turnOff()\\n""}",0.384,,,,,,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,
18,1,1,0,에어컨을 자동 모드로 설정해줘.,Set the air conditioner to auto mode.,"{ 'GreenhouseA_ac_left': {'category': 'AirConditioner', 'tags': ['GreenhouseA', 'left', 'AirConditioner']}, 'GreenhouseA_ac_right': {'category': 'AirConditioner', 'tags': ['GreenhouseA', 'right', 'AirConditioner']}, 'GreenhouseA_ac_center': {'category': 'AirConditioner', 'tags': ['GreenhouseA', 'center', 'AirConditioner']}}",,"{""name"": ""Scenario1"", ""cron"": """", ""period"": -1, ""code"": ""(#AirConditioner).airConditionerMode_setAirConditionerMode(\""auto\"")""}","{""cron"": """", ""period"": ""-1"", ""code"": ""(#AirConditioner).airConditionerMode_setAutoMode()""}",0.862,0.0,,"[{'name': 'Scenario1', 'cron': '', 'period': -1, 'code': ""(#AirConditioner).airConditionerMode_setAirConditionerMode('auto')""}]",0.0,0.0,2.403,"[{'name': 'Scenario1', 'cron': '', 'period': -1, 'code': ""(#AirConditioner).airConditionerMode_setAirConditionerMode('auto')""}]",0.0,0.0,3.213,"[{'name': 'Scenario1', 'cron': '', 'period': -1, 'code': ""(#AirConditioner).airConditionerMode_setAirConditionerMode('auto')""}]",0.0,0.0,1.102,"[{'name': 'Scenario1', 'cron': '', 'period': -1, 'code': '(#AirConditioner).airConditionerMode_setAirConditionerMode(""auto"")'}]",0.0,0.0,2.657
19,1,0,0,에어컨의 목표 온도를 18도로 설정해줘.,Set the target temperature for the air conditioner to 18 degrees.,,,"{""name"": ""Scenario1"", ""cron"": """", ""period"": -1, ""code"": ""(#AirConditioner).airConditionerMode_setTemperature(18)""}","{""cron"": """", ""period"": ""-1"", ""code"": ""(#AirConditioner).airConditionerControl_setTargetTemperature(18)""}",0.874,,,,,,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,
20,2,0,0,공기청정기의 전원이 켜져 있으면 알람의 사이렌을 울려줘.,Sound the alarm's siren if the air purifier is powered on.,Alarm,,"{""name"": ""Scenario1"", ""cron"": """", ""period"": -1, ""code"": ""if ((#AirPurifier).switch_switch == \""on\"") {\n  (#Alarm).alarm_siren()\n}""}","{""cron"": """", ""period"": ""-1"", ""code"": ""if ((#AirPurifier).airPurifier_isPowered == true) {\\n  (#Alarm).alarm_siren_on()\\n""}",0.449,,,,,,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,
21,2,0,0,공기청정기가 수면 모드면 알람의 사이렌을 울려줘.,Sound the alarm's siren if the air purifier is in sleep mode.,Siren,,"{""name"": ""Scenario1"", ""cron"": """", ""period"": -1, ""code"": ""if ((#AirPurifier).airPurifierFanMode_airPurifierFanMode == \""sleep\"") {\n  (#Alarm).alarm_siren()\n}""}","{""cron"": """", ""period"": ""-1"", ""code"": ""if ((#AirPurifier).airPurifier_mode ==""}",0.753,,,,,,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,
22,2,0,0,공기청정기가 지원하는 모드를 스피커로 출력해줘,Speaker out the modes the air purifier supports,,,"{""name"": ""Scenario1"", ""cron"": """", ""period"": -1, ""code"": ""modes = (#AirPurifier).airPurifierFanMode_supportedAirPurifierFanModes\n(#Speaker).mediaPlayback_speak(modes)""}","{""cron"": """", ""period"": ""-1"", ""code"": ""(#Speaker).speaker_outputText((#AirPurifier).airPurifier_getMode())""}",0.402,,,,,,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,
23,1,0,0,공기청정기를 꺼줘.,Turn off the air purifier.,,,"{""name"": ""Scenario1"", ""cron"": """", ""period"": -1, ""code"": ""(#AirPurifier).switch_off()""}","{""cron"": """", ""period"": ""-1"", ""code"": ""if ((#AirPurifier).airPurifierOperationMode_status ==""}",0.436,,,,,,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,
24,1,0,0,공기청정기를 켜줘.,Turn on the air purifier.,,,"{""name"": ""Scenario1"", ""cron"": """", ""period"": -1, ""code"": ""(#AirPurifier).switch_on()""}","{""cron"": """", ""period"": ""-1"", ""code"": ""(#AirPurifier).airPurifierOperation_start()""}",0.609,,,,,,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,
25,1,0,0,공기청정기의 전원을 토글해줘.,Toggle the air purifier's power.,,,"{""name"": ""Scenario1"", ""cron"": """", ""period"": -1, ""code"": ""(#AirPurifier).switch_toggle()""}","{""cron"": """", ""period"": ""-1"", ""code"": ""if ((#AirPurifier).airPurifierState_powerState ==""}",0.494,,,,,,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,
26,1,0,0,공기청정기의 모드를 자동으로 설정해줘.,Set the air purifier's mode to automatic.,,,"{""name"": ""Scenario1"", ""cron"": """", ""period"": -1, ""code"": ""(#AirPurifier).airPurifierFanMode_setAirPurifierFanMode(\""auto\"")""}","{""cron"": """", ""period"": ""-1"", ""code"": ""if ((#AirPurifier).airPurifierMode_getMode() ==""}",0.752,,,,,,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,
27,2,0,0,공기질 측정기의 측정 온도가 20도이면 알람의 사이렌을 울려줘.,Sound the alarm's siren If the temperature measured by the air quality meter is 20 degrees.,,,"{""name"": ""Scenario1"", ""cron"": """", ""period"": -1, ""code"": ""if ((#AirQualityDetector).temperatureMeasurement_temperature == 20) {\n  (#Alarm).alarm_siren()\n}""}","{""cron"": """", ""period"": ""-1"", ""code"": ""if ((#AirQualitySensor).airQualitySensor_temperature == 20) {\\n  (#Alarm).alarm_siren_on()\\n""}",0.751,,,,,,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,
28,2,0,0,이산화탄소 농도가 800ppm 이상이면 알람의 사이렌을 울려줘.,Sound the alarm's siren if the carbon dioxide concentration is above 800 ppm.,,,"{""name"": ""Scenario1"", ""cron"": """", ""period"": -1, ""code"": ""if ((#AirQualityDetector).carbonDioxideMeasurement_carbonDioxide >= 800) {\n  (#Alarm).alarm_siren()\n}""}","{""cron"": """", ""period"": ""-1"", ""code"": ""if ((#CO2Sensor).co2Concentration >= 800) {\\n  (#Alarm).alarm_siren_on()\\n""}",0.625,,,,,,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,
29,2,0,0,공기질 측정기의 상대 습도가 70퍼센트 이상이면 알람의 사이렌을 울려줘.,Sound the alarm's siren if the relative humidity on the air quality meter is above 70 percent.,,,"{""name"": ""Scenario1"", ""cron"": """", ""period"": -1, ""code"": ""if ((#AirQualityDetector).relativeHumidityMeasurement_humidity >= 70) {\n  (#Alarm).alarm_siren()\n}""}","{""cron"": """", ""period"": ""-1"", ""code"": ""if ((#AirQualitySensor).airQualitySensor_relativeHumidity >= 70.0) {\\n  (#Alarm).alarm_siren_on()\\n""}",0.725,,,,,,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,
30,2,0,0,실내 황사 농도가 150마이크로그램 이상이면 알람의 사이렌을 울려줘.,Sound the alarm's siren if the indoor yellow dust concentration is 150 micrograms or more.,,,"{""name"": ""Scenario1"", ""cron"": """", ""period"": -1, ""code"": ""if ((#AirQualityDetector).dustSensor_dustLevel >= 150) {\n  (#Alarm).alarm_siren()\n}""}","{""cron"": """", ""period"": ""-1"", ""code"": ""if ((#IndoorAirQualitySensor).indoorAirQualitySensor_pm25 >= 150) {\\n  (#Alarm).alarm_siren_on()\\n""}",0.735,,,,,,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,
