index,category_analysis,command,GT,generated_code
258,2,현재 실내 온도가 25도 이상이면 알람의 사이렌을 울려줘.,"{""name"": ""Scenario1"", ""cron"": """", ""period"": -1, ""code"": ""if ((#TemperatureSensor).temperatureMeasurement_temperature >= 25) {\n  (#Alarm).alarm_siren()\n}""}","{""name"": ""Scenario1"", ""cron"": ""\nperiod = -1\nif ((#TemperatureSensor).temperatureMeasurement_temperature >= 25.0) {\n  (#Alarm).alarm_siren()\n}"", ""period"": -1, ""code"": ""if ((#TemperatureSensor).temperatureMeasurement_temperature >= 25.0) {\n(#Alarm).alarm_siren()\n}""}"
262,3,바깥 습도가 80퍼센트 이상이면 알람의 사이렌을 울려줘.,"{""name"": ""Scenario1"", ""cron"": """", ""period"": -1, ""code"": ""if ((#WeatherProvider).weatherProvider_humidityWeather >= 80) {\n  (#Alarm).alarm_siren()\n}""}","{""name"": ""Scenario1"", ""cron"": ""\nperiod = -1\nif ((#HumiditySensor).humidityMeasurement_humidity >= 80.0) {\n  (#Alarm).alarm_siren()\n}"", ""period"": -1, ""code"": ""if ((#HumiditySensor).humidityMeasurement_humidity >= 80.0) {\n(#Alarm).alarm_siren()\n}""}"
264,3,바깥의 초미세먼지 농도가 50 이상이면 알람의 사이렌을 울려줘.,"{""name"": ""Scenario1"", ""cron"": """", ""period"": -1, ""code"": ""if ((#WeatherProvider).weatherProvider_pm25Weather >= 50) {\n  (#Alarm).alarm_siren()\n}""}","{""name"": ""Scenario1"", ""cron"": ""\nperiod = -1\nif ((#AirQualityDetector).fineDustMeasurement_fineDust >= 50) {\n  (#Alarm).alarm_siren()\n}"", ""period"": -1, ""code"": ""if ((#AirQualityDetector).fineDustMeasurement_fineDust >= 50) {\n(#Alarm).alarm_siren()\n}""}"
269,3,창문이 열린 상태이면 알람의 사이렌을 울려줘.,"{""name"": ""Scenario1"", ""cron"": """", ""period"": -1, ""code"": ""if ((#Window).windowControl_window == \""open\"") {\n  (#Alarm).alarm_siren()\n}""}","{""name"": ""Scenario1"", ""cron"": ""\nperiod = -1\nif ((#Window).windowControl_window == "", ""period"": -1, ""code"": ""if ((#Window).windowControl_window == \""open\"") {\n(#Alarm).alarm_siren()\n}""}"
272,2,낙상 감지 센서에서 낙상이 감지된 상태이면 알람의 사이렌을 울려줘.,"{""name"": ""Scenario1"", ""cron"": """", ""period"": -1, ""code"": ""if ((#FallDetector).fallDetection_fall == \""fall\"") {\n  (#Alarm).alarm_siren()\n}""}","{""name"": ""FallDetectionAlarm"", ""cron"": ""\nperiod = -1\nif ((#FallDetector).fallDetection_fallDetected == true) {\n  (#Alarm).alarm_siren()\n}"", ""period"": -1, ""code"": ""if ((#FallDetector).fallDetection_fallDetected == true) {\n(#Alarm).alarm_siren()\n}""}"
273,2,점유 센서가 감지 상태이면 알람의 사이렌을 울려줘.,"{""name"": ""Scenario1"", ""cron"": """", ""period"": -1, ""code"": ""if ((#OccupancySensor).presenceSensor_presence == \""present\"") {\n  (#Alarm).alarm_siren()\n}""}","{""name"": ""Scenario1"", ""cron"": ""\nperiod = -1\nif ((#OccupancySensor).presenceSensor_presence == true) {\n  (#Alarm).alarm_siren()\n}"", ""period"": -1, ""code"": ""if ((#OccupancySensor).presenceSensor_presence == true) {\n(#Alarm).alarm_siren()\n}""}"
278,1,테스트 타이머라는 이름의 60초 길이의 타이머를 추가해줘.,"{""name"": ""Scenario1"", ""cron"": """", ""period"": -1, ""code"": ""(#Timer).timer_add(\""Test Timer\"", 60)""}","{""name"": ""AddTimer"", ""cron"": ""\nperiod = -1\n(#Timer).timer_setTimer("", ""period"": -1, ""code"": ""(#Timer).timer_setTimer(\""테스트 타이머\"", 60000)""}"
284,5,토양 수분이 30% 이하이고 조명이 꺼져 있으면 관개 장치를 작동시키고 조명을 켜 줘.,"{""name"": ""Scenario1"", ""cron"": """", ""period"": -1, ""code"": ""if (((#SoilMoistureSensor).soilHumidityMeasurement_soilHumidity <= 30.0) and ((#Light).switch_switch == \""off\"")) {\n  (#Irrigator).switch_on()\n  (#Light).switch_on()\n}""}","{""name"": ""Scenario1"", ""cron"": ""\nperiod = -1\nif (((#SoilMoistureSensor).soilHumidityMeasurement_soilHumidity <= 30.0) and ((#Light).switch_switch == "", ""period"": -1, ""code"": ""if (((#SoilMoistureSensor).soilHumidityMeasurement_soilHumidity <= 30.0) and ((#Light).switch_switch == \""off\"")) {\n(#Irrigator).switch_on()\n(#Light).switch_on()\n}""}"
285,2,온도가 33도 이상이면 제습기를 켜고 커튼을 닫아 줘.,"{""name"": ""Scenario1"", ""cron"": """", ""period"": -1, ""code"": ""if ((#TemperatureSensor).temperatureMeasurement_temperature >= 33.0) {\n  (#Dehumidifier).switch_on()\n  (#Curtain).curtain_close()\n}""}","{""name"": ""Scenario1"", ""cron"": ""\nperiod = -1\nif ((#TemperatureSensor).temperatureMeasurement_temperature >= 33.0) {\n  (#Dehumidifier).switch_on()\n  (#Curtain).switch_close()\n}"", ""period"": -1, ""code"": ""if ((#TemperatureSensor).temperatureMeasurement_temperature >= 33.0) {\n(#Dehumidifier).switch_on()\n(#Curtain).switch_close()\n}""}"
286,5,이산화탄소가 1000ppm 이상이고 블라인드가 열려 있으면 환풍기를 켜고 블라인드를 닫아 줘.,"{""name"": ""Scenario1"", ""cron"": """", ""period"": -1, ""code"": ""if (((#AirQualityDetector).carbonDioxideMeasurement_carbonDioxide >= 1000.0) and ((#Blind).blind_blind == \""open\"")) {\n  (#Fan).switch_on()\n  (#Blind).blind_close()\n}""}","{""name"": ""Scenario1"", ""cron"": ""\nperiod = -1\nif (((#AirQualityDetector).carbonDioxideMeasurement_carbonDioxideLevel >= 1000) and ((#Blind).windowShade_windowShade == "", ""period"": -1, ""code"": ""if (((#AirQualityDetector).carbonDioxideMeasurement_carbonDioxideLevel >= 1000) and ((#Blind).windowShade_windowShade == \""open\"")) {\n(#Fan).switch_on()\n(#Blind).windowShade_close()\n}""}"
287,5,온도가 29도 이상이고 습도가 80% 이상이며 조명이 꺼져 있으면 에어컨을 켜고 조명을 켜 줘.,"{""name"": ""Scenario1"", ""cron"": """", ""period"": -1, ""code"": ""if (((#TemperatureSensor).temperatureMeasurement_temperature >= 29.0) and ((#HumiditySensor).relativeHumidityMeasurement_humidity >= 80.0) and ((#Light).switch_switch == \""off\"")) {\n  (#AirConditioner).switch_on()\n  (#Light).switch_on()\n}""}","{""name"": ""Scenario1"", ""cron"": ""\nperiod = -1\nif (((#TemperatureSensor).temperatureMeasurement_temperature >= 29.0) and ((#HumiditySensor).relativeHumidityMeasurement_humidity >= 80.0) and ((#Light).switch_switch == "", ""period"": -1, ""code"": ""if (((#TemperatureSensor).temperatureMeasurement_temperature >= 29.0) and ((#HumiditySensor).relativeHumidityMeasurement_humidity >= 80.0) and ((#Light).switch_switch == \""off\"")) {\n(#AirConditioner).switch_on()\n(#Light).switch_on()\n}""}"
288,5,조명이 켜져 있고 창문이 닫혀 있으면 커튼을 열고 환풍기를 꺼 줘.,"{""name"": ""Scenario1"", ""cron"": """", ""period"": -1, ""code"": ""if (((#Light).switch_switch == \""on\"") and ((#Window).windowControl_window == \""closed\"")) {\n  (#Curtain).curtain_open()\n  (#Fan).switch_off()\n}""}","{""name"": ""Scenario1"", ""cron"": ""\nperiod = -1\nif (((#Light).switch_switch == "", ""period"": -1, ""code"": ""if (((#Light).switch_switch == \""on\"") and ((#Window).windowShade_windowShade == \""closed\"")) {\n(#Curtain).windowShade_open()\n(#Fan).switch_off()\n}""}"
289,5,TV가 꺼져 있고 스피커가 재생 중이면 TV를 켜고 스피커를 꺼 줘.,"{""name"": ""Scenario1"", ""cron"": """", ""period"": -1, ""code"": ""if (((#Television).switch_switch == \""off\"") and ((#Speaker).mediaPlayback_playbackStatus == \""playing\"")) {\n  (#Television).switch_on()\n  (#Speaker).switch_off()\n}""}","{""name"": ""Scenario1"", ""cron"": ""\nperiod = -1\nif (((#Television).switch_switch == "", ""period"": -1, ""code"": ""if (((#Television).switch_switch == \""off\"") and ((#Speaker).mediaPlayback_playbackStatus == \""playing\"")) {\n(#Television).switch_on()\n(#Speaker).switch_off()\n}""}"
290,5,조명이 켜져 있고 블라인드가 열려 있으며 움직임이 감지되면 조명을 끄고 블라인드를 닫아 줘.,"{""name"": ""Scenario1"", ""cron"": """", ""period"": -1, ""code"": ""if (((#Light).switch_switch == \""on\"") and ((#Blind).blind_blind == \""open\"") and ((#MotionSensor).motionSensor_motion == \""active\"")) {\n  (#Light).switch_off()\n  (#Blind).blind_close()\n}""}","{""name"": ""Scenario1"", ""cron"": ""\nperiod = 100\nif (((#Light).switch_switch == "", ""period"": -1, ""code"": ""if (((#Light).switch_switch == \""on\"") and ((#Blind).windowShade_windowShade == \""open\"") and ((#MotionSensor).motionSensor_motion == \""active\"")) {\n(#Light).switch_off()\n(#Blind).windowShade_close()\n}""}"
291,5,알람이 꺼져 있고 조명이 꺼져 있으며 커튼이 열려 있으면 사이렌을 울리고 조명을 켜 줘.,"{""name"": ""Scenario1"", ""cron"": """", ""period"": -1, ""code"": ""if (((#Alarm).alarm_alarm == \""off\"") and ((#Light).switch_switch == \""off\"") and ((#Curtain).curtain_curtain == \""open\"")) {\n  (#Alarm).alarm_siren()\n  (#Light).switch_on()\n}""}","{""name"": ""Scenario1"", ""cron"": ""\nperiod = -1\nif (((#Alarm).switch_switch == "", ""period"": -1, ""code"": ""if (((#Alarm).switch_switch == \""off\"") and ((#Light).switch_switch == \""off\"") and ((#Curtain).windowShade_windowShade == \""open\"")) {\n(#Siren).sirenMode_setSirenMode(\""siren\"")\n(#Light).switch_on()\n}""}"
292,5,에어컨이 꺼져 있고 커튼이 닫혀 있으면 에어컨을 켜고 커튼을 열어 줘.,"{""name"": ""Scenario1"", ""cron"": """", ""period"": -1, ""code"": ""if (((#AirConditioner).switch_switch == \""off\"") and ((#Curtain).curtain_curtain == \""closed\"")) {\n  (#AirConditioner).switch_on()\n  (#Curtain).curtain_open()\n}""}","{""name"": ""Scenario1"", ""cron"": ""\nperiod = -1\nif (((#AirConditioner).switch_switch == "", ""period"": -1, ""code"": ""if (((#AirConditioner).switch_switch == \""off\"") and ((#Curtain).windowShade_windowShade == \""closed\"")) {\n(#AirConditioner).switch_on()\n(#Curtain).windowShade_open()\n}""}"
