category_analysis,command,GT,generated_code,cloud_similarity_gpt4o,explanation
3,바깥 습도가 80퍼센트 이상이면 알람의 사이렌을 울려줘.,"{""name"": ""Scenario1"", ""cron"": """", ""period"": -1, ""code"": ""if ((#WeatherProvider).weatherProvider_humidityWeather >= 80) {\n  (#Alarm).alarm_siren()\n}""}","[{'name': 'SoundAlarmWhenHighHumidity', 'cron': '', 'period': 1000, 'code': 'if ((#WeatherProvider).weatherProvider_humidityWeather > 80.0) {\n  if (any(#Alarm).alarm_alarm != ""siren"") {\n    all(#Alarm).alarm_siren()\n  }\n}'}]",0.6,"The generated code includes additional conditional logic for siren activation, which is not present in the ground truth."
3,바깥의 초미세먼지 농도가 50 이상이면 알람의 사이렌을 울려줘.,"{""name"": ""Scenario1"", ""cron"": """", ""period"": -1, ""code"": ""if ((#WeatherProvider).weatherProvider_pm25Weather >= 50) {\n  (#Alarm).alarm_siren()\n}""}","[{'name': 'Scenario1', 'cron': '', 'period': -1, 'code': 'if ((#AirQualityDetector).dustSensor_dustLevel > 50) {\n  (#Alarm).alarm_siren()\n}'}]",0.5,The generated code uses a different sensor and condition for triggering the alarm compared to the ground truth.
3,창문이 열린 상태이면 알람의 사이렌을 울려줘.,"{""name"": ""Scenario1"", ""cron"": """", ""period"": -1, ""code"": ""if ((#Window).windowControl_window == \""open\"") {\n  (#Alarm).alarm_siren()\n}""}","[{'name': 'WindowOpenAlarm', 'cron': '', 'period': 1000, 'code': 'triggered := false\nif (any(#Window).windowControl_window == open) {\n  if (triggered == false) {\n    (#Alarm).alarm_siren()\n    triggered = true\n  }\n} else {\n  triggered = false\n  (#Alarm).alarm_off()\n}'}]",0.5,"The generated code includes additional logic to prevent repeated triggering and to turn off the alarm, which is not present in the ground truth."
2,낙상 감지 센서에서 낙상이 감지된 상태이면 알람의 사이렌을 울려줘.,"{""name"": ""Scenario1"", ""cron"": """", ""period"": -1, ""code"": ""if ((#FallDetector).fallDetection_fall == \""fall\"") {\n  (#Alarm).alarm_siren()\n}""}","[{'name': 'FallDetectionAlarm', 'cron': '', 'period': -1, 'code': 'if ((#FallDetector).fallDetection_fall == fall) {\n  if (any(#Alarm)) {\n    all(#Alarm).alarm_siren()\n  } else if (any(#Siren)) {\n    all(#Siren).switch_on()\n    all(#Siren).sirenMode_setSirenMode(siren)\n  }\n}'}]",0.6,"The generated code includes additional conditional logic for siren activation, which is not present in the ground truth."
2,점유 센서가 감지 상태이면 알람의 사이렌을 울려줘.,"{""name"": ""Scenario1"", ""cron"": """", ""period"": -1, ""code"": ""if ((#OccupancySensor).presenceSensor_presence == \""present\"") {\n  (#Alarm).alarm_siren()\n}""}","[{'name': 'OccupancyAlarm', 'cron': '', 'period': -1, 'code': 'if ((#OccupancySensor).presenceSensor_presence == present) {\n  (#Alarm).alarm_siren()\n}'}]",0.9,"The generated code uses 'present' without quotes, while the ground truth uses ""present""."
1,테스트 타이머라는 이름의 60초 길이의 타이머를 추가해줘.,"{""name"": ""Scenario1"", ""cron"": """", ""period"": -1, ""code"": ""(#Timer).timer_add(\""Test Timer\"", 60)""}","[{'name': 'AddTestTimer', 'cron': '', 'period': -1, 'code': '(#Timer).timer_add(""Test Timer"", 60.0)'}]",0.9,"The generated code uses a floating-point number, while the ground truth uses an integer."
5,토양 수분이 30% 이하이고 조명이 꺼져 있으면 관개 장치를 작동시키고 조명을 켜 줘.,"{""name"": ""Scenario1"", ""cron"": """", ""period"": -1, ""code"": ""if (((#SoilMoistureSensor).soilHumidityMeasurement_soilHumidity <= 30.0) and ((#Light).switch_switch == \""off\"")) {\n  (#Irrigator).switch_on()\n  (#Light).switch_on()\n}""}","[{'name': 'IrrigationOnDrySoilWithLights', 'cron': '', 'period': -1, 'code': 'soilMoisture = (#SoilMoistureSensor).soilHumidityMeasurement_soilHumidity\nlightSwitch = (#Light).switch_switch\nif ((soilMoisture < 30.0) and (lightSwitch == ""off"")) {\n  (#Irrigator).switch_on()\n  (#Light).switch_on()\n}'}]",0.8,"The generated code checks for less than 30.0, while the ground truth checks for less than or equal to 30.0."
2,온도가 33도 이상이면 제습기를 켜고 커튼을 닫아 줘.,"{""name"": ""Scenario1"", ""cron"": """", ""period"": -1, ""code"": ""if ((#TemperatureSensor).temperatureMeasurement_temperature >= 33.0) {\n  (#Dehumidifier).switch_on()\n  (#Curtain).curtain_close()\n}""}","[{'name': 'Scenario1', 'cron': '', 'period': -1, 'code': 'if ((#TemperatureSensor).temperatureMeasurement_temperature > 33.0) {\n  (#Dehumidifier).switch_on()\n  (#Curtain).curtain_close()\n}'}]",0.8,"The generated code checks for greater than 33.0, while the ground truth checks for greater than or equal to 33.0."
5,이산화탄소가 1000ppm 이상이고 블라인드가 열려 있으면 환풍기를 켜고 블라인드를 닫아 줘.,"{""name"": ""Scenario1"", ""cron"": """", ""period"": -1, ""code"": ""if (((#AirQualityDetector).carbonDioxideMeasurement_carbonDioxide >= 1000.0) and ((#Blind).blind_blind == \""open\"")) {\n  (#Fan).switch_on()\n  (#Blind).blind_close()\n}""}","[{'name': 'CO2 and Blinds Control', 'cron': '', 'period': -1, 'code': 'if (((#AirQualityDetector).carbonDioxideMeasurement_carbonDioxide > 1000.0) and ((#Blind).blind_blind == open)) {\n  (#Fan).switch_on()\n  (#Blind).blind_close()\n}'}]",0.8,"The generated code checks for greater than 1000.0, while the ground truth checks for greater than or equal to 1000.0."
5,온도가 29도 이상이고 습도가 80% 이상이며 조명이 꺼져 있으면 에어컨을 켜고 조명을 켜 줘.,"{""name"": ""Scenario1"", ""cron"": """", ""period"": -1, ""code"": ""if (((#TemperatureSensor).temperatureMeasurement_temperature >= 29.0) and ((#HumiditySensor).relativeHumidityMeasurement_humidity >= 80.0) and ((#Light).switch_switch == \""off\"")) {\n  (#AirConditioner).switch_on()\n  (#Light).switch_on()\n}""}","[{'name': 'TemperatureHumidityLightControl', 'cron': '', 'period': -1, 'code': 'temp = (#TemperatureSensor).temperatureMeasurement_temperature\nhumidity = (#HumiditySensor).relativeHumidityMeasurement_humidity\nif ((temp > 29.0) and (humidity > 80.0) and (all(#Light).switch_switch == ""off"")) {\n  all(#AirConditioner).switch_on()\n  all(#Light).switch_on()\n}'}]",0.7,"The generated code checks for greater than 29.0 and 80.0, while the ground truth checks for greater than or equal to these values."
5,조명이 켜져 있고 창문이 닫혀 있으면 커튼을 열고 환풍기를 꺼 줘.,"{""name"": ""Scenario1"", ""cron"": """", ""period"": -1, ""code"": ""if (((#Light).switch_switch == \""on\"") and ((#Window).windowControl_window == \""closed\"")) {\n  (#Curtain).curtain_open()\n  (#Fan).switch_off()\n}""}","[{'name': 'Scenario1', 'cron': '', 'period': -1, 'code': 'if ((any(#Light).switch_switch == ""on"") and (all(#Window).windowControl_window == ""closed"")) {\n  all(#Curtain).curtain_open()\n  all(#Fan).switch_off()\n}'}]",0.8,"The generated code uses 'any' and 'all' which might imply targeting multiple devices, but the ground truth does not specify this."
5,TV가 꺼져 있고 스피커가 재생 중이면 TV를 켜고 스피커를 꺼 줘.,"{""name"": ""Scenario1"", ""cron"": """", ""period"": -1, ""code"": ""if (((#Television).switch_switch == \""off\"") and ((#Speaker).mediaPlayback_playbackStatus == \""playing\"")) {\n  (#Television).switch_on()\n  (#Speaker).switch_off()\n}""}","[{'name': 'Scenario1', 'cron': '', 'period': -1, 'code': 'if (((#Television).switch_switch == ""off"") and ((#Speaker).mediaPlayback_playbackStatus == ""playing"")) {\n  (#Television).switch_on()\n  (#Speaker).switch_off()\n}'}]",1.0,
5,조명이 켜져 있고 블라인드가 열려 있으며 움직임이 감지되면 조명을 끄고 블라인드를 닫아 줘.,"{""name"": ""Scenario1"", ""cron"": """", ""period"": -1, ""code"": ""if (((#Light).switch_switch == \""on\"") and ((#Blind).blind_blind == \""open\"") and ((#MotionSensor).motionSensor_motion == \""active\"")) {\n  (#Light).switch_off()\n  (#Blind).blind_close()\n}""}","[{'name': 'TurnOffLightsAndCloseBlindsOnMotion', 'cron': '', 'period': -1, 'code': 'if (((#Light).switch_switch == ""on"") and ((#Blind).blind_blind == ""open"") and ((#MotionSensor).motionSensor_motion == ""active"")) {\n  (#Light).switch_off()\n  (#Blind).blind_close()\n}'}]",1.0,
5,알람이 꺼져 있고 조명이 꺼져 있으며 커튼이 열려 있으면 사이렌을 울리고 조명을 켜 줘.,"{""name"": ""Scenario1"", ""cron"": """", ""period"": -1, ""code"": ""if (((#Alarm).alarm_alarm == \""off\"") and ((#Light).switch_switch == \""off\"") and ((#Curtain).curtain_curtain == \""open\"")) {\n  (#Alarm).alarm_siren()\n  (#Light).switch_on()\n}""}","[{'name': 'Scenario1', 'cron': '', 'period': -1, 'code': 'if (((#Alarm).alarm_alarm == ""off"") and ((#Light).switch_switch == ""off"") and ((#Curtain).curtain_curtain == ""open"")) {\n  if (any(#Alarm)) {\n    (#Alarm).alarm_siren()\n  } else if (any(#Siren)) {\n    (#Siren).sirenMode_setSirenMode(""siren"")\n    all(#Siren).switch_on()\n  }\n  all(#Light).switch_on()\n}'}]",0.6,"The generated code introduces additional conditional logic for handling sirens that is not present in the ground truth code, altering the intended behavior."
