index,category,command_kor,command_eng,gt_raw,connected_devices,gt,profile,output_joicode,output_name,output_cron,output_period,output_code,output_model_label,output_request_model,output_selected_model,output_translated_sentence,output_generation_error,output_response_time,output_prompt_tokens,output_completion_tokens,output_total_tokens,det_row_no,det_dataset_index,det_command,det_pass,det_sdet,det_script_similarity,det_fatal_reasons,det_predicted_services,det_reference_script,det_predicted_script
11,1,외부 습도를 스피커로 말해줘.,Tell me the outdoor humidity through the speaker.,"{""name"": """", 
""cron"": """", 
""period"": 0, 
""script"": ""\nhum = (#WeatherProvider).HumidityWeather\n\n(#Speaker).Speak(\""외부 습도는 \"" + hum + \""%입니다\"")""}",,"{""name"": """", 
""cron"": """", 
""period"": 0, 
""script"": ""\nhum = (#WeatherProvider).WeatherProvider_HumidityWeather\n\n(#Speaker).Speaker_Speak(\""외부 습도는 \"" + hum + \""%입니다\"")""}",version0_12,"{""name"": ""ExternalHumidityAnnouncement"", ""cron"": """", ""period"": -1, ""code"": ""(#Speaker).Speaker_Speak((#WeatherProvider).weatherProvider_humidityWeather)""}",ExternalHumidityAnnouncement,,-1,(#Speaker).Speaker_Speak((#WeatherProvider).weatherProvider_humidityWeather),Local5080_qwen-7b_svc-v2.0.1,gpt_mg.version0_12,Local5080_qwen-7b_svc-v2.0.1,"먼저 외부 습도 정보를 확인하고, 임의의 스피커로 외부 습도 수치를 안내한다.",,12.6052 seconds,31169,52,31221,11,11,외부 습도를 스피커로 말해줘.,False,0.0,0.333333,unknown_services:Speaker_Speak,Speaker_Speak,"
hum = (#WeatherProvider).WeatherProvider_HumidityWeather

(#Speaker).Speaker_Speak(""외부 습도는 "" + hum + ""%입니다"")",(#Speaker).Speaker_Speak((#WeatherProvider).weatherProvider_humidityWeather)
12,1,오늘의 날씨를 스피커로 출력해줘.,Output today's weather through the speaker.,"{""name"": """", 
""cron"": """", 
""period"": 0, 
""script"": ""\nweather = (#WeatherProvider).Weather\n\n(#Speaker).Speak(\""오늘 날씨는 \"" + weather + \""입니다\"")""}",,"{""name"": """", 
""cron"": """", 
""period"": 0, 
""script"": ""\nweather = (#WeatherProvider).WeatherProvider_Weather\n\n(#Speaker).Speaker_Speak(\""오늘 날씨는 \"" + weather + \""입니다\"")""}",version0_12,"{""name"": ""WeatherReport"", ""cron"": """", ""period"": -1, ""code"": ""(#WeatherProvider).weatherProvider_GetWeatherInfo()\n(#Speaker).mediaPlayback_speak(weatherInfo)""}",WeatherReport,,-1,"(#WeatherProvider).weatherProvider_GetWeatherInfo()
(#Speaker).mediaPlayback_speak(weatherInfo)",Local5080_qwen-7b_svc-v2.0.1,gpt_mg.version0_12,Local5080_qwen-7b_svc-v2.0.1,"먼저 날씨 정보를 가져오고, 그 다음 가져온 날씨 정보를 스피커로 알려 준다.",,12.3975 seconds,31168,53,31221,12,12,오늘의 날씨를 스피커로 출력해줘.,False,0.0,0.722513,"unknown_services:mediaPlayback_speak,weatherProvider_GetWeatherInfo","mediaPlayback_speak, weatherProvider_GetWeatherInfo","
weather = (#WeatherProvider).WeatherProvider_Weather

(#Speaker).Speaker_Speak(""오늘 날씨는 "" + weather + ""입니다"")","(#WeatherProvider).weatherProvider_GetWeatherInfo()
(#Speaker).mediaPlayback_speak(weatherInfo)"
13,1,미세먼지 농도를 스피커로 알려줘.,Announce the fine dust level through the speaker.,"{""name"": """", 
""cron"": """", 
""period"": 0, 
""script"": ""\ndust = (#AirQualitySensor).DustLevel\n\n(#Speaker).Speak(\""미세먼지 농도는 \"" + dust + \""입니다\"")""}",,"{""name"": """", 
""cron"": """", 
""period"": 0, 
""script"": ""\ndust = (#AirQualitySensor).AirQualitySensor_DustLevel\n\n(#Speaker).Speaker_Speak(\""미세먼지 농도는 \"" + dust + \""입니다\"")""}",version0_12,"{""name"": ""NotifyPM25"", ""cron"": """", ""period"": -1, ""code"": ""(#Speaker).Speaker_Speak((#AirQualityDetector).dustSensor_fineDustLevel)""}",NotifyPM25,,-1,(#Speaker).Speaker_Speak((#AirQualityDetector).dustSensor_fineDustLevel),Local5080_qwen-7b_svc-v2.0.1,gpt_mg.version0_12,Local5080_qwen-7b_svc-v2.0.1,임의의 공기질 감지기의 미세먼지 농도를 스피커로 알려 준다.,,12.3168 seconds,31170,55,31225,13,13,미세먼지 농도를 스피커로 알려줘.,False,0.0,0.35503,unknown_services:Speaker_Speak,Speaker_Speak,"
dust = (#AirQualitySensor).AirQualitySensor_DustLevel

(#Speaker).Speaker_Speak(""미세먼지 농도는 "" + dust + ""입니다"")",(#Speaker).Speaker_Speak((#AirQualityDetector).dustSensor_fineDustLevel)
14,1,외부 미세먼지 농도를 스피커로 알려줘.,Announce the outdoor fine dust level using the speaker.,"{""name"": """", 
""cron"": """", 
""period"": 0, 
""script"": ""\ndust = (#WeatherProvider).Pm10Weather\n\n(#Speaker).Speak(\""외부 미세먼지 농도는 \"" + dust + \""입니다\"")""}",,"{""name"": """", 
""cron"": """", 
""period"": 0, 
""script"": ""\ndust = (#WeatherProvider).WeatherProvider_Pm10Weather\n\n(#Speaker).Speaker_Speak(\""외부 미세먼지 농도는 \"" + dust + \""입니다\"")""}",version0_12,"{""name"": ""NotifyExternalDustLevel"", ""cron"": """", ""period"": -1, ""code"": ""(#Speaker).Speaker_Speak((#WeatherProvider).weatherProvider_pm25Weather)""}",NotifyExternalDustLevel,,-1,(#Speaker).Speaker_Speak((#WeatherProvider).weatherProvider_pm25Weather),Local5080_qwen-7b_svc-v2.0.1,gpt_mg.version0_12,Local5080_qwen-7b_svc-v2.0.1,"먼저 바깥의 초미세먼지 농도를 확인하고, 그 값을 임의의 스피커로 알려준다.",,12.6614 seconds,31173,53,31226,14,14,외부 미세먼지 농도를 스피커로 알려줘.,False,0.0,0.327485,unknown_services:Speaker_Speak,Speaker_Speak,"
dust = (#WeatherProvider).WeatherProvider_Pm10Weather

(#Speaker).Speaker_Speak(""외부 미세먼지 농도는 "" + dust + ""입니다"")",(#Speaker).Speaker_Speak((#WeatherProvider).weatherProvider_pm25Weather)
15,1,"클라우드로 고양이 사진을 생성하고 ""cat.png""로 저장해줘.","Generate a cat image using cloud service and save it as ""cat.png"".","{""name"": """", 
""cron"": """", 
""period"": 0, 
""script"": ""\nimg = (#CloudServiceProvider).GenerateImage(\""Generate a cat image\"")\n\n(#CloudServiceProvider).SaveToFile(img, \""cat.png\"")""}",,"{""name"": """", 
""cron"": """", 
""period"": 0, 
""script"": ""\nimg = (#CloudServiceProvider).CloudServiceProvider_GenerateImage(\""Generate a cat image\"")\n\n(#CloudServiceProvider).CloudServiceProvider_SaveToFile(img, \""cat.png\"")""}",version0_12,"{""name"": ""GenerateCatPhoto"", ""cron"": """", ""period"": -1, ""code"": ""(#CloudServiceProvider).CloudServiceProvider_GenerateImage(\""cat.png\"")""}",GenerateCatPhoto,,-1,"(#CloudServiceProvider).CloudServiceProvider_GenerateImage(""cat.png"")",Local5080_qwen-7b_svc-v2.0.1,gpt_mg.version0_12,Local5080_qwen-7b_svc-v2.0.1,"임의의 클라우드 서비스 제공자가 ""cat.png"" 이미지를 생성한다.",,12.2481 seconds,31173,47,31220,15,15,"클라우드로 고양이 사진을 생성하고 ""cat.png""로 저장해줘.",False,0.0,0.621622,unknown_services:CloudServiceProvider_GenerateImage,CloudServiceProvider_GenerateImage,"
img = (#CloudServiceProvider).CloudServiceProvider_GenerateImage(""Generate a cat image"")

(#CloudServiceProvider).CloudServiceProvider_SaveToFile(img, ""cat.png"")","(#CloudServiceProvider).CloudServiceProvider_GenerateImage(""cat.png"")"
16,1,충전기의 전력소모량을 스피커로 출력해줘.,Output the charger's power consumption through the speaker.,"{""name"": """",
""cron"": """", 
""period"": 0, 
""script"": ""\npower = (#Charger).Power\n\n(#Speaker).Speak(\""전력소모량은 \"" + power + \""입니다\"")""}",,"{""name"": """",
""cron"": """", 
""period"": 0, 
""script"": ""\npower = (#Charger).Charger_Power\n\n(#Speaker).Speaker_Speak(\""전력소모량은 \"" + power + \""입니다\"")""}",version0_12,"{""name"": ""BatteryConsumptionReport"", ""cron"": """", ""period"": -1, ""code"": ""(#Speaker).Speaker_Speak((#Charger).Charger_Power)""}",BatteryConsumptionReport,,-1,(#Speaker).Speaker_Speak((#Charger).Charger_Power),Local5080_qwen-7b_svc-v2.0.1,gpt_mg.version0_12,Local5080_qwen-7b_svc-v2.0.1,"먼저 충전기의 전력량을 확인하고, 그 값을 스피커로 알려준다.",,12.4264 seconds,31173,50,31223,16,16,충전기의 전력소모량을 스피커로 출력해줘.,False,0.0,0.47619,unknown_services:Speaker_Speak,Speaker_Speak,"
power = (#Charger).Charger_Power

(#Speaker).Speaker_Speak(""전력소모량은 "" + power + ""입니다"")",(#Speaker).Speaker_Speak((#Charger).Charger_Power)
17,1,오늘의 메뉴를 스피커로 출력해줘.,Tell me today's menu using the speaker.,"{""name"": """", 
""cron"": """", 
""period"": 0, 
""script"": ""\nmenu = (#MenuProvider).TodayMenu\n\n(#Speaker).Speak(\""오늘의 메뉴는 \"" + menu + \""입니다\"")""}",,"{""name"": """", 
""cron"": """", 
""period"": 0, 
""script"": ""\nmenu = (#MenuProvider).MenuProvider_TodayMenu\n\n(#Speaker).Speaker_Speak(\""오늘의 메뉴는 \"" + menu + \""입니다\"")""}",version0_12,"{""name"": ""TodayMenuAnnouncement"", ""cron"": """", ""period"": -1, ""code"": ""(#Speaker).Speaker_Speak((#MenuProvider).Menu)""}",TodayMenuAnnouncement,,-1,(#Speaker).Speaker_Speak((#MenuProvider).Menu),Local5080_qwen-7b_svc-v2.0.1,gpt_mg.version0_12,Local5080_qwen-7b_svc-v2.0.1,임의의 스피커가 오늘의 메뉴를 알려준다.,,12.5130 seconds,31167,47,31214,17,17,오늘의 메뉴를 스피커로 출력해줘.,False,0.0,0.432836,unknown_services:Speaker_Speak,Speaker_Speak,"
menu = (#MenuProvider).MenuProvider_TodayMenu

(#Speaker).Speaker_Speak(""오늘의 메뉴는 "" + menu + ""입니다"")",(#Speaker).Speaker_Speak((#MenuProvider).Menu)
18,1,오늘의 301동 점심 메뉴를 스피커로 알려줘.,Tell me the lunch menu for Building 301 today through the speaker.,"{""name"": """", 
""cron"": """", 
""period"": 0, 
""script"": ""\nmenu = (#MenuProvider).GetMenu(\""오늘 301동식당 점심\"")\n\n(#Speaker).Speak(\""오늘의 메뉴는 \"" + menu + \""입니다\"")""}",,"{""name"": """", 
""cron"": """", 
""period"": 0, 
""script"": ""\nmenu = (#MenuProvider).MenuProvider_GetMenu(\""오늘 301동식당 점심\"")\n\n(#Speaker).Speaker_Speak(\""오늘의 메뉴는 \"" + menu + \""입니다\"")""}",version0_12,"{""name"": ""TodayLunchMenu"", ""cron"": """", ""period"": -1, ""code"": ""(#MenuProvider).GetMenu(\""오늘\"", \""301동\"", \""점심\"")""}",TodayLunchMenu,,-1,"(#MenuProvider).GetMenu(""오늘"", ""301동"", ""점심"")",Local5080_qwen-7b_svc-v2.0.1,gpt_mg.version0_12,Local5080_qwen-7b_svc-v2.0.1,오늘 301동의 점심 메뉴를 알려줘.,,12.7790 seconds,31174,55,31229,18,18,오늘의 301동 점심 메뉴를 스피커로 알려줘.,True,0.496454,0.496454,,GetMenu,"
menu = (#MenuProvider).MenuProvider_GetMenu(""오늘 301동식당 점심"")

(#Speaker).Speaker_Speak(""오늘의 메뉴는 "" + menu + ""입니다"")","(#MenuProvider).GetMenu(""오늘"", ""301동"", ""점심"")"
19,1,클라우드 AI한테 llm이 무엇인지 질문하고 답을 스피커로 출력해줘.,"Ask the cloud AI what an LLM is, and output its answer through the speaker.","{""name"": """", 
""cron"": """", 
""period"": 0, 
""script"": ""\nanswer = (#CloudServiceProvider).ChatWithAI(\""What is LLM?\"")\n\n(#Speaker).Speak(answer)""}",,"{""name"": """", 
""cron"": """", 
""period"": 0, 
""script"": ""\nanswer = (#CloudServiceProvider).CloudServiceProvider_ChatWithAI(\""What is LLM?\"")\n\n(#Speaker).Speaker_Speak(answer)""}",version0_12,"{""name"": ""AskCLoudAI"", ""cron"": """", ""period"": -1, ""code"": ""(#CloudServiceProvider).ChatWithAI(\""What is LLM?\""); (#Speaker).Speaker_Speak((#CloudServiceProvider).ChatWithAI(\""What is LLM?\""))""}",AskCLoudAI,,-1,"(#CloudServiceProvider).ChatWithAI(""What is LLM?""); (#Speaker).Speaker_Speak((#CloudServiceProvider).ChatWithAI(""What is LLM?""))",Local5080_qwen-7b_svc-v2.0.1,gpt_mg.version0_12,Local5080_qwen-7b_svc-v2.0.1,"먼저 클라우드 서비스 제공자에게 ""LLM이 무엇인가요?""라고 질문하고, 그 답변을 스피커로 들려준다.",,12.7753 seconds,31178,70,31248,19,19,클라우드 AI한테 llm이 무엇인지 질문하고 답을 스피커로 출력해줘.,False,0.0,0.658009,unknown_services:Speaker_Speak,"ChatWithAI, Speaker_Speak","
answer = (#CloudServiceProvider).CloudServiceProvider_ChatWithAI(""What is LLM?"")

(#Speaker).Speaker_Speak(answer)","(#CloudServiceProvider).ChatWithAI(""What is LLM?""); (#Speaker).Speaker_Speak((#CloudServiceProvider).ChatWithAI(""What is LLM?""))"
20,1,"조명의 색조를 200, 채도는 50으로 설정해줘.",Set the hue of the light to 200 and the saturation to 50.,"{""name"": """", 
""cron"": """", 
""period"": 0, 
""script"": ""\n(#Light).MoveToHueAndSaturation(200, 50)""}",,"{""name"": """", 
""cron"": """", 
""period"": 0, 
""script"": ""\n(#Light).Light_MoveToHueAndSaturation(200, 50)""}",version0_12,"{""name"": ""SetLightColorAndBrightness"", ""cron"": """", ""period"": -1, ""code"": ""(#Light).Light_SetColorAndBrightness(\""200|50\"")""}",SetLightColorAndBrightness,,-1,"(#Light).Light_SetColorAndBrightness(""200|50"")",Local5080_qwen-7b_svc-v2.0.1,gpt_mg.version0_12,Local5080_qwen-7b_svc-v2.0.1,임의의 조명의 색상과 밝기를 200|50으로 설정한다.,,12.4489 seconds,31177,52,31229,20,20,"조명의 색조를 200, 채도는 50으로 설정해줘.",False,0.0,0.637363,unknown_services:Light_SetColorAndBrightness,Light_SetColorAndBrightness,"
(#Light).Light_MoveToHueAndSaturation(200, 50)","(#Light).Light_SetColorAndBrightness(""200|50"")"
21,1,조명 색을 노란색으로 바꿔줘., Change the light color to yellow.,"{""name"": """", 
""cron"": """", 
""period"": 0, 
""script"": ""\n(#Light).MoveToRGB(255, 255, 0)""}",,"{""name"": """", 
""cron"": """", 
""period"": 0, 
""script"": ""\n(#Light).Light_MoveToRGB(255, 255, 0)""}",version0_12,"{""name"": ""ChangeLightColor"", ""cron"": """", ""period"": -1, ""code"": ""(#Light).ColorControl_SetColor(\""255|255|0\"")""}",ChangeLightColor,,-1,"(#Light).ColorControl_SetColor(""255|255|0"")",Local5080_qwen-7b_svc-v2.0.1,gpt_mg.version0_12,Local5080_qwen-7b_svc-v2.0.1,임의의 조명의 색상을 노란색으로 변경한다.,,12.5695 seconds,31165,52,31217,21,21,조명 색을 노란색으로 바꿔줘.,False,0.0,0.564103,unknown_services:ColorControl_SetColor,ColorControl_SetColor,"
(#Light).Light_MoveToRGB(255, 255, 0)","(#Light).ColorControl_SetColor(""255|255|0"")"
22,1,금고를 잠그어줘.,Lock the safe.,"{""name"": """", 
""cron"": """", 
""period"": 0, 
""script"": ""\n(#Safe).Lock()""}",,"{""name"": """", 
""cron"": """", 
""period"": 0, 
""script"": ""\n(#Safe).Safe_Lock()""}",version0_12,"{""name"": ""LockSafe"", ""cron"": """", ""period"": -1, ""code"": ""(#Safe).Safe_Lock()""}",LockSafe,,-1,(#Safe).Safe_Lock(),Local5080_qwen-7b_svc-v2.0.1,gpt_mg.version0_12,Local5080_qwen-7b_svc-v2.0.1,임의의 금고를 잠근다.,,12.3383 seconds,31162,39,31201,22,22,금고를 잠그어줘.,False,0.0,1.0,unknown_services:Safe_Lock,Safe_Lock,"
(#Safe).Safe_Lock()",(#Safe).Safe_Lock()
