category_analysis,command,connected_devices,options,GT,generated_code_gpt4.0_gpt_mg,cloud_similarity_gpt4o,generated_code_gpt-4.1_cap,cloud_similarity_gpt-4.1_cap,generated_code_gpt-4.1-mini_student,cloud_similarity_gpt-4.1-mini,joi_pred_Qwen2.5-Coder:7B,cloud_similarity_Qwen2.5-Coder:7B,joi_pred_llama4:scout.dense,script_similarity_llama4:scout.dense,generated_code_gpt4.0_gpt_mg,cloud_similarity_gpt4o_old
5,이산화탄소가 1000ppm 이상이고 블라인드가 열려 있으면 환풍기를 켜고 블라인드를 닫아 줘.,nan,nan,"{""name"": ""Scenario1"", ""cron"": """", ""period"": -1, ""code"": ""if (((#AirQualityDetector).carbonDioxideMeasurement_carbonDioxide >= 1000.0) and ((#Blind).blind_blind == \""open\"")) {\n  (#Fan).switch_on()\n  (#Blind).blind_close()\n}""}","{""name"": ""Scenario1"", ""cron"": """", ""period"": -1, ""code"": ""if (((#AirQualityDetector).carbonDioxideMeasurement_carbonDioxide >= 1000) and ((#Blind).blind_blind == \""open\"")) {\n (#Fan).switch_on()\n (#Blind).blind_close()\n}""}",1," 
{""name"": ""Scenario1"",""cron"": """",""period"": -1,""code"": ""if (((#AirQualityDetector).carbonDioxideMeasurement_carbonDioxide >= 1000) and ((#Blind).blind_blind == 'open')) { (#Fan).switch_on() (#Blind).blind_close() }""}",1,"[{'name': 'CO2 and Blinds Control', 'cron': '', 'period': -1, 'code': 'if (((#AirQualityDetector).carbonDioxideMeasurement_carbonDioxide > 1000.0) and ((#Blind).blind_blind == open)) {\n  (#Fan).switch_on()\n  (#Blind).blind_close()\n}'}]",0.8,"[{'name': 'Scenario1', 'cron': '', 'period': -1, 'code': 'if ((#AirQualityDetector).carbonDioxideMeasurement_carbonDioxide > 1000.0) and ((#Blind).blind_blind == ""open"") {\n  (#Fan).fanControl_setFanSpeed(100)\n  (#Blind).blind_close()\n}'}]",0.8,"{""cron"": """", ""period"": ""-1"", ""code"": ""if ((#CarbonDioxideSensor).carbonDioxideConcentration >= 1000) {\\n  if ((#Blind).blindState ==""}",0.62,"{""name"": ""Scenario1"", ""cron"": """", ""period"": -1, ""code"": ""if ((#AirQualityDetector).carbonDioxideMeasurement_carbonDioxide >= 1000 and (#Blind).blind_blind == \""open\"") {\n  (#Fan).switch_on()\n  (#Blind).blind_close()\n}""}",1
5,온도가 29도 이상이고 습도가 80% 이상이며 조명이 꺼져 있으면 에어컨을 켜고 조명을 켜 줘.,nan,nan,"{""name"": ""Scenario1"", ""cron"": """", ""period"": -1, ""code"": ""if (((#TemperatureSensor).temperatureMeasurement_temperature >= 29.0) and ((#HumiditySensor).relativeHumidityMeasurement_humidity >= 80.0) and ((#Light).switch_switch == \""off\"")) {\n  (#AirConditioner).switch_on()\n  (#Light).switch_on()\n}""}","{""name"": ""Scenario1"", ""cron"": """", ""period"": -1, ""code"": ""if (((#TemperatureSensor).temperatureMeasurement_temperature >= 29.0) and ((#HumiditySensor).relativeHumidityMeasurement_humidity >= 80.0) and ((#Light).switch_switch == \""off\"")) {\n (#AirConditioner).switch_on()\n (#Light).switch_on()\n}""}",1," 
{""name"": ""Scenario1"",""cron"": """",""period"": -1,""code"": ""if (((#TemperatureSensor).temperatureMeasurement_temperature >= 29) and ((#HumiditySensor).relativeHumidityMeasurement_humidity >= 80) and ((#Light).switch_switch == 'off')) { (#AirConditioner).switch_on() (#Light).switch_on() }""}",0.9,"[{'name': 'TemperatureHumidityLightControl', 'cron': '', 'period': -1, 'code': 'temp = (#TemperatureSensor).temperatureMeasurement_temperature\nhumidity = (#HumiditySensor).relativeHumidityMeasurement_humidity\nif ((temp > 29.0) and (humidity > 80.0) and (all(#Light).switch_switch == ""off"")) {\n  all(#AirConditioner).switch_on()\n  all(#Light).switch_on()\n}'}]",0.7,"[{'name': 'Scenario1', 'cron': '', 'period': -1, 'code': 'if ((#TemperatureSensor).temperatureMeasurement_temperature > 29.0) and ((#HumiditySensor).relativeHumidityMeasurement_humidity > 80.0) and ((#Light).switch_switch == ""off"") {\n  (#AirConditioner).airConditionerMode_setAirConditionerMode(\'cool\')\n  (#AirConditioner).airConditionerMode_setTemperature(27.0)\n  (#Light).switch_on()\n}'}]",0.7,"{""cron"": """", ""period"": ""-1"", ""code"": ""if ((#TemperatureSensor).temperatureMeasurement_temperature >= 29.0) {\\n  if ((#HumiditySensor).humidityMeasurement_humidity >= 80.0) {\\n    if ((#Light).switch_switch ==""}",0.932,"{""name"": ""Scenario1"", ""cron"": """", ""period"": -1, ""code"": ""if ((#TemperatureSensor).temperatureMeasurement_temperature >= 29.0 and (#HumiditySensor).relativeHumidityMeasurement_humidity >= 80.0 and (#Light).switch_switch == \""off\"") {\n  (#AirConditioner).switch_on()\n  (#Light).switch_on()\n}""}",1
5,조명이 켜져 있고 창문이 닫혀 있으면 커튼을 열고 환풍기를 꺼 줘.,nan,nan,"{""name"": ""Scenario1"", ""cron"": """", ""period"": -1, ""code"": ""if (((#Light).switch_switch == \""on\"") and ((#Window).windowControl_window == \""closed\"")) {\n  (#Curtain).curtain_open()\n  (#Fan).switch_off()\n}""}","{""name"": ""Scenario1"", ""cron"": """", ""period"": -1, ""code"": ""if ((#Light).switch_switch == \""on\"" and (#Window).windowControl_window == \""closed\"") {\n (#Curtain).curtain_open()\n (#Fan).switch_off()\n}""}",1," 
{""name"": ""Scenario1"",""cron"": """",""period"": -1,""code"": ""if (((#Light).switch_switch == 'on') and ((#Window).windowControl_window == 'closed')) {(#Curtain).curtain_open() (#Fan).switch_off()}""}",0.9,"[{'name': 'Scenario1', 'cron': '', 'period': -1, 'code': 'if ((any(#Light).switch_switch == ""on"") and (all(#Window).windowControl_window == ""closed"")) {\n  all(#Curtain).curtain_open()\n  all(#Fan).switch_off()\n}'}]",0.8,"[{'name': 'Scenario1', 'cron': '', 'period': -1, 'code': 'if ((#Light).switch_switch == ""on"") and ((#Window).windowControl_window == ""closed"") {\n  (#Curtain).windowShadeLevel_setShadeLevel(100)\n  (#Fan).switch_off()\n}'}]",0.6,"{""cron"": """", ""period"": ""-1"", ""code"": ""if ((#Light).lightState_switch ==""}",0.78,"{""name"": ""Scenario1"", ""cron"": """", ""period"": -1, ""code"": ""if ((#Light).switch_switch == \""on\"" and (#Window).windowControl_window == \""closed\"") {\n  (#Curtain).curtain_open()\n  (#Fan).switch_off()\n}""}",1
5,TV가 꺼져 있고 스피커가 재생 중이면 TV를 켜고 스피커를 꺼 줘.,nan,nan,"{""name"": ""Scenario1"", ""cron"": """", ""period"": -1, ""code"": ""if (((#Television).switch_switch == \""off\"") and ((#Speaker).mediaPlayback_playbackStatus == \""playing\"")) {\n  (#Television).switch_on()\n  (#Speaker).switch_off()\n}""}","{""name"": ""Scenario1"", ""cron"": """", ""period"": -1, ""code"": ""if ((#Television).switch_switch == \""off\"" and (#Speaker).mediaPlayback_playbackStatus == \""playing\"") {\n (#Television).switch_on()\n (#Speaker).switch_off()\n}""}",1," 
{""name"": ""Scenario1"",""cron"": """",""period"": -1,""code"": ""if (((#Television).switch_switch == 'off') and ((#Speaker).mediaPlayback_playbackStatus == 'playing')) {(#Television).switch_on() (#Speaker).switch_off()}""}",0.9,"[{'name': 'Scenario1', 'cron': '', 'period': -1, 'code': 'if (((#Television).switch_switch == ""off"") and ((#Speaker).mediaPlayback_playbackStatus == ""playing"")) {\n  (#Television).switch_on()\n  (#Speaker).switch_off()\n}'}]",1,"[{'name': 'Scenario1', 'cron': '', 'period': -1, 'code': 'if ((#Television).switch_switch == ""off"" and (#Speaker).mediaPlayback_playbackStatus == ""playing"") {\n  (#Television).switch_on()\n  (#Speaker).switch_off()\n}'}]",1,"{""cron"": """", ""period"": ""-1"", ""code"": ""if ((#TV).tv_isOn == false && (#Speaker).speaker_isPlaying == true) {\\n  (#TV).tv_turnOn()\\n  (#Speaker).speaker_stopPlaying()\\n""}",0.205,"{""name"": ""Scenario1"", ""cron"": """", ""period"": -1, ""code"": ""if ((#Television).switch_switch == \""off\"" and (#Speaker).mediaPlayback_playbackStatus == \""playing\"") {\n  (#Television).switch_on()\n  (#Speaker).switch_off()\n}""}",1
5,조명이 켜져 있고 블라인드가 열려 있으며 움직임이 감지되면 조명을 끄고 블라인드를 닫아 줘.,nan,nan,"{""name"": ""Scenario1"", ""cron"": """", ""period"": -1, ""code"": ""if ((#Light).switch_switch == \""on\"" and (#Blind).blind_blind == \""open\"") {\n  wait until ((#MotionSensor).motionSensor_motion == \""active\"")\n  (#Light).switch_off()\n  (#Blind).blind_close()\n}""}","{""name"": ""Scenario1"", ""cron"": """", ""period"": -1, ""code"": ""if ((#Light).switch_switch == \""on\"" and (#Blind).blind_blind == \""open\"") {\n  wait until ((#MotionSensor).motionSensor_motion == \""active\"")\n  (#Light).switch_off()\n  (#Blind).blind_close()\n}",1," 
{""name"": ""Scenario1"",""cron"": """",""period"": -1,""code"": ""prev_motion_state := (#MotionSensor).motionSensor_motion\nmotion_state = (#MotionSensor).motionSensor_motion\nif ((prev_motion_state != 'active') and (motion_state == 'active') and ((#Light).switch_switch == 'on') and ((#Blind).blind_blind == 'open')) {\n    (#Light).switch_off()\n    (#Blind).blind_close()\n}\nprev_motion_state = motion_state""}",0.7,"[{'name': 'TurnOffLightsAndCloseBlindsOnMotion', 'cron': '', 'period': -1, 'code': 'if (((#Light).switch_switch == ""on"") and ((#Blind).blind_blind == ""open"") and ((#MotionSensor).motionSensor_motion == ""active"")) {\n  (#Light).switch_off()\n  (#Blind).blind_close()\n}'}]",1,"[{'name': 'Scenario1', 'cron': '', 'period': -1, 'code': 'if ((#Light).switch_switch == ""on"") and ((#Blind).blind_blind == ""open"") and ((#MotionSensor).motionSensor_motion == ""active"") {\n  (#Light).switch_off()\n  (#Blind).blind_close()\n}'}]",1,"{""cron"": """", ""period"": ""-1"", ""code"": ""if ((#Light).switch_switch ==""}",0.982,"{""name"": ""Scenario1"", ""cron"": """", ""period"": -1, ""code"": ""if ((#Light).switch_switch == \""on\"" and (#Blind).blind_blind == \""open\"" and (#MotionSensor).motionSensor_motion == \""active\"") {\n  (#Light).switch_off()\n  (#Blind).blind_close()\n}""}",1
5,알람이 꺼져 있고 조명이 꺼져 있으며 커튼이 열려 있으면 사이렌을 울리고 조명을 켜 줘.,nan,nan,"{""name"": ""Scenario1"", ""cron"": """", ""period"": -1, ""code"": ""if (((#Alarm).alarm_alarm == \""off\"") and ((#Light).switch_switch == \""off\"") and ((#Curtain).curtain_curtain == \""open\"")) {\n  (#Alarm).alarm_siren()\n  (#Light).switch_on()\n}""}","{""name"": ""Scenario1"", ""cron"": """", ""period"": -1, ""code"": ""if ((#Alarm).alarm_alarm == \""off\"" and (#Light).switch_switch == \""off\"" and (#Curtain).curtain_curtain == \""open\"") {\n  (#Alarm).alarm_siren()\n  (#Light).switch_on()\n}""}",1," 
{""name"": ""Scenario1"",""cron"": """",""period"": -1,""code"": ""if (((#Alarm).alarm_alarm == 'off') and ((#Light).switch_switch == 'off') and ((#Curtain).curtain_curtain == 'open')) {(#Siren).sirenMode_setSirenMode('siren') (#Light).switch_on()}""}",1,"[{'name': 'Scenario1', 'cron': '', 'period': -1, 'code': 'if (((#Alarm).alarm_alarm == ""off"") and ((#Light).switch_switch == ""off"") and ((#Curtain).curtain_curtain == ""open"")) {\n  if (any(#Alarm)) {\n    (#Alarm).alarm_siren()\n  } else if (any(#Siren)) {\n    (#Siren).sirenMode_setSirenMode(""siren"")\n    all(#Siren).switch_on()\n  }\n  all(#Light).switch_on()\n}'}]",0.6,"[{'name': 'Scenario1', 'cron': '', 'period': -1, 'code': 'if ((#Alarm).alarm_alarm == ""off"") and ((#Light).switch_switch == ""off"") and ((#Curtain).curtain_curtain == ""open"") {\n  (#Siren).switch_on()\n  (#Light).switch_on()\n}'}]",0.8,"{""cron"": """", ""period"": ""-1"", ""code"": ""if ((#Alarm).alarmState_isOff && (#Light).lightState_isOff && (#Curtain).curtainState_isOpen) {\\n  (#Sirens).sirensState_on()\\n  (#Light).lightState_on()\\n""}",0.25,"{""name"": ""Scenario1"", ""cron"": """", ""period"": -1, ""code"": ""if ((#Alarm).alarm_alarm == \""off\"" and (#Light).switch_switch == \""off\"" and (#Curtain).curtain_curtain == \""open\"") {\n  (#Alarm).alarm_siren()\n  (#Light).switch_on()\n}""}",1
5,에어컨이 꺼져 있고 커튼이 닫혀 있으면 에어컨을 켜고 커튼을 열어 줘.,nan,nan,"{""name"": ""Scenario1"", ""cron"": """", ""period"": -1, ""code"": ""if (((#AirConditioner).switch_switch == \""off\"") and ((#Curtain).curtain_curtain == \""closed\"")) {\n  (#AirConditioner).switch_on()\n  (#Curtain).curtain_open()\n}""}","{""name"": ""Scenario1"", ""cron"": """", ""period"": -1, ""code"": ""if ((#AirConditioner).switch_switch == \""off\"" and (#Curtain).curtain_curtain == \""closed\"") {\n (#AirConditioner).switch_on()\n (#Curtain).curtain_open()\n}""}",1," 
{""name"": ""Scenario1"",""cron"": """",""period"": -1,""code"": ""if (((#AirConditioner).switch_switch == 'off') and ((#Curtain).curtain_curtain == 'closed')) {(#AirConditioner).switch_on() (#Curtain).curtain_open()}""}",1,"[{'name': 'Scenario1', 'cron': '', 'period': -1, 'code': 'if (((#AirConditioner).switch_switch == ""off"") and ((#Curtain).curtain_curtain == ""closed"")) {\n  (#AirConditioner).switch_on()\n  (#Curtain).curtain_open()\n}'}]",1,"[{'name': 'Scenario1', 'cron': '', 'period': -1, 'code': 'if ((#AirConditioner).switch_switch == ""off"") and ((#Curtain).curtain_curtain == ""closed"") {\n  (#AirConditioner).switch_on()\n  (#Curtain).curtain_open()\n}'}]",1,"{""cron"": """", ""period"": ""-1"", ""code"": ""if ((#AirConditioner).airConditionerState_isOn == false && (#Curtain).curtainState_isOpen == false) {\\n  (#AirConditioner).airConditionerControl_turnOn()\\n  (#Curtain).curtainControl_open()\\n""}",0.272,"{""name"": ""Scenario1"", ""cron"": """", ""period"": -1, ""code"": ""if ((#AirConditioner).switch_switch == \""off\"" and (#Curtain).curtain_curtain == \""closed\"") {\n  (#AirConditioner).switch_on()\n  (#Curtain).curtain_open()\n}""
}""}",1
5,창문이 열려 있고 조명이 꺼져 있으며 커튼이 닫혀 있으면 조명을 켜고 커튼을 열어 줘. 또한 관수기가 꺼져 있고 토양 수분이 40% 이하이면 관수기로 물을 줘.,nan,nan,"{""name"": ""Scenario1"", ""cron"": """", ""period"": -1, ""code"": ""if (((#Window).windowControl_window == \""open\"") and ((#Light).switch_switch == \""off\"") and ((#Curtain).curtain_curtain == \""closed\"")) {\n  (#Light).switch_on()\n  (#Curtain).curtain_open()\n}\n

if (((#Irrigator).switch_switch == \""off\"") and ((#SoilMoistureSensor).soilHumidityMeasurement_soilHumidity <= 40.0)) {\n  (#Irrigator).irrigatorOperatingState_startWatering()\n}""}","{'name': 'Scenario1', 'cron': '', 'period': -1, 'code': 'if ((#Window).windowControl_window == ""open"" and (#Light).switch_switch == ""off"" and (#Curtain).curtain_curtain == ""closed"") {\n (#Light).switch_on()\n (#Curtain).curtain_open()\n}\nif ((#Irrigator).switch_switch == ""off"" and (#SoilMoistureSensor).soilHumidityMeasurement_soilHumidity <= 40.0) {\n (#Irrigator).irrigatorOperatingState_startWatering()\n}'}",1," 
{""name"": ""Scenario1"",""cron"": """",""period"": -1,""code"": ""if (((#Window).windowControl_window == 'open') and ((#Light).switch_switch == 'off') and ((#Curtain).curtain_curtain == 'closed')) {(#Light).switch_on() (#Curtain).curtain_open()} if (((#Irrigator).switch_switch == 'off') and ((#SoilMoistureSensor).soilHumidityMeasurement_soilHumidity <= 40)) {(#Irrigator).irrigatorOperatingState_startWatering()}""}",1,"[{'name': 'Scenario1', 'cron': '', 'period': -1, 'code': 'if ((any(#Window).windowControl_window == ""open"") and (all(#Light).switch_switch == ""off"") and (all(#Curtain).curtain_curtain == ""closed"")) {\n  all(#Light).switch_on()\n  all(#Curtain).curtain_open()\n}'}, {'name': 'Scenario2', 'cron': '', 'period': -1, 'code': 'if ((all(#Irrigator).switch_switch == ""off"") and ((#SoilMoistureSensor).soilHumidityMeasurement_soilHumidity < 40.0)) {\n  all(#Irrigator).switch_on()\n}'}]",0.8,"[{'name': 'Scenario1', 'cron': '', 'period': -1, 'code': 'if ((#Window).windowControl_window == ""open"" and (#Light).switch_switch == ""off"" and (#Curtain).windowShade_windowShade == ""closed"") {\n  (#Light).switch_on()\n  (#Curtain).windowShadeLevel_setShadeLevel(100)\n}'}, {'name': 'Scenario2', 'cron': '', 'period': -1, 'code': 'if ((#Irrigator).switch_switch == ""off"" and (#SoilMoistureSensor).soilHumidityMeasurement_soilHumidity < 40.0) {\n  (#Irrigator).switch_on()\n}'}]",0.7,"{""cron"": """", ""period"": ""1000"", ""code"": ""count1 := 0\\ncount2 := 0\\nwhile (true) {\\n  if ((#IrrigationDevice).irrigationDevice_isOn == false) {\\n    (#IrrigationDevice).irrigationDevice_turnOn()\\n    count1 = count1 + 1\\n""}",0.286,"{'name': 'Scenario1', 'cron': '', 'period': -1, 'code': 'if ((#Window).windowControl_window == """"open"""" and (#Light).switch_switch == """"off"""" and (#Curtain).curtain_curtain == """"closed"""") {\n  (#Light).switch_on()\n  (#Curtain).curtain_open()\n}\nif ((#Irrigator).switch_switch == """"off"""" and (#SoilMoistureSensor).soilHumidityMeasurement_soilHumidity <= 40.0) {\n  (#Irrigator).irrigatorOperatingState_startWatering()\n}'}",1
5,환풍기가 꺼져 있고 이산화탄소 수치가 1000 이상이며 커튼이 닫혀 있으면 환풍기를 켜고 커튼을 열어 줘. 조명이 꺼져 있고 온도가 27도 이상이면 조명을 켜고 블라인드를 닫아 줘.,nan,nan,"{""name"": ""Scenario1"", ""cron"": """", ""period"": -1, ""code"": ""if (((#Fan).switch_switch == \""off\"") and ((#AirQualityDetector).carbonDioxideMeasurement_carbonDioxide >= 1000.0) and ((#Curtain).curtain_curtain == \""closed\"")) {\n  (#Fan).switch_on()\n  (#Curtain).curtain_open()\n}\nif (((#Light).switch_switch == \""off\"") and ((#TemperatureSensor).temperatureMeasurement_temperature >= 27.0)) {\n  (#Light).switch_on()\n  (#Blind).blind_close()\n}""}","{'name': 'Scenario1', 'cron': '', 'period': -1, 'code': 'if ((#Fan).switch_switch == ""off"" and (#AirQualityDetector).carbonDioxideMeasurement_carbonDioxide >= 1000 and (#Curtain).curtain_curtain == ""closed"") {\n (#Fan).switch_on()\n (#Curtain).curtain_open()\n}\nif ((#Light).switch_switch == ""off"" and (#TemperatureSensor).temperatureMeasurement_temperature >= 27.0) {\n (#Light).switch_on()\n (#Blind).blind_close()\n}'}",1,"
{""name"": ""Scenario1"",""cron"": """",""period"": -1,""code"": ""if (((#Fan).switch_switch == 'off') and ((#AirQualityDetector).carbonDioxideMeasurement_carbonDioxide >= 1000) and ((#Curtain).curtain_curtain == 'closed')) { (#Fan).switch_on() (#Curtain).curtain_open() } if (((#Light).switch_switch == 'off') and ((#TemperatureSensor).temperatureMeasurement_temperature >= 27)) { (#Light).switch_on() (#Blind).blind_close() }""}",1,"[{'name': 'FanCurtainControl', 'cron': '', 'period': -1, 'code': 'if (((#Fan).switch_switch == ""off"") and ((#AirQualityDetector).carbonDioxideMeasurement_carbonDioxide > 1000.0) and ((#Curtain).curtain_curtain == ""closed"")) {\n  (#Fan).switch_on()\n  (#Curtain).curtain_open()\n}'}, {'name': 'LightBlindControl', 'cron': '', 'period': -1, 'code': 'if (((#Light).switch_switch == ""off"") and ((#TemperatureSensor).temperatureMeasurement_temperature > 27.0)) {\n  (#Light).switch_on()\n  (#Blind).blind_close()\n}'}]",0.9,"[{'name': 'Scenario1', 'cron': '', 'period': -1, 'code': 'if ((#Fan).switch_switch == ""off"") and ((#AirQualityDetector).carbonDioxideMeasurement_carbonDioxide > 1000) and ((#Curtain).curtain_curtain == ""closed"") {\n  (#Fan).switch_on()\n  (#Curtain).curtain_open()\n}'}, {'name': 'Scenario2', 'cron': '', 'period': -1, 'code': 'if ((#Light).switch_switch == ""off"") and ((#TemperatureSensor).temperatureMeasurement_temperature > 27.0) {\n  (#Light).switch_on()\n  (#Blind).blind_close()\n}'}]",0.9,"{""cron"": """", ""period"": ""-1"", ""code"": ""count := 0\\nopen_time := 0\\nclose_time := 0\\nloop {\\n  if ((#Window).windowState_state ==""}",0.254,"{'name': 'Scenario1', 'cron': '', 'period': -1, 'code': 'if ((#Fan).switch_switch == ""off"" and (#AirQualityDetector).carbonDioxideMeasurement_carbonDioxide >= 1000.0 and (#Curtain).curtain_curtain == ""closed"") {\n  (#Fan).switch_on()\n  (#Curtain).curtain_open()\n}\nif ((#Light).switch_switch == ""off"" and (#AirQualityDetector).temperatureMeasurement_temperature >= 27.0) {\n  (#Light).switch_on()\n  (#Blind).blind_close()\n}'}",1
5,에어컨이 꺼져 있고 온도가 29도 이상이며 습도가 70% 이상이면 제습기를 제습 모드로 설정하고 켜 줘. 커튼이 열려 있고 조명이 꺼져 있으면 커튼을 닫고 조명을 켜 줘.,nan,nan,"{""name"": ""Scenario1"", ""cron"": """", ""period"": -1, ""code"": ""if (((#AirConditioner).switch_switch == \""off\"") and ((#TemperatureSensor).temperatureMeasurement_temperature >= 29.0) and ((#HumiditySensor).relativeHumidityMeasurement_humidity >= 70.0)) {\n  (#Dehumidifier).airConditionerMode_setAirConditionerMode(\""dehumidifying\"")\n  (#Dehumidifier).switch_on()\n}\nif (((#Curtain).curtain_curtain == \""open\"") and ((#Light).switch_switch == \""off\"")) {\n  (#Curtain).curtain_close()\n  (#Light).switch_on()\n}""}","{""name"": ""Scenario1"", ""cron"": """", ""period"": -1, ""code"": ""if (((#AirConditioner).switch_switch == \""off\"") and ((#TemperatureSensor).temperatureMeasurement_temperature >= 29.0) and ((#HumiditySensor).relativeHumidityMeasurement_humidity >= 70.0)) {\n (#Dehumidifier).dehumidifierMode_setDehumidifierMode(\""dehumidifying\"")\n (#Dehumidifier).switch_on()\n}\nif (((#Curtain).curtain_curtain == \""open\"") and ((#Light).switch_switch == \""off\"")) {\n (#Curtain).curtain_close()\n (#Light).switch_on()\n}"" }""}",1,"{""name"": ""Scenario1"",""cron"": """",""period"": -1,""code"": ""if (((#AirConditioner).switch_switch == 'off') and ((#AirQualityDetector).temperatureMeasurement_temperature >= 29) and ((#AirQualityDetector).relativeHumidityMeasurement_humidity >= 70)) { (#Dehumidifier).dehumidifierMode_setDehumidifierMode('dehumidifying') (#Dehumidifier).switch_on() } if (((#Curtain).curtain_curtain == 'open') and ((#Light).switch_switch == 'off')) { (#Curtain).curtain_close() (#Light).switch_on() }""}",1,"[{'name': 'ControlDehumidifier', 'cron': '', 'period': -1, 'code': 'if (((#AirConditioner).switch_switch == ""off"") and ((#AirQualityDetector).temperatureMeasurement_temperature > 29.0) and ((#HumiditySensor).relativeHumidityMeasurement_humidity > 70.0)) {\n  (#Dehumidifier).dehumidifierMode_setDehumidifierMode(""dehumidifying"")\n  (#Dehumidifier).switch_on()\n}'}, {'name': 'CurtainsAndLightsControl', 'cron': '', 'period': -1, 'code': 'if (((#Curtain).curtain_curtain == ""open"") and ((#Light).switch_switch == ""off"")) {\n  (#Curtain).curtain_close()\n  (#Light).switch_on()\n}'}]",0.85,"[{'name': 'Scenario1', 'cron': '', 'period': -1, 'code': 'if ((#AirConditioner).switch_switch == ""off"") and ((#TemperatureSensor).temperatureMeasurement_temperature > 29.0) and ((#HumiditySensor).relativeHumidityMeasurement_humidity > 70.0) {\n  (#Dehumidifier).dehumidifierMode_setDehumidifierMode(""dehumidifying"")\n  (#Dehumidifier).switch_on()\n}'}, {'name': 'Scenario2', 'cron': '', 'period': -1, 'code': 'if ((#Curtain).curtain_curtain == ""open"") and ((#Light).switch_switch == ""off"") {\n  (#Curtain).curtain_close()\n  (#Light).switch_on()\n}'}]",0.85,"{""cron"": ""0 * * * *"", ""period"": ""30000"", ""code"": ""count := 0     dehumidifierStatus := (#Dehumidifier).dehumidifierStatus_getStatus()     if (dehumidifierStatus ==""}",0.293,"{""name"": ""Scenario1"", ""cron"": """", ""period"": -1, ""code"": ""if ((#AirConditioner).switch_switch == \""off\"" and (#AirQualityDetector).temperatureMeasurement_temperature >= 29.0 and (#AirQualityDetector).relativeHumidityMeasurement_humidity >= 70.0) {\n  (#Dehumidifier).dehumidifierMode_setDehumidifierMode(\""dehumidifying\"")\n  (#Dehumidifier).switch_on()\n}\nif ((#Curtain).curtain_curtain == \""open\"" and (#Light).switch_switch == \""off\"") {\n  (#Curtain).curtain_close()\n  (#Light).switch_on()\n}""}",1
5,조명이 꺼져 있고 움직임이 감지되지 않으며 커튼이 열려 있으면 조명을 켜고 커튼을 닫아 줘. 관수기가 꺼져 있고 창문이 닫혀 있으면 관수기를 켜고 창문을 열어 줘.,nan,nan,"{""name"": ""Scenario1"", ""cron"": """", ""period"": -1, ""code"": ""if (((#Light).switch_switch == \""off\"") and ((#MotionSensor).motionSensor_motion == \""inactive\"") and ((#Curtain).curtain_curtain == \""open\"")) {\n  (#Light).switch_on()\n  (#Curtain).curtain_close()\n}\nif (((#Irrigator).switch_switch == \""off\"") and ((#Window).windowControl_window == \""closed\"")) {\n  (#Irrigator).switch_on()\n  (#Window).windowControl_open()\n}""}","{'name': 'Scenario1', 'cron': '', 'period': -1, 'code': 'if ((#Light).switch_switch == ""off"" and (#MotionSensor).motionSensor_motion == ""inactive"" and (#Curtain).curtain_curtain == ""open"") {\n (#Light).switch_on()\n (#Curtain).curtain_close()\n}\nif ((#Irrigator).switch_switch == ""off"" and (#Window).windowControl_window == ""closed"") {\n (#Irrigator).switch_on()\n (#Window).windowControl_open()\n}'}",1,"{""name"": ""Scenario1"",""cron"": """",""period"": -1,""code"": ""if (((#Light).switch_switch == 'off') and ((#MotionSensor).motionSensor_motion == 'inactive') and ((#Curtain).curtain_curtain == 'open')) { (#Light).switch_on() (#Curtain).curtain_close() } if (((#Irrigator).switch_switch == 'off') and ((#Window).windowControl_window == 'closed')) { (#Irrigator).irrigatorOperatingState_startWatering() (#Window).windowControl_open() }""}",0.9,"[{'name': 'Scenario1', 'cron': '', 'period': -1, 'code': 'if ((#Light).switch_switch == ""off"") and ((#MotionSensor).motionSensor_motion == ""inactive"") and ((#Curtain).curtain_curtain == ""open"") {\n  (#Light).switch_on()\n  (#Curtain).curtain_close()\n}'}, {'name': 'Scenario2', 'cron': '', 'period': -1, 'code': 'if ((#Irrigator).switch_switch == ""off"") and ((#Window).windowControl_window == ""closed"") {\n  (#Irrigator).switch_on()\n  (#Window).windowControl_open()\n}'}]",1,"[{'name': 'Scenario1', 'cron': '', 'period': -1, 'code': 'if ((#Light).switch_switch == ""off"") and ((#MotionSensor).motionSensor_motion == ""inactive"") and ((#Curtain).curtain_curtain == ""open"") {\n  (#Light).switch_on()\n  (#Curtain).curtain_close()\n}'}, {'name': 'Scenario2', 'cron': '', 'period': -1, 'code': 'if ((#Irrigator).switch_switch == ""off"") and ((#Window).windowControl_window == ""closed"") {\n  (#Irrigator).switch_on()\n  (#Window).windowControl_open()\n}'}]",1,"{""cron"": ""*/10 * * * *"", ""period"": ""-1"", ""code"": ""prevTemp = (#TemperatureSensor).temperature     if (prevTemp != null) {       count = 0       currentTemp = (#TemperatureSensor).temperature       if (currentTemp - prevTemp >= 5) {         count = count + 1""}",0.309,"{'name': 'Scenario1', 'cron': '', 'period': -1, 'code': 'if ((#Light).switch_switch == ""off"" and (#MotionSensor).motionSensor_motion == ""inactive"" and (#Curtain).curtain_curtain == ""open"") {\n  (#Light).switch_on()\n  (#Curtain).curtain_close()\n}\nif ((#Irrigator).switch_switch == ""off"" and (#Window).windowControl_window == ""closed"") {\n  (#Irrigator).switch_on()\n  (#Window).windowControl_open()\n}'}",1
