row_no,category,command_eng,command_kor,gt_code,generated_code,det_score,det_pass,det_profile,det_gt_exact,det_gt_similarity,det_gt_service_coverage,det_gt_receiver_coverage,det_dataflow_score,det_numeric_grounding,det_enum_grounding,failure_reasons,prompt_tokens,completion_tokens,total_tokens,llm_latency_sec,total_pipeline_sec,tokens_per_sec,peak_vram_gb,service_list_snippet_source,service_list_device_count,service_list_retrieval_status,service_list_retrieval_mode,service_list_retrieval_topk,service_list_retrieval_categories,generation_error_type
31,2,Set the living room light to yellow.,거실 조명을 노란색으로 설정해줘.,"(#LivingRoom #Light).ColorControl_SetColor(""255|255|0"")","(#LivingRoom #Light).light_movetorgb(255, 255, 0)",60.1324,False,strict,False,0.626471,0.0,0.0,1.0,1.0,1.0,"[""gt_mismatch"", ""gt_receiver_coverage"", ""gt_service_coverage""]",7893,59,7952,2.7478,5.1142,2893.9515,15.6707,connected_devices_only,2,skipped_connected_devices_present,hybrid,10,[],
32,2,Capture an image of the meeting room with the camera.,카메라로 회의실 사진을 촬영해줘.,(#MeetingRoom #Camera).Camera_CaptureImage(),(#MeetingRoom #Camera).camera_captureimage(),97.4466,True,strict,False,0.969318,1.0,1.0,1.0,1.0,1.0,"[""gt_mismatch""]",5402,44,5446,1.9391,4.3119,2808.5194,15.2056,connected_devices_only,2,skipped_connected_devices_present,hybrid,10,[],
33,2,Set the brightness of the living room light to 80%.,거실 조명의 밝기를 80%로 설정해줘.,"(#LivingRoom #Light).Light_MoveToBrightness(80, 0)",(#LivingRoom #Light).light_movetobrightness(80),93.0156,True,strict,False,0.953125,1.0,1.0,1.0,0.75,1.0,"[""arg_type"", ""gt_mismatch"", ""numeric_grounding""]",7187,50,7237,2.3707,4.7055,3052.6849,15.5387,connected_devices_only,2,skipped_connected_devices_present,hybrid,10,[],
34,2,Set all dehumidifiers in the lab to AI drying mode.,연구실 제습기를 모두 AI건조모드로 설정해줘.,"all(#Lab #Dehumidifier).Dehumidifier_SetDehumidifierMode(""AIDrying"")","all(#Lab #Dehumidifier).dehumidifier_setdehumidifiermode(""AIDrying"")",95.0676,True,strict,False,0.973529,1.0,1.0,1.0,1.0,1.0,"[""gt_mismatch"", ""semantic""]",5424,67,5491,2.5074,4.8711,2189.9178,15.2088,connected_devices_only,3,skipped_connected_devices_present,hybrid,10,[],
35,2,Set the hue of the living room light to 240 and the saturation to 80.,"거실 조명의 색조는 240, 채도는 80으로 맞춰줘.","(#LivingRoom #Light).Light_MoveToHueAndSaturation(240, 80)","(#LivingRoom #Light).light_movetohueandsaturation(240, 80)",97.0965,True,strict,False,0.952632,1.0,1.0,1.0,1.0,1.0,"[""gt_mismatch""]",7186,62,7248,2.7067,5.1311,2677.7995,15.5386,connected_devices_only,2,skipped_connected_devices_present,hybrid,10,[],
36,2,Set all robot vacuum cleaners with even tags to auto mode.,짝수 태그 로봇 청소기를 모두 자동 모드로 설정해줘.,"all(#Even #RobotVacuumCleaner).RobotVacuumCleaner_SetRobotVacuumCleanerModeMode(""auto"")",all(#Even #RobotVacuumCleaner).setrobotvacuumcleanermodemode(auto),93.5567,True,strict,False,0.897059,1.0,1.0,1.0,1.0,1.0,"[""arg_type"", ""gt_mismatch""]",4715,61,4776,2.2332,4.5733,2138.6351,15.0742,connected_devices_only,2,skipped_connected_devices_present,hybrid,10,[],
37,2,Lock all door locks.,모든 도어락을 잠궈줘.,all(#DoorLock).DoorLock_Lock(),"all(#Back #DoorLock).doorlock_lock()
all(#Front #DoorLock).doorlock_lock()",97.017,True,strict,False,0.803398,1.0,1.0,1.0,1.0,1.0,"[""gt_mismatch""]",4614,58,4672,2.1948,4.5655,2128.6678,15.0584,connected_devices_only,2,skipped_connected_devices_present,hybrid,10,[],
38,2,Set the target temperature of the air conditioner in Sector1 to 18 degrees.,구역1의 에어컨의 목표 온도를 18도로 설정해줘.,(#Sector1 #AirConditioner).AirConditioner_SetTargetTemperature(18),(#Sector1 #AirConditioner).settargettemperature(18.0),95.0651,True,strict,False,0.913025,1.0,1.0,1.0,0.5,1.0,"[""gt_mismatch"", ""numeric_grounding""]",4906,51,4957,2.0071,4.3772,2469.7324,15.1164,connected_devices_only,2,skipped_connected_devices_present,hybrid,10,[],
39,2,Change the air purifier in the bedroom to sleep mode.,안방의 공기청정기를 수면모드로 바꿔줘.,"(#Bedroom #AirPurifier).AirPurifier_SetAirPurifierMode(""sleep"")",(#Bedroom #AirPurifier).airpurifier_setairpurifiermode(sleep),94.846,True,strict,False,0.949194,1.0,1.0,1.0,1.0,1.0,"[""arg_type"", ""gt_mismatch""]",4621,57,4678,2.1714,4.4997,2154.3705,15.0594,connected_devices_only,2,skipped_connected_devices_present,hybrid,10,[],
40,2,Close all valves in the kitchen.,주방의 모든 벨브를 닫아줘.,all(#Kitchen #Valve).Valve_Close(),"all(#Kitchen #Gas #Valve).valve_close()
all(#Kitchen #Water #Valve).valve_close()",96.6132,True,strict,False,0.802632,1.0,1.0,1.0,1.0,1.0,"[""gt_mismatch""]",5099,62,5161,2.3407,4.6955,2204.896,15.1468,connected_devices_only,3,skipped_connected_devices_present,hybrid,10,[],
