row_no,category,command_eng,command_kor,gt,gt_name,gt_cron,gt_period,gt_code,qwen25_coder_7b__det_score,qwen25_coder_7b__det_gt_exact,qwen25_coder_7b__det_gt_similarity,qwen25_coder_7b__failure_reasons,qwen25_coder_7b__output,qwen25_coder_7b__output_name,qwen25_coder_7b__output_cron,qwen25_coder_7b__output_period,qwen25_coder_7b__output_code
11,1,Tell me the outdoor humidity through the speaker.,외부 습도를 스피커로 말해줘.,"{""name"": """", 
""cron"": """", 
""period"": 0, 
""script"": ""\nhum = (#WeatherProvider).WeatherProvider_HumidityWeather\n\n(#Speaker).Speaker_Speak(\""외부 습도는 \"" + hum + \""%입니다\"")""}",,,0,"
hum = (#WeatherProvider).WeatherProvider_HumidityWeather

(#Speaker).Speaker_Speak(""외부 습도는 "" + hum + ""%입니다"")",24.0,False,0.3,"[""arg_type"", ""extraneous"", ""gt_mismatch"", ""precondition"", ""semantic"", ""service_match""]","{""name"":""TellOutdoorHumidityThroughSpeaker"",""cron"":"""",""period"":0,""code"":""""}",TellOutdoorHumidityThroughSpeaker,,0,
12,1,Output today's weather through the speaker.,오늘의 날씨를 스피커로 출력해줘.,"{""name"": """", 
""cron"": """", 
""period"": 0, 
""script"": ""\nweather = (#WeatherProvider).WeatherProvider_Weather\n\n(#Speaker).Speaker_Speak(\""오늘 날씨는 \"" + weather + \""입니다\"")""}",,,0,"
weather = (#WeatherProvider).WeatherProvider_Weather

(#Speaker).Speaker_Speak(""오늘 날씨는 "" + weather + ""입니다"")",24.0,False,0.3,"[""arg_type"", ""extraneous"", ""gt_mismatch"", ""precondition"", ""semantic"", ""service_match""]","{""name"":""OutputTodayWeatherThroughSpeaker"",""cron"":"""",""period"":0,""code"":""""}",OutputTodayWeatherThroughSpeaker,,0,
13,1,Announce the fine dust level through the speaker.,미세먼지 농도를 스피커로 알려줘.,"{""name"": """", 
""cron"": """", 
""period"": 0, 
""script"": ""\ndust = (#AirQualitySensor).AirQualitySensor_DustLevel\n\n(#Speaker).Speaker_Speak(\""미세먼지 농도는 \"" + dust + \""입니다\"")""}",,,0,"
dust = (#AirQualitySensor).AirQualitySensor_DustLevel

(#Speaker).Speaker_Speak(""미세먼지 농도는 "" + dust + ""입니다"")",24.0,False,0.3,"[""arg_type"", ""extraneous"", ""gt_mismatch"", ""precondition"", ""semantic"", ""service_match""]","{""name"":""AnnounceFineDustLevel"",""cron"":"""",""period"":0,""code"":""""}",AnnounceFineDustLevel,,0,
14,1,Announce the outdoor fine dust level using the speaker.,외부 미세먼지 농도를 스피커로 알려줘.,"{""name"": """", 
""cron"": """", 
""period"": 0, 
""script"": ""\ndust = (#WeatherProvider).WeatherProvider_Pm10Weather\n\n(#Speaker).Speaker_Speak(\""외부 미세먼지 농도는 \"" + dust + \""입니다\"")""}",,,0,"
dust = (#WeatherProvider).WeatherProvider_Pm10Weather

(#Speaker).Speaker_Speak(""외부 미세먼지 농도는 "" + dust + ""입니다"")",24.0,False,0.3,"[""arg_type"", ""extraneous"", ""gt_mismatch"", ""precondition"", ""semantic"", ""service_match""]","{""name"":""AnnounceFineDustLevel"",""cron"":"""",""period"":0,""code"":""""}",AnnounceFineDustLevel,,0,
15,1,"Generate a cat image using cloud service and save it as ""cat.png"".","클라우드로 고양이 사진을 생성하고 ""cat.png""로 저장해줘.","{""name"": """", 
""cron"": """", 
""period"": 0, 
""script"": ""\nimg = (#CloudServiceProvider).CloudServiceProvider_GenerateImage(\""Generate a cat image\"")\n\n(#CloudServiceProvider).CloudServiceProvider_SaveToFile(img, \""cat.png\"")""}",,,0,"
img = (#CloudServiceProvider).CloudServiceProvider_GenerateImage(""Generate a cat image"")

(#CloudServiceProvider).CloudServiceProvider_SaveToFile(img, ""cat.png"")",24.0,False,0.3,"[""arg_type"", ""extraneous"", ""gt_mismatch"", ""precondition"", ""semantic"", ""service_match""]","{""name"":""GenerateCatImageUsingCloudService"",""cron"":"""",""period"":0,""code"":""""}",GenerateCatImageUsingCloudService,,0,
16,1,Output the charger's power consumption through the speaker.,충전기의 전력소모량을 스피커로 출력해줘.,"{""name"": """",
""cron"": """", 
""period"": 0, 
""script"": ""\npower = (#Charger).Charger_Power\n\n(#Speaker).Speaker_Speak(\""전력소모량은 \"" + power + \""입니다\"")""}",,,0,"
power = (#Charger).Charger_Power

(#Speaker).Speaker_Speak(""전력소모량은 "" + power + ""입니다"")",24.0,False,0.3,"[""arg_type"", ""extraneous"", ""gt_mismatch"", ""precondition"", ""semantic"", ""service_match""]","{""name"":""OutputChargerPowerConsumptionThroughSpeaker"",""cron"":"""",""period"":0,""code"":""""}",OutputChargerPowerConsumptionThroughSpeaker,,0,
17,1,Tell me today's menu using the speaker.,오늘의 메뉴를 스피커로 출력해줘.,"{""name"": """", 
""cron"": """", 
""period"": 0, 
""script"": ""\nmenu = (#MenuProvider).MenuProvider_TodayMenu\n\n(#Speaker).Speaker_Speak(\""오늘의 메뉴는 \"" + menu + \""입니다\"")""}",,,0,"
menu = (#MenuProvider).MenuProvider_TodayMenu

(#Speaker).Speaker_Speak(""오늘의 메뉴는 "" + menu + ""입니다"")",24.0,False,0.3,"[""arg_type"", ""extraneous"", ""gt_mismatch"", ""precondition"", ""semantic"", ""service_match""]","{""name"":""TellMeTodayMenu"",""cron"":"""",""period"":0,""code"":""""}",TellMeTodayMenu,,0,
18,1,Tell me the lunch menu for Building 301 today through the speaker.,오늘의 301동 점심 메뉴를 스피커로 알려줘.,"{""name"": """", 
""cron"": """", 
""period"": 0, 
""script"": ""\nmenu = (#MenuProvider).MenuProvider_GetMenu(\""오늘 301동식당 점심\"")\n\n(#Speaker).Speaker_Speak(\""오늘의 메뉴는 \"" + menu + \""입니다\"")""}",,,0,"
menu = (#MenuProvider).MenuProvider_GetMenu(""오늘 301동식당 점심"")

(#Speaker).Speaker_Speak(""오늘의 메뉴는 "" + menu + ""입니다"")",24.0,False,0.3,"[""arg_type"", ""extraneous"", ""gt_mismatch"", ""precondition"", ""semantic"", ""service_match""]","{""name"":""TellLunchMenuBuilding301"",""cron"":"""",""period"":0,""code"":""""}",TellLunchMenuBuilding301,,0,
19,1,"Ask the cloud AI what an LLM is, and output its answer through the speaker.",클라우드 AI한테 llm이 무엇인지 질문하고 답을 스피커로 출력해줘.,"{""name"": """", 
""cron"": """", 
""period"": 0, 
""script"": ""\nanswer = (#CloudServiceProvider).CloudServiceProvider_ChatWithAI(\""What is LLM?\"")\n\n(#Speaker).Speaker_Speak(answer)""}",,,0,"
answer = (#CloudServiceProvider).CloudServiceProvider_ChatWithAI(""What is LLM?"")

(#Speaker).Speaker_Speak(answer)",88.5413,False,0.738043,"[""gt_mismatch""]","{""name"":""AskCloudAIAboutLLM"",""cron"":"""",""period"":0,""code"":""(#CloudServiceProvider).cloudserviceprovider_chatwithai(\""What is an LLM?\"")""}",AskCloudAIAboutLLM,,0,"(#CloudServiceProvider).cloudserviceprovider_chatwithai(""What is an LLM?"")"
20,1,Set the hue of the light to 200 and the saturation to 50.,"조명의 색조를 200, 채도는 50으로 설정해줘.","{""name"": """", 
""cron"": """", 
""period"": 0, 
""script"": ""\n(#Light).Light_MoveToHueAndSaturation(200, 50)""}",,,0,"
(#Light).Light_MoveToHueAndSaturation(200, 50)",84.7993,False,0.607595,"[""gt_mismatch""]","{""name"":""SetLightColor"",""cron"":"""",""period"":0,""code"":""(#Light).light_movetorgb(200, 50, 0)""}",SetLightColor,,0,"(#Light).light_movetorgb(200, 50, 0)"
