model_key,category,generation,genome_id,failure_reason,failure_count,feedback_rule_candidates,validation_avg_det_score,validation_det_pass_rate
llama31_8b,1,5,clone-e13928ec-b803-f546-be11-f390f1a60ba6,gt_mismatch,3,"Preserve GT-style temporal structure, receiver tags, service ordering, and literals. | Match argument count, type, unit, and enum values exactly from service_list_snippet. | Preserve all receiver tags and all(...) group receivers when the command addresses groups. | Include every service family implied by the command, including both sensor reads and actuator effects. | Copy numeric literals and units from the command exactly after unit conversion. | Prefer the smallest action sequence that directly matches the natural command verb and target.",86.8834,75.0
llama31_8b,1,5,clone-e13928ec-b803-f546-be11-f390f1a60ba6,arg_type,1,"Preserve GT-style temporal structure, receiver tags, service ordering, and literals. | Match argument count, type, unit, and enum values exactly from service_list_snippet. | Preserve all receiver tags and all(...) group receivers when the command addresses groups. | Include every service family implied by the command, including both sensor reads and actuator effects. | Copy numeric literals and units from the command exactly after unit conversion. | Prefer the smallest action sequence that directly matches the natural command verb and target.",86.8834,75.0
llama31_8b,1,5,clone-e13928ec-b803-f546-be11-f390f1a60ba6,gt_receiver_coverage,1,"Preserve GT-style temporal structure, receiver tags, service ordering, and literals. | Match argument count, type, unit, and enum values exactly from service_list_snippet. | Preserve all receiver tags and all(...) group receivers when the command addresses groups. | Include every service family implied by the command, including both sensor reads and actuator effects. | Copy numeric literals and units from the command exactly after unit conversion. | Prefer the smallest action sequence that directly matches the natural command verb and target.",86.8834,75.0
llama31_8b,1,5,clone-e13928ec-b803-f546-be11-f390f1a60ba6,gt_service_coverage,1,"Preserve GT-style temporal structure, receiver tags, service ordering, and literals. | Match argument count, type, unit, and enum values exactly from service_list_snippet. | Preserve all receiver tags and all(...) group receivers when the command addresses groups. | Include every service family implied by the command, including both sensor reads and actuator effects. | Copy numeric literals and units from the command exactly after unit conversion. | Prefer the smallest action sequence that directly matches the natural command verb and target.",86.8834,75.0
llama31_8b,1,5,clone-e13928ec-b803-f546-be11-f390f1a60ba6,numeric_grounding,1,"Preserve GT-style temporal structure, receiver tags, service ordering, and literals. | Match argument count, type, unit, and enum values exactly from service_list_snippet. | Preserve all receiver tags and all(...) group receivers when the command addresses groups. | Include every service family implied by the command, including both sensor reads and actuator effects. | Copy numeric literals and units from the command exactly after unit conversion. | Prefer the smallest action sequence that directly matches the natural command verb and target.",86.8834,75.0
llama31_8b,1,5,clone-e13928ec-b803-f546-be11-f390f1a60ba6,semantic,1,"Preserve GT-style temporal structure, receiver tags, service ordering, and literals. | Match argument count, type, unit, and enum values exactly from service_list_snippet. | Preserve all receiver tags and all(...) group receivers when the command addresses groups. | Include every service family implied by the command, including both sensor reads and actuator effects. | Copy numeric literals and units from the command exactly after unit conversion. | Prefer the smallest action sequence that directly matches the natural command verb and target.",86.8834,75.0
llama31_8b,1,6,clone-84e6c3c0-2c76-afb0-f8d5-616b9b6be197,gt_mismatch,3,"Preserve GT-style temporal structure, receiver tags, service ordering, and literals. | Match argument count, type, unit, and enum values exactly from service_list_snippet. | Preserve all receiver tags and all(...) group receivers when the command addresses groups. | Include every service family implied by the command, including both sensor reads and actuator effects. | Copy numeric literals and units from the command exactly after unit conversion. | Prefer the smallest action sequence that directly matches the natural command verb and target.",86.8834,75.0
llama31_8b,1,6,clone-84e6c3c0-2c76-afb0-f8d5-616b9b6be197,arg_type,1,"Preserve GT-style temporal structure, receiver tags, service ordering, and literals. | Match argument count, type, unit, and enum values exactly from service_list_snippet. | Preserve all receiver tags and all(...) group receivers when the command addresses groups. | Include every service family implied by the command, including both sensor reads and actuator effects. | Copy numeric literals and units from the command exactly after unit conversion. | Prefer the smallest action sequence that directly matches the natural command verb and target.",86.8834,75.0
llama31_8b,1,6,clone-84e6c3c0-2c76-afb0-f8d5-616b9b6be197,gt_receiver_coverage,1,"Preserve GT-style temporal structure, receiver tags, service ordering, and literals. | Match argument count, type, unit, and enum values exactly from service_list_snippet. | Preserve all receiver tags and all(...) group receivers when the command addresses groups. | Include every service family implied by the command, including both sensor reads and actuator effects. | Copy numeric literals and units from the command exactly after unit conversion. | Prefer the smallest action sequence that directly matches the natural command verb and target.",86.8834,75.0
llama31_8b,1,6,clone-84e6c3c0-2c76-afb0-f8d5-616b9b6be197,gt_service_coverage,1,"Preserve GT-style temporal structure, receiver tags, service ordering, and literals. | Match argument count, type, unit, and enum values exactly from service_list_snippet. | Preserve all receiver tags and all(...) group receivers when the command addresses groups. | Include every service family implied by the command, including both sensor reads and actuator effects. | Copy numeric literals and units from the command exactly after unit conversion. | Prefer the smallest action sequence that directly matches the natural command verb and target.",86.8834,75.0
llama31_8b,1,6,clone-84e6c3c0-2c76-afb0-f8d5-616b9b6be197,numeric_grounding,1,"Preserve GT-style temporal structure, receiver tags, service ordering, and literals. | Match argument count, type, unit, and enum values exactly from service_list_snippet. | Preserve all receiver tags and all(...) group receivers when the command addresses groups. | Include every service family implied by the command, including both sensor reads and actuator effects. | Copy numeric literals and units from the command exactly after unit conversion. | Prefer the smallest action sequence that directly matches the natural command verb and target.",86.8834,75.0
llama31_8b,1,6,clone-84e6c3c0-2c76-afb0-f8d5-616b9b6be197,semantic,1,"Preserve GT-style temporal structure, receiver tags, service ordering, and literals. | Match argument count, type, unit, and enum values exactly from service_list_snippet. | Preserve all receiver tags and all(...) group receivers when the command addresses groups. | Include every service family implied by the command, including both sensor reads and actuator effects. | Copy numeric literals and units from the command exactly after unit conversion. | Prefer the smallest action sequence that directly matches the natural command verb and target.",86.8834,75.0
llama31_8b,1,7,mut-4b992f59-c5ec-04a9-e5b3-6f159539cf43,gt_mismatch,2,"Preserve GT-style temporal structure, receiver tags, service ordering, and literals. | Match argument count, type, unit, and enum values exactly from service_list_snippet. | Copy numeric literals and units from the command exactly after unit conversion. | Prefer the smallest action sequence that directly matches the natural command verb and target.",97.418,100.0
llama31_8b,1,7,mut-4b992f59-c5ec-04a9-e5b3-6f159539cf43,arg_type,1,"Preserve GT-style temporal structure, receiver tags, service ordering, and literals. | Match argument count, type, unit, and enum values exactly from service_list_snippet. | Copy numeric literals and units from the command exactly after unit conversion. | Prefer the smallest action sequence that directly matches the natural command verb and target.",97.418,100.0
llama31_8b,1,7,mut-4b992f59-c5ec-04a9-e5b3-6f159539cf43,numeric_grounding,1,"Preserve GT-style temporal structure, receiver tags, service ordering, and literals. | Match argument count, type, unit, and enum values exactly from service_list_snippet. | Copy numeric literals and units from the command exactly after unit conversion. | Prefer the smallest action sequence that directly matches the natural command verb and target.",97.418,100.0
llama31_8b,1,7,mut-4b992f59-c5ec-04a9-e5b3-6f159539cf43,semantic,1,"Preserve GT-style temporal structure, receiver tags, service ordering, and literals. | Match argument count, type, unit, and enum values exactly from service_list_snippet. | Copy numeric literals and units from the command exactly after unit conversion. | Prefer the smallest action sequence that directly matches the natural command verb and target.",97.418,100.0
llama31_8b,1,8,mut-4b992f59-c5ec-04a9-e5b3-6f159539cf43,gt_mismatch,2,"Preserve GT-style temporal structure, receiver tags, service ordering, and literals. | Match argument count, type, unit, and enum values exactly from service_list_snippet. | Copy numeric literals and units from the command exactly after unit conversion. | Prefer the smallest action sequence that directly matches the natural command verb and target.",97.418,100.0
llama31_8b,1,8,mut-4b992f59-c5ec-04a9-e5b3-6f159539cf43,arg_type,1,"Preserve GT-style temporal structure, receiver tags, service ordering, and literals. | Match argument count, type, unit, and enum values exactly from service_list_snippet. | Copy numeric literals and units from the command exactly after unit conversion. | Prefer the smallest action sequence that directly matches the natural command verb and target.",97.418,100.0
llama31_8b,1,8,mut-4b992f59-c5ec-04a9-e5b3-6f159539cf43,numeric_grounding,1,"Preserve GT-style temporal structure, receiver tags, service ordering, and literals. | Match argument count, type, unit, and enum values exactly from service_list_snippet. | Copy numeric literals and units from the command exactly after unit conversion. | Prefer the smallest action sequence that directly matches the natural command verb and target.",97.418,100.0
llama31_8b,1,8,mut-4b992f59-c5ec-04a9-e5b3-6f159539cf43,semantic,1,"Preserve GT-style temporal structure, receiver tags, service ordering, and literals. | Match argument count, type, unit, and enum values exactly from service_list_snippet. | Copy numeric literals and units from the command exactly after unit conversion. | Prefer the smallest action sequence that directly matches the natural command verb and target.",97.418,100.0
llama31_8b,1,9,clone-2ce119c1-3302-157d-d1d3-61443580a91c,gt_mismatch,2,"Preserve GT-style temporal structure, receiver tags, service ordering, and literals. | Match argument count, type, unit, and enum values exactly from service_list_snippet. | Copy numeric literals and units from the command exactly after unit conversion. | Prefer the smallest action sequence that directly matches the natural command verb and target.",97.418,100.0
llama31_8b,1,9,clone-2ce119c1-3302-157d-d1d3-61443580a91c,arg_type,1,"Preserve GT-style temporal structure, receiver tags, service ordering, and literals. | Match argument count, type, unit, and enum values exactly from service_list_snippet. | Copy numeric literals and units from the command exactly after unit conversion. | Prefer the smallest action sequence that directly matches the natural command verb and target.",97.418,100.0
llama31_8b,1,9,clone-2ce119c1-3302-157d-d1d3-61443580a91c,numeric_grounding,1,"Preserve GT-style temporal structure, receiver tags, service ordering, and literals. | Match argument count, type, unit, and enum values exactly from service_list_snippet. | Copy numeric literals and units from the command exactly after unit conversion. | Prefer the smallest action sequence that directly matches the natural command verb and target.",97.418,100.0
llama31_8b,1,9,clone-2ce119c1-3302-157d-d1d3-61443580a91c,semantic,1,"Preserve GT-style temporal structure, receiver tags, service ordering, and literals. | Match argument count, type, unit, and enum values exactly from service_list_snippet. | Copy numeric literals and units from the command exactly after unit conversion. | Prefer the smallest action sequence that directly matches the natural command verb and target.",97.418,100.0
llama31_8b,1,10,clone-15576edb-f82e-c7cd-386f-ef24e5560f92,gt_mismatch,2,"Preserve GT-style temporal structure, receiver tags, service ordering, and literals. | Match argument count, type, unit, and enum values exactly from service_list_snippet. | Copy numeric literals and units from the command exactly after unit conversion. | Prefer the smallest action sequence that directly matches the natural command verb and target.",97.418,100.0
llama31_8b,1,10,clone-15576edb-f82e-c7cd-386f-ef24e5560f92,arg_type,1,"Preserve GT-style temporal structure, receiver tags, service ordering, and literals. | Match argument count, type, unit, and enum values exactly from service_list_snippet. | Copy numeric literals and units from the command exactly after unit conversion. | Prefer the smallest action sequence that directly matches the natural command verb and target.",97.418,100.0
llama31_8b,1,10,clone-15576edb-f82e-c7cd-386f-ef24e5560f92,numeric_grounding,1,"Preserve GT-style temporal structure, receiver tags, service ordering, and literals. | Match argument count, type, unit, and enum values exactly from service_list_snippet. | Copy numeric literals and units from the command exactly after unit conversion. | Prefer the smallest action sequence that directly matches the natural command verb and target.",97.418,100.0
llama31_8b,1,10,clone-15576edb-f82e-c7cd-386f-ef24e5560f92,semantic,1,"Preserve GT-style temporal structure, receiver tags, service ordering, and literals. | Match argument count, type, unit, and enum values exactly from service_list_snippet. | Copy numeric literals and units from the command exactly after unit conversion. | Prefer the smallest action sequence that directly matches the natural command verb and target.",97.418,100.0
llama31_8b,2,1,gene-8a7c368e-df5c-ed9b-f06f-c08ae3500b23,gt_mismatch,2,"Preserve GT-style temporal structure, receiver tags, service ordering, and literals. | Prefer the smallest action sequence that directly matches the natural command verb and target.",97.8422,100.0
llama31_8b,2,1,gene-8a7c368e-df5c-ed9b-f06f-c08ae3500b23,semantic,1,"Preserve GT-style temporal structure, receiver tags, service ordering, and literals. | Prefer the smallest action sequence that directly matches the natural command verb and target.",97.8422,100.0
llama31_8b,2,2,cross-21605df2-e380-adcd-c1f4-b15fccf6cf84,gt_mismatch,1,"Preserve GT-style temporal structure, receiver tags, service ordering, and literals. | Prefer the smallest action sequence that directly matches the natural command verb and target.",98.5998,100.0
llama31_8b,2,2,cross-21605df2-e380-adcd-c1f4-b15fccf6cf84,semantic,1,"Preserve GT-style temporal structure, receiver tags, service ordering, and literals. | Prefer the smallest action sequence that directly matches the natural command verb and target.",98.5998,100.0
llama31_8b,3,1,gene-00424a81-4295-3dc7-190f-62a60a6366ae,gt_mismatch,4,"Preserve GT-style temporal structure, receiver tags, service ordering, and literals. | Preserve all receiver tags and all(...) group receivers when the command addresses groups. | Include every service family implied by the command, including both sensor reads and actuator effects. | When a sensor value is read for a command, pass or use that value in the downstream action. | Copy numeric literals and units from the command exactly after unit conversion. | Prefer the smallest action sequence that directly matches the natural command verb and target. | Match argument count, type, unit, and enum values exactly from service_list_snippet. | Remove unrelated helper actions and duplicate service calls. | Resolve every member token from service_list_snippet.service/canonical_name before emitting code. | Do not shorten canonical member names; use the provided category-prefixed service token, then lowercase it.",48.1125,0.0
llama31_8b,3,1,gene-00424a81-4295-3dc7-190f-62a60a6366ae,gt_receiver_coverage,4,"Preserve GT-style temporal structure, receiver tags, service ordering, and literals. | Preserve all receiver tags and all(...) group receivers when the command addresses groups. | Include every service family implied by the command, including both sensor reads and actuator effects. | When a sensor value is read for a command, pass or use that value in the downstream action. | Copy numeric literals and units from the command exactly after unit conversion. | Prefer the smallest action sequence that directly matches the natural command verb and target. | Match argument count, type, unit, and enum values exactly from service_list_snippet. | Remove unrelated helper actions and duplicate service calls. | Resolve every member token from service_list_snippet.service/canonical_name before emitting code. | Do not shorten canonical member names; use the provided category-prefixed service token, then lowercase it.",48.1125,0.0
llama31_8b,3,1,gene-00424a81-4295-3dc7-190f-62a60a6366ae,gt_service_coverage,4,"Preserve GT-style temporal structure, receiver tags, service ordering, and literals. | Preserve all receiver tags and all(...) group receivers when the command addresses groups. | Include every service family implied by the command, including both sensor reads and actuator effects. | When a sensor value is read for a command, pass or use that value in the downstream action. | Copy numeric literals and units from the command exactly after unit conversion. | Prefer the smallest action sequence that directly matches the natural command verb and target. | Match argument count, type, unit, and enum values exactly from service_list_snippet. | Remove unrelated helper actions and duplicate service calls. | Resolve every member token from service_list_snippet.service/canonical_name before emitting code. | Do not shorten canonical member names; use the provided category-prefixed service token, then lowercase it.",48.1125,0.0
llama31_8b,3,1,gene-00424a81-4295-3dc7-190f-62a60a6366ae,dataflow,3,"Preserve GT-style temporal structure, receiver tags, service ordering, and literals. | Preserve all receiver tags and all(...) group receivers when the command addresses groups. | Include every service family implied by the command, including both sensor reads and actuator effects. | When a sensor value is read for a command, pass or use that value in the downstream action. | Copy numeric literals and units from the command exactly after unit conversion. | Prefer the smallest action sequence that directly matches the natural command verb and target. | Match argument count, type, unit, and enum values exactly from service_list_snippet. | Remove unrelated helper actions and duplicate service calls. | Resolve every member token from service_list_snippet.service/canonical_name before emitting code. | Do not shorten canonical member names; use the provided category-prefixed service token, then lowercase it.",48.1125,0.0
llama31_8b,3,1,gene-00424a81-4295-3dc7-190f-62a60a6366ae,numeric_grounding,2,"Preserve GT-style temporal structure, receiver tags, service ordering, and literals. | Preserve all receiver tags and all(...) group receivers when the command addresses groups. | Include every service family implied by the command, including both sensor reads and actuator effects. | When a sensor value is read for a command, pass or use that value in the downstream action. | Copy numeric literals and units from the command exactly after unit conversion. | Prefer the smallest action sequence that directly matches the natural command verb and target. | Match argument count, type, unit, and enum values exactly from service_list_snippet. | Remove unrelated helper actions and duplicate service calls. | Resolve every member token from service_list_snippet.service/canonical_name before emitting code. | Do not shorten canonical member names; use the provided category-prefixed service token, then lowercase it.",48.1125,0.0
llama31_8b,3,1,gene-00424a81-4295-3dc7-190f-62a60a6366ae,semantic,2,"Preserve GT-style temporal structure, receiver tags, service ordering, and literals. | Preserve all receiver tags and all(...) group receivers when the command addresses groups. | Include every service family implied by the command, including both sensor reads and actuator effects. | When a sensor value is read for a command, pass or use that value in the downstream action. | Copy numeric literals and units from the command exactly after unit conversion. | Prefer the smallest action sequence that directly matches the natural command verb and target. | Match argument count, type, unit, and enum values exactly from service_list_snippet. | Remove unrelated helper actions and duplicate service calls. | Resolve every member token from service_list_snippet.service/canonical_name before emitting code. | Do not shorten canonical member names; use the provided category-prefixed service token, then lowercase it.",48.1125,0.0
llama31_8b,3,1,gene-00424a81-4295-3dc7-190f-62a60a6366ae,arg_type,1,"Preserve GT-style temporal structure, receiver tags, service ordering, and literals. | Preserve all receiver tags and all(...) group receivers when the command addresses groups. | Include every service family implied by the command, including both sensor reads and actuator effects. | When a sensor value is read for a command, pass or use that value in the downstream action. | Copy numeric literals and units from the command exactly after unit conversion. | Prefer the smallest action sequence that directly matches the natural command verb and target. | Match argument count, type, unit, and enum values exactly from service_list_snippet. | Remove unrelated helper actions and duplicate service calls. | Resolve every member token from service_list_snippet.service/canonical_name before emitting code. | Do not shorten canonical member names; use the provided category-prefixed service token, then lowercase it.",48.1125,0.0
llama31_8b,3,1,gene-00424a81-4295-3dc7-190f-62a60a6366ae,extraneous,1,"Preserve GT-style temporal structure, receiver tags, service ordering, and literals. | Preserve all receiver tags and all(...) group receivers when the command addresses groups. | Include every service family implied by the command, including both sensor reads and actuator effects. | When a sensor value is read for a command, pass or use that value in the downstream action. | Copy numeric literals and units from the command exactly after unit conversion. | Prefer the smallest action sequence that directly matches the natural command verb and target. | Match argument count, type, unit, and enum values exactly from service_list_snippet. | Remove unrelated helper actions and duplicate service calls. | Resolve every member token from service_list_snippet.service/canonical_name before emitting code. | Do not shorten canonical member names; use the provided category-prefixed service token, then lowercase it.",48.1125,0.0
llama31_8b,3,1,gene-00424a81-4295-3dc7-190f-62a60a6366ae,precondition,1,"Preserve GT-style temporal structure, receiver tags, service ordering, and literals. | Preserve all receiver tags and all(...) group receivers when the command addresses groups. | Include every service family implied by the command, including both sensor reads and actuator effects. | When a sensor value is read for a command, pass or use that value in the downstream action. | Copy numeric literals and units from the command exactly after unit conversion. | Prefer the smallest action sequence that directly matches the natural command verb and target. | Match argument count, type, unit, and enum values exactly from service_list_snippet. | Remove unrelated helper actions and duplicate service calls. | Resolve every member token from service_list_snippet.service/canonical_name before emitting code. | Do not shorten canonical member names; use the provided category-prefixed service token, then lowercase it.",48.1125,0.0
llama31_8b,3,1,gene-00424a81-4295-3dc7-190f-62a60a6366ae,service_match,1,"Preserve GT-style temporal structure, receiver tags, service ordering, and literals. | Preserve all receiver tags and all(...) group receivers when the command addresses groups. | Include every service family implied by the command, including both sensor reads and actuator effects. | When a sensor value is read for a command, pass or use that value in the downstream action. | Copy numeric literals and units from the command exactly after unit conversion. | Prefer the smallest action sequence that directly matches the natural command verb and target. | Match argument count, type, unit, and enum values exactly from service_list_snippet. | Remove unrelated helper actions and duplicate service calls. | Resolve every member token from service_list_snippet.service/canonical_name before emitting code. | Do not shorten canonical member names; use the provided category-prefixed service token, then lowercase it.",48.1125,0.0
llama31_8b,3,1,gene-00424a81-4295-3dc7-190f-62a60a6366ae,unknown_service:charger_switch_off,1,"Preserve GT-style temporal structure, receiver tags, service ordering, and literals. | Preserve all receiver tags and all(...) group receivers when the command addresses groups. | Include every service family implied by the command, including both sensor reads and actuator effects. | When a sensor value is read for a command, pass or use that value in the downstream action. | Copy numeric literals and units from the command exactly after unit conversion. | Prefer the smallest action sequence that directly matches the natural command verb and target. | Match argument count, type, unit, and enum values exactly from service_list_snippet. | Remove unrelated helper actions and duplicate service calls. | Resolve every member token from service_list_snippet.service/canonical_name before emitting code. | Do not shorten canonical member names; use the provided category-prefixed service token, then lowercase it.",48.1125,0.0
llama31_8b,3,2,clone-56e4bedc-f77d-eabd-7bb3-3ce1b1b52a04,gt_mismatch,4,"Preserve GT-style temporal structure, receiver tags, service ordering, and literals. | Preserve all receiver tags and all(...) group receivers when the command addresses groups. | Include every service family implied by the command, including both sensor reads and actuator effects. | When a sensor value is read for a command, pass or use that value in the downstream action. | Copy numeric literals and units from the command exactly after unit conversion. | Prefer the smallest action sequence that directly matches the natural command verb and target. | Match argument count, type, unit, and enum values exactly from service_list_snippet. | Remove unrelated helper actions and duplicate service calls. | Resolve every member token from service_list_snippet.service/canonical_name before emitting code. | Do not shorten canonical member names; use the provided category-prefixed service token, then lowercase it.",48.1125,0.0
llama31_8b,3,2,clone-56e4bedc-f77d-eabd-7bb3-3ce1b1b52a04,gt_receiver_coverage,4,"Preserve GT-style temporal structure, receiver tags, service ordering, and literals. | Preserve all receiver tags and all(...) group receivers when the command addresses groups. | Include every service family implied by the command, including both sensor reads and actuator effects. | When a sensor value is read for a command, pass or use that value in the downstream action. | Copy numeric literals and units from the command exactly after unit conversion. | Prefer the smallest action sequence that directly matches the natural command verb and target. | Match argument count, type, unit, and enum values exactly from service_list_snippet. | Remove unrelated helper actions and duplicate service calls. | Resolve every member token from service_list_snippet.service/canonical_name before emitting code. | Do not shorten canonical member names; use the provided category-prefixed service token, then lowercase it.",48.1125,0.0
llama31_8b,3,2,clone-56e4bedc-f77d-eabd-7bb3-3ce1b1b52a04,gt_service_coverage,4,"Preserve GT-style temporal structure, receiver tags, service ordering, and literals. | Preserve all receiver tags and all(...) group receivers when the command addresses groups. | Include every service family implied by the command, including both sensor reads and actuator effects. | When a sensor value is read for a command, pass or use that value in the downstream action. | Copy numeric literals and units from the command exactly after unit conversion. | Prefer the smallest action sequence that directly matches the natural command verb and target. | Match argument count, type, unit, and enum values exactly from service_list_snippet. | Remove unrelated helper actions and duplicate service calls. | Resolve every member token from service_list_snippet.service/canonical_name before emitting code. | Do not shorten canonical member names; use the provided category-prefixed service token, then lowercase it.",48.1125,0.0
llama31_8b,3,2,clone-56e4bedc-f77d-eabd-7bb3-3ce1b1b52a04,dataflow,3,"Preserve GT-style temporal structure, receiver tags, service ordering, and literals. | Preserve all receiver tags and all(...) group receivers when the command addresses groups. | Include every service family implied by the command, including both sensor reads and actuator effects. | When a sensor value is read for a command, pass or use that value in the downstream action. | Copy numeric literals and units from the command exactly after unit conversion. | Prefer the smallest action sequence that directly matches the natural command verb and target. | Match argument count, type, unit, and enum values exactly from service_list_snippet. | Remove unrelated helper actions and duplicate service calls. | Resolve every member token from service_list_snippet.service/canonical_name before emitting code. | Do not shorten canonical member names; use the provided category-prefixed service token, then lowercase it.",48.1125,0.0
llama31_8b,3,2,clone-56e4bedc-f77d-eabd-7bb3-3ce1b1b52a04,numeric_grounding,2,"Preserve GT-style temporal structure, receiver tags, service ordering, and literals. | Preserve all receiver tags and all(...) group receivers when the command addresses groups. | Include every service family implied by the command, including both sensor reads and actuator effects. | When a sensor value is read for a command, pass or use that value in the downstream action. | Copy numeric literals and units from the command exactly after unit conversion. | Prefer the smallest action sequence that directly matches the natural command verb and target. | Match argument count, type, unit, and enum values exactly from service_list_snippet. | Remove unrelated helper actions and duplicate service calls. | Resolve every member token from service_list_snippet.service/canonical_name before emitting code. | Do not shorten canonical member names; use the provided category-prefixed service token, then lowercase it.",48.1125,0.0
