condition,result_dir,model_key,model_label,failure_reason,count
baseline,/home/mgjeong/Desktop/llm/JOILang-Server/gpt_mg/version0_15_update20260413/results/paper_study_20260424_full/benchmarks/baseline_qwen25_coder_7b,qwen25_coder_7b,Qwen2.5-Coder-7B-Instruct,unknown_service:safe_state,3
baseline,/home/mgjeong/Desktop/llm/JOILang-Server/gpt_mg/version0_15_update20260413/results/paper_study_20260424_full/benchmarks/baseline_qwen25_coder_7b,qwen25_coder_7b,Qwen2.5-Coder-7B-Instruct,unknown_service:temperature_sensor_temperature,3
baseline,/home/mgjeong/Desktop/llm/JOILang-Server/gpt_mg/version0_15_update20260413/results/paper_study_20260424_full/benchmarks/baseline_qwen25_coder_7b,qwen25_coder_7b,Qwen2.5-Coder-7B-Instruct,unknown_service:airconditioner_switch,2
baseline,/home/mgjeong/Desktop/llm/JOILang-Server/gpt_mg/version0_15_update20260413/results/paper_study_20260424_full/benchmarks/baseline_qwen25_coder_7b,qwen25_coder_7b,Qwen2.5-Coder-7B-Instruct,unknown_service:audio_recorder_recordstart,2
baseline,/home/mgjeong/Desktop/llm/JOILang-Server/gpt_mg/version0_15_update20260413/results/paper_study_20260424_full/benchmarks/baseline_qwen25_coder_7b,qwen25_coder_7b,Qwen2.5-Coder-7B-Instruct,unknown_service:carbon_dioxide,2
baseline,/home/mgjeong/Desktop/llm/JOILang-Server/gpt_mg/version0_15_update20260413/results/paper_study_20260424_full/benchmarks/baseline_qwen25_coder_7b,qwen25_coder_7b,Qwen2.5-Coder-7B-Instruct,unknown_service:charger_setpower,2
baseline,/home/mgjeong/Desktop/llm/JOILang-Server/gpt_mg/version0_15_update20260413/results/paper_study_20260424_full/benchmarks/baseline_qwen25_coder_7b,qwen25_coder_7b,Qwen2.5-Coder-7B-Instruct,unknown_service:dehumidifier_mode,2
baseline,/home/mgjeong/Desktop/llm/JOILang-Server/gpt_mg/version0_15_update20260413/results/paper_study_20260424_full/benchmarks/baseline_qwen25_coder_7b,qwen25_coder_7b,Qwen2.5-Coder-7B-Instruct,unknown_service:door_lock_state,2
baseline,/home/mgjeong/Desktop/llm/JOILang-Server/gpt_mg/version0_15_update20260413/results/paper_study_20260424_full/benchmarks/baseline_qwen25_coder_7b,qwen25_coder_7b,Qwen2.5-Coder-7B-Instruct,unknown_service:light_movetorbg,2
baseline,/home/mgjeong/Desktop/llm/JOILang-Server/gpt_mg/version0_15_update20260413/results/paper_study_20260424_full/benchmarks/baseline_qwen25_coder_7b,qwen25_coder_7b,Qwen2.5-Coder-7B-Instruct,unknown_service:light_on,2
baseline,/home/mgjeong/Desktop/llm/JOILang-Server/gpt_mg/version0_15_update20260413/results/paper_study_20260424_full/benchmarks/baseline_qwen25_coder_7b,qwen25_coder_7b,Qwen2.5-Coder-7B-Instruct,unknown_service:light_sensor_brightness,2
baseline,/home/mgjeong/Desktop/llm/JOILang-Server/gpt_mg/version0_15_update20260413/results/paper_study_20260424_full/benchmarks/baseline_qwen25_coder_7b,qwen25_coder_7b,Qwen2.5-Coder-7B-Instruct,unknown_service:set_siren_mode,2
baseline,/home/mgjeong/Desktop/llm/JOILang-Server/gpt_mg/version0_15_update20260413/results/paper_study_20260424_full/benchmarks/baseline_qwen25_coder_7b,qwen25_coder_7b,Qwen2.5-Coder-7B-Instruct,unknown_service:siren_mode,2
baseline,/home/mgjeong/Desktop/llm/JOILang-Server/gpt_mg/version0_15_update20260413/results/paper_study_20260424_full/benchmarks/baseline_qwen25_coder_7b,qwen25_coder_7b,Qwen2.5-Coder-7B-Instruct,unknown_service:then,2
baseline,/home/mgjeong/Desktop/llm/JOILang-Server/gpt_mg/version0_15_update20260413/results/paper_study_20260424_full/benchmarks/baseline_qwen25_coder_7b,qwen25_coder_7b,Qwen2.5-Coder-7B-Instruct,unknown_service:airconditioner_on,1
baseline,/home/mgjeong/Desktop/llm/JOILang-Server/gpt_mg/version0_15_update20260413/results/paper_study_20260424_full/benchmarks/baseline_qwen25_coder_7b,qwen25_coder_7b,Qwen2.5-Coder-7B-Instruct,unknown_service:blinds_setposition,1
baseline,/home/mgjeong/Desktop/llm/JOILang-Server/gpt_mg/version0_15_update20260413/results/paper_study_20260424_full/benchmarks/baseline_qwen25_coder_7b,qwen25_coder_7b,Qwen2.5-Coder-7B-Instruct,unknown_service:contact_sensor_state,1
baseline,/home/mgjeong/Desktop/llm/JOILang-Server/gpt_mg/version0_15_update20260413/results/paper_study_20260424_full/benchmarks/baseline_qwen25_coder_7b,qwen25_coder_7b,Qwen2.5-Coder-7B-Instruct,unknown_service:contact_sensor_state_changed,1
baseline,/home/mgjeong/Desktop/llm/JOILang-Server/gpt_mg/version0_15_update20260413/results/paper_study_20260424_full/benchmarks/baseline_qwen25_coder_7b,qwen25_coder_7b,Qwen2.5-Coder-7B-Instruct,unknown_service:door_state,1
baseline,/home/mgjeong/Desktop/llm/JOILang-Server/gpt_mg/version0_15_update20260413/results/paper_study_20260424_full/benchmarks/baseline_qwen25_coder_7b,qwen25_coder_7b,Qwen2.5-Coder-7B-Instruct,unknown_service:face,1
baseline,/home/mgjeong/Desktop/llm/JOILang-Server/gpt_mg/version0_15_update20260413/results/paper_study_20260424_full/benchmarks/baseline_qwen25_coder_7b,qwen25_coder_7b,Qwen2.5-Coder-7B-Instruct,unknown_service:humidity_sensor_humidity,1
baseline,/home/mgjeong/Desktop/llm/JOILang-Server/gpt_mg/version0_15_update20260413/results/paper_study_20260424_full/benchmarks/baseline_qwen25_coder_7b,qwen25_coder_7b,Qwen2.5-Coder-7B-Instruct,unknown_service:humidity_sensor_state,1
baseline,/home/mgjeong/Desktop/llm/JOILang-Server/gpt_mg/version0_15_update20260413/results/paper_study_20260424_full/benchmarks/baseline_qwen25_coder_7b,qwen25_coder_7b,Qwen2.5-Coder-7B-Instruct,unknown_service:light_move,1
baseline,/home/mgjeong/Desktop/llm/JOILang-Server/gpt_mg/version0_15_update20260413/results/paper_study_20260424_full/benchmarks/baseline_qwen25_coder_7b,qwen25_coder_7b,Qwen2.5-Coder-7B-Instruct,unknown_service:light_movetovolume,1
baseline,/home/mgjeong/Desktop/llm/JOILang-Server/gpt_mg/version0_15_update20260413/results/paper_study_20260424_full/benchmarks/baseline_qwen25_coder_7b,qwen25_coder_7b,Qwen2.5-Coder-7B-Instruct,unknown_service:light_off,1
baseline,/home/mgjeong/Desktop/llm/JOILang-Server/gpt_mg/version0_15_update20260413/results/paper_study_20260424_full/benchmarks/baseline_qwen25_coder_7b,qwen25_coder_7b,Qwen2.5-Coder-7B-Instruct,unknown_service:light_switch,1
baseline,/home/mgjeong/Desktop/llm/JOILang-Server/gpt_mg/version0_15_update20260413/results/paper_study_20260424_full/benchmarks/baseline_qwen25_coder_7b,qwen25_coder_7b,Qwen2.5-Coder-7B-Instruct,unknown_service:menu_provider_getmenu,1
baseline,/home/mgjeong/Desktop/llm/JOILang-Server/gpt_mg/version0_15_update20260413/results/paper_study_20260424_full/benchmarks/baseline_qwen25_coder_7b,qwen25_coder_7b,Qwen2.5-Coder-7B-Instruct,unknown_service:occupancy,1
baseline,/home/mgjeong/Desktop/llm/JOILang-Server/gpt_mg/version0_15_update20260413/results/paper_study_20260424_full/benchmarks/baseline_qwen25_coder_7b,qwen25_coder_7b,Qwen2.5-Coder-7B-Instruct,unknown_service:occupancysensor_presence,1
baseline,/home/mgjeong/Desktop/llm/JOILang-Server/gpt_mg/version0_15_update20260413/results/paper_study_20260424_full/benchmarks/baseline_qwen25_coder_7b,qwen25_coder_7b,Qwen2.5-Coder-7B-Instruct,unknown_service:oven_mode,1
baseline,/home/mgjeong/Desktop/llm/JOILang-Server/gpt_mg/version0_15_update20260413/results/paper_study_20260424_full/benchmarks/baseline_qwen25_coder_7b,qwen25_coder_7b,Qwen2.5-Coder-7B-Instruct,unknown_service:robotvacuumcleaner_setrobotvacuumcleanermode,1
baseline,/home/mgjeong/Desktop/llm/JOILang-Server/gpt_mg/version0_15_update20260413/results/paper_study_20260424_full/benchmarks/baseline_qwen25_coder_7b,qwen25_coder_7b,Qwen2.5-Coder-7B-Instruct,unknown_service:robotvacuumcleaner_setrobotvacuumcleanermodemorepeat,1
baseline,/home/mgjeong/Desktop/llm/JOILang-Server/gpt_mg/version0_15_update20260413/results/paper_study_20260424_full/benchmarks/baseline_qwen25_coder_7b,qwen25_coder_7b,Qwen2.5-Coder-7B-Instruct,unknown_service:robotvacuumcleanermode_setrobotvacuumcleanermodemode,1
baseline,/home/mgjeong/Desktop/llm/JOILang-Server/gpt_mg/version0_15_update20260413/results/paper_study_20260424_full/benchmarks/baseline_qwen25_coder_7b,qwen25_coder_7b,Qwen2.5-Coder-7B-Instruct,unknown_service:set,1
baseline,/home/mgjeong/Desktop/llm/JOILang-Server/gpt_mg/version0_15_update20260413/results/paper_study_20260424_full/benchmarks/baseline_qwen25_coder_7b,qwen25_coder_7b,Qwen2.5-Coder-7B-Instruct,unknown_service:set_oven_mode,1
baseline,/home/mgjeong/Desktop/llm/JOILang-Server/gpt_mg/version0_15_update20260413/results/paper_study_20260424_full/benchmarks/baseline_qwen25_coder_7b,qwen25_coder_7b,Qwen2.5-Coder-7B-Instruct,unknown_service:setfiresirenmode,1
baseline,/home/mgjeong/Desktop/llm/JOILang-Server/gpt_mg/version0_15_update20260413/results/paper_study_20260424_full/benchmarks/baseline_qwen25_coder_7b,qwen25_coder_7b,Qwen2.5-Coder-7B-Instruct,unknown_service:siren_setmode,1
baseline,/home/mgjeong/Desktop/llm/JOILang-Server/gpt_mg/version0_15_update20260413/results/paper_study_20260424_full/benchmarks/baseline_qwen25_coder_7b,qwen25_coder_7b,Qwen2.5-Coder-7B-Instruct,unknown_service:tv_power,1
baseline,/home/mgjeong/Desktop/llm/JOILang-Server/gpt_mg/version0_15_update20260413/results/paper_study_20260424_full/benchmarks/baseline_qwen25_coder_7b,qwen25_coder_7b,Qwen2.5-Coder-7B-Instruct,unknown_service:windowcovering_open,1
baseline,/home/mgjeong/Desktop/llm/JOILang-Server/gpt_mg/version0_15_update20260413/results/paper_study_20260424_full/benchmarks/baseline_qwen25_coder_14b,qwen25_coder_14b,Qwen2.5-Coder-14B-Instruct,gt_mismatch,253
baseline,/home/mgjeong/Desktop/llm/JOILang-Server/gpt_mg/version0_15_update20260413/results/paper_study_20260424_full/benchmarks/baseline_qwen25_coder_14b,qwen25_coder_14b,Qwen2.5-Coder-14B-Instruct,semantic,160
baseline,/home/mgjeong/Desktop/llm/JOILang-Server/gpt_mg/version0_15_update20260413/results/paper_study_20260424_full/benchmarks/baseline_qwen25_coder_14b,qwen25_coder_14b,Qwen2.5-Coder-14B-Instruct,dataflow,147
baseline,/home/mgjeong/Desktop/llm/JOILang-Server/gpt_mg/version0_15_update20260413/results/paper_study_20260424_full/benchmarks/baseline_qwen25_coder_14b,qwen25_coder_14b,Qwen2.5-Coder-14B-Instruct,gt_receiver_coverage,119
baseline,/home/mgjeong/Desktop/llm/JOILang-Server/gpt_mg/version0_15_update20260413/results/paper_study_20260424_full/benchmarks/baseline_qwen25_coder_14b,qwen25_coder_14b,Qwen2.5-Coder-14B-Instruct,gt_service_coverage,111
baseline,/home/mgjeong/Desktop/llm/JOILang-Server/gpt_mg/version0_15_update20260413/results/paper_study_20260424_full/benchmarks/baseline_qwen25_coder_14b,qwen25_coder_14b,Qwen2.5-Coder-14B-Instruct,arg_type,102
baseline,/home/mgjeong/Desktop/llm/JOILang-Server/gpt_mg/version0_15_update20260413/results/paper_study_20260424_full/benchmarks/baseline_qwen25_coder_14b,qwen25_coder_14b,Qwen2.5-Coder-14B-Instruct,numeric_grounding,96
baseline,/home/mgjeong/Desktop/llm/JOILang-Server/gpt_mg/version0_15_update20260413/results/paper_study_20260424_full/benchmarks/baseline_qwen25_coder_14b,qwen25_coder_14b,Qwen2.5-Coder-14B-Instruct,extraneous,71
baseline,/home/mgjeong/Desktop/llm/JOILang-Server/gpt_mg/version0_15_update20260413/results/paper_study_20260424_full/benchmarks/baseline_qwen25_coder_14b,qwen25_coder_14b,Qwen2.5-Coder-14B-Instruct,precondition,54
baseline,/home/mgjeong/Desktop/llm/JOILang-Server/gpt_mg/version0_15_update20260413/results/paper_study_20260424_full/benchmarks/baseline_qwen25_coder_14b,qwen25_coder_14b,Qwen2.5-Coder-14B-Instruct,enum_grounding,46
baseline,/home/mgjeong/Desktop/llm/JOILang-Server/gpt_mg/version0_15_update20260413/results/paper_study_20260424_full/benchmarks/baseline_qwen25_coder_14b,qwen25_coder_14b,Qwen2.5-Coder-14B-Instruct,service_match,41
baseline,/home/mgjeong/Desktop/llm/JOILang-Server/gpt_mg/version0_15_update20260413/results/paper_study_20260424_full/benchmarks/baseline_qwen25_coder_14b,qwen25_coder_14b,Qwen2.5-Coder-14B-Instruct,unknown_service:airconditioner_temperature,2
baseline,/home/mgjeong/Desktop/llm/JOILang-Server/gpt_mg/version0_15_update20260413/results/paper_study_20260424_full/benchmarks/baseline_qwen25_coder_14b,qwen25_coder_14b,Qwen2.5-Coder-14B-Instruct,unknown_service:then,2
baseline,/home/mgjeong/Desktop/llm/JOILang-Server/gpt_mg/version0_15_update20260413/results/paper_study_20260424_full/benchmarks/baseline_qwen25_coder_14b,qwen25_coder_14b,Qwen2.5-Coder-14B-Instruct,invalid_json,1
baseline,/home/mgjeong/Desktop/llm/JOILang-Server/gpt_mg/version0_15_update20260413/results/paper_study_20260424_full/benchmarks/baseline_qwen25_coder_14b,qwen25_coder_14b,Qwen2.5-Coder-14B-Instruct,unknown_service:all,1
baseline,/home/mgjeong/Desktop/llm/JOILang-Server/gpt_mg/version0_15_update20260413/results/paper_study_20260424_full/benchmarks/baseline_qwen25_coder_14b,qwen25_coder_14b,Qwen2.5-Coder-14B-Instruct,unknown_service:sound_sensor_sound,1
baseline,/home/mgjeong/Desktop/llm/JOILang-Server/gpt_mg/version0_15_update20260413/results/paper_study_20260424_full/benchmarks/baseline_qwen25_coder_14b,qwen25_coder_14b,Qwen2.5-Coder-14B-Instruct,unknown_service:television_on,1
retrieval,/home/mgjeong/Desktop/llm/JOILang-Server/gpt_mg/version0_15_update20260413/results/paper_study_20260424_full/benchmarks/retrieval_qwen25_coder_7b,qwen25_coder_7b,Qwen2.5-Coder-7B-Instruct,gt_mismatch,260
retrieval,/home/mgjeong/Desktop/llm/JOILang-Server/gpt_mg/version0_15_update20260413/results/paper_study_20260424_full/benchmarks/retrieval_qwen25_coder_7b,qwen25_coder_7b,Qwen2.5-Coder-7B-Instruct,semantic,202
retrieval,/home/mgjeong/Desktop/llm/JOILang-Server/gpt_mg/version0_15_update20260413/results/paper_study_20260424_full/benchmarks/retrieval_qwen25_coder_7b,qwen25_coder_7b,Qwen2.5-Coder-7B-Instruct,gt_receiver_coverage,189
retrieval,/home/mgjeong/Desktop/llm/JOILang-Server/gpt_mg/version0_15_update20260413/results/paper_study_20260424_full/benchmarks/retrieval_qwen25_coder_7b,qwen25_coder_7b,Qwen2.5-Coder-7B-Instruct,gt_service_coverage,184
retrieval,/home/mgjeong/Desktop/llm/JOILang-Server/gpt_mg/version0_15_update20260413/results/paper_study_20260424_full/benchmarks/retrieval_qwen25_coder_7b,qwen25_coder_7b,Qwen2.5-Coder-7B-Instruct,dataflow,175
retrieval,/home/mgjeong/Desktop/llm/JOILang-Server/gpt_mg/version0_15_update20260413/results/paper_study_20260424_full/benchmarks/retrieval_qwen25_coder_7b,qwen25_coder_7b,Qwen2.5-Coder-7B-Instruct,arg_type,127
retrieval,/home/mgjeong/Desktop/llm/JOILang-Server/gpt_mg/version0_15_update20260413/results/paper_study_20260424_full/benchmarks/retrieval_qwen25_coder_7b,qwen25_coder_7b,Qwen2.5-Coder-7B-Instruct,numeric_grounding,123
retrieval,/home/mgjeong/Desktop/llm/JOILang-Server/gpt_mg/version0_15_update20260413/results/paper_study_20260424_full/benchmarks/retrieval_qwen25_coder_7b,qwen25_coder_7b,Qwen2.5-Coder-7B-Instruct,extraneous,111
retrieval,/home/mgjeong/Desktop/llm/JOILang-Server/gpt_mg/version0_15_update20260413/results/paper_study_20260424_full/benchmarks/retrieval_qwen25_coder_7b,qwen25_coder_7b,Qwen2.5-Coder-7B-Instruct,precondition,100
retrieval,/home/mgjeong/Desktop/llm/JOILang-Server/gpt_mg/version0_15_update20260413/results/paper_study_20260424_full/benchmarks/retrieval_qwen25_coder_7b,qwen25_coder_7b,Qwen2.5-Coder-7B-Instruct,service_match,98
retrieval,/home/mgjeong/Desktop/llm/JOILang-Server/gpt_mg/version0_15_update20260413/results/paper_study_20260424_full/benchmarks/retrieval_qwen25_coder_7b,qwen25_coder_7b,Qwen2.5-Coder-7B-Instruct,enum_grounding,36
retrieval,/home/mgjeong/Desktop/llm/JOILang-Server/gpt_mg/version0_15_update20260413/results/paper_study_20260424_full/benchmarks/retrieval_qwen25_coder_7b,qwen25_coder_7b,Qwen2.5-Coder-7B-Instruct,unknown_service:temperature_sensor_temperature,4
retrieval,/home/mgjeong/Desktop/llm/JOILang-Server/gpt_mg/version0_15_update20260413/results/paper_study_20260424_full/benchmarks/retrieval_qwen25_coder_7b,qwen25_coder_7b,Qwen2.5-Coder-7B-Instruct,invalid_json,2
retrieval,/home/mgjeong/Desktop/llm/JOILang-Server/gpt_mg/version0_15_update20260413/results/paper_study_20260424_full/benchmarks/retrieval_qwen25_coder_7b,qwen25_coder_7b,Qwen2.5-Coder-7B-Instruct,unknown_service:airconditioner_switch,2
retrieval,/home/mgjeong/Desktop/llm/JOILang-Server/gpt_mg/version0_15_update20260413/results/paper_study_20260424_full/benchmarks/retrieval_qwen25_coder_7b,qwen25_coder_7b,Qwen2.5-Coder-7B-Instruct,unknown_service:audio_recorder_recordstart,2
retrieval,/home/mgjeong/Desktop/llm/JOILang-Server/gpt_mg/version0_15_update20260413/results/paper_study_20260424_full/benchmarks/retrieval_qwen25_coder_7b,qwen25_coder_7b,Qwen2.5-Coder-7B-Instruct,unknown_service:light_move,2
retrieval,/home/mgjeong/Desktop/llm/JOILang-Server/gpt_mg/version0_15_update20260413/results/paper_study_20260424_full/benchmarks/retrieval_qwen25_coder_7b,qwen25_coder_7b,Qwen2.5-Coder-7B-Instruct,unknown_service:light_movetorbg,2
retrieval,/home/mgjeong/Desktop/llm/JOILang-Server/gpt_mg/version0_15_update20260413/results/paper_study_20260424_full/benchmarks/retrieval_qwen25_coder_7b,qwen25_coder_7b,Qwen2.5-Coder-7B-Instruct,unknown_service:light_on,2
retrieval,/home/mgjeong/Desktop/llm/JOILang-Server/gpt_mg/version0_15_update20260413/results/paper_study_20260424_full/benchmarks/retrieval_qwen25_coder_7b,qwen25_coder_7b,Qwen2.5-Coder-7B-Instruct,unknown_service:motion_sensor_motion,2
retrieval,/home/mgjeong/Desktop/llm/JOILang-Server/gpt_mg/version0_15_update20260413/results/paper_study_20260424_full/benchmarks/retrieval_qwen25_coder_7b,qwen25_coder_7b,Qwen2.5-Coder-7B-Instruct,unknown_service:windowcovering_open,2
retrieval,/home/mgjeong/Desktop/llm/JOILang-Server/gpt_mg/version0_15_update20260413/results/paper_study_20260424_full/benchmarks/retrieval_qwen25_coder_7b,qwen25_coder_7b,Qwen2.5-Coder-7B-Instruct,unknown_service:airconditioner_on,1
retrieval,/home/mgjeong/Desktop/llm/JOILang-Server/gpt_mg/version0_15_update20260413/results/paper_study_20260424_full/benchmarks/retrieval_qwen25_coder_7b,qwen25_coder_7b,Qwen2.5-Coder-7B-Instruct,unknown_service:all,1
retrieval,/home/mgjeong/Desktop/llm/JOILang-Server/gpt_mg/version0_15_update20260413/results/paper_study_20260424_full/benchmarks/retrieval_qwen25_coder_7b,qwen25_coder_7b,Qwen2.5-Coder-7B-Instruct,unknown_service:carbon_dioxide_sensor_carbondioxide,1
retrieval,/home/mgjeong/Desktop/llm/JOILang-Server/gpt_mg/version0_15_update20260413/results/paper_study_20260424_full/benchmarks/retrieval_qwen25_coder_7b,qwen25_coder_7b,Qwen2.5-Coder-7B-Instruct,unknown_service:door_state,1
retrieval,/home/mgjeong/Desktop/llm/JOILang-Server/gpt_mg/version0_15_update20260413/results/paper_study_20260424_full/benchmarks/retrieval_qwen25_coder_7b,qwen25_coder_7b,Qwen2.5-Coder-7B-Instruct,unknown_service:face,1
retrieval,/home/mgjeong/Desktop/llm/JOILang-Server/gpt_mg/version0_15_update20260413/results/paper_study_20260424_full/benchmarks/retrieval_qwen25_coder_7b,qwen25_coder_7b,Qwen2.5-Coder-7B-Instruct,unknown_service:humidity_sensor_humidity,1
retrieval,/home/mgjeong/Desktop/llm/JOILang-Server/gpt_mg/version0_15_update20260413/results/paper_study_20260424_full/benchmarks/retrieval_qwen25_coder_7b,qwen25_coder_7b,Qwen2.5-Coder-7B-Instruct,unknown_service:light_movehtandsaturation,1
retrieval,/home/mgjeong/Desktop/llm/JOILang-Server/gpt_mg/version0_15_update20260413/results/paper_study_20260424_full/benchmarks/retrieval_qwen25_coder_7b,qwen25_coder_7b,Qwen2.5-Coder-7B-Instruct,unknown_service:light_off,1
retrieval,/home/mgjeong/Desktop/llm/JOILang-Server/gpt_mg/version0_15_update20260413/results/paper_study_20260424_full/benchmarks/retrieval_qwen25_coder_7b,qwen25_coder_7b,Qwen2.5-Coder-7B-Instruct,unknown_service:light_sensor_brightness,1
retrieval,/home/mgjeong/Desktop/llm/JOILang-Server/gpt_mg/version0_15_update20260413/results/paper_study_20260424_full/benchmarks/retrieval_qwen25_coder_7b,qwen25_coder_7b,Qwen2.5-Coder-7B-Instruct,unknown_service:robotvacuumcleaner_setrobotvacuumcleanermodemorepeat,1
retrieval,/home/mgjeong/Desktop/llm/JOILang-Server/gpt_mg/version0_15_update20260413/results/paper_study_20260424_full/benchmarks/retrieval_qwen25_coder_7b,qwen25_coder_7b,Qwen2.5-Coder-7B-Instruct,unknown_service:robotvacuumcleanermode_setrobotvacuumcleanermodemode,1
retrieval,/home/mgjeong/Desktop/llm/JOILang-Server/gpt_mg/version0_15_update20260413/results/paper_study_20260424_full/benchmarks/retrieval_qwen25_coder_7b,qwen25_coder_7b,Qwen2.5-Coder-7B-Instruct,unknown_service:siren_off,1
retrieval,/home/mgjeong/Desktop/llm/JOILang-Server/gpt_mg/version0_15_update20260413/results/paper_study_20260424_full/benchmarks/retrieval_qwen25_coder_7b,qwen25_coder_7b,Qwen2.5-Coder-7B-Instruct,unknown_service:sound_sensor_sound,1
retrieval,/home/mgjeong/Desktop/llm/JOILang-Server/gpt_mg/version0_15_update20260413/results/paper_study_20260424_full/benchmarks/retrieval_qwen25_coder_14b,qwen25_coder_14b,Qwen2.5-Coder-14B-Instruct,gt_mismatch,252
retrieval,/home/mgjeong/Desktop/llm/JOILang-Server/gpt_mg/version0_15_update20260413/results/paper_study_20260424_full/benchmarks/retrieval_qwen25_coder_14b,qwen25_coder_14b,Qwen2.5-Coder-14B-Instruct,semantic,139
retrieval,/home/mgjeong/Desktop/llm/JOILang-Server/gpt_mg/version0_15_update20260413/results/paper_study_20260424_full/benchmarks/retrieval_qwen25_coder_14b,qwen25_coder_14b,Qwen2.5-Coder-14B-Instruct,dataflow,133
retrieval,/home/mgjeong/Desktop/llm/JOILang-Server/gpt_mg/version0_15_update20260413/results/paper_study_20260424_full/benchmarks/retrieval_qwen25_coder_14b,qwen25_coder_14b,Qwen2.5-Coder-14B-Instruct,gt_receiver_coverage,98
retrieval,/home/mgjeong/Desktop/llm/JOILang-Server/gpt_mg/version0_15_update20260413/results/paper_study_20260424_full/benchmarks/retrieval_qwen25_coder_14b,qwen25_coder_14b,Qwen2.5-Coder-14B-Instruct,gt_service_coverage,89
retrieval,/home/mgjeong/Desktop/llm/JOILang-Server/gpt_mg/version0_15_update20260413/results/paper_study_20260424_full/benchmarks/retrieval_qwen25_coder_14b,qwen25_coder_14b,Qwen2.5-Coder-14B-Instruct,numeric_grounding,88
retrieval,/home/mgjeong/Desktop/llm/JOILang-Server/gpt_mg/version0_15_update20260413/results/paper_study_20260424_full/benchmarks/retrieval_qwen25_coder_14b,qwen25_coder_14b,Qwen2.5-Coder-14B-Instruct,arg_type,84
retrieval,/home/mgjeong/Desktop/llm/JOILang-Server/gpt_mg/version0_15_update20260413/results/paper_study_20260424_full/benchmarks/retrieval_qwen25_coder_14b,qwen25_coder_14b,Qwen2.5-Coder-14B-Instruct,extraneous,52
retrieval,/home/mgjeong/Desktop/llm/JOILang-Server/gpt_mg/version0_15_update20260413/results/paper_study_20260424_full/benchmarks/retrieval_qwen25_coder_14b,qwen25_coder_14b,Qwen2.5-Coder-14B-Instruct,enum_grounding,38
