condition,result_dir,model_key,model_label,category,row_count,avg_det_score,avg_gt_similarity,gt_exact_count,gt_exact_rate,pass_count,det_pass_rate,fail_count,warm_latency_p50,avg_prompt_tokens,avg_total_tokens,peak_vram_gb_max,oom_count,generation_error_rate,failure_rate,row_success_rate,top_failure_types
baseline,/home/mgjeong/Desktop/llm/JOILang-Server/gpt_mg/version0_15_update20260413/results/paper_study_20260424_full/benchmarks/baseline_qwen25_coder_14b,qwen25_coder_14b,Qwen2.5-Coder-14B-Instruct,3,30,60.4259,0.7159,0,0.0,2,0.0667,28,12.2195,19926.1,19988.7333,37.7691,0,0.0,0.9333,0.0667,"[[""gt_mismatch"", 30], [""dataflow"", 27], [""semantic"", 16], [""gt_receiver_coverage"", 14], [""gt_service_coverage"", 13], [""extraneous"", 8]]"
baseline,/home/mgjeong/Desktop/llm/JOILang-Server/gpt_mg/version0_15_update20260413/results/paper_study_20260424_full/benchmarks/baseline_qwen25_coder_14b,qwen25_coder_14b,Qwen2.5-Coder-14B-Instruct,4,30,61.4427,0.6444,0,0.0,0,0.0,30,13.0365,20048.2333,20118.5,37.767,0,0.0,1.0,0.0,"[[""gt_mismatch"", 30], [""dataflow"", 27], [""gt_receiver_coverage"", 15], [""gt_service_coverage"", 15], [""semantic"", 12], [""arg_type"", 9]]"
baseline,/home/mgjeong/Desktop/llm/JOILang-Server/gpt_mg/version0_15_update20260413/results/paper_study_20260424_full/benchmarks/baseline_qwen25_coder_14b,qwen25_coder_14b,Qwen2.5-Coder-14B-Instruct,5,30,65.7727,0.7848,0,0.0,4,0.1333,26,13.0393,20522.1667,20594.3,37.7688,0,0.0,0.8667,0.1333,"[[""gt_mismatch"", 30], [""numeric_grounding"", 30], [""semantic"", 24], [""arg_type"", 14], [""enum_grounding"", 9], [""dataflow"", 7]]"
baseline,/home/mgjeong/Desktop/llm/JOILang-Server/gpt_mg/version0_15_update20260413/results/paper_study_20260424_full/benchmarks/baseline_qwen25_coder_14b,qwen25_coder_14b,Qwen2.5-Coder-14B-Instruct,6,30,50.5862,0.6298,0,0.0,2,0.0667,28,13.3423,20215.2333,20291.2,37.7772,0,0.0,0.9333,0.0667,"[[""gt_mismatch"", 30], [""extraneous"", 21], [""arg_type"", 20], [""dataflow"", 18], [""enum_grounding"", 18], [""semantic"", 15]]"
baseline,/home/mgjeong/Desktop/llm/JOILang-Server/gpt_mg/version0_15_update20260413/results/paper_study_20260424_full/benchmarks/baseline_qwen25_coder_14b,qwen25_coder_14b,Qwen2.5-Coder-14B-Instruct,7,50,64.831,0.6736,2,0.04,13,0.26,37,13.5641,20571.7,20650.0,37.7784,0,0.0,0.74,0.26,"[[""gt_mismatch"", 47], [""semantic"", 45], [""gt_receiver_coverage"", 27], [""dataflow"", 25], [""gt_service_coverage"", 25], [""arg_type"", 21]]"
baseline,/home/mgjeong/Desktop/llm/JOILang-Server/gpt_mg/version0_15_update20260413/results/paper_study_20260424_full/benchmarks/baseline_qwen25_coder_14b,qwen25_coder_14b,Qwen2.5-Coder-14B-Instruct,8,50,68.1384,0.5938,0,0.0,9,0.18,41,14.5425,20373.54,20457.86,37.778,0,0.0,0.82,0.18,"[[""gt_mismatch"", 50], [""dataflow"", 34], [""semantic"", 32], [""numeric_grounding"", 31], [""gt_receiver_coverage"", 25], [""gt_service_coverage"", 21]]"
retrieval,/home/mgjeong/Desktop/llm/JOILang-Server/gpt_mg/version0_15_update20260413/results/paper_study_20260424_full/benchmarks/retrieval_qwen25_coder_7b,qwen25_coder_7b,Qwen2.5-Coder-7B-Instruct,1,30,51.4129,0.5884,8,0.2667,11,0.3667,19,2.8721,11707.5,11748.5,16.6856,0,0.0,0.6333,0.3667,"[[""gt_mismatch"", 22], [""arg_type"", 21], [""gt_receiver_coverage"", 19], [""gt_service_coverage"", 19], [""semantic"", 18], [""service_match"", 18]]"
retrieval,/home/mgjeong/Desktop/llm/JOILang-Server/gpt_mg/version0_15_update20260413/results/paper_study_20260424_full/benchmarks/retrieval_qwen25_coder_7b,qwen25_coder_7b,Qwen2.5-Coder-7B-Instruct,2,30,83.1826,0.8889,9,0.3,23,0.7667,7,2.4286,7099.3333,7154.9,17.0548,0,0.0,0.2333,0.7667,"[[""gt_mismatch"", 21], [""semantic"", 10], [""arg_type"", 9], [""extraneous"", 8], [""gt_receiver_coverage"", 7], [""gt_service_coverage"", 7]]"
retrieval,/home/mgjeong/Desktop/llm/JOILang-Server/gpt_mg/version0_15_update20260413/results/paper_study_20260424_full/benchmarks/retrieval_qwen25_coder_7b,qwen25_coder_7b,Qwen2.5-Coder-7B-Instruct,3,30,44.3628,0.5717,0,0.0,0,0.0,30,2.6788,8628.9333,8680.6333,16.769,0,0.0,1.0,0.0,"[[""gt_mismatch"", 30], [""dataflow"", 27], [""gt_receiver_coverage"", 25], [""gt_service_coverage"", 25], [""semantic"", 21], [""arg_type"", 14]]"
retrieval,/home/mgjeong/Desktop/llm/JOILang-Server/gpt_mg/version0_15_update20260413/results/paper_study_20260424_full/benchmarks/retrieval_qwen25_coder_7b,qwen25_coder_7b,Qwen2.5-Coder-7B-Instruct,4,30,39.7946,0.3935,0,0.0,0,0.0,30,2.7275,8508.1667,8559.5,16.4708,0,0.0,1.0,0.0,"[[""dataflow"", 30], [""gt_mismatch"", 30], [""gt_receiver_coverage"", 26], [""gt_service_coverage"", 26], [""semantic"", 26], [""arg_type"", 15]]"
retrieval,/home/mgjeong/Desktop/llm/JOILang-Server/gpt_mg/version0_15_update20260413/results/paper_study_20260424_full/benchmarks/retrieval_qwen25_coder_7b,qwen25_coder_7b,Qwen2.5-Coder-7B-Instruct,5,30,58.0508,0.6982,0,0.0,4,0.1333,26,3.1505,9174.0667,9242.8333,16.5616,0,0.0,0.8667,0.1333,"[[""gt_mismatch"", 30], [""numeric_grounding"", 30], [""semantic"", 21], [""gt_receiver_coverage"", 14], [""gt_service_coverage"", 12], [""dataflow"", 11]]"
retrieval,/home/mgjeong/Desktop/llm/JOILang-Server/gpt_mg/version0_15_update20260413/results/paper_study_20260424_full/benchmarks/retrieval_qwen25_coder_7b,qwen25_coder_7b,Qwen2.5-Coder-7B-Instruct,6,30,42.539,0.5348,0,0.0,0,0.0,30,3.1548,8880.1,8947.8,16.5803,0,0.0,1.0,0.0,"[[""gt_mismatch"", 29], [""dataflow"", 28], [""gt_receiver_coverage"", 27], [""gt_service_coverage"", 27], [""semantic"", 21], [""numeric_grounding"", 16]]"
retrieval,/home/mgjeong/Desktop/llm/JOILang-Server/gpt_mg/version0_15_update20260413/results/paper_study_20260424_full/benchmarks/retrieval_qwen25_coder_7b,qwen25_coder_7b,Qwen2.5-Coder-7B-Instruct,7,50,52.8138,0.5624,1,0.02,7,0.14,43,3.358,9698.08,9769.44,16.9347,0,0.0,0.86,0.14,"[[""gt_mismatch"", 48], [""semantic"", 46], [""gt_receiver_coverage"", 36], [""gt_service_coverage"", 34], [""dataflow"", 31], [""arg_type"", 21]]"
retrieval,/home/mgjeong/Desktop/llm/JOILang-Server/gpt_mg/version0_15_update20260413/results/paper_study_20260424_full/benchmarks/retrieval_qwen25_coder_7b,qwen25_coder_7b,Qwen2.5-Coder-7B-Instruct,8,50,51.6123,0.3663,0,0.0,7,0.14,43,3.0271,9136.22,9207.28,16.6463,0,0.0,0.86,0.14,"[[""gt_mismatch"", 50], [""semantic"", 39], [""dataflow"", 39], [""gt_receiver_coverage"", 35], [""gt_service_coverage"", 34], [""numeric_grounding"", 27]]"
retrieval,/home/mgjeong/Desktop/llm/JOILang-Server/gpt_mg/version0_15_update20260413/results/paper_study_20260424_full/benchmarks/retrieval_qwen25_coder_14b,qwen25_coder_14b,Qwen2.5-Coder-14B-Instruct,1,30,83.7689,0.8571,13,0.4333,20,0.6667,10,6.8266,11707.5,11764.3,31.52,0,0.0,0.3333,0.6667,"[[""gt_mismatch"", 16], [""arg_type"", 8], [""gt_receiver_coverage"", 7], [""gt_service_coverage"", 7], [""dataflow"", 5], [""numeric_grounding"", 2]]"
retrieval,/home/mgjeong/Desktop/llm/JOILang-Server/gpt_mg/version0_15_update20260413/results/paper_study_20260424_full/benchmarks/retrieval_qwen25_coder_14b,qwen25_coder_14b,Qwen2.5-Coder-14B-Instruct,2,30,89.9007,0.934,12,0.4,25,0.8333,5,4.7817,7099.3333,7155.3667,32.1128,0,0.0,0.1667,0.8333,"[[""gt_mismatch"", 18], [""semantic"", 8], [""arg_type"", 7], [""gt_receiver_coverage"", 4], [""gt_service_coverage"", 4], [""extraneous"", 4]]"
retrieval,/home/mgjeong/Desktop/llm/JOILang-Server/gpt_mg/version0_15_update20260413/results/paper_study_20260424_full/benchmarks/retrieval_qwen25_coder_14b,qwen25_coder_14b,Qwen2.5-Coder-14B-Instruct,3,30,67.1751,0.7614,0,0.0,3,0.1,27,6.0049,8628.9333,8693.7,31.658,0,0.0,0.9,0.1,"[[""gt_mismatch"", 30], [""dataflow"", 26], [""gt_receiver_coverage"", 14], [""semantic"", 13], [""gt_service_coverage"", 13], [""arg_type"", 6]]"
retrieval,/home/mgjeong/Desktop/llm/JOILang-Server/gpt_mg/version0_15_update20260413/results/paper_study_20260424_full/benchmarks/retrieval_qwen25_coder_14b,qwen25_coder_14b,Qwen2.5-Coder-14B-Instruct,4,30,68.7793,0.7135,0,0.0,2,0.0667,28,6.9516,8508.1667,8581.6667,31.1797,0,0.0,0.9333,0.0667,"[[""gt_mismatch"", 30], [""dataflow"", 27], [""semantic"", 9], [""gt_receiver_coverage"", 8], [""gt_service_coverage"", 8], [""arg_type"", 7]]"
retrieval,/home/mgjeong/Desktop/llm/JOILang-Server/gpt_mg/version0_15_update20260413/results/paper_study_20260424_full/benchmarks/retrieval_qwen25_coder_14b,qwen25_coder_14b,Qwen2.5-Coder-14B-Instruct,5,30,68.9473,0.8224,0,0.0,3,0.1,27,7.0705,9174.0667,9249.5333,31.3229,0,0.0,0.9,0.1,"[[""gt_mismatch"", 30], [""numeric_grounding"", 30], [""semantic"", 24], [""arg_type"", 12], [""enum_grounding"", 9], [""dataflow"", 7]]"
retrieval,/home/mgjeong/Desktop/llm/JOILang-Server/gpt_mg/version0_15_update20260413/results/paper_study_20260424_full/benchmarks/retrieval_qwen25_coder_14b,qwen25_coder_14b,Qwen2.5-Coder-14B-Instruct,6,30,70.2298,0.7418,0,0.0,2,0.0667,28,8.1264,8880.1,8976.7667,31.3496,0,0.0,0.9333,0.0667,"[[""gt_mismatch"", 30], [""gt_receiver_coverage"", 16], [""gt_service_coverage"", 16], [""extraneous"", 16], [""arg_type"", 15], [""dataflow"", 13]]"
retrieval,/home/mgjeong/Desktop/llm/JOILang-Server/gpt_mg/version0_15_update20260413/results/paper_study_20260424_full/benchmarks/retrieval_qwen25_coder_14b,qwen25_coder_14b,Qwen2.5-Coder-14B-Instruct,7,50,69.5913,0.7126,2,0.04,16,0.32,34,7.0618,9698.08,9774.02,31.9259,0,0.0,0.68,0.32,"[[""gt_mismatch"", 48], [""semantic"", 44], [""dataflow"", 23], [""gt_receiver_coverage"", 23], [""gt_service_coverage"", 21], [""arg_type"", 19]]"
retrieval,/home/mgjeong/Desktop/llm/JOILang-Server/gpt_mg/version0_15_update20260413/results/paper_study_20260424_full/benchmarks/retrieval_qwen25_coder_14b,qwen25_coder_14b,Qwen2.5-Coder-14B-Instruct,8,50,70.9334,0.6318,0,0.0,10,0.2,40,7.7356,9136.22,9220.44,31.4584,0,0.0,0.8,0.2,"[[""gt_mismatch"", 50], [""semantic"", 34], [""dataflow"", 32], [""numeric_grounding"", 30], [""gt_receiver_coverage"", 21], [""gt_service_coverage"", 16]]"
