index,category_analysis,selected,test_no,command,command_english,connected_devices,options,joi_gt,joi_pred_gpt-4.1_gpt-cap,cloud_similarity_gpt-4.1_gpt-cap,script_similarity_gpt-4.1_gpt-cap,response_time_gpt-4.1_gpt-cap,connected_devices_dict,options_dict
11,1,1,17,에어컨을 자동 모드로 설정해줘.,Set the air conditioner to auto mode.,"{ 'GreenhouseA_ac_left': {'category': 'AirConditioner', 'tags': ['GreenhouseA', 'left', 'AirConditioner']}, 'GreenhouseA_ac_right': {'category': 'AirConditioner', 'tags': ['GreenhouseA', 'right', 'AirConditioner']}, 'GreenhouseA_ac_center': {'category': 'AirConditioner', 'tags': ['GreenhouseA', 'center', 'AirConditioner']}}",,"{""name"": ""Scenario1"", ""cron"": """", ""period"": -1, ""code"": ""(#AirConditioner).airConditionerMode_setAirConditionerMode(\""auto\"")""}","{""name"": ""Scenario1"",""cron"": """",""period"": -1,""code"": ""(#AirConditioner).airConditionerMode_setAirConditionerMode('auto')""}",0.0,0.0,2.284,"{'GreenhouseA_ac_left': {'category': 'AirConditioner', 'tags': ['GreenhouseA', 'left', 'AirConditioner']}, 'GreenhouseA_ac_right': {'category': 'AirConditioner', 'tags': ['GreenhouseA', 'right', 'AirConditioner']}, 'GreenhouseA_ac_center': {'category': 'AirConditioner', 'tags': ['GreenhouseA', 'center', 'AirConditioner']}}",
12,1,1,37,알람을 꺼줘.,Turn off the alarm.,"{ 'GreenhouseA_alarm_exit': {'category': 'Alarm', 'tags': ['GreenhouseA', 'exit', 'Alarm']}, 'GreenhouseA_alarm_center': {'category': 'Alarm', 'tags': ['GreenhouseA', 'center', 'Alarm']}}",,"{""name"": ""Scenario1"", ""cron"": """", ""period"": -1, ""code"": ""(#Alarm).alarm_off()""}","{""name"": ""Scenario1"",""cron"": """",""period"": -1,""code"": ""(#Alarm).alarm_off()""}",0.0,0.0,2.833,"{'GreenhouseA_alarm_exit': {'category': 'Alarm', 'tags': ['GreenhouseA', 'exit', 'Alarm']}, 'GreenhouseA_alarm_center': {'category': 'Alarm', 'tags': ['GreenhouseA', 'center', 'Alarm']}}",
13,1,1,43,블라인드를 70 퍼센트로 설정해줘.,Set the blinds to 70 percent.,"{ 'GreenhouseA_blind_top': {'category': 'Blind', 'tags': ['GreenhouseA', 'top', 'Blind']}, 'GreenhouseA_blind_side': {'category': 'Blind', 'tags': ['GreenhouseA', 'side', 'Blind']}, 'GreenhouseA_blind_back': {'category': 'Blind', 'tags': ['GreenhouseA', 'back', 'Blind']}}",,"{""name"": ""Scenario1"", ""cron"": """", ""period"": -1, ""code"": ""(#Blind).blindLevel_setBlindLevel(70)""}","{""name"": ""Scenario1"",""cron"": """",""period"": -1,""code"": ""(#Blind).blindLevel_setBlindLevel(70)""}",0.0,0.0,2.155,"{'GreenhouseA_blind_top': {'category': 'Blind', 'tags': ['GreenhouseA', 'top', 'Blind']}, 'GreenhouseA_blind_side': {'category': 'Blind', 'tags': ['GreenhouseA', 'side', 'Blind']}, 'GreenhouseA_blind_back': {'category': 'Blind', 'tags': ['GreenhouseA', 'back', 'Blind']}}",
14,2,1,46,블라인드 움직임을 멈춰줘.,Stop blind movement.,,,"{""name"": ""Scenario1"", ""cron"": """", ""period"": -1, ""code"": ""(#Blind).blind_pause()""}","{""name"": ""Scenario1"",""cron"": """",""period"": -1,""code"": ""(#Blind).blind_pause()""}",0.0,0.0,2.487,,
15,2,1,53,버튼4가 위로 스와이프되었으면 알람의 사이렌을 울려줘.,if button 4 is swiped up,,,"{""name"": ""Scenario1"", ""cron"": """", ""period"": -1, ""code"": ""if ((#Buttonx4).buttonx4_button4 == \""swipe_up\"") {\n  (#Alarm).alarm_siren()\n}""}","{""name"": ""Scenario1"",""cron"": """",""period"": -1,""code"": ""if ((#Button4).button_swipe == 'up') {(#Alarm).alarm_siren()}""}",0.0,0.0,10.917,,
16,1,1,58,10을 3으로 나눈 나머지를 구해.,Find the remainder of 10 divided by 3.,,,"{""name"": ""Scenario1"", ""cron"": """", ""period"": -1, ""code"": ""(#Calculator).calculator_mod(10, 3)""}","{""name"": ""Scenario1"",""cron"": """",""period"": -1,""code"": ""(#Calculator).calculator_mod(10 | 3)""}",0.0,0.0,5.297,,
17,9,1,62,"가장 최근에 찍은 사진을 첨부파일로 이메일을 'test@example.com' 주소, 제목 '사진'과 내용 '사진입니다.'로 보내줘.","Send an email with the most recent photo as an attachment to 'test@example.com' with the subject line ""Photo"" and the content ""This is a photo"".",,"[
  {
    ""name"": ""me"",
    ""contact"": ""010-1234-5678"",
    ""email"": ""abcd1234@test.com"",
    ""birthday"": ""1991-03-03""
  },
  {
    ""name"": ""홍길동"",
    ""contact"": ""010-9999-8888"",
    ""email"": ""honggd@test.com"",
    ""birthday"": ""1988-07-15"",
    ""alternate_contact"": ""010-8888-7777""
  },
  {
    ""name"": ""김무개"",
    ""contact"": ""010-7777-6666"",
    ""email"": ""kim@example.com"",
    ""birthday"": ""1990-11-25""
  },
  {
    ""name"": ""장보고"",
    ""contact"": ""010-2222-3333"",
    ""email"": ""jangbogo@naver.com"",
    ""birthday"": ""1985-05-10"",
    ""alternate_contact"": ""010-4444-5555""
  }
]","{""name"": ""Scenario1"", ""cron"": """", ""period"": -1, ""code"": ""latest_photo = (#Camera).camera_image\n(#EmailProvider).emailProvider_sendMailWithFile(\""test@example.com\"", \""사진\"", \""사진입니다.\"", latest_photo)""}","{""name"": ""SendLatestPhotoByEmail"",""cron"": """",""period"": -1,""code"": ""if ((#Camera).camera_image != null) { (#EmailProvider).emailProvider_sendMailWithFile('test@example.com' | '사진' | '사진입니다.' | (#Camera).camera_image) }""}",0.0,0.0,18.281,,"[{'name': 'me', 'contact': '010-1234-5678', 'email': 'abcd1234@test.com', 'birthday': '1991-03-03'}, {'name': '홍길동', 'contact': '010-9999-8888', 'email': 'honggd@test.com', 'birthday': '1988-07-15', 'alternate_contact': '010-8888-7777'}, {'name': '김무개', 'contact': '010-7777-6666', 'email': 'kim@example.com', 'birthday': '1990-11-25'}, {'name': '장보고', 'contact': '010-2222-3333', 'email': 'jangbogo@naver.com', 'birthday': '1985-05-10', 'alternate_contact': '010-4444-5555'}]"
18,9,1,63,"가장 최근 동영상을 첨부파일로 이메일을 'test@example.com' 주소, 제목 '동영상'과 내용 '동영상입니다.'로 보내줘","Send an email with the most recent video as an attachment to 'test@example.com' with the subject line ""Video"" and the content ""This is a video.",,"[
  {
    ""name"": ""me"",
    ""contact"": ""010-1234-5678"",
    ""email"": ""abcd1234@test.com"",
    ""birthday"": ""1991-03-03""
  },
  {
    ""name"": ""홍길동"",
    ""contact"": ""010-9999-8888"",
    ""email"": ""honggd@test.com"",
    ""birthday"": ""1988-07-15"",
    ""alternate_contact"": ""010-8888-7777""
  },
  {
    ""name"": ""김무개"",
    ""contact"": ""010-7777-6666"",
    ""email"": ""kim@example.com"",
    ""birthday"": ""1990-11-25""
  },
  {
    ""name"": ""장보고"",
    ""contact"": ""010-2222-3333"",
    ""email"": ""jangbogo@naver.com"",
    ""birthday"": ""1985-05-10"",
    ""alternate_contact"": ""010-4444-5555""
  }
]","{""name"": ""Scenario1"", ""cron"": """", ""period"": -1, ""code"": ""latest_video = (#Camera).camera_video\n(#EmailProvider).emailProvider_sendMailWithFile(\""test@example.com\"", \""동영상\"", \""동영상입니다.\"", latest_video)""}","{""name"": ""SendLatestVideoEmail"",""cron"": """",""period"": -1,""code"": ""(#EmailProvider).emailProvider_sendMailWithFile('test@example.com' | '동영상' | '동영상입니다.' | (#Camera).camera_video)""}",0.0,0.0,6.943,,"[{'name': 'me', 'contact': '010-1234-5678', 'email': 'abcd1234@test.com', 'birthday': '1991-03-03'}, {'name': '홍길동', 'contact': '010-9999-8888', 'email': 'honggd@test.com', 'birthday': '1988-07-15', 'alternate_contact': '010-8888-7777'}, {'name': '김무개', 'contact': '010-7777-6666', 'email': 'kim@example.com', 'birthday': '1990-11-25'}, {'name': '장보고', 'contact': '010-2222-3333', 'email': 'jangbogo@naver.com', 'birthday': '1985-05-10', 'alternate_contact': '010-4444-5555'}]"
19,1,1,68,카메라로 10초 동안 속도 2로 타임랩스 영상을 촬영해줘.,Take a time-lapse video with the camera at speed 2 for 10 seconds.,"{ 'GreenhouseA_cam_front': {'category': 'Camera', 'tags': ['GreenhouseA', 'front', 'Camera']}, 'GreenhouseA_cam_back': {'category': 'Camera', 'tags': ['GreenhouseA', 'back', 'Camera']}}",,"{""name"": ""Scenario1"", ""cron"": """", ""period"": -1, ""code"": ""(#Camera).camera_takeTimelapse(10, 2)""}","{""name"": ""Scenario1"",""cron"": """",""period"": -1,""code"": ""(#Camera).camera_takeTimelapse(10.0,2.0)""}",0.0,0.0,6.121,"{'GreenhouseA_cam_front': {'category': 'Camera', 'tags': ['GreenhouseA', 'front', 'Camera']}, 'GreenhouseA_cam_back': {'category': 'Camera', 'tags': ['GreenhouseA', 'back', 'Camera']}}",
20,2,1,81,지금이 오후 3시 15분이면 알람의 사이렌을 울려줘.,"If it's 3:15pm, blare the siren on the alarm.",,,"{""name"": ""Scenario1"", ""cron"": """", ""period"": -1, ""code"": ""if ((#Clock).clock_time == 1515) {\n  (#Alarm).alarm_siren()\n}""}","{""name"": ""Scenario1"",""cron"": """",""period"": -1,""code"": ""if ((#clock).clock_hour == 15 and (#clock).clock_minute == 15) { (#Alarm).alarm_siren() }""}",0.0,0.0,3.850,,
21,2,1,84,올해가 2025년이면 알람의 사이렌을 울려줘.,"If the year is 2025, sound the alarm siren.",,,"{""name"": ""Scenario1"", ""cron"": """", ""period"": -1, ""code"": ""if ((#Clock).clock_year == 2025) {\n  (#Alarm).alarm_siren()\n}""}","{""name"": ""Scenario1"",""cron"": """",""period"": -1,""code"": ""if ((#Clock).clock_year == 2025) {(#Alarm).alarm_siren()}""}",0.0,0.0,2.924,,
22,4,1,85,1시간 20분 30초 뒤에 알람의 사이렌을 울려줘,"Sound the alarm's siren in 1 hour, 20 minutes, 30 seconds",,,"{""name"": ""Scenario1"", ""cron"": """", ""period"": -1, ""code"": ""(#Clock).clock_delay(4830000)\n(#Alarm).alarm_siren()""}","{""name"": ""Scenario1"",""cron"": """",""period"": -1,""code"": ""(#clock).clock_delay(4830000)\n(#Alarm).alarm_siren()""}",0.0,0.0,7.242,,
23,2,1,86,접촉 센서가 접촉되어 있으면 알람의 사이렌을 울려줘.,Sound the alarm's siren if the contact sensor is in contact.,,,"{""name"": ""Scenario1"", ""cron"": """", ""period"": -1, ""code"": ""if ((#ContactSensor).contactSensor_contact == \""closed\"") {\n  (#Alarm).alarm_siren()\n}""}","{""name"": ""Scenario1"",""cron"": """",""period"": 100,""code"": ""if ((#ContactSensor).contactSensor_contact == 'closed') {(#Alarm).alarm_siren()}""}",0.0,0.0,2.823,,
24,9,1,107,이메일을 'test@example.com' 주소로 제목 '알림'과 내용 '긴급 상황입니다.'로 보내줘.,"Send an email to 'test@example.com' with the subject line ""Alert"" and the content ""This is an emergency."".",,"[
  {
    ""name"": ""me"",
    ""contact"": ""010-1234-5678"",
    ""email"": ""abcd1234@test.com"",
    ""birthday"": ""1991-03-03""
  },
  {
    ""name"": ""홍길동"",
    ""contact"": ""010-9999-8888"",
    ""email"": ""honggd@test.com"",
    ""birthday"": ""1988-07-15"",
    ""alternate_contact"": ""010-8888-7777""
  },
  {
    ""name"": ""김무개"",
    ""contact"": ""010-7777-6666"",
    ""email"": ""kim@example.com"",
    ""birthday"": ""1990-11-25""
  },
  {
    ""name"": ""장보고"",
    ""contact"": ""010-2222-3333"",
    ""email"": ""jangbogo@naver.com"",
    ""birthday"": ""1985-05-10"",
    ""alternate_contact"": ""010-4444-5555""
  }
]","{""name"": ""Scenario1"", ""cron"": """", ""period"": -1, ""code"": ""(#EmailProvider).emailProvider_sendMail(\""test@example.com\"", \""알림\"", \""긴급 상황입니다.\"")""}","{""name"": ""Scenario1"",""cron"": """",""period"": -1,""code"": ""(#EmailProvider).emailProvider_sendMail('test@example.com' | '알림' | '긴급 상황입니다.')""}",0.0,0.0,9.499,,"[{'name': 'me', 'contact': '010-1234-5678', 'email': 'abcd1234@test.com', 'birthday': '1991-03-03'}, {'name': '홍길동', 'contact': '010-9999-8888', 'email': 'honggd@test.com', 'birthday': '1988-07-15', 'alternate_contact': '010-8888-7777'}, {'name': '김무개', 'contact': '010-7777-6666', 'email': 'kim@example.com', 'birthday': '1990-11-25'}, {'name': '장보고', 'contact': '010-2222-3333', 'email': 'jangbogo@naver.com', 'birthday': '1985-05-10', 'alternate_contact': '010-4444-5555'}]"
25,3,1,126,가스 밸브가 열려 있으면 알람의 사이렌을 울려줘.,Sound the alarm's siren if the gas valve is open., ,,"{""name"": ""Scenario1"", ""cron"": """", ""period"": -1, ""code"": ""if ((#GasValve).valve_valve == \""open\"") {\n  (#Alarm).alarm_siren()\n}""}","{""name"": ""Scenario1"",""cron"": """",""period"": -1,""code"": ""if ((#GasValve).valve_valve == 'open') { (#Alarm).alarm_siren() }""}",0.0,0.0,2.627,,
26,1,1,147,관개 장치의 급수를 시작해줘.,Start watering the irrigator.,,,"{""name"": ""Scenario1"", ""cron"": """", ""period"": -1, ""code"": ""(#Irrigator).irrigatorOperatingState_startWatering()""}","{""name"": ""Scenario1"",""cron"": """",""period"": -1,""code"": ""(#Irrigator).irrigatorOperatingState_startWatering()""}",0.0,0.0,2.160,,
27,2,1,148,누수가 감지되면 알람의 사이렌을 울려줘.,Sound the alarm's siren if a leak is detected.,,,"{""name"": ""Scenario1"", ""cron"": """", ""period"": -1, ""code"": ""if ((#LeakSensor).leakSensor_leakage == \""detected\"") {\n  (#Alarm).alarm_siren()\n}""}","{""name"": ""Scenario1"",""cron"": """",""period"": -1,""code"": ""wait until ((#LeakSensor).leakSensor_leakage == 'detected')\n(#Alarm).alarm_siren()""}",0.0,0.0,3.555,,
28,1,1,153,조명을 빨간색으로 설정해줘.,Set the light to red.,"{ 'GreenhouseA_light_left_top_1': {'category': 'Light', 'tags': ['GreenhouseA', 'left_top', 'Light']}, 'GreenhouseA_light_center_1': {'category': 'Light', 'tags': ['GreenhouseA', 'center', 'Light']}}",,"{""name"": ""Scenario1"", ""cron"": """", ""period"": -1, ""code"": ""(#Light).colorControl_setColor(\""255|0|0\"")""}","{""name"": ""Scenario1"",""cron"": """",""period"": -1,""code"": ""(#Light).colorControl_setColor('RED|255|GREEN|0|BLUE|0')""}",0.0,0.0,6.133,"{'GreenhouseA_light_left_top_1': {'category': 'Light', 'tags': ['GreenhouseA', 'left_top', 'Light']}, 'GreenhouseA_light_center_1': {'category': 'Light', 'tags': ['GreenhouseA', 'center', 'Light']}}",
29,1,1,156,5의 속도로 조명의 밝기를 80으로 설정해줘.,Set the brightness of the light to 80 with a speed of 5.,,,"{""name"": ""Scenario1"", ""cron"": """", ""period"": -1, ""code"": ""(#Light).switchLevel_setLevel(80, 5)""}","{""name"": ""Scenario1"",""cron"": """",""period"": -1,""code"": ""(#Light).switchLevel_setLevel(80|5)""}",0.0,0.0,7.046,,
30,1,1,160,조명의 전원을 토글해줘.,Toggle the power of the light.,,,"{""name"": ""Scenario1"", ""cron"": """", ""period"": -1, ""code"": ""(#Light).switch_toggle()""}","{""name"": ""Scenario1"",""cron"": """",""period"": -1,""code"": ""(#Light).switch_toggle()""}",0.0,0.0,2.295,,
