index,category_analysis,selected,test_no,command,command_english,connected_devices,options,joi_gt,generated_code_gpt-4.1-mini_cap,response_time_generated_code_gpt-4.1-mini_cap
16,1,0,0,에어컨을 켜줘.,Turn on the air conditioner.,,,"{""name"": ""Scenario1"", ""cron"": """", ""period"": -1, ""code"": ""(#AirConditioner).switch_on()""}",,
17,1,0,0,에어컨의 전원을 토글해줘.,Toggle the power of the air conditioner.,,,"{""name"": ""Scenario1"", ""cron"": """", ""period"": -1, ""code"": ""(#AirConditioner).switch_toggle()""}",,
18,1,1,0,에어컨을 자동 모드로 설정해줘.,Set the air conditioner to auto mode.,"{ 'GreenhouseA_ac_left': {'category': 'AirConditioner', 'tags': ['GreenhouseA', 'left', 'AirConditioner']}, 'GreenhouseA_ac_right': {'category': 'AirConditioner', 'tags': ['GreenhouseA', 'right', 'AirConditioner']}, 'GreenhouseA_ac_center': {'category': 'AirConditioner', 'tags': ['GreenhouseA', 'center', 'AirConditioner']}}",,"{""name"": ""Scenario1"", ""cron"": """", ""period"": -1, ""code"": ""(#AirConditioner).airConditionerMode_setAirConditionerMode(\""auto\"")""}","{'name': 'SetAirConditionerAutoMode', 'cron': '', 'period': -1, 'code': ""(#AirConditioner).airConditionerMode_setAirConditionerMode('auto')""}",2.4000 seconds
19,1,0,0,에어컨의 목표 온도를 18도로 설정해줘.,Set the target temperature for the air conditioner to 18 degrees.,,,"{""name"": ""Scenario1"", ""cron"": """", ""period"": -1, ""code"": ""(#AirConditioner).airConditionerMode_setTemperature(18)""}",,
20,2,0,0,공기청정기의 전원이 켜져 있으면 알람의 사이렌을 울려줘.,Sound the alarm's siren if the air purifier is powered on.,,,"{""name"": ""Scenario1"", ""cron"": """", ""period"": -1, ""code"": ""if ((#AirPurifier).switch_switch == \""on\"") {\n  (#Alarm).alarm_siren()\n}""}",,
21,2,0,0,공기청정기가 수면 모드면 알람의 사이렌을 울려줘.,Sound the alarm's siren if the air purifier is in sleep mode.,,,"{""name"": ""Scenario1"", ""cron"": """", ""period"": -1, ""code"": ""if ((#AirPurifier).airPurifierFanMode_airPurifierFanMode == \""sleep\"") {\n  (#Alarm).alarm_siren()\n}""}",,
22,2,0,0,공기청정기가 지원하는 모드를 스피커로 출력해줘,Speaker out the modes the air purifier supports,,,"{""name"": ""Scenario1"", ""cron"": """", ""period"": -1, ""code"": ""modes = (#AirPurifier).airPurifierFanMode_supportedAirPurifierFanModes\n(#Speaker).mediaPlayback_speak(modes)""}",,
23,1,0,0,공기청정기를 꺼줘.,Turn off the air purifier.,,,"{""name"": ""Scenario1"", ""cron"": """", ""period"": -1, ""code"": ""(#AirPurifier).switch_off()""}",,
24,1,0,0,공기청정기를 켜줘.,Turn on the air purifier.,,,"{""name"": ""Scenario1"", ""cron"": """", ""period"": -1, ""code"": ""(#AirPurifier).switch_on()""}",,
25,1,0,0,공기청정기의 전원을 토글해줘.,Toggle the air purifier's power.,,,"{""name"": ""Scenario1"", ""cron"": """", ""period"": -1, ""code"": ""(#AirPurifier).switch_toggle()""}",,
26,1,0,0,공기청정기의 모드를 자동으로 설정해줘.,Set the air purifier's mode to automatic.,,,"{""name"": ""Scenario1"", ""cron"": """", ""period"": -1, ""code"": ""(#AirPurifier).airPurifierFanMode_setAirPurifierFanMode(\""auto\"")""}",,
27,2,0,0,공기질 측정기의 측정 온도가 20도이면 알람의 사이렌을 울려줘.,Sound the alarm's siren If the temperature measured by the air quality meter is 20 degrees.,,,"{""name"": ""Scenario1"", ""cron"": """", ""period"": -1, ""code"": ""if ((#AirQualityDetector).temperatureMeasurement_temperature == 20) {\n  (#Alarm).alarm_siren()\n}""}",,
28,2,0,0,이산화탄소 농도가 800ppm 이상이면 알람의 사이렌을 울려줘.,Sound the alarm's siren if the carbon dioxide concentration is above 800 ppm.,,,"{""name"": ""Scenario1"", ""cron"": """", ""period"": -1, ""code"": ""if ((#AirQualityDetector).carbonDioxideMeasurement_carbonDioxide >= 800) {\n  (#Alarm).alarm_siren()\n}""}",,
29,2,0,0,공기질 측정기의 상대 습도가 70퍼센트 이상이면 알람의 사이렌을 울려줘.,Sound the alarm's siren if the relative humidity on the air quality meter is above 70 percent.,,,"{""name"": ""Scenario1"", ""cron"": """", ""period"": -1, ""code"": ""if ((#AirQualityDetector).relativeHumidityMeasurement_humidity >= 70) {\n  (#Alarm).alarm_siren()\n}""}",,
30,2,0,0,실내 황사 농도가 150마이크로그램 이상이면 알람의 사이렌을 울려줘.,Sound the alarm's siren if the indoor yellow dust concentration is 150 micrograms or more.,,,"{""name"": ""Scenario1"", ""cron"": """", ""period"": -1, ""code"": ""if ((#AirQualityDetector).dustSensor_dustLevel >= 150) {\n  (#Alarm).alarm_siren()\n}""}",,
31,2,0,0,실내 미세먼지 농도가 35마이크로그램 이상이면 알람의 사이렌을 울려줘.,Sound the alarm's siren if indoor particulate matter concentration is 35 micrograms or higher.,,,"{""name"": ""Scenario1"", ""cron"": """", ""period"": -1, ""code"": ""if ((#AirQualityDetector).dustSensor_fineDustLevel >= 35) {\n  (#Alarm).alarm_siren()\n}""}",,
32,2,0,0,실내 초미세먼지 농도가 15마이크로그램 이상이면 알람의 사이렌을 울려줘.,Sound the alarm's siren if the indoor fine particulate matter concentration is 15 micrograms or more.,,,"{""name"": ""Scenario1"", ""cron"": """", ""period"": -1, ""code"": ""if ((#AirQualityDetector).dustSensor_veryFineDustLevel >= 15) {\n  (#Alarm).alarm_siren()\n}""}",,
33,2,0,0,총 휘발성 유기 화합물 농도가 0.5ppm 이상이면 알람의 사이렌을 울려줘.,Sound the alarm's siren if the total volatile organic compound concentration is greater than 0.5 ppm.,,,"{""name"": ""Scenario1"", ""cron"": """", ""period"": -1, ""code"": ""if ((#AirQualityDetector).tvocMeasurement_tvocLevel >= 0.5) {\n  (#Alarm).alarm_siren()\n}""}",,
34,2,0,0,알람이 경광등 모드이면 알람의 사이렌을 울려줘.,Sound the alarm's siren if the alarm is in strobe mode.,,,"{""name"": ""Scenario1"", ""cron"": """", ""period"": -1, ""code"": ""if ((#Alarm).alarm_alarm == \""strobe\"") {\n  (#Alarm).alarm_siren()\n}""}",,
35,2,0,0,알람의 볼륨이 높음이면 알람의 사이렌을 울려줘.,"If the volume of the alarm is high, sound the alarm's siren.",,,"{""name"": ""Scenario1"", ""cron"": """", ""period"": -1, ""code"": ""if ((#Alarm).alarm_alarmVolume == \""high\"") {\n  (#Alarm).alarm_siren()\n}""}",,
36,2,0,0,알람 배터리 상태가 20퍼센트 이하이면 알람의 사이렌을 울려줘.,Sound the alarm's siren if the alarm battery is below 20 percent.,,,"{""name"": ""Scenario1"", ""cron"": """", ""period"": -1, ""code"": ""if ((#Alarm).battery_battery <= 20) {\n  (#Alarm).alarm_siren()\n}""}",,
37,1,0,0,알람의 사이렌과 경광등을 모두 켜줘.,Turn on both the alarm's siren and strobe.,,,"{""name"": ""Scenario1"", ""cron"": """", ""period"": -1, ""code"": ""(#Alarm).alarm_both()""}",,
38,1,1,0,알람을 꺼줘.,Turn off the alarm.,"{ 'GreenhouseA_alarm_exit': {'category': 'Alarm', 'tags': ['GreenhouseA', 'exit', 'Alarm']}, 'GreenhouseA_alarm_center': {'category': 'Alarm', 'tags': ['GreenhouseA', 'center', 'Alarm']}}",,"{""name"": ""Scenario1"", ""cron"": """", ""period"": -1, ""code"": ""(#Alarm).alarm_off()""}","{'name': 'TurnOffAlarm', 'cron': '', 'period': -1, 'code': '(#Alarm).alarm_off()'}",1.6328 seconds
39,1,0,0,알람의 볼륨을 낮음으로 설정해줘.,Set the volume of the alarm to low.,,,"{""name"": ""Scenario1"", ""cron"": """", ""period"": -1, ""code"": ""(#Alarm).alarm_setAlarmVolume(\""low\"")""}",,
40,1,0,0,알람의 사이렌을 울려줘.,Sound the alarm's siren.,,,"{""name"": ""Scenario1"", ""cron"": """", ""period"": -1, ""code"": ""(#Alarm).alarm_siren()""}",,
41,1,0,0,알람의 경광등을 켜줘.,Turn on the alarm's light.,,,"{""name"": ""Scenario1"", ""cron"": """", ""period"": -1, ""code"": ""(#Alarm).alarm_strobe()""}",,
42,2,0,0,블라인드가 50 퍼센트 이상 열려있으면 알람의 사이렌을 울려줘.,Sound the alarm's siren if the blinds are more than 50 percent open.,,,"{""name"": ""Scenario1"", ""cron"": """", ""period"": -1, ""code"": ""if ((#Blind).blindLevel_blindLevel >= 50) {\n  (#Alarm).alarm_siren()\n}""}",,
43,2,0,0,블라인드가 열린 상태이면 알람의 사이렌을 울려줘.,Sound the alarm's siren if the blinds are open.,,,"{""name"": ""Scenario1"", ""cron"": """", ""period"": -1, ""code"": ""if ((#Blind).blind_blind == \""open\"") {\n  (#Alarm).alarm_siren()\n}""}",,
44,1,1,0,블라인드를 70 퍼센트로 설정해줘.,Set the blinds to 70 percent.,"{ 'GreenhouseA_blind_top': {'category': 'Blind', 'tags': ['GreenhouseA', 'top', 'Blind']}, 'GreenhouseA_blind_side': {'category': 'Blind', 'tags': ['GreenhouseA', 'side', 'Blind']}, 'GreenhouseA_blind_back': {'category': 'Blind', 'tags': ['GreenhouseA', 'back', 'Blind']}}",,"{""name"": ""Scenario1"", ""cron"": """", ""period"": -1, ""code"": ""(#Blind).blindLevel_setBlindLevel(70)""}","{'name': 'SetBlindLevel70', 'cron': '', 'period': -1, 'code': '(#Blind).blindLevel_setBlindLevel(70)'}",1.9237 seconds
45,1,0,0,블라인드를 닫아줘.,Close the blinds.,,,"{""name"": ""Scenario1"", ""cron"": """", ""period"": -1, ""code"": ""(#Blind).blind_close()""}",,
46,1,0,0,블라인드를 열어줘.,Open the blinds.,,,"{""name"": ""Scenario1"", ""cron"": """", ""period"": -1, ""code"": ""(#Blind).blind_open()""}",,
47,2,1,0,블라인드 움직임을 멈춰줘.,Stop blind movement.,,,"{""name"": ""Scenario1"", ""cron"": """", ""period"": -1, ""code"": ""(#Blind).blind_pause()""}","{'name': 'Stop Blind Movement', 'cron': '', 'period': -1, 'code': '(#Blind).blind_pause()'}",1.5962 seconds
48,2,0,0,버튼이 눌렸으면 알람의 사이렌을 울려줘.,Sound the alarm's siren if the button is pressed.,,,"{""name"": ""Scenario1"", ""cron"": """", ""period"": -1, ""code"": ""if ((#Button).button_button == \""pushed\"") {\n  (#Alarm).alarm_siren()\n}""}",,
49,2,0,0,버튼의 개수가 4개 이상이면 알람의 사이렌을 울려줘.,"If there are more than four buttons, sound the alarm's siren.",,,"{""name"": ""Scenario1"", ""cron"": """", ""period"": -1, ""code"": ""if ((#Button).button_numberOfButtons >= 4) {\n  (#Alarm).alarm_siren()\n}""}",,
50,1,0,0,버튼이 지원하는 상태를 스피커로 출력해줘.,Announce the button's supported states via the speaker.,,,"{""name"": ""Scenario1"", ""cron"": """", ""period"": -1, ""code"": ""states = (#Button).button_supportedButtonValues\n(#Speaker).mediaPlayback_speak(states)""}",,
51,2,0,0,버튼1이 눌렸으면 알람의 사이렌을 울려줘.,Sound the alarm's siren if button 1 is pressed.,,,"{""name"": ""Scenario1"", ""cron"": """", ""period"": -1, ""code"": ""if ((#Buttonx4).buttonx4_button1 == \""pushed\"") {\n  (#Alarm).alarm_siren()\n}""}",,
52,2,0,0,버튼2가 눌린 상태면 알람의 사이렌을 울려줘.,Sound the alarm's siren if button 2 is pressed.,,,"{""name"": ""Scenario1"", ""cron"": """", ""period"": -1, ""code"": ""if ((#Buttonx4).buttonx4_button2 == \""held\"") {\n  (#Alarm).alarm_siren()\n}""}",,
53,2,0,0,버튼3이 두 번 눌렸으면 알람의 사이렌을 울려줘.,"if button 3 is pressed twice, sound the alarm's siren.",,,"{""name"": ""Scenario1"", ""cron"": """", ""period"": -1, ""code"": ""if ((#Buttonx4).buttonx4_button3 == \""pushed_2x\"") {\n  (#Alarm).alarm_siren()\n}""}",,
54,2,1,0,버튼4가 위로 스와이프되었으면 알람의 사이렌을 울려줘.,if button 4 is swiped up,,,"{""name"": ""Scenario1"", ""cron"": """", ""period"": -1, ""code"": ""if ((#Buttonx4).buttonx4_button4 == \""swipe_up\"") {\n  (#Alarm).alarm_siren()\n}""}","{'name': 'Scenario1', 'cron': '', 'period': -1, 'code': ""if ((#Buttonx4).buttonx4_button4 == 'swipe_up') {\n    (#Alarm).alarm_siren()\n}""}",3.1595 seconds
55,2,0,0,버튼 개수가 4개면 알람의 사이렌을 울려줘.,"If the number of buttons is 4, sound the alarm's siren.",,,"{""name"": ""Scenario1"", ""cron"": """", ""period"": -1, ""code"": ""if ((#Buttonx4).buttonx4_numberOfButtons == 4) {\n  (#Alarm).alarm_siren()\n}""}",,
56,2,0,0,4개짜리 버튼이 지원하는 상태를 스피커로 출력해줘.,Announce the states supported by the button x4 via the speaker.,,,"{""name"": ""Scenario1"", ""cron"": """", ""period"": -1, ""code"": ""states = (#Buttonx4).buttonx4_supportedButtonValues\n(#Speaker).mediaPlayback_speak(states)""}",,
57,1,0,0,5와 3을 더해줘.,Add 5 and 3.,,,"{""name"": ""Scenario1"", ""cron"": """", ""period"": -1, ""code"": ""(#Calculator).calculator_add(5, 3)""}",,
58,1,0,0,10을 2로 나눠줘.,Divide 10 by 2.,,,"{""name"": ""Scenario1"", ""cron"": """", ""period"": -1, ""code"": ""(#Calculator).calculator_div(10, 2)""}",,
59,1,1,0,10을 3으로 나눈 나머지를 구해.,Find the remainder of 10 divided by 3.,,,"{""name"": ""Scenario1"", ""cron"": """", ""period"": -1, ""code"": ""(#Calculator).calculator_mod(10, )""}","{'name': 'Scenario1', 'cron': '', 'period': -1, 'code': 'calculator_mod(10,3)'}",6.0060 seconds
60,1,0,0,7과 8을 곱해줘.,Multiply 7 and 8.,,,"{""name"": ""Scenario1"", ""cron"": """", ""period"": -1, ""code"": ""(#Calculator).calculator_mul(7, 8)""}",,
61,1,0,0,15에서 4를 빼줘.,Subtract 4 from 15.,,,"{""name"": ""Scenario1"", ""cron"": """", ""period"": -1, ""code"": ""(#Calculator).calculator_sub(15, 4)""}",,
62,2,0,0,카메라의 전원이 켜져 있으면 알람의 사이렌을 울려줘.,Sound the alarm's siren if the camera is powered on.,,,"{""name"": ""Scenario1"", ""cron"": """", ""period"": -1, ""code"": ""if ((#Camera).switch_switch == \""on\"") {\n  (#Alarm).alarm_siren()\n}""}",,
63,9,1,0,"가장 최근에 찍은 사진을 첨부파일로 이메일을 'test@example.com' 주소, 제목 '사진'과 내용 '사진입니다.'로 보내줘.","Send an email with the most recent photo as an attachment to 'test@example.com' with the subject line ""Photo"" and the content ""This is a photo"".",,"[
  {
    ""name"": ""me"",
    ""contact"": ""010-1234-5678"",
    ""email"": ""abcd1234@test.com"",
    ""birthday"": ""1991-03-03""
  },
  {
    ""name"": ""홍길동"",
    ""contact"": ""010-9999-8888"",
    ""email"": ""honggd@test.com"",
    ""birthday"": ""1988-07-15"",
    ""alternate_contact"": ""010-8888-7777""
  },
  {
    ""name"": ""김무개"",
    ""contact"": ""010-7777-6666"",
    ""email"": ""kim@example.com"",
    ""birthday"": ""1990-11-25""
  },
  {
    ""name"": ""장보고"",
    ""contact"": ""010-2222-3333"",
    ""email"": ""jangbogo@naver.com"",
    ""birthday"": ""1985-05-10"",
    ""alternate_contact"": ""010-4444-5555""
  }
]","{""name"": ""Scenario1"", ""cron"": """", ""period"": -1, ""code"": ""latest_photo = (#Camera).camera_image\n(#EmailProvider).emailProvider_sendMailWithFile(\""test@example.com\"", \""사진\"", \""사진입니다.\"", latest_photo)""}","{'name': 'SendLatestPhotoByEmail', 'cron': '', 'period': -1, 'code': ""latest_photo = (#Camera).camera_image\n(#EmailProvider).emailProvider_sendMailWithFile('test@example.com','사진','사진입니다.',latest_photo)""}",1.7789 seconds
64,9,1,0,"가장 최근 동영상을 첨부파일로 이메일을 'test@example.com' 주소, 제목 '동영상'과 내용 '동영상입니다.'로 보내줘","Send an email with the most recent video as an attachment to 'test@example.com' with the subject line ""Video"" and the content ""This is a video.",,"[
  {
    ""name"": ""me"",
    ""contact"": ""010-1234-5678"",
    ""email"": ""abcd1234@test.com"",
    ""birthday"": ""1991-03-03""
  },
  {
    ""name"": ""홍길동"",
    ""contact"": ""010-9999-8888"",
    ""email"": ""honggd@test.com"",
    ""birthday"": ""1988-07-15"",
    ""alternate_contact"": ""010-8888-7777""
  },
  {
    ""name"": ""김무개"",
    ""contact"": ""010-7777-6666"",
    ""email"": ""kim@example.com"",
    ""birthday"": ""1990-11-25""
  },
  {
    ""name"": ""장보고"",
    ""contact"": ""010-2222-3333"",
    ""email"": ""jangbogo@naver.com"",
    ""birthday"": ""1985-05-10"",
    ""alternate_contact"": ""010-4444-5555""
  }
]","{""name"": ""Scenario1"", ""cron"": """", ""period"": -1, ""code"": ""latest_video = (#Camera).camera_video\n(#EmailProvider).emailProvider_sendMailWithFile(\""test@example.com\"", \""동영상\"", \""동영상입니다.\"", latest_video)""}","{'name': 'SendLatestVideoEmail', 'cron': '', 'period': -1, 'code': ""latest_video = (#Camera).camera_video\n(#EmailProvider).emailProvider_sendMailWithFile('test@example.com','동영상','동영상입니다.', latest_video)""}",1.7754 seconds
65,1,0,0,카메라를 꺼줘.,Turn off the camera.,,,"{""name"": ""Scenario1"", ""cron"": """", ""period"": -1, ""code"": ""(#Camera).switch_off()""}",,
66,1,0,0,카메라를 켜줘.,Turn on the camera.,,,"{""name"": ""Scenario1"", ""cron"": """", ""period"": -1, ""code"": ""(#Camera).switch_on()""}",,
67,1,0,0,카메라의 전원을 토글해줘.,Toggle the camera's power.,,,"{""name"": ""Scenario1"", ""cron"": """", ""period"": -1, ""code"": ""(#Camera).switch_toggle()""}",,
68,1,0,0,카메라로 사진을 찍어줘.,Take a photo with the camera.,,,"{""name"": ""Scenario1"", ""cron"": """", ""period"": -1, ""code"": ""(#Camera).camera_take()""}",,
