row_no,category,command_eng,command_kor,gt_code,generated_code,det_score,det_pass,det_profile,det_gt_exact,det_gt_similarity,det_gt_service_coverage,det_gt_receiver_coverage,det_dataflow_score,det_numeric_grounding,det_enum_grounding,failure_reasons,prompt_tokens,completion_tokens,total_tokens,llm_latency_sec,total_pipeline_sec,tokens_per_sec,peak_vram_gb,service_list_snippet_source,service_list_device_count,service_list_retrieval_status,service_list_retrieval_mode,service_list_retrieval_topk,service_list_retrieval_categories,generation_error_type
31,2,Set the living room light to yellow.,거실 조명을 노란색으로 설정해줘.,"(#LivingRoom #Light).ColorControl_SetColor(""255|255|0"")","(#LivingRoom #Light).light_movetorgb(255, 255, 0)",60.1324,False,strict,False,0.626471,0.0,0.0,1.0,1.0,1.0,"[""gt_mismatch"", ""gt_receiver_coverage"", ""gt_service_coverage""]",7893,60,7953,5.5915,8.0182,1422.3375,29.8918,connected_devices_only,2,skipped_connected_devices_present,hybrid,10,[],
32,2,Capture an image of the meeting room with the camera.,카메라로 회의실 사진을 촬영해줘.,(#MeetingRoom #Camera).Camera_CaptureImage(),(#MeetingRoom #Camera).camera_captureimage(),97.4466,True,strict,False,0.969318,1.0,1.0,1.0,1.0,1.0,"[""gt_mismatch""]",5402,44,5446,3.8435,6.1763,1416.9377,29.1461,connected_devices_only,2,skipped_connected_devices_present,hybrid,10,[],
33,2,Set the brightness of the living room light to 80%.,거실 조명의 밝기를 80%로 설정해줘.,"(#LivingRoom #Light).Light_MoveToBrightness(80, 0)","(#LivingRoom #Light).light_movetobrightness(80, 0)",96.8163,True,strict,False,0.963265,1.0,1.0,1.0,1.0,1.0,"[""gt_mismatch""]",7187,53,7240,4.9506,7.3237,1462.449,29.6795,connected_devices_only,2,skipped_connected_devices_present,hybrid,10,[],
34,2,Set all dehumidifiers in the lab to AI drying mode.,연구실 제습기를 모두 AI건조모드로 설정해줘.,"all(#Lab #Dehumidifier).Dehumidifier_SetDehumidifierMode(""AIDrying"")",all(#Lab #Dehumidifier).dehumidifier_setdehumidifiermode(AIDrying),92.5321,True,strict,False,0.966418,1.0,1.0,1.0,1.0,1.0,"[""arg_type"", ""gt_mismatch"", ""semantic""]",5424,63,5487,4.8141,7.2228,1139.7769,29.1543,connected_devices_only,3,skipped_connected_devices_present,hybrid,10,[],
35,2,Set the hue of the living room light to 240 and the saturation to 80.,"거실 조명의 색조는 240, 채도는 80으로 맞춰줘.","(#LivingRoom #Light).Light_MoveToHueAndSaturation(240, 80)","(#LivingRoom #Light).light_movetohueandsaturation(240, 80)",97.0965,True,strict,False,0.952632,1.0,1.0,1.0,1.0,1.0,"[""gt_mismatch""]",7186,62,7248,5.4354,7.8083,1333.4805,29.6793,connected_devices_only,2,skipped_connected_devices_present,hybrid,10,[],
36,2,Set all robot vacuum cleaners with even tags to auto mode.,짝수 태그 로봇 청소기를 모두 자동 모드로 설정해줘.,"all(#Even #RobotVacuumCleaner).RobotVacuumCleaner_SetRobotVacuumCleanerModeMode(""auto"")",all(#Even #RobotVacuumCleaner).robotvacuumcleaner_setrobotvacuumcleanermodemode(auto),93.8098,True,strict,False,0.947674,1.0,1.0,1.0,1.0,1.0,"[""arg_type"", ""gt_mismatch""]",4715,66,4781,4.6657,7.0721,1024.7123,28.9389,connected_devices_only,2,skipped_connected_devices_present,hybrid,10,[],
37,2,Lock all door locks.,모든 도어락을 잠궈줘.,all(#DoorLock).DoorLock_Lock(),"all(#Back #DoorLock).doorlock_lock()
all(#Front #DoorLock).doorlock_lock()",97.017,True,strict,False,0.803398,1.0,1.0,1.0,1.0,1.0,"[""gt_mismatch""]",4614,58,4672,4.2561,6.6171,1097.7186,28.9132,connected_devices_only,2,skipped_connected_devices_present,hybrid,10,[],
38,2,Set the target temperature of the air conditioner in Sector1 to 18 degrees.,구역1의 에어컨의 목표 온도를 18도로 설정해줘.,(#Sector1 #AirConditioner).AirConditioner_SetTargetTemperature(18),(#Sector1 #AirConditioner).airconditioner_settargettemperature(18.0),95.2985,True,strict,False,0.959701,1.0,1.0,1.0,0.5,1.0,"[""gt_mismatch"", ""numeric_grounding""]",4906,56,4962,4.2687,6.6215,1162.4148,28.9991,connected_devices_only,2,skipped_connected_devices_present,hybrid,10,[],
39,2,Change the air purifier in the bedroom to sleep mode.,안방의 공기청정기를 수면모드로 바꿔줘.,"(#Bedroom #AirPurifier).AirPurifier_SetAirPurifierMode(""sleep"")",(#Bedroom #AirPurifier).airpurifier_setairpurifiermode(sleep),94.846,True,strict,False,0.949194,1.0,1.0,1.0,1.0,1.0,"[""arg_type"", ""gt_mismatch""]",4621,56,4677,4.1694,6.5557,1121.7441,28.9145,connected_devices_only,2,skipped_connected_devices_present,hybrid,10,[],
40,2,Close all valves in the kitchen.,주방의 모든 벨브를 닫아줘.,all(#Kitchen #Valve).Valve_Close(),all(#Kitchen #Valve).valve_close(),97.4676,True,strict,False,0.973529,1.0,1.0,1.0,1.0,1.0,"[""gt_mismatch""]",5099,47,5146,3.8567,6.1951,1334.3013,29.0563,connected_devices_only,3,skipped_connected_devices_present,hybrid,10,[],
