condition,model_key,result_dir,row_no,category,command_eng,command_kor,gt_name,gt_code,warmup_excluded,det_score,det_pass,det_gt_exact,det_gt_similarity,det_gt_service_coverage,det_gt_receiver_coverage,det_dataflow_score,det_numeric_grounding,det_enum_grounding,prompt_tokens,completion_tokens,total_tokens,llm_latency_sec,total_pipeline_sec,tokens_per_sec,peak_vram_gb,generation_error_type,oom_flag,service_list_snippet_source,service_list_device_count,service_list_retrieval_status,service_list_retrieval_mode,service_list_retrieval_topk,service_list_retrieval_categories
baseline,qwen25_coder_7b,/home/mgjeong/Desktop/llm/JOILang-Server/gpt_mg/version0_15_update20260413/results/model_suite_20260423_142658,39,2,Change the air purifier in the bedroom to sleep mode.,안방의 공기청정기를 수면모드로 바꿔줘.,,"(#Bedroom #AirPurifier).AirPurifier_SetAirPurifierMode(""sleep"")",False,88.5758,True,False,0.949194,,,,,,4621,60,4681,2.2295,4.3765,2099.5739,15.0601,,False,connected_devices_only,2,skipped_connected_devices_present,hybrid,10,[]
baseline,qwen25_coder_7b,/home/mgjeong/Desktop/llm/JOILang-Server/gpt_mg/version0_15_update20260413/results/model_suite_20260423_142658,40,2,Close all valves in the kitchen.,주방의 모든 벨브를 닫아줘.,,all(#Kitchen #Valve).Valve_Close(),False,91.679,True,False,0.802632,,,,,,5099,62,5161,2.3375,4.6664,2207.9144,15.1467,,False,connected_devices_only,3,skipped_connected_devices_present,hybrid,10,[]
baseline,qwen25_coder_14b,/home/mgjeong/Desktop/llm/JOILang-Server/gpt_mg/version0_15_update20260413/results/model_suite_20260423_142658,1,1,Switch the dishwasher to dry mode.,식기세척기를 건조 모드로 설정해줘.,,"(#Dishwasher).Dishwasher_SetDishwasherMode(""dry"")",False,89.8937,True,False,0.953125,,,,,,31867,52,31919,32.2601,34.62,989.4266,37.0605,,False,service_schema_fallback,50,disabled,hybrid,10,[]
baseline,qwen25_coder_14b,/home/mgjeong/Desktop/llm/JOILang-Server/gpt_mg/version0_15_update20260413/results/model_suite_20260423_142658,2,1,Add 5 minutes to the oven.,오븐의 작동 시간을 5분 늘려줘.,,(#Oven).Oven_AddMoreTime(300),False,93.1379,True,False,0.937931,,,,,,31868,49,31917,17.5962,19.9892,1813.8575,37.0608,,False,service_schema_fallback,50,disabled,hybrid,10,[]
baseline,qwen25_coder_14b,/home/mgjeong/Desktop/llm/JOILang-Server/gpt_mg/version0_15_update20260413/results/model_suite_20260423_142658,3,1,Start the rice cooker on cooking mode for 30 minutes.,밥솥을 조리 모드로 30분 작동시켜.,,"(#RiceCooker).RiceCooker_SetCookingParameters(""cooking"", 1800)",False,74.9018,True,False,0.613393,,,,,,31873,52,31925,17.9302,20.3003,1780.5156,37.0617,,False,service_schema_fallback,50,disabled,hybrid,10,[]
baseline,qwen25_coder_14b,/home/mgjeong/Desktop/llm/JOILang-Server/gpt_mg/version0_15_update20260413/results/model_suite_20260423_142658,4,1,Set the siren to emergency mode.,사이렌을 응급모드로 울려줘.,,"(#Siren).Siren_SetSirenMode(""emergency"")",False,88.7692,True,False,0.942308,,,,,,31868,48,31916,17.6724,20.0472,1805.9799,37.0608,,False,service_schema_fallback,50,disabled,hybrid,10,[]
baseline,qwen25_coder_14b,/home/mgjeong/Desktop/llm/JOILang-Server/gpt_mg/version0_15_update20260413/results/model_suite_20260423_142658,5,1,Set the speaker volume to 30.,스피커의 볼륨을 30으로 설정해줘.,,(#Speaker).Speaker_SetVolume(30),False,97.5344,True,False,0.957813,,,,,,31869,43,31912,17.4143,19.8445,1832.517,37.0606,,False,service_schema_fallback,50,disabled,hybrid,10,[]
baseline,qwen25_coder_14b,/home/mgjeong/Desktop/llm/JOILang-Server/gpt_mg/version0_15_update20260413/results/model_suite_20260423_142658,6,1,Turn the TV channel down by one.,TV 채널을 하나 내려줘.,,(#Television).Television_ChannelDown(),False,96.9342,True,False,0.964474,,,,,,31868,45,31913,17.5151,19.6579,1822.0279,37.0608,,False,service_schema_fallback,50,disabled,hybrid,10,[]
baseline,qwen25_coder_14b,/home/mgjeong/Desktop/llm/JOILang-Server/gpt_mg/version0_15_update20260413/results/model_suite_20260423_142658,7,1,Switch the TV to channel 7.,TV로 7번 채널을 틀어줘.,,(#Television).Television_SetChannel(7),False,96.5342,True,False,0.964474,,,,,,31868,46,31914,17.5675,19.9413,1816.6501,37.0608,,False,service_schema_fallback,50,disabled,hybrid,10,[]
baseline,qwen25_coder_14b,/home/mgjeong/Desktop/llm/JOILang-Server/gpt_mg/version0_15_update20260413/results/model_suite_20260423_142658,8,1,Announce the temperature through the speaker.,현재 온도를 스피커로 알려줘.,,"
temp = (#TemperatureSensor).TemperatureSensor_Temperature

(#Speaker).Speaker_Speak(""현재 온도는 "" + temp + ""도입니다"")",False,29.4197,False,False,0.480657,,,,,,31868,68,31936,19.1584,21.6136,1666.945,37.0608,,False,service_schema_fallback,50,disabled,hybrid,10,[]
baseline,qwen25_coder_14b,/home/mgjeong/Desktop/llm/JOILang-Server/gpt_mg/version0_15_update20260413/results/model_suite_20260423_142658,9,1,Tell me the outdoor temperature through the speaker.,외부 온도를 스피커로 출력해줘.,,"
temp = (#WeatherProvider).WeatherProvider_TemperatureWeather

(#Speaker).Speaker_Speak(""외부 온도는 "" + temp + ""도입니다"")",False,24.0,False,False,0.3,,,,,,31869,35,31904,16.8231,19.2721,1896.44,37.0606,,False,service_schema_fallback,50,disabled,hybrid,10,[]
baseline,qwen25_coder_14b,/home/mgjeong/Desktop/llm/JOILang-Server/gpt_mg/version0_15_update20260413/results/model_suite_20260423_142658,10,1,Tell me the current humidity through the speaker.,현재 습도를 스피커로 말해줘.,,"
hum = (#HumiditySensor).HumiditySensor_Humidity

(#Speaker).Speaker_Speak(""현재 습도는 "" + hum + ""%입니다"")",False,80.4594,True,False,0.462931,,,,,,31869,71,31940,19.43,21.8327,1643.8497,37.0606,,False,service_schema_fallback,50,disabled,hybrid,10,[]
baseline,qwen25_coder_14b,/home/mgjeong/Desktop/llm/JOILang-Server/gpt_mg/version0_15_update20260413/results/model_suite_20260423_142658,31,2,Set the living room light to yellow.,거실 조명을 노란색으로 설정해줘.,,"(#LivingRoom #Light).ColorControl_SetColor(""255|255|0"")",False,85.7941,True,False,0.626471,,,,,,7893,60,7953,5.6124,7.9807,1417.0408,29.8918,,False,connected_devices_only,2,skipped_connected_devices_present,hybrid,10,[]
baseline,qwen25_coder_14b,/home/mgjeong/Desktop/llm/JOILang-Server/gpt_mg/version0_15_update20260413/results/model_suite_20260423_142658,32,2,Capture an image of the meeting room with the camera.,카메라로 회의실 사진을 촬영해줘.,,(#MeetingRoom #Camera).Camera_CaptureImage(),False,96.6795,True,False,0.969318,,,,,,5402,44,5446,3.8816,6.2533,1403.0297,29.1462,,False,connected_devices_only,2,skipped_connected_devices_present,hybrid,10,[]
baseline,qwen25_coder_14b,/home/mgjeong/Desktop/llm/JOILang-Server/gpt_mg/version0_15_update20260413/results/model_suite_20260423_142658,33,2,Set the brightness of the living room light to 80%.,거실 조명의 밝기를 80%로 설정해줘.,,"(#LivingRoom #Light).Light_MoveToBrightness(80, 0)",False,95.898,True,False,0.963265,,,,,,7187,53,7240,4.9835,7.3439,1452.7942,29.6795,,False,connected_devices_only,2,skipped_connected_devices_present,hybrid,10,[]
baseline,qwen25_coder_14b,/home/mgjeong/Desktop/llm/JOILang-Server/gpt_mg/version0_15_update20260413/results/model_suite_20260423_142658,34,2,Set all dehumidifiers in the lab to AI drying mode.,연구실 제습기를 모두 AI건조모드로 설정해줘.,,"all(#Lab #Dehumidifier).Dehumidifier_SetDehumidifierMode(""AIDrying"")",False,86.6925,True,False,0.966418,,,,,,5424,63,5487,4.8319,7.1702,1135.5781,29.1544,,False,connected_devices_only,3,skipped_connected_devices_present,hybrid,10,[]
baseline,qwen25_coder_14b,/home/mgjeong/Desktop/llm/JOILang-Server/gpt_mg/version0_15_update20260413/results/model_suite_20260423_142658,35,2,Set the hue of the living room light to 240 and the saturation to 80.,"거실 조명의 색조는 240, 채도는 80으로 맞춰줘.",,"(#LivingRoom #Light).Light_MoveToHueAndSaturation(240, 80)",False,95.9123,True,False,0.952632,,,,,,7186,62,7248,5.4442,7.8259,1331.3251,29.6793,,False,connected_devices_only,2,skipped_connected_devices_present,hybrid,10,[]
baseline,qwen25_coder_14b,/home/mgjeong/Desktop/llm/JOILang-Server/gpt_mg/version0_15_update20260413/results/model_suite_20260423_142658,36,2,Set all robot vacuum cleaners with even tags to auto mode.,짝수 태그 로봇 청소기를 모두 자동 모드로 설정해줘.,,"all(#Even #RobotVacuumCleaner).RobotVacuumCleaner_SetRobotVacuumCleanerModeMode(""auto"")",False,87.5017,True,False,0.947674,,,,,,4715,66,4781,4.6706,7.0572,1023.6372,28.9397,,False,connected_devices_only,2,skipped_connected_devices_present,hybrid,10,[]
baseline,qwen25_coder_14b,/home/mgjeong/Desktop/llm/JOILang-Server/gpt_mg/version0_15_update20260413/results/model_suite_20260423_142658,37,2,Lock all door locks.,모든 도어락을 잠궈줘.,,all(#DoorLock).DoorLock_Lock(),False,92.1019,True,False,0.803398,,,,,,4614,58,4672,4.2676,6.6088,1094.7605,28.9139,,False,connected_devices_only,2,skipped_connected_devices_present,hybrid,10,[]
baseline,qwen25_coder_14b,/home/mgjeong/Desktop/llm/JOILang-Server/gpt_mg/version0_15_update20260413/results/model_suite_20260423_142658,38,2,Set the target temperature of the air conditioner in Sector1 to 18 degrees.,구역1의 에어컨의 목표 온도를 18도로 설정해줘.,,(#Sector1 #AirConditioner).AirConditioner_SetTargetTemperature(18),False,96.791,True,False,0.959701,,,,,,4906,56,4962,4.2753,6.6832,1160.6203,28.9998,,False,connected_devices_only,2,skipped_connected_devices_present,hybrid,10,[]
baseline,qwen25_coder_14b,/home/mgjeong/Desktop/llm/JOILang-Server/gpt_mg/version0_15_update20260413/results/model_suite_20260423_142658,39,2,Change the air purifier in the bedroom to sleep mode.,안방의 공기청정기를 수면모드로 바꿔줘.,,"(#Bedroom #AirPurifier).AirPurifier_SetAirPurifierMode(""sleep"")",False,88.5758,True,False,0.949194,,,,,,4621,56,4677,4.1669,6.5923,1122.4171,28.9152,,False,connected_devices_only,2,skipped_connected_devices_present,hybrid,10,[]
baseline,qwen25_coder_14b,/home/mgjeong/Desktop/llm/JOILang-Server/gpt_mg/version0_15_update20260413/results/model_suite_20260423_142658,40,2,Close all valves in the kitchen.,주방의 모든 벨브를 닫아줘.,,all(#Kitchen #Valve).Valve_Close(),False,96.8059,True,False,0.973529,,,,,,5099,47,5146,3.8438,6.1912,1338.7793,29.0564,,False,connected_devices_only,3,skipped_connected_devices_present,hybrid,10,[]
retrieval,qwen25_coder_7b,/home/mgjeong/Desktop/llm/JOILang-Server/gpt_mg/version0_15_update20260413/results/model_suite_20260423_143911,1,1,Switch the dishwasher to dry mode.,식기세척기를 건조 모드로 설정해줘.,,"(#Dishwasher).Dishwasher_SetDishwasherMode(""dry"")",False,96.7414,True,False,0.891379,,,,,,10956,51,11007,13.0007,20.6443,846.6467,16.2388,,False,service_retrieval_fallback,10,used,hybrid,10,"[""Dishwasher"", ""LaundryDryer"", ""DimmerSwitch"", ""Dehumidifier"", ""Switch"", ""AirPurifier"", ""RiceCooker"", ""AirConditioner"", ""Oven"", ""Humidifier""]"
retrieval,qwen25_coder_7b,/home/mgjeong/Desktop/llm/JOILang-Server/gpt_mg/version0_15_update20260413/results/model_suite_20260423_143911,2,1,Add 5 minutes to the oven.,오븐의 작동 시간을 5분 늘려줘.,,(#Oven).Oven_AddMoreTime(300),False,24.0,False,False,0.3,,,,,,11448,6,11454,1.9026,5.0171,6020.1829,16.3312,,False,service_retrieval_fallback,10,used,hybrid,10,"[""Oven"", ""RiceCooker"", ""MenuProvider"", ""Dishwasher"", ""LaundryDryer"", ""Clock"", ""AirConditioner"", ""Button"", ""TemperatureSensor"", ""Door""]"
retrieval,qwen25_coder_7b,/home/mgjeong/Desktop/llm/JOILang-Server/gpt_mg/version0_15_update20260413/results/model_suite_20260423_143911,3,1,Start the rice cooker on cooking mode for 30 minutes.,밥솥을 조리 모드로 30분 작동시켜.,,"(#RiceCooker).RiceCooker_SetCookingParameters(""cooking"", 1800)",False,24.0,False,False,0.3,,,,,,10773,6,10779,1.8154,5.0423,5937.5344,16.2089,,False,service_retrieval_fallback,10,used,hybrid,10,"[""RiceCooker"", ""Oven"", ""Dishwasher"", ""RobotVacuumCleaner"", ""FaceRecognizer"", ""AudioRecorder"", ""CarbonDioxideSensor"", ""MenuProvider"", ""Charger"", ""Siren""]"
retrieval,qwen25_coder_7b,/home/mgjeong/Desktop/llm/JOILang-Server/gpt_mg/version0_15_update20260413/results/model_suite_20260423_143911,4,1,Set the siren to emergency mode.,사이렌을 응급모드로 울려줘.,,"(#Siren).Siren_SetSirenMode(""emergency"")",False,98.65,True,False,0.955,,,,,,10920,48,10968,2.9626,6.2577,3702.1535,16.233,,False,service_retrieval_fallback,10,used,hybrid,10,"[""Siren"", ""SoundSensor"", ""AudioRecorder"", ""Speaker"", ""Pump"", ""Oven"", ""Safe"", ""ArmRobot"", ""RiceCooker"", ""PressureSensor""]"
retrieval,qwen25_coder_7b,/home/mgjeong/Desktop/llm/JOILang-Server/gpt_mg/version0_15_update20260413/results/model_suite_20260423_143911,5,1,Set the speaker volume to 30.,스피커의 볼륨을 30으로 설정해줘.,,(#Speaker).Speaker_SetVolume(30),False,95.9071,True,False,0.903571,,,,,,11580,42,11622,2.9337,6.2698,3961.5503,16.3567,,False,service_retrieval_fallback,10,used,hybrid,10,"[""Speaker"", ""SoundSensor"", ""AudioRecorder"", ""Siren"", ""Television"", ""Pump"", ""PressureSensor"", ""AirPurifier"", ""CloudServiceProvider"", ""LevelControl""]"
retrieval,qwen25_coder_7b,/home/mgjeong/Desktop/llm/JOILang-Server/gpt_mg/version0_15_update20260413/results/model_suite_20260423_143911,6,1,Turn the TV channel down by one.,TV 채널을 하나 내려줘.,,(#Television).Television_ChannelDown(),False,96.9342,True,False,0.964474,,,,,,11684,45,11729,3.0273,6.3497,3874.4095,16.3743,,False,service_retrieval_fallback,10,used,hybrid,10,"[""Television"", ""DimmerSwitch"", ""Speaker"", ""TapDialSwitch"", ""Dishwasher"", ""Camera"", ""Switch"", ""LevelControl"", ""Valve"", ""Dehumidifier""]"
retrieval,qwen25_coder_7b,/home/mgjeong/Desktop/llm/JOILang-Server/gpt_mg/version0_15_update20260413/results/model_suite_20260423_143911,7,1,Switch the TV to channel 7.,TV로 7번 채널을 틀어줘.,,(#Television).Television_SetChannel(7),False,24.0,False,False,0.3,,,,,,11558,34,11592,2.7225,6.0381,4257.8512,16.3546,,False,service_retrieval_fallback,10,used,hybrid,10,"[""Television"", ""Switch"", ""TapDialSwitch"", ""LevelControl"", ""DimmerSwitch"", ""Valve"", ""Dishwasher"", ""Speaker"", ""Camera"", ""ColorControl""]"
retrieval,qwen25_coder_7b,/home/mgjeong/Desktop/llm/JOILang-Server/gpt_mg/version0_15_update20260413/results/model_suite_20260423_143911,8,1,Announce the temperature through the speaker.,현재 온도를 스피커로 알려줘.,,"
temp = (#TemperatureSensor).TemperatureSensor_Temperature

(#Speaker).Speaker_Speak(""현재 온도는 "" + temp + ""도입니다"")",False,24.0,False,False,0.3,,,,,,12004,33,12037,2.7349,6.0428,4401.2578,16.4341,,False,service_retrieval_fallback,10,used,hybrid,10,"[""Speaker"", ""TemperatureSensor"", ""AirConditioner"", ""WeatherProvider"", ""AudioRecorder"", ""SoundSensor"", ""PresenceVitalSensor"", ""AirQualitySensor"", ""Siren"", ""Television""]"
retrieval,qwen25_coder_7b,/home/mgjeong/Desktop/llm/JOILang-Server/gpt_mg/version0_15_update20260413/results/model_suite_20260423_143911,9,1,Tell me the outdoor temperature through the speaker.,외부 온도를 스피커로 출력해줘.,,"
temp = (#WeatherProvider).WeatherProvider_TemperatureWeather

(#Speaker).Speaker_Speak(""외부 온도는 "" + temp + ""도입니다"")",False,24.0,False,False,0.3,,,,,,11929,35,11964,2.8173,6.108,4246.6191,16.4265,,False,service_retrieval_fallback,10,used,hybrid,10,"[""Speaker"", ""TemperatureSensor"", ""WeatherProvider"", ""AirConditioner"", ""SoundSensor"", ""AudioRecorder"", ""AirQualitySensor"", ""Siren"", ""PresenceVitalSensor"", ""AirPurifier""]"
retrieval,qwen25_coder_7b,/home/mgjeong/Desktop/llm/JOILang-Server/gpt_mg/version0_15_update20260413/results/model_suite_20260423_143911,10,1,Tell me the current humidity through the speaker.,현재 습도를 스피커로 말해줘.,,"
hum = (#HumiditySensor).HumiditySensor_Humidity

(#Speaker).Speaker_Speak(""현재 습도는 "" + hum + ""%입니다"")",False,24.0,False,False,0.3,,,,,,11342,35,11377,2.6972,5.9293,4218.078,16.3142,,False,service_retrieval_fallback,10,used,hybrid,10,"[""Speaker"", ""HumiditySensor"", ""SoundSensor"", ""WeatherProvider"", ""AirQualitySensor"", ""AudioRecorder"", ""Humidifier"", ""AirPurifier"", ""Plug"", ""Charger""]"
retrieval,qwen25_coder_7b,/home/mgjeong/Desktop/llm/JOILang-Server/gpt_mg/version0_15_update20260413/results/model_suite_20260423_143911,31,2,Set the living room light to yellow.,거실 조명을 노란색으로 설정해줘.,,"(#LivingRoom #Light).ColorControl_SetColor(""255|255|0"")",False,85.7941,True,False,0.626471,,,,,,7893,59,7952,2.7278,5.1533,2915.1697,15.6707,,False,connected_devices_only,2,skipped_connected_devices_present,hybrid,10,[]
retrieval,qwen25_coder_7b,/home/mgjeong/Desktop/llm/JOILang-Server/gpt_mg/version0_15_update20260413/results/model_suite_20260423_143911,32,2,Capture an image of the meeting room with the camera.,카메라로 회의실 사진을 촬영해줘.,,(#MeetingRoom #Camera).Camera_CaptureImage(),False,96.6795,True,False,0.969318,,,,,,5402,44,5446,1.9291,4.3058,2823.0781,15.2056,,False,connected_devices_only,2,skipped_connected_devices_present,hybrid,10,[]
retrieval,qwen25_coder_7b,/home/mgjeong/Desktop/llm/JOILang-Server/gpt_mg/version0_15_update20260413/results/model_suite_20260423_143911,33,2,Set the brightness of the living room light to 80%.,거실 조명의 밝기를 80%로 설정해줘.,,"(#LivingRoom #Light).Light_MoveToBrightness(80, 0)",False,88.0938,True,False,0.953125,,,,,,7187,50,7237,2.3801,4.7437,3040.6285,15.5387,,False,connected_devices_only,2,skipped_connected_devices_present,hybrid,10,[]
retrieval,qwen25_coder_7b,/home/mgjeong/Desktop/llm/JOILang-Server/gpt_mg/version0_15_update20260413/results/model_suite_20260423_143911,34,2,Set all dehumidifiers in the lab to AI drying mode.,연구실 제습기를 모두 AI건조모드로 설정해줘.,,"all(#Lab #Dehumidifier).Dehumidifier_SetDehumidifierMode(""AIDrying"")",False,94.4059,True,False,0.973529,,,,,,5424,67,5491,2.4905,4.8506,2204.7782,15.2088,,False,connected_devices_only,3,skipped_connected_devices_present,hybrid,10,[]
