index,category,command_kor,command_eng,gt_raw,connected_devices,gt
9,8,습도가 50% 밑으로 떨어질 때마다 제습기를 건조모드로 작동해줘.,"Each time the humidity drops below 50%, set the dehumidifier to drying mode.","{""name"": """", ""cron"": """", ""period"": 100, ""script"": ""triggered := false\nif ((#HumiditySensor).Humidity < 50) {\n    if (triggered == false) {\n        (#Dehumidifier).SetDehumidifierMode(\""drying\"")\n        triggered = true\n    }\n} else {\n    triggered = false\n}""}",,"{""name"": """", ""cron"": """", ""period"": 100, ""script"": ""triggered := false\nif ((#HumiditySensor).HumiditySensor_Humidity < 50) {\n    if (triggered == false) {\n        (#Dehumidifier).Dehumidifier_SetDehumidifierMode(\""drying\"")\n        triggered = true\n    }\n} else {\n    triggered = false\n}""}"
10,8,창문이 열릴 때마다 스피커로 '창문이 열렸습니다'라고 말해줘.,"Whenever the window opens, make the speaker speak 'The window is open'.","{""name"": """", ""cron"": """", ""period"": 100, ""script"": ""triggered := false\nif ((#Window).CurrentPosition > 0) {\n    if (triggered == false) {\n        (#Speaker).Speak(\""창문이 열렸습니다.\"")\n        triggered = true\n    }\n} else {\n    triggered = false\n}""}",,"{""name"": """", ""cron"": """", ""period"": 100, ""script"": ""triggered := false\nif ((#Window).ArmRobot_CurrentPosition > 0) {\n    if (triggered == false) {\n        (#Speaker).Speaker_Speak(\""창문이 열렸습니다.\"")\n        triggered = true\n    }\n} else {\n    triggered = false\n}""}"
14,8,이산화탄소 농도가 900ppm 이상이 될때마다 벨브를 닫아줘.,"Each time the carbon dioxide level reaches 900ppm or higher, close the valve.","{""name"": """", ""cron"": """", ""period"": 100, ""script"": ""triggered := false\nif ((#AirQualitySensor).CarbonDioxide >= 900) {\n    if (triggered == false) {\n        (#Valve).Close()\n        triggered = true\n    }\n} else {\n    triggered = false\n}""}",,"{""name"": """", ""cron"": """", ""period"": 100, ""script"": ""triggered := false\nif ((#AirQualitySensor).AirQualitySensor_CarbonDioxide >= 900) {\n    if (triggered == false) {\n        (#Valve).Valve_Close()\n        triggered = true\n    }\n} else {\n    triggered = false\n}""}"
26,8,"습도가 50% 이상이 될 때마다, 그룹1 태그가 붙은 제습기를 모두 건조모드로 작동시켜.","Whenever the humidity reaches 50% or higher, set all dehumidifiers with the Group 1 tag to drying mode.","{""name"": """", 
""cron"": """", 
""period"": 100, 
""script"": ""\nprev := (#HumiditySensor).Humidity\n\ncurr = (#HumiditySensor).Humidity\n\nif (prev < 50 and curr >= 50) {\n\n    all(#Group1 #Dehumidifier).SetDehumidifierMode(\""drying\"")\n\n}\n\nprev = curr""}","{'G1_Humidity': {'category': 'HumiditySensor', 'tags': ['Group1', 'HumiditySensor']}, 'G1_Dehum': {'category': 'Dehumidifier', 'tags': ['Group1', 'Dehumidifier']}, 'G2_Dehum': {'category': 'Dehumidifier', 'tags': ['Group2', 'Dehumidifier']}}","{""name"": """", 
""cron"": """", 
""period"": 100, 
""script"": ""\nprev := (#HumiditySensor).HumiditySensor_Humidity\n\ncurr = (#HumiditySensor).HumiditySensor_Humidity\n\nif (prev < 50 and curr >= 50) {\n\n    all(#Group1 #Dehumidifier).Dehumidifier_SetDehumidifierMode(\""drying\"")\n\n}\n\nprev = curr""}"
28,8,"상단부에 있는 조명이 켜질 때마다, 하단부에 있는 조명도 켜줘.","Whenever a light in the upper part is turned on, turn on a light in the lower part as well.","{""name"": """", 
""cron"": """", 
""period"": 100, 
""script"": ""\nprev := (#Top #Light).Switch\n\ncurr = (#Top #Light).Switch\n\nif (prev == false and curr == true) {\n\n    (#Bottom #Light).On()\n\n}\n\nprev = curr""}","{'Up_Light': {'category': ['Light', 'Switch'], 'tags': ['Top', 'Light', 'Switch']}, 'Down_Light': {'category': ['Light', 'Switch'], 'tags': ['Bottom', 'Light', 'Switch']}, 'Mid_Light': {'category': ['Light', 'Switch'], 'tags': ['Middle', 'Light', 'Switch']}}","{""name"": """", 
""cron"": """", 
""period"": 100, 
""script"": ""\nprev := (#Top #Light).Switch_Switch\n\ncurr = (#Top #Light).Switch_Switch\n\nif (prev == false and curr == true) {\n\n    (#Bottom #Light).Switch_On()\n\n}\n\nprev = curr""}"
30,8,"로봇 태그가 붙은 버튼이 눌릴때마다, 짝수 태그 로봇청소기들을 모두 자동모드로 작동시켜줘.","Every time the button with the 'Robot' tag is pressed, set all robot vacuum cleaners with 'Even' tags to auto mode.","{""name"": """", 
""cron"": """", 
""period"": 100, 
""script"": ""\nprev := (#Robot #Button).Button\n\ncurr = (#Robot #Button).Button\n\nif (prev != \""pushed\"" and curr == \""pushed\"") {\n\n    all(#Even #RobotVacuumCleaner).SetRobotVacuumCleanerModeMode(\""auto\"")\n\n}\n\nprev = curr""}","{'R_Button': {'category': 'Button', 'tags': ['Robot', 'Button']}, 'Even_Robot': {'category': 'RobotVacuumCleaner', 'tags': ['Even', 'RobotVacuumCleaner']}, 'Odd_Robot': {'category': 'RobotVacuumCleaner', 'tags': ['Odd', 'RobotVacuumCleaner']}}","{""name"": """", 
""cron"": """", 
""period"": 100, 
""script"": ""\nprev := (#Robot #Button).Button_Button\n\ncurr = (#Robot #Button).Button_Button\n\nif (prev != \""pushed\"" and curr == \""pushed\"") {\n\n    all(#Even #RobotVacuumCleaner).RobotVacuumCleaner_SetRobotVacuumCleanerModeMode(\""auto\"")\n\n}\n\nprev = curr""}"
31,8,"문이 열릴 때마다, 복도와 거실의 조명을 모두 켜줘.","Each time the door is opened, turn on all lights in the hallway and living room.","{""name"": """", 
""cron"": """", 
""period"": 100, 
""script"": ""\nprev := (#Door).DoorState\n\ncurr = (#Door).DoorState\n\nif (prev != \""open\"" and curr == \""open\"") {\n\n    all(#Hallway #Light).On()\n\n    all(#LivingRoom #Light).On()\n\n}\n\nprev = curr""}","{'Door_1': {'category': 'Door', 'tags': ['Door']}, 'Hall_Light': {'category': ['Light', 'Switch'], 'tags': ['Hallway', 'Light', 'Switch']}, 'LR_Light': {'category': ['Light', 'Switch'], 'tags': ['LivingRoom', 'Light', 'Switch']}, 'Kitchen_Light': {'category': ['Light', 'Switch'], 'tags': ['Kitchen', 'Light', 'Switch']}}","{""name"": """", 
""cron"": """", 
""period"": 100, 
""script"": ""\nprev := (#Door).Door_DoorState\n\ncurr = (#Door).Door_DoorState\n\nif (prev != \""open\"" and curr == \""open\"") {\n\n    all(#Hallway #Light).Switch_On()\n\n    all(#LivingRoom #Light).Switch_On()\n\n}\n\nprev = curr""}"
32,8,중단 태그가 달린 버튼이 눌릴때마다 짝수 태그가 붙은 장치들을 모두 꺼줘.,"Whenever the button with the 'Stop' tag is pressed, turn off all devices with 'Even' tags.","{""name"": """", 
""cron"": """", 
""period"": 100, 
""script"": ""\nprev := (#Stop #Button).Button\n\ncurr = (#Stop #Button).Button\n\nif (prev != \""pushed\"" and curr == \""pushed\"") {\n\n    all(#Even).Off()\n\n}\n\nprev = curr""}","{'Stop_Button': {'category': 'Button', 'tags': ['Stop', 'Button']}, 'Even_Charger': {'category': ['Charger', 'Switch'], 'tags': ['Even', 'Charger', 'Switch']}, 'Even_Light': {'category': ['Light', 'Switch'], 'tags': ['Even', 'Light', 'Switch']}, 'Odd_Charger': {'category': ['Charger', 'Switch'], 'tags': ['Odd', 'Charger', 'Switch']}}","{""name"": """", 
""cron"": """", 
""period"": 100, 
""script"": ""\nprev := (#Stop #Button).Button_Button\n\ncurr = (#Stop #Button).Button_Button\n\nif (prev != \""pushed\"" and curr == \""pushed\"") {\n\n    all(#Even).Switch_Off()\n\n}\n\nprev = curr""}"
34,8,도어락이 잠길때마다 입구의 조명을 최대밝기로 10초 유지하다가 꺼줘.,"Whenever the door lock is locked, turn on the entrance light at maximum brightness for 10 seconds and then turn it off.","{""name"": """", 
""cron"": """", 
""period"": 100, 
""script"": ""\nprev := (#DoorLock).DoorLockState\n\ncurr = (#DoorLock).DoorLockState\n\nif (prev != \""closed\"" and curr == \""closed\"") {\n\n    (#Entrance #Light).MoveToLevel(100, 0)\n\n    delay(10 SEC)\n\n    (#Entrance #Light).Off()\n\n}\n\nprev = curr""}","{'DoorLock': {'category': 'DoorLock', 'tags': 'DoorLock'}, 'Ent_Light': {'category': ['Light', 'LevelControl', 'Switch'], 'tags': ['Entrance', 'Light', 'LevelControl', 'Switch']}, 'Hall_Light': {'category': ['Light', 'LevelControl', 'Switch'], 'tags': ['Hallway', 'Light', 'LevelControl', 'Switch']}}","{""name"": """", 
""cron"": """", 
""period"": 100, 
""script"": ""\nprev := (#DoorLock).DoorLock_DoorLockState\n\ncurr = (#DoorLock).DoorLock_DoorLockState\n\nif (prev != \""closed\"" and curr == \""closed\"") {\n\n    (#Entrance #Light).LevelControl_MoveToLevel(100, 0)\n\n    delay(10 SEC)\n\n    (#Entrance #Light).Switch_Off()\n\n}\n\nprev = curr""}"
37,8,서버 랙 습도가 70%보다 높아지면 연구실 제습기를 제습모드로 설정하고 1시간마다 습도를 다시 체크해서 50% 밑이면 제습기를 꺼줘.,"When the server rack humidity becomes higher than 70%, set the lab dehumidifier to dehumidifying mode and check the humidity every hour; turn it off if it's below 50%.","{""name"": """", 
""cron"": """", 
""period"": 3600000, 
""script"": ""\nactive := 0\n\nif (active == 0) {\n\n    wait until ((#ServerRack #HumiditySensor).Humidity > 70)\n\n    (#Lab #Dehumidifier).SetDehumidifierMode(\""dehumidifying\"")\n\n    active = 1\n\n}\n\nif ((#ServerRack #HumiditySensor).Humidity < 50) {\n\n    (#Lab #Dehumidifier).Off()\n\n}""}","{'SR_Humid': {'category': 'HumiditySensor', 'tags': ['ServerRack', 'HumiditySensor']}, 'Lab_Dehum': {'category': ['Dehumidifier', 'Switch'], 'tags': ['Lab', 'Dehumidifier', 'Switch']}}","{""name"": """", 
""cron"": """", 
""period"": 3600000, 
""script"": ""\nactive := 0\n\nif (active == 0) {\n\n    wait until ((#ServerRack #HumiditySensor).HumiditySensor_Humidity > 70)\n\n    (#Lab #Dehumidifier).Dehumidifier_SetDehumidifierMode(\""dehumidifying\"")\n\n    active = 1\n\n}\n\nif ((#ServerRack #HumiditySensor).HumiditySensor_Humidity < 50) {\n\n    (#Lab #Dehumidifier).Switch_Off()\n\n}""}"
40,8,"1층에서 재실센서가 하나라도 감지되면, 1분마다 모든 긴급 사이렌을 3초간 울렸다 꺼줘.","When any presence sensor on the 1st floor detects presence, sound all emergency sirens for 3 seconds every minute and then turn them off.","{""name"": """", 
""cron"": """", 
""period"": 60000, 
""script"": ""\nactive := 0\n\nif (active == 0) {\n\n    wait until (all(#Floor1 #PresenceSensor).Presence ==| true)\n\n    active = 1\n\n}\n\nall(#Siren).SetSirenMode(\""emergency\"")\n\ndelay(3 SEC)\n\nall(#Siren).Off()""}","{'F1_Pres': {'category': 'PresenceSensor', 'tags': ['Floor1', 'PresenceSensor']}, 'F1_Siren': {'category': ['Siren', 'Switch'], 'tags': ['Floor1', 'Siren', 'Switch']}, 'F2_Siren': {'category': ['Siren', 'Switch'], 'tags': ['Floor2', 'Siren', 'Switch']}}","{""name"": """", 
""cron"": """", 
""period"": 60000, 
""script"": ""\nactive := 0\n\nif (active == 0) {\n\n    wait until (all(#Floor1 #PresenceSensor).PresenceSensor_Presence ==| true)\n\n    active = 1\n\n}\n\nall(#Siren).Siren_SetSirenMode(\""emergency\"")\n\ndelay(3 SEC)\n\nall(#Siren).Switch_Off()""}"
45,8,멀티버튼의 버튼2가 눌릴 때마다 거실의 창문을 모두 열어줘.,"Whenever button 2 of the multi-button is pressed, open all windows in the living room.","{""name"": """", 
""cron"": """", 
""period"": 100, 
""script"": ""\nprev := (#MultiButton).Button2\n\ncurr = (#MultiButton).Button2\n\nif (prev != \""pushed\"" and curr == \""pushed\"") {\n\n    all(#LivingRoom #Window).UpOrOpen()\n\n}\n\nprev = curr""}","{'LR_MB': {'category': 'MultiButton', 'tags': ['LivingRoom', 'MultiButton']}, 'LR_Win': {'category': 'WindowCovering', 'tags': ['LivingRoom', 'Window', 'WindowCovering']}}","{""name"": """", 
""cron"": """", 
""period"": 100, 
""script"": ""\nprev := (#MultiButton).DimmerSwitch_Button2\n\ncurr = (#MultiButton).DimmerSwitch_Button2\n\nif (prev != \""pushed\"" and curr == \""pushed\"") {\n\n    all(#LivingRoom #Window).WindowCovering_UpOrOpen()\n\n}\n\nprev = curr""}"
49,8,"주차장의 차량 충전기가 완충될때마다, 스피커로 ""충전이 완료되었습니다""라고 말해줘.","Whenever the car charger in the parking lot is fully charged, speak ""Charging is complete"" through the speaker.","{""name"": """", 
""cron"": """", 
""period"": 100, 
""script"": ""\nprev := (#ParkingLot #Charger).ChargingState\n\ncurr = (#ParkingLot #Charger).ChargingState\n\nif (prev != \""fullyCharged\"" and curr == \""fullyCharged\"") {\n\n    (#ParkingLot #Speaker).Speak(\""충전이 완료되었습니다.\"")\n\n}\n\nprev = curr""}","{'P_Charge': {'category': 'Charger', 'tags': ['ParkingLot', 'Charger']}, 'P_Speaker': {'category': 'Speaker', 'tags': ['ParkingLot', 'Speaker']}}","{""name"": """", 
""cron"": """", 
""period"": 100, 
""script"": ""\nprev := (#ParkingLot #Charger).Charger_ChargingState\n\ncurr = (#ParkingLot #Charger).Charger_ChargingState\n\nif (prev != \""fullyCharged\"" and curr == \""fullyCharged\"") {\n\n    (#ParkingLot #Speaker).Speaker_Speak(\""충전이 완료되었습니다.\"")\n\n}\n\nprev = curr""}"
50,8,"회의실 문이 열릴 때마다, 조명의 밝기를 최대밝기로 켰다가 10초뒤에 꺼줘.","Whenever the meeting room door is opened, turn on the light at maximum brightness and then turn it off after 10 seconds.","{""name"": """", 
""cron"": """", 
""period"": 100, 
""script"": ""\nprev := (#MeetingRoom #Door).DoorState\n \ncurr = (#MeetingRoom #Door).DoorState\n\nif (prev != \""open\"" and curr == \""open\"") {\n\n    (#Light).MoveToLevel(100, 0)\n\n    delay(10 SEC)\n\n    (#Light).Off()\n\n}\n\nprev = curr""}","{'MR_Door': {'category': 'Door', 'tags': ['MeetingRoom', 'Door']}, 'MR_Light': {'category': ['Light', 'LevelControl', 'Switch'], 'tags': ['MeetingRoom', 'Light', 'LevelControl', 'Switch']}}","{""name"": """", 
""cron"": """", 
""period"": 100, 
""script"": ""\nprev := (#MeetingRoom #Door).Door_DoorState\n \ncurr = (#MeetingRoom #Door).Door_DoorState\n\nif (prev != \""open\"" and curr == \""open\"") {\n\n    (#Light).LevelControl_MoveToLevel(100, 0)\n\n    delay(10 SEC)\n\n    (#Light).Switch_Off()\n\n}\n\nprev = curr""}"
