line_no,row_no,dataset_index,model_label,request_model,selected_model,command,det_pass,sdet,script_similarity,fatal_reasons,reference_script,predicted_script,predicted_services
36,36,6,Local5080_qwen-7b_svc-v2.0.1,gpt_mg.version0_12,Local5080_qwen-7b_svc-v2.0.1,짝수 태그 로봇 청소기를 모두 자동 모드로 설정해줘.,False,0.0,0.745342,unknown_services:robotVacuumCleanerMode_setRobotVacuumCleanerMode,"all(#Even #RobotVacuumCleaner).RobotVacuumCleaner_SetRobotVacuumCleanerModeMode(""auto"")",all(#EvenTagRobot).robotVacuumCleanerMode_setRobotVacuumCleanerMode('auto'),robotVacuumCleanerMode_setRobotVacuumCleanerMode
37,37,7,Local5080_qwen-7b_svc-v2.0.1,gpt_mg.version0_12,Local5080_qwen-7b_svc-v2.0.1,모든 도어락을 잠궈줘.,False,0.0,0.784314,unknown_services:lock,all(#DoorLock).DoorLock_Lock(),all(#DoorLock).lock(),lock
38,38,8,Local5080_qwen-7b_svc-v2.0.1,gpt_mg.version0_12,Local5080_qwen-7b_svc-v2.0.1,구역1의 에어컨의 목표 온도를 18도로 설정해줘.,False,0.0,0.921875,unknown_services:AirConditioner_SetTargetTemperature,(#Sector1 #AirConditioner).AirConditioner_SetTargetTemperature(18),(#Area1_AirConditioner).AirConditioner_SetTargetTemperature(18),AirConditioner_SetTargetTemperature
39,39,9,Local5080_qwen-7b_svc-v2.0.1,gpt_mg.version0_12,Local5080_qwen-7b_svc-v2.0.1,안방의 공기청정기를 수면모드로 바꿔줘.,False,0.0,0.883333,unknown_services:AirPurifierMode_setAirPurifierMode,"(#Bedroom #AirPurifier).AirPurifier_SetAirPurifierMode(""sleep"")","(#AirPurifier).AirPurifierMode_setAirPurifierMode(""sleep"")",AirPurifierMode_setAirPurifierMode
40,40,10,Local5080_qwen-7b_svc-v2.0.1,gpt_mg.version0_12,Local5080_qwen-7b_svc-v2.0.1,주방의 모든 벨브를 닫아줘.,False,0.0,0.909091,unknown_services:valve_close,all(#Kitchen #Valve).Valve_Close(),all(#Kitchen_Valve).valve_close(),valve_close
41,41,11,Local5080_qwen-7b_svc-v2.0.1,gpt_mg.version0_12,Local5080_qwen-7b_svc-v2.0.1,모든 금고를 열어줘.,False,0.0,0.913043,unknown_services:Safe_Lock,all(#Safe).Safe_Unlock(),all(#Safe).Safe_Lock(),Safe_Lock
42,42,12,Local5080_qwen-7b_svc-v2.0.1,gpt_mg.version0_12,Local5080_qwen-7b_svc-v2.0.1,회의실 녹음기로 10초 동안 녹음해서 test.wav로 저장해줘.,False,0.0,0.472527,"unknown_services:clock_delay,recordStart,recordStop","(#MeetingRoom #AudioRecorder).AudioRecorder_RecordWithDuration(""test.wav"", 10)","(#MeetingRoomRecorder).recordStart(test.wav)
(#Clock).clock_delay(10000)
(#MeetingRoomRecorder).recordStop()","clock_delay, recordStart, recordStop"
43,43,13,Local5080_qwen-7b_svc-v2.0.1,gpt_mg.version0_12,Local5080_qwen-7b_svc-v2.0.1,사이렌으로 농장에 화재경보를 울려줘.,False,0.0,0.835443,unknown_services:sirenMode_setSirenMode,"(#Farm #Siren).Siren_SetSirenMode(""fire"")","(#Siren).sirenMode_setSirenMode(""fire"")",sirenMode_setSirenMode
44,44,14,Local5080_qwen-7b_svc-v2.0.1,gpt_mg.version0_12,Local5080_qwen-7b_svc-v2.0.1,"놀이방의 스피커로 ""Golden.mp3"" 파일을 재생해줘.",False,0.0,0.891566,unknown_services:Speaker_Play,"(#Playroom #Speaker).Speaker_Play(""Golden.mp3"")","(#Speaker).Speaker_Play(""Golden.mp3"")",Speaker_Play
45,45,15,Local5080_qwen-7b_svc-v2.0.1,gpt_mg.version0_12,Local5080_qwen-7b_svc-v2.0.1,안방 조명을 모두 꺼줘.,False,0.0,0.785714,unknown_services:switch_off,all(#Bedroom #Light).Switch_Off(),all(#Light).switch_off(),switch_off
46,46,16,Local5080_qwen-7b_svc-v2.0.1,gpt_mg.version0_12,Local5080_qwen-7b_svc-v2.0.1,거실에 있는 창문을 모두 닫아줘.,False,0.0,0.651163,unknown_services:windowControl_close,"
all(#LivingRoom #Window).WindowCovering_DownOrClose()",all(#Window).windowControl_close(),windowControl_close
47,47,17,Local5080_qwen-7b_svc-v2.0.1,gpt_mg.version0_12,Local5080_qwen-7b_svc-v2.0.1,섹터2에 있는 블라인드를 모두 열어줘.,False,0.0,0.722892,unknown_services:windowShade_open,"
all(#Sector2 #Blind).WindowCovering_UpOrOpen()",all(#Sector2_Blind).windowShade_open(),windowShade_open
48,48,18,Local5080_qwen-7b_svc-v2.0.1,gpt_mg.version0_12,Local5080_qwen-7b_svc-v2.0.1,거실 벽에 있는 조명을 빨간색으로 바꿔줘.,False,0.0,0.493506,unknown_services:setColor,"
(#LivingRoom #Wall #Light).Light_MoveToRGB(255, 0, 0)",(#Light).setColor('255|0|0'),setColor
49,49,19,Local5080_qwen-7b_svc-v2.0.1,gpt_mg.version0_12,Local5080_qwen-7b_svc-v2.0.1,섹터 비에 있는 홀수 태그가 붙은 금고를 모두 잠궈줘.,False,0.0,0.764706,unknown_services:safe_Lock,"
all(#SectorB #Odd #Safe).Safe_Lock()",all(#Sec_Bi_FloodSafe).safe_Lock(),safe_Lock
50,50,20,Local5080_qwen-7b_svc-v2.0.1,gpt_mg.version0_12,Local5080_qwen-7b_svc-v2.0.1,회의실에 있는 조명 밝기를 100까지 높여줘.,False,0.0,0.86,unknown_services:Light_MoveToBrightness,"
(#MeetingRoom #Light).Light_MoveToBrightness(100, 0)",(#ConferenceRoomLight).Light_MoveToBrightness(100),Light_MoveToBrightness
51,51,21,Local5080_qwen-7b_svc-v2.0.1,gpt_mg.version0_12,Local5080_qwen-7b_svc-v2.0.1,섹터2 모두 닫아줘.,False,0.0,0.72,unknown_services:windowShade_close,"
all(#Sector2).WindowCovering_DownOrClose()",all(#Sector2).windowShade_close(),windowShade_close
52,52,22,Local5080_qwen-7b_svc-v2.0.1,gpt_mg.version0_12,Local5080_qwen-7b_svc-v2.0.1,복도 벽에 있는 모든 조명을 파란색으로 바꿔줘.,False,0.0,0.556701,unknown_services:ColorControl_SetColor,"
all(#Hallway #Wall #Light).Light_MoveToRGB(0, 0, 255)","all(#WallLight).ColorControl_SetColor(""0|0|255"")",ColorControl_SetColor
53,53,23,Local5080_qwen-7b_svc-v2.0.1,gpt_mg.version0_12,Local5080_qwen-7b_svc-v2.0.1,그룹1에서 상단부에 있는 조명들을 모두 파란색으로 변경해줘.,False,0.0,0.688889,unknown_services:setColor,"
all(#Group1 #Top #Light).Light_MoveToRGB(0, 0, 255)",all(#Group1_Top_Lights).setColor('0|0|255'),setColor
54,54,24,Local5080_qwen-7b_svc-v2.0.1,gpt_mg.version0_12,Local5080_qwen-7b_svc-v2.0.1,섹터10의 모든 조명을 흰색으로 바꿔줘.,False,0.0,0.867257,unknown_services:Light_Color_SetColor,"
all(#Sector10 #Light).ColorControl_SetColor(""255|255|255"")","all(#Sector10_Light).Light_Color_SetColor(""255|255|255"")",Light_Color_SetColor
55,55,25,Local5080_qwen-7b_svc-v2.0.1,gpt_mg.version0_12,Local5080_qwen-7b_svc-v2.0.1,안방에 있는 짝수 태그 블라인드를 모두 내려줘.,False,0.0,0.617021,unknown_services:windowShade_close,"
all(#Bedroom #Even #Blind).WindowCovering_DownOrClose()",all(#EvenTaggedBlind).windowShade_close(),windowShade_close
56,56,26,Local5080_qwen-7b_svc-v2.0.1,gpt_mg.version0_12,Local5080_qwen-7b_svc-v2.0.1,3층에 있는 모든 로봇 청소기를 멈춰줘.,False,0.0,0.897727,unknown_services:robotVacuumCleanerMode_setRobotVacuumCleanerMode,"
all(#Floor3 #RobotVacuumCleaner).RobotVacuumCleaner_SetRobotVacuumCleanerModeMode(""stop"")",all(#Floor3_RobotVacuumCleaner).robotVacuumCleanerMode_setRobotVacuumCleanerMode('stop'),robotVacuumCleanerMode_setRobotVacuumCleanerMode
57,57,27,Local5080_qwen-7b_svc-v2.0.1,gpt_mg.version0_12,Local5080_qwen-7b_svc-v2.0.1,거실 벽에 있는 모든 홀수 태그 조명을 켜줘.,False,0.0,0.641026,unknown_services:switch_on,"
all(#LivingRoom #Wall #Odd #Light).Switch_On()",(#Light_LivingRoom_All).switch_on(),switch_on
58,58,28,Local5080_qwen-7b_svc-v2.0.1,gpt_mg.version0_12,Local5080_qwen-7b_svc-v2.0.1,사무실의 모든 제습기를 제습 모드로 설정해줘.,True,0.8,0.8,,"
all(#Office #Dehumidifier).Dehumidifier_SetDehumidifierMode(""dehumidifying"")","all(#Dehumidifier).SetDehumidifierMode(""humidify"")",SetDehumidifierMode
59,59,29,Local5080_qwen-7b_svc-v2.0.1,gpt_mg.version0_12,Local5080_qwen-7b_svc-v2.0.1,창고의 모든 도어락을 잠궈줘.,False,0.0,0.647059,unknown_services:lock,"
all(#Storage #DoorLock).DoorLock_Lock()",all(#WarehouseDoorLock).lock(),lock
60,60,30,Local5080_qwen-7b_svc-v2.0.1,gpt_mg.version0_12,Local5080_qwen-7b_svc-v2.0.1,주방의 모든 짝수 태그 밸브를 열어줘.,False,0.0,0.630137,unknown_services:valve_open,"
all(#Kitchen #Even #Valve).Valve_Open()",all(#Kitchen Valve_Even).valve_open(),valve_open
61,61,1,Local5080_qwen-7b_svc-v2.0.1,gpt_mg.version0_12,Local5080_qwen-7b_svc-v2.0.1,녹음기가 녹음중이면 녹음을 중지하고 test.mp3로 저장해줘. 녹음중이 아니면 녹음을 시작해줘.,False,0.0,0.962264,"unknown_services:AudioRecorder_RecordStart,AudioRecorder_RecordStatus,AudioRecorder_RecordStop","
if ((#AudioRecorder).RecorderStatus == ""recording"") {

    (#AudioRecorder).AudioRecorder_RecordStop(""test.mp3"")

} else {

    (#AudioRecorder).AudioRecorder_RecordStart()

}","if ((#AudioRecorder).AudioRecorder_RecordStatus == ""recording"") {
  (#AudioRecorder).AudioRecorder_RecordStop(""test.mp3"")
} else {
  (#AudioRecorder).AudioRecorder_RecordStart()
}","AudioRecorder_RecordStart, AudioRecorder_RecordStatus, AudioRecorder_RecordStop"
62,62,2,Local5080_qwen-7b_svc-v2.0.1,gpt_mg.version0_12,Local5080_qwen-7b_svc-v2.0.1,"충전 전압이 220볼트 이상이면, 충전을 멈춰줘.",False,0.0,0.832,"unknown_services:Charger_Stop,Charger_Voltage","
if ((#Charger).Charger_Voltage >= 220000) {

    (#Charger).Switch_Off()

}",if ((#Charger).Charger_Voltage >= 220) { (#Charger).Charger_Stop() },"Charger_Stop, Charger_Voltage"
63,63,3,Local5080_qwen-7b_svc-v2.0.1,gpt_mg.version0_12,Local5080_qwen-7b_svc-v2.0.1,"클라우드 서비스가 활성화되어있으면, test.png 파일을 클라우드에 업로드해줘.",False,0.0,0.969925,"unknown_services:CloudServiceProvider_IsAvailable,CloudServiceProvider_UploadFile","
if ((#CloudServiceProvider).CloudServiceProvider_IsAvailable == true) {

    (#CloudServiceProvider).CloudServiceProvider_UploadFile(""test.png"")

}","if ((#CloudServiceProvider).CloudServiceProvider_IsAvailable()) {
  (#CloudServiceProvider).CloudServiceProvider_UploadFile(""test.png"")
}","CloudServiceProvider_IsAvailable, CloudServiceProvider_UploadFile"
64,64,4,Local5080_qwen-7b_svc-v2.0.1,gpt_mg.version0_12,Local5080_qwen-7b_svc-v2.0.1,"오븐이 그릴 모드이면, 시간을 4분 더 추가해줘",False,0.0,0.829268,"unknown_services:addMoreTime,ovenMode_mode","
if ((#Oven).Oven_OvenMode == ""grill"") {

    (#Oven).Oven_AddMoreTime(240)

}","if ((#Oven).ovenMode_mode == ""grill"") {
  (#Oven).addMoreTime(4)
}","addMoreTime, ovenMode_mode"
65,65,5,Local5080_qwen-7b_svc-v2.0.1,gpt_mg.version0_12,Local5080_qwen-7b_svc-v2.0.1,"밥솥이 보온 모드이면, 조리 모드로 변경해줘.",False,0.0,0.738318,unknown_services:RiceCookerMode_setCookingParameters,"
if ((#RiceCooker).RiceCooker_RiceCookerMode == ""keepWarm"") {

    (#RiceCooker).RiceCooker_SetRiceCookerMode(""cooking"")

}","if ((#RiceCooker).RiceCookerMode == ""boil"") {
  (#RiceCooker).RiceCookerMode_setCookingParameters(""cook"", null)
}","RiceCookerMode, RiceCookerMode_setCookingParameters"
66,66,6,Local5080_qwen-7b_svc-v2.0.1,gpt_mg.version0_12,Local5080_qwen-7b_svc-v2.0.1,"오늘이 공휴일이면 ""test@example.com""으로 ""오늘은 공휴일입니다.""라는 내용을 ""공휴일"" 제목으로 이메일을 보내줘.",True,0.75576,0.75576,,"
if ((#Clock).Clock_IsHoliday == true) {

    (#EmailProvider).EmailProvider_SendMail(""test@example.com"", ""Holiday"", ""Today is holiday."")

}","if ((#Clock).IsHoliday == true) {
  (#EmailProvider).SendMail(""test@example.com"", ""공휴일"", ""오늘은 공휴일입니다."")
}","IsHoliday, SendMail"
67,67,7,Local5080_qwen-7b_svc-v2.0.1,gpt_mg.version0_12,Local5080_qwen-7b_svc-v2.0.1,"바깥의 초미세먼지 농도가 15 이상이면, 긴급 사이렌을 울려줘.",False,0.0,0.938776,"unknown_services:sirenMode_setSirenMode,weatherProvider_pm25Weather","
if ((#WeatherProvider).WeatherProvider_Pm25Weather >= 15) {

    (#Siren).Siren_SetSirenMode(""emergency"")

}","if ((#WeatherProvider).weatherProvider_pm25Weather >= 15) {
  (#Siren).sirenMode_setSirenMode(""emergency"")
}","sirenMode_setSirenMode, weatherProvider_pm25Weather"
68,68,8,Local5080_qwen-7b_svc-v2.0.1,gpt_mg.version0_12,Local5080_qwen-7b_svc-v2.0.1,"충전기의 전류가 10암페어 이상이면, 긴급 사이렌을 울려줘.",False,0.0,0.871795,"unknown_services:current_current,sirenMode_setSirenMode","
if ((#Charger).Charger_Current >= 10) {

    (#Siren).Siren_SetSirenMode(""emergency"")

}","if ((#Charger).current_current >= 10) {
  (#Siren).sirenMode_setSirenMode(""emergency"")
}","current_current, sirenMode_setSirenMode"
