Index: 0,Service Name,Korean,English,Script,Command_O,Similarity
13,AirPurifier.switch_on,로비에서 공기청정기를 켜줘.,Turn on the air purifier in the lobby.,"{
  ""cron"": """",
  ""period"": -1,
  ""script"": ""
    (#lobby #AirPurifier).switch_on()
  ""
}",로비에 있는 공기청정기를 켜줘.,1.0
14,AirPurifier.switch_off,로비의 공기청정기를 꺼줘.,Turn off the air purifier in the lobby.,"{
  ""cron"": """",
  ""period"": -1,
  ""script"": ""
    (#AirPurifier).switch_off()
  ""
}",공기청정기를 꺼줘.,0.75
15,AirPurifier.switch_toggle,공기 청정기 스위치를 토글해줘.,Toggle the air purifier switch.,"{
  ""cron"": """",
  ""period"": -1,
  ""script"": ""
    (#lobby #AirPurifier).switch_toggle()
  ""
}",로비에 있는 공기청정기를 토글해줘.,0.65
16,AirQualityDetector.carbonDioxideMeasurement_carbonDioxide,로비의 이산화탄소 수치를 측정해줘.,Measure the carbon dioxide levels in the lobby.,"{
  ""cron"": """",
  ""period"": -1,
  ""script"": ""    
		(#lobby #Speaker).mediaPlayback_speak((#lobby #AirQualityDetector).carbonDioxideMeasurement_carbonDioxide)
  ""
}",로비의 이산화탄소 농도를 알려줘.,1.0
17,AirQualityDetector.dustSensor_dustLevel,로비의 현재 먼지 수준을 확인해줘.,Check the current dust level in the lobby.,"{
  ""cron"": """",
  ""period"": -1,
  ""script"": ""    
    script ='The current dust level in the meeting room is ' + (#lobby #AirQualityDetector).dustSensor_dustLevel + ' micrograms per cubic meter.'
    (#lobby #Speaker).mediaPlayback_speak(script)
  ""
}",회의실의 현재 먼지 농도를 알고 싶어.,0.5
18,AirQualityDetector.dustSensor_fineDustLevel,현재 미세먼지 농도는 어느 정도인지 알려줘.,Tell me the current level of fine dust.,"{
  ""cron"": """",
  ""period"": -1,
  ""script"": ""
		(#Speaker).mediaPlayback_speak((#DustSensor).dustSensor_fineDustLevel)
  ""
}",미세먼지 농도를 알려줘.,1.0
19,AirQualityDetector.dustSensor_veryFineDustLevel,매우 미세한 먼지 수준을 측정해줘.,Measure the very fine dust level.,"{
  ""cron"": """",
  ""period"": -1,
  ""script"": ""
	  (#Speaker).mediaPlayback_speak((#DustSensor).dustSensor_veryFineDustLevel)
  ""
}",미세먼지 농도가 어떻게 되는지 알려줘.,0.5
20,AirQualityDetector.temperatureMeasurement_temperature,온도를 측정해줘.,Measure the temperature.,"{
  ""cron"": """",
  ""period"": 1000,
  ""script"": ""
	  (#Speaker).mediaPlayback_speak((#TemperatureSensor).temperatureMeasurement_temperature)
  ""
}",온도 알려줘.,0.8
21,AirQualityDetector.temperatureMeasurement_temperatureRange,온도 범위를 측정해줘.,Measure the temperature range.,"{
  ""cron"": """",
  ""period"": -1,
  ""script"": ""
		(#Speaker).mediaPlayback_speak((#TemperatureSensor).temperatureMeasurement_temperatureRange)
  ""
}",온도 범위를 알려줘.,0.9
22,AirQualityDetector.tvocMeasurement_tvocLevel,총 휘발성 유기 화합물 수준을 측정해줘.,Measure the total volatile organic compound levels.,"{
  ""cron"": """",
  ""period"": -1,
  ""script"": ""
		(#Speaker).mediaPlayback_speak((#AirQualityDetector).tvocMeasurement_tvocLevel)
  ""
}",TVOC 수치를 알려줘.,0.5
23,AirQualityDetector.relativeHumidityMeasurement_humidity,현재 상대 습도를 알려줘.,Tell me the current relative humidity.,"{
  ""cron"": """",
  ""period"": -1,
  ""script"": ""    
		(#Speaker).mediaPlayback_speak((#HumiditySensor).relativeHumidityMeasurement_humidity)
  ""
}",습도를 알려줘.,0.8
24,Blind.blindLevel_blindLevel,블라인드의 레벨을 알려줘.,Tell me the level of the blind.,"{
  ""cron"": """",
  ""period"": -1,
  ""script"": ""
		(#Speaker).mediaPlayback_speak((#Blind).blindLevel_blindLevel)      
  ""
}",블라인드의 레벨을 알려줘.,1.0
25,Blind.blindLevel_setBlindLevel,블라인드를 50%로 설정해줘.,Set the blind to 50%.,"{
  ""cron"": """",
  ""period"": -1,
  ""script"": ""
      (#Blind).blindLevel_setBlindLevel(50)
  ""
}",블라인드의 높이를 50으로 설정해줘.,5.0
26,Blind.blind_blind,블라인드의 상태를 알려줘.,Tell me the status of the blind.,"{
  ""cron"": """",
  ""period"": -1,
  ""script"": ""
    (#Speaker).mediaPlayback_speak((#Blind).blind_blind) 
  ""
}",블라인드의 상태를 얄려줘.,1.0
27,Blind.blind_open,블라인드를 열어줘.,Open the blind.,"{
  ""cron"": """",
  ""period"": -1,
  ""script"": ""
    (#Blind).blind_open()
  ""
}",블라인드를 열어줘.,1.0
28,Blind.blind_close,블라인드를 닫아줘.,Close the blind.,"{
  ""cron"": """",
  ""period"": -1,
  ""script"": ""
    (#Blind).blind_close()
  ""
}",블라인드를 닫아줘.,1.0
29,Blind.blind_pause,블라인드를 일시 정지해줘.,Pause the blind.,"{
  ""cron"": """",
  ""period"": -1,
  ""script"": ""
    (#Blind).blind_pause()
  ""
}",블라인드를 일시 정지해줘.,1.0
30,Camera.switch_switch,카메라 상태를 확인해줘.,Check the status of camera.,"{
  ""cron"": """",
  ""period"": -1,
  ""script"": ""    
    (#Speaker).mediaPlayback_speak((#Camera).switch_switch)
  ""
}",카메라의 상태를 알려줘.,1.0
31,Camera.switch_on,카메라 스위치를 켜줘.,Turn on the camera switch.,"{
  ""cron"": """",
  ""period"": -1,
  ""script"": ""
    (#Camera).switch_on()
  ""
}",카메라를 켜줘.,1.0
32,Camera.switch_off,카메라를 꺼줘.,Turn off the camera.,"{
  ""cron"": """",
  ""period"": -1,
  ""script"": ""
    (#Camera).switch_off()
  ""
}",카메라를 꺼줘.,1.0
33,Camera.switch_toggle,카메라 스위치를 토글해줘.,Toggle the camera switch.,"{
  ""cron"": """",
  ""period"": -1,
  ""script"": ""
    (#Camera).switch_toggle()
  ""
}",카메라를 토글해줘.,0.9
34,Camera.camera_image,카메라로 촬영한 최신 이미지를 받아줘.,Get the latest image captured by the camera.,"{
  ""cron"": """",
  ""period"": -1,
  ""script"": ""
    (#Camera).camera_image()
  ""
}",카메라로 사진을 찍어줘.,0.8
35,Camera.camera_video,카메라로 촬영한 최신 영상을 받아줘.,Get the latest video captured by the camera.,"{
  ""cron"": """",
  ""period"": -1,
  ""script"": ""
    (#Camera).camera_video()
  ""
}",카메라로 비디오 촬영해줘.,0.5
36,Camera.camera_take,카메라로 사진을 찍어줘.,Take a picture with the camera.,"{
  ""cron"": """",
  ""period"": -1,
  ""script"": ""
    (#Camera).camera_take()
  ""
}",카메라로 사진 찍어줘.,1.0
37,Camera.camera_takeTimelapse,2배 속도로 10초간 타임랩스를 촬영해줘.,Take a timelapse for 10 seconds at 2x speed.,"{
  ""cron"": """",
  ""period"": -1,
  ""script"": ""
    (#Camera).camera_takeTimelapse(10, 2)
  ""
}",10초 간격으로 타임랩스를 촬영해줘.,0.42
38,Charger.chargingState_chargingState,충전기 상태를 확인해줘.,Check the charger state.,"{
  ""cron"": """",
  ""period"": -1,
  ""script"": ""
    (#Speaker).mediaPlayback_speak((#Charger).chargingState_chargingState)
  ""
}",충전 상태를 알려줘.,0.9
39,Charger.chargingState_supportedChargingStates,충전기의 지원되는 충전 상태를 확인해줘.,Check the supported charging states of the charger.,"{
  ""cron"": """",
  ""period"": -1,
  ""script"": ""
    (#Speaker).mediaPlayback_speak((#Charger).chargingState_supportedChargingStates)
  ""
}",충전기의 지원되는 충전 상태를 알려줘.,1.0
40,Charger.currentMeasurement_current,충전기의 현재 측정값을 확인해줘.,Check the current measurement of the charger.,"{
  ""cron"": """",
  ""period"": -1,
  ""script"": ""
    script ='The current measurement of the charger is ' + (#Charger).currentMeasurement_current
    (#Speaker).mediaPlayback_speak(script)
  ""
}",충전기의 전류 측정을 알려줘.,0.9
41,Charger.voltageMeasurement_voltage,충전기의 전압 측정을 확인해줘.,Check the voltage measurement of the charger.,"{
  ""cron"": """",
  ""period"": -1,
  ""script"": ""
    script ='The current voltage is ' + (#Charger).voltageMeasurement_voltage
    (#Speaker).mediaPlayback_speak(script)
  ""
}",현재 전압이 얼마인지 알려줘.,0.5
42,Clock.clock_year,올해를 알려줘.,Tell me the current year.,"{
  ""cron"": """",
  ""period"": -1,
  ""script"": ""
    script ='The current year is ' + (#Clock).clock_year
    (#Speaker).mediaPlayback_speak(script)
  ""
}",현재 연도가 몇 년인지 알려줘.,1.0
43,Clock.clock_month,현재 달을 알려줘.,Tell me the current month.,"{
  ""cron"": """",
  ""period"": -1,
  ""script"": ""
    script ='The current month is ' + (#Clock).clock_month
    (#Speaker).speak(script)
  ""
}",현재 달이 무엇인지 알려줘.,1.0
44,Clock.clock_day,날짜를 알려줘.,Tell me the day.,"{
  ""cron"": """",
  ""period"": -1,
  ""script"": ""
    script ='Today is ' + (#Clock).clock_day
    (#Speaker).mediaPlayback_speak(script)
  ""
}",오늘이 무슨 요일인지 알려줘.,0.5
45,Clock.clock_weekday,현재 요일을 알려줘.,Tell me the current weekday.,"{
  ""cron"": """",
  ""period"": -1,
  ""script"": ""
    script ='Today is ' + (#Clock).clock_weekday
    (#Speaker).mediaPlayback_speak(script)
  ""
}",오늘 무슨 요일인지 알려줘.,1.0
46,Clock.clock_hour,현재 시간을 알려줘.,Tell me the current hour.,"{
  ""cron"": """",
  ""period"": -1,
  ""script"": ""
    script ='The current hour is ' + (#Clock).clock_hour
    (#Speaker).mediaPlayback_speak(script)
  ""
}",현재 시간이 몇 시인지 알려줘.,1.0
47,Clock.clock_minute,현재 분을 알려줘.,Tell me the current minute.,"{
  ""cron"": """",
  ""period"": -1,
  ""script"": ""
    script ='The current minute is ' + (#Clock).clock_minute
    (#Speaker).mediaPlayback_speak(script)
  ""
}",현재 몇 분인지 알려줘.,1.0
48,Clock.clock_second,현재 초를 알려줘.,Tell me the current second.,"{
  ""cron"": """",
  ""period"": -1,
  ""script"": ""
    speka = 'The current second is ' + (#Clock).clock_second
    (#Speaker).mediaPlayback_speak(script)
  ""
}",현재 초를 알려줘.,1.0
49,Clock.clock_timestamp,현재 타임스탬프를 알려줘.,Tell me the current timestamp.,"{
  ""cron"": """",
  ""period"": -1,
  ""script"": ""
    script ='The current timestamp is ' + (#Clock).clock_timestamp
    (#lobby.Speaker).mediaPlayback_speak(script)
  ""
}",현재 시간을 알려줘.,1.0
50,Clock.clock_datetime,현재 날짜와 시간을 알려줘.,Tell me the current date and time.,"{
  ""cron"": """",
  ""period"": -1,
  ""script"": ""
    script ='The current date and time is ' + (#Clock).clock_datetime
    (#Speaker).mediaPlayback_speak(script)
  ""
}",현재 날짜와 시간을 알려줘.,1.0
51,Clock.clock_date,오늘 날짜를 알려줘.,Tell me today's date.,"{
  ""cron"": """",
  ""period"": -1,
  ""script"": ""
    script ='Today's date is ' + (#Clock).clock_date
    (#Speaker).speak(script)
  ""
}",오늘 날짜가 어떻게 되는지 알려줘.,1.0
52,Clock.clock_time,현재 시간을 알려줘.,Tell me the current time.,"{
  ""cron"": """",
  ""period"": -1,
  ""script"": ""
    script ='The current time is ' + (#Clock).clock_time
    (#Speaker).mediaPlayback_speak(script)
  ""
}",현재 시간을 알려줘.,1.0
53,Clock.clock_isHoliday,오늘이 공휴일인지 확인해줘.,Check if today is a holiday.,"{
  ""cron"": """",
  ""period"": -1,
  ""script"": ""
    (#Speaker).mediaPlayback_speak((#Clock).clock_isHoliday)
  ""
}",오늘이 공휴일인지 알려줘.,1.0
54,Clock.clock_delay,1시간 30분 45초 동안 기다려줘.,"Wait for 1 hour, 30 minutes, and 45 seconds.","{
  ""cron"": """",
  ""period"": -1,
  ""script"": ""
    (#Clock).clock_delay(1,30,45)
  ""
}",1시간 30분 45초 후에 알람을 맞춰줘.,0.5
55,ContactSensor.contactSensor_contact,접촉 센서의 상태를 확인해줘.,Check the status of the contact sensor.,"{
  ""cron"": """",
  ""period"": -1,
  ""script"": ""
    (#Speaker).mediaPlayback_speak((#ContactSensor).contactSensor_contact)
  ""
}",연결 센서의 상태를 알려줘.,0.9
56,Curtain.curtain_curtain,회의실 커튼 상태를 알려줘.,Tell me the status of the meeting room curtain.,"{
  ""cron"": """",
  ""period"": -1,
  ""script"": ""
    script ='The meeting room curtain is ' + (#meeting_room #Curtain).curtain_curtain
    (#Speaker).mediaPlayback_speak(script)
  ""
}",회의실 커튼 상태를 알려줘.,1.0
57,Curtain.curtain_supportedCurtainCommands,커튼에 지원되는 명령 목록을 표시해줘.,Show the list of supported commands for the curtain.,"{
  ""cron"": """",
  ""period"": -1,
  ""script"": ""
    script = 'Supported commands for the curtain are ' + (#Curtain).curtain_supportedCurtainCommands
    (#Speaker).mediaPlayback_speak(script)
  ""
}",커튼의 지원되는 명령어를 알려줘.,1.0
58,Curtain.curtain_open,커튼을 열어줘.,Open the curtain.,"{
  ""cron"": """",
  ""period"": -1,
  ""script"": ""
    (#Curtain).curtain_open()
  ""
}",커튼을 열어줘.,1.0
59,Curtain.curtain_close,회의실 커튼을 닫아줘.,Close the meeting room curtain.,"{
  ""cron"": """",
  ""period"": -1,
  ""script"": ""
    (#meeting_room #Curtain).curtain_close()
  ""
}",회의실 커튼 닫아줘.,1.0
60,Curtain.curtain_pause,커튼을 잠시 멈춰줘.,Pause the curtain.,"{
  ""cron"": """",
  ""period"": -1,
  ""script"": ""
    (#Curtain).curtain_pause()
  ""
}",커튼을 멈춰줘.,0.85
61,Dehumidifier.dehumidifierMode_dehumidifierMode,제습기의 현재 모드를 확인해줘.,Check the current mode of the dehumidifier.,"{
  ""cron"": """",
  ""period"": -1,
  ""script"": ""
    (#Speaker).mediaPlayback_speak((#Dehumidifier).dehumidifierMode_dehumidifierMode)
  ""
}",제습기의 모드를 알려줘.,0.9
62,Dehumidifier.dehumidifierMode_setDehumidifierMode,제습기를 냉방 모드로 설정해줘.,Set the dehumidifier to cooling mode.,"{
  ""cron"": """",
  ""period"": -1,
  ""script"": ""
    (#Dehumidifier).dehumidifierMode_setDehumidifierMode('cooling')
  ""
}",제습기를 냉방 모드로 설정해줘.,1.0
63,Dehumidifier.switch_switch,화장실의 제습기 상태를 확인해줘.,Check the status of dehumidifier in the restroom.,"{
  ""cron"": """",
  ""period"": -1,
  ""script"": ""
    (#Speaker).mediaPlayback_speak((#restroom #Dehumidifier).switch_switch)
  ""
}",화장실 제습기가 켜져 있는지 알려줘.,0.9
64,Dehumidifier.switch_on,화장실의 제습기를 켜줘.,Turn on the dehumidifier in the restroom.,"{
  ""cron"": """",
  ""period"": -1,
  ""script"": ""
    (#restroom #Dehumidifier).switch_on()
  ""
}",화장실 제습기를 켜줘.,1.0
65,Dehumidifier.switch_off,화장실의 제습기를 꺼줘.,Turn off the dehumidifier in the restroom.,"{
  ""cron"": """",
  ""period"": -1,
  ""script"": ""
    (#restroom #Dehumidifier).switch_off()
  ""
}",화장실 제습기를 꺼줘.,1.0
66,Dehumidifier.switch_toggle,화장실의 제습기를 토글해줘.,Toggle the dehumidifier in the restroom.,"{
  ""cron"": """",
  ""period"": -1,
  ""script"": ""
    (#restroom #Dehumidifier).switch_toggle()
  ""
}",화장실 제습기를 토글해줘.,1.0
67,DoorLock.doorControl_door,회의실 문 상태를 확인해줘.,Check the status of the door in the meeting room.,"{
  ""cron"": """",
  ""period"": -1,
  ""script"": ""
    (#Speaker).mediaPlayback_speak((#meeting_room #DoorLock).doorControl_door)
  ""
}",회의실 문이 잠겼는지 상태를 알려줘.,1.0
68,DoorLock.doorControl_open,문을 열어.,Open the door.,"{
  ""cron"": """",
  ""period"": -1,
  ""script"": ""
    (#Door).doorControl_open()
  ""
}",문을 열어줘.,1.0
69,DoorLock.doorControl_close,문을 닫아줘.,Close the door.,"{
  ""cron"": """",
  ""period"": -1,
  ""script"": ""
    (#DoorLock).doorControl_close()
  ""
}",문을 닫아줘.,1.0
70,EmailProvider.emailProvider_sendMail,"제목을 ""안녕해줘""로 하고 본문을 ""테스트 이메일입니다""로 하여 ""[example@example.com](mailto:example@example.com)""으로 이메일을 보내줘.","Send an email to ""[example@example.com](mailto:example@example.com)"" with the subject ""Hello"" and the body ""This is a test email.""","{
  ""cron"": """",
  ""period"": -1,
  ""script"": ""
    (#EmailProvider).emailProvider_sendMail('example@example.com', 'Hello', 'This is a test email.')
  ""
}","이메일을 example@example.com으로 보내줘. 제목은 'Hello'이고, 내용은 'This is a test email.'이야.",0.5
71,EmailProvider.emailProvider_sendMailWithFile,"제목을 ""중요 문서""로 하고 본문을 ""안녕해줘, 첨부 문서를 확인해줘.""로 하고 파일 ""C:/Documents/important.pdf""를 포함하여 ""[test@example.com](mailto:test@example.com)""으로 이메일을 보내줘.","Send an email to ""[test@example.com](mailto:test@example.com)"" with the subject ""Important Document"" and the body ""Hello, please check the attached document."" including the file ""C:/Documents/important.pdf"".","{
  ""cron"": """",
  ""period"": -1,
  ""script"": ""
    (#EmailProvider).emailProvider_sendMailWithFile('test@example.com', 'Important Document', 'Hello, please check the attached document.', 'C:/Documents/important.pdf')
  ""
}",중요한 문서를 'test@example.com' 이메일로 보내줘.,0.8
72,Fan.fanControl_fanSpeed,팬 속도를 확인해줘.,Check the fan speed.,"{
  ""cron"": """",
  ""period"": -1,
  ""script"": ""
    (#Speaker).mediaPlayback_speak((#Fan).fanControl_fanSpeed)
  ""
}",선풍기 속도를 알려줘.,0.7
73,Fan.fanControl_percent,팬 속도 백분율을 확인해줘.,Check the fan speed percent.,"{
  ""cron"": """",
  ""period"": -1,
  ""script"": ""
    (#Speaker).mediaPlayback_speak((#Fan).fanControl_percent)
  ""
}",선풍기의 현재 속도를 알려줘.,0.5
74,Fan.fanControl_setFanSpeed,팬 속도를 3으로 설정해줘.,Set the fan speed to 3.,"{
  ""cron"": """",
  ""period"": -1,
  ""script"": ""
    (#Fan).fanControl_setFanSpeed(3)
  ""
}",선풍기 속도를 3으로 설정해줘.,0.9
75,Fan.fanControl_setPercent,팬 속도를 50%로 설정해줘.,Set the fan speed to 50%.,"{
  ""cron"": """",
  ""period"": -1,
  ""script"": ""
    (#Fan).fanControl_setPercent(50)
  ""
}",선풍기 세기를 50%로 설정해줘.,0.9
76,Fan.switch_switch,팬 상태를 확인해줘.,Check the fan status.,"{
  ""cron"": """",
  ""period"": -1,
  ""script"": ""
    (#Speaker).mediaPlayback_speak((#Fan).switch_switch)
  ""
}",선풍기가 켜져 있는지 알려줘.,0.6
77,Fan.switch_on,선풍기를 돌려줘.,Turn  the fan.,"{
  ""cron"": """",
  ""period"": -1,
  ""script"": ""
    (#Fan).switch_on()
  ""
}",선풍기 켜줘.,0.9
78,Fan.switch_off,선풍기를 꺼줘.,Turn off the fan.,"{
  ""cron"": """",
  ""period"": -1,
  ""script"": ""
    (#Fan).switch_off()
  ""
}",선풍기를 꺼줘.,1.0
79,Fan.switch_toggle,팬을 토글해줘.,Toggle the fan on or off.,"{
  ""cron"": """",
  ""period"": -1,
  ""script"": ""
    (#Fan).switch_toggle()
  ""
}",선풍기를 토글해줘.,0.9
80,Humidifier.switch_switch,가습기 상태를 확인해줘.,Check the humidifier status.,"{
  ""cron"": """",
  ""period"": -1,
  ""script"": ""
    (#Speaker).mediaPlayback_speak((#Humidifier).switch_switch)
  ""
}",가습기 상태를 알려줘.,1.0
81,Humidifier.switch_on,가습기를 켜줘.,Turn on the humidifier.,"{
  ""cron"": """",
  ""period"": -1,
  ""script"": ""
    (#Humidifier).switch_on()
  ""
}",가습기를 켜줘.,1.0
82,Humidifier.switch_off,가습기를 꺼줘.,Turn off the humidifier.,"{
  ""cron"": """",
  ""period"": -1,
  ""script"": ""
    (#Humidifier).switch_off()
  ""
}",가습기를 꺼줘.,1.0
83,Humidifier.switch_toggle,가습기를 토글해줘.,Toggle the humidifier.,"{
  ""cron"": """",
  ""period"": -1,
  ""script"": ""
    (#Humidifier).switch_toggle()
  ""
}",가습기를 토글해줘.,1.0
84,Humidifier.humidifierMode_humidifierMode,가습기 모드를 확인해줘.,Check the humidifier mode.,"{
  ""cron"": """",
  ""period"": -1,
  ""script"": ""
    (#Speaker).mediaPlayback_speak((#Humidifier).humidifierMode_humidifierMode)
  ""
}",가습기의 모드를 알려줘.,1.0
85,Humidifier.humidifierMode_setHumidifierMode,가습기를 자동 모드로 설정해줘.,Set the humidifier to auto mode.,"{
  ""cron"": """",
  ""period"": -1,
  ""script"": ""
    (#Humidifier).humidifierMode_setHumidifierMode('auto')
  ""
}",가습기를 자동 모드로 설정해줘.,1.0
86,HumiditySensor.relativeHumidityMeasurement_humidity,현재 상대 습도를 알려줘.,Tell me the current relative humidity.,"{
  ""cron"": """",
  ""period"": -1,
  ""script"": ""
		(#Speaker).mediaPlayback_speak((#HumiditySensor).relativeHumidityMeasurement_humidity)
  ""
}",습도가 어떻게 되는지 알려줘.,0.9
87,Light.colorControl_color,밝은 색상을 확인해줘.,Check the light color.,"{
  ""cron"": """",
  ""period"": -1,
  ""script"": ""
    (#Speaker).mediaPlayback_speak((#Light).colorControl_color)
  ""
}",조명의 색을 알려줘.,0.5
88,Light.colorControl_hue,빛의 색상을 확인해줘.,Check the light hue.,"{
  ""cron"": """",
  ""period"": -1,
  ""script"": ""
    script ='The hue of the light is ' + (#Light).colorControl_hue
    (#Speaker).mediaPlayback_speak(script)
  ""
}",전등의 색조를 알려줘.,0.9
89,Light.colorControl_saturation,조명 채도를 확인해줘.,Check the light saturation.,"{
  ""cron"": """",
  ""period"": -1,
  ""script"": ""
    script ='The staturation of the light is ' + (#Light).colorControl_saturation
    (#Speaker).mediaPlayback_speak(script)
  ""
}",조명의 채도를 알려줘.,1.0
90,Light.colorControl_setColor,회의실 조명 색상을 빨간색으로 설정해줘. (색상: 0. 채도: 100),Set the meeting room light color to red. (hue:0. saturation:100),"{
  ""cron"": """",
  ""period"": -1,
  ""script"": ""
    (#meeting_room #Light).colorControl_setColor('0|100')
  ""
}",회의실 조명의 색상을 빨간색으로 바꿔줘.,1.0
91,Light.colorControl_setHue,밝은 색상을 75%로 설정해줘.,Set the light color to 75%.,"{
  ""cron"": """",
  ""period"": -1,
  ""script"": ""
    (#Light).colorControl_setHue(75)
  ""
}",불빛의 색조를 75로 설정해줘.,0.9
92,Light.colorControl_setSaturation,조명의 채도를 75로 설정해줘.,Set the saturation of the light to 75.,"{
  ""cron"": """",
  ""period"": -1,
  ""script"": ""
    (#Light).colorControl_setSaturation(75)
  ""
}",조명의 채도를 75로 설정해줘.,1.0
93,Light.switch_switch,회의실 조명 상태를 확인해줘.,Check the status of meeting room light.,"{
  ""cron"": """",
  ""period"": -1,
  ""script"": ""
    (#Speaker).mediaPlayback_speak((#meeting_room #Light).switch_switch)
  ""
}",회의실 조명의 상태를 알고 싶어.,1.0
94,Light.switch_on,불을 켜줘.,Turn on the light.,"{
  ""cron"": """",
  ""period"": -1,
  ""script"": ""
    (#Light).switch_on()
  ""
}",불을 켜줘.,1.0
95,Light.switch_off,불을 꺼줘.,Turn off the light.,"{
  ""cron"": """",
  ""period"": -1,
  ""script"": ""
    (#Light).switch_off()
  ""
}",불을 꺼줘.,1.0
96,Light.switch_toggle,불을 토글해줘.,Toggle the light.,"{
  ""cron"": """",
  ""period"": -1,
  ""script"": ""
    (#Light).switch_toggle()
  ""
}",조명을 토글해줘.,0.9
97,Light.switchLevel_level,조도를 75로 설정해줘.,Set the light level to 75.,"{
  ""cron"": """",
  ""period"": -1,
  ""script"": ""
    (#Light).switchLevel_level(75)
  ""
}",조명을 75% 밝기로 설정해줘.,0.8
